name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,03/31/2007
TotalRevenue,"636,184,000","168,219,000","155,887,000","162,159,000","149,919,000","146,535,000","146,507,000","151,472,000","140,173,000","145,287,000","138,874,000","144,785,000","143,100,000","133,685,000","132,165,000","136,764,000","134,931,000","119,148,000","115,469,000","116,547,000","111,604,000","104,426,000","107,449,000","112,794,000","109,195,000","104,202,000","106,418,000","106,034,000","101,919,000","97,007,000","100,511,000","107,493,000","102,521,000","98,032,000","98,207,000","100,569,000","94,684,000","89,189,000","92,284,000","100,441,000","97,321,000","93,474,000","94,977,000","102,124,000","95,903,000","91,303,000","87,930,000","94,527,000","83,974,000","81,742,000","75,989,000","0","0","0",,,,,
	OperatingRevenue,"636,184,000","168,219,000","155,887,000","162,159,000","149,919,000","146,535,000","146,507,000","151,472,000","140,173,000","145,287,000","138,874,000","144,785,000","143,100,000","133,685,000","132,165,000","136,764,000","134,931,000","119,148,000","115,469,000","116,547,000","111,604,000","104,426,000","107,449,000","112,794,000","109,195,000","104,202,000","106,418,000","106,034,000","101,919,000","97,007,000","100,511,000","107,493,000","102,521,000","98,032,000","98,207,000","100,569,000","94,684,000","89,189,000","92,284,000","100,441,000","97,321,000","93,474,000","94,977,000","102,124,000","95,903,000","91,303,000","87,930,000","94,527,000","83,974,000","81,742,000","75,989,000","0","0","0",,,,,
CostOfRevenue,"158,764,000","44,603,000","37,369,000","40,730,000","36,062,000","36,235,000","33,900,000","39,338,000","35,203,000","34,252,000","34,772,000","36,443,000","38,977,000","34,952,000","34,144,000","36,300,000","38,263,000","34,166,000","32,474,000","33,069,000","32,236,000","27,062,000","27,159,000","27,412,000","28,307,000","26,366,000","26,434,000","25,549,000","23,601,000","25,529,000","26,925,000","31,616,000","29,998,000","28,115,000","28,387,000","30,326,000","27,099,000","25,596,000","25,403,000","28,194,000","29,280,000","31,345,000","31,927,000","31,563,000","31,820,000","29,984,000","27,591,000","32,411,000","30,732,000","43,506,000","37,622,000","0","0","0",,,,,
GrossProfit,"477,420,000","123,616,000","118,518,000","121,429,000","113,857,000","110,300,000","112,607,000","112,134,000","104,970,000","111,035,000","104,102,000","108,342,000","104,123,000","98,733,000","98,021,000","100,464,000","96,668,000","84,982,000","82,995,000","83,478,000","79,368,000","77,364,000","80,290,000","85,382,000","80,888,000","77,836,000","79,984,000","80,485,000","78,318,000","71,478,000","73,586,000","75,877,000","72,523,000","69,917,000","69,820,000","70,243,000","67,585,000","63,593,000","66,881,000","72,247,000","68,041,000","62,129,000","63,050,000","70,561,000","64,083,000","61,319,000","60,339,000","62,116,000","53,242,000","38,236,000","38,367,000","0","0","0",,,,,
OperatingExpense,"420,889,000","104,383,000","107,844,000","106,400,000","102,262,000","101,284,000","107,507,000","99,401,000","99,142,000","99,213,000","104,101,000","100,331,000","100,382,000","100,366,000","98,163,000","94,453,000","80,323,000","65,543,000","96,945,000","45,396,000","43,626,000","21,762,000","38,694,000","35,614,000","39,159,000","34,558,000","41,488,000","33,946,000","35,984,000","38,005,000","41,745,000","42,864,000","42,810,000","41,573,000","43,563,000","40,792,000","38,737,000","38,255,000","35,857,000","40,559,000","39,767,000","48,041,000","47,291,000","46,363,000","43,340,000","45,018,000","45,303,000","41,280,000","47,284,000","42,706,000","43,790,000","6,097,000","328,434","462,733","2,291,990","106,198","81,730","112,267",
	SellingGeneralAndAdministration,"103,920,000","26,103,000","27,950,000","25,897,000","23,970,000","22,657,000","27,496,000","20,631,000","21,100,000","20,825,000","25,421,000","22,934,000","20,969,000","23,841,000","23,830,000","27,255,000","24,266,000","22,495,000","26,306,000","18,471,000","20,411,000","19,217,000","22,419,000","18,767,000","22,303,000","19,063,000","24,645,000","17,534,000","18,742,000","20,524,000","22,680,000","18,277,000","18,493,000","19,186,000","20,164,000","18,290,000","18,399,000","18,365,000","15,019,000","16,452,000","17,970,000","18,148,000","15,509,000","16,457,000","16,297,000","17,419,000","17,783,000","16,312,000","16,703,000","15,930,000","10,785,000","5,725,000","265,374","253,044","2,291,990","106,198","81,730","112,267",
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,452,000","17,970,000","18,148,000","15,509,000","16,457,000","16,297,000","17,419,000","17,783,000","16,312,000","16,703,000","15,930,000",,,,,,,,,
	ResearchAndDevelopment,"11,787,000","2,619,000","3,729,000","2,815,000","2,624,000","2,717,000","4,097,000","3,116,000","2,380,000","2,444,000","3,592,000","2,822,000","4,285,000","3,611,000","7,222,000","5,058,000","5,566,000","4,583,000","5,025,000","3,981,000","3,014,000","3,227,000","4,469,000","5,038,000","4,013,000","2,559,000","4,116,000","3,480,000","4,422,000","4,126,000","5,911,000","4,910,000","4,645,000","2,121,000","4,624,000","3,125,000","1,741,000","1,659,000","2,784,000","3,623,000","3,429,000","5,689,000","7,915,000","3,122,000","3,379,000","4,268,000","4,470,000","2,311,000","8,132,000","4,265,000",,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"305,182,000","75,661,000","76,165,000","77,688,000","75,668,000","75,910,000","75,914,000","75,654,000","75,662,000","75,944,000","75,088,000","74,575,000","75,128,000","72,914,000","67,111,000","62,140,000","50,491,000","38,465,000","65,614,000","22,944,000","20,201,000","13,507,000","11,806,000","11,809,000","12,843,000","12,936,000","12,727,000","12,932,000","12,820,000","13,355,000","13,154,000","19,677,000","19,672,000","20,266,000","18,775,000","19,377,000","18,597,000","18,231,000","18,054,000","20,484,000","18,368,000","24,204,000","23,867,000","26,784,000","23,664,000","23,331,000","23,050,000","22,657,000","22,449,000","22,511,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"305,182,000","75,661,000","76,165,000","77,688,000","75,668,000","75,910,000","75,914,000","75,654,000","75,662,000","75,944,000","75,088,000","74,575,000","75,128,000","72,914,000","67,111,000","62,140,000","50,491,000","38,465,000","65,614,000","22,944,000","20,201,000","13,507,000","11,806,000","11,809,000","12,843,000","12,936,000","12,727,000","12,932,000","12,820,000","13,355,000","13,154,000","19,677,000","19,672,000","20,266,000","18,775,000","19,377,000","18,597,000","18,231,000","18,054,000","20,484,000","18,368,000","24,204,000","23,867,000","26,784,000","23,664,000","23,331,000","23,050,000","22,657,000","22,449,000","22,511,000",,,,,,,,,
