name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
OperatingCashFlow,"184,300,000","16,700,000","49,300,000","56,000,000","62,300,000","19,600,000","70,400,000","69,700,000","53,000,000","25,700,000","61,300,000","74,400,000","32,300,000","14,700,000","44,200,000","70,000,000","63,000,000","26,000,000","65,500,000","62,500,000","31,800,000","10,600,000","51,900,000","52,800,000","9,600,000","-65,000,000","59,700,000","85,100,000","93,000,000","-34,100,000","97,700,000","88,700,000","55,300,000","-32,900,000","52,000,000","118,500,000","57,200,000","-14,000,000","79,200,000","111,200,000","62,700,000","-33,100,000","82,300,000","97,800,000","68,200,000","-36,100,000","49,100,000","85,100,000","84,200,000","-28,000,000","82,000,000","127,800,000","91,000,000","-40,600,000","86,000,000","113,900,000","96,400,000","-82,100,000","381,500,000","120,600,000","116,100,000","-43,000,000","12,100,000","57,000,000","90,800,000","-89,800,000","83,200,000","93,100,000","68,900,000","-98,500,000","39,900,000","64,200,000","75,300,000","-36,600,000","75,200,000","123,200,000","21,200,000","-53,800,000","73,000,000","55,000,000","98,100,000","-2,600,000","87,400,000"
	CashFlowFromContinuingOperatingActivities,"184,300,000","16,700,000","49,300,000","56,000,000","62,300,000","19,600,000","70,400,000","69,700,000","53,000,000","25,700,000","61,300,000","74,400,000","32,300,000","14,700,000","44,200,000","70,000,000","63,000,000","26,000,000","65,500,000","62,500,000","31,800,000","10,600,000","51,900,000","52,800,000","9,600,000","-65,000,000","59,700,000","85,100,000","93,000,000","-34,100,000","97,700,000","88,700,000","55,300,000","-32,900,000","52,000,000","118,500,000","57,200,000","-14,000,000","79,200,000","111,200,000","62,700,000","-33,100,000","82,300,000","97,800,000","68,200,000","-36,100,000","49,100,000","85,100,000","84,200,000","-28,000,000","82,000,000","127,800,000","91,000,000","-40,600,000","86,000,000","113,900,000","96,400,000","-82,100,000","381,500,000","120,600,000","116,100,000","-43,000,000","12,100,000","57,000,000","90,800,000","-89,800,000","83,200,000","93,100,000","68,900,000","-98,500,000","39,900,000","64,200,000","75,300,000","-36,600,000","75,200,000","123,200,000","21,200,000","-53,800,000","73,000,000","55,000,000","98,100,000","-2,600,000","87,400,000"
		NetIncomeFromContinuingOperations,"192,200,000","44,400,000","41,900,000","50,800,000","55,100,000","35,400,000","22,800,000","54,000,000","50,300,000","-226,200,000","47,700,000","73,200,000","54,500,000","39,100,000","34,600,000","76,200,000","47,300,000","27,800,000","33,700,000","49,400,000","41,300,000","30,400,000","27,100,000","70,600,000","16,900,000","-9,900,000","-13,800,000","31,800,000","29,600,000","46,600,000","-3,600,000","31,600,000","18,900,000","16,900,000","10,800,000","50,400,000","29,900,000","3,000,000","8,400,000","62,900,000","41,800,000","18,200,000",,,"37,900,000","13,500,000","-21,000,000","24,600,000","26,800,000","-19,400,000",,,"28,300,000","-11,200,000","-25,500,000","38,900,000","52,400,000","15,200,000","19,600,000","48,100,000","51,600,000","26,000,000","-105,200,000","39,200,000","40,200,000","28,000,000","50,900,000","46,100,000","17,300,000","-3,200,000","-108,000,000","23,200,000","-12,600,000","17,700,000","-2,200,000","-4,700,000","-34,300,000","1,900,000","-1,628,000,000","29,400,000","27,700,000","-571,900,000","-800,000"
		OperatingGainsLosses,"-85,000,000","-18,400,000","-19,600,000","-23,400,000","-23,600,000","-20,600,000","-22,200,000","-21,900,000","-30,300,000","357,100,000","-16,100,000","-17,500,000","-16,300,000","-23,000,000","-23,200,000","-27,700,000","-25,000,000","-5,200,000","-24,200,000","500,000","-25,900,000","-24,500,000","-10,800,000","-16,600,000","-18,000,000","-5,700,000","-2,800,000","2,600,000","-12,800,000","-7,900,000","37,400,000","-18,600,000","-14,300,000","-14,800,000","-13,500,000","-11,500,000","-14,900,000","-15,700,000","-24,100,000","-15,700,000","-14,900,000","-13,400,000","-9,500,000","-14,400,000","-3,900,000","-18,100,000","-19,200,000","-25,900,000","-38,100,000","-12,700,000","-28,100,000","16,300,000","-20,500,000","-25,900,000","-39,500,000","-1,300,000","-4,500,000","-200,000","108,100,000","-38,200,000","11,500,000","-15,500,000","41,300,000","-8,100,000","-30,400,000","-11,000,000","-16,100,000","-3,000,000","-6,400,000","-20,100,000","-8,800,000","-3,500,000","-2,800,000","-7,600,000",,,,,,,,,
			GainLossOnSaleOfBusiness,"0","0","0","0","0","400,000",,"200,000","-800,000","5,000,000","-700,000","27,300,000","6,800,000","-2,200,000","-1,700,000","-2,400,000","5,700,000","17,700,000",,,,,,,,,"100,000","-700,000",,,"13,500,000","200,000",,,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,"0","0",,,"0","-6,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,"-200,000","-100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,"2,200,000","-800,000","-1,300,000","-3,700,000","7,300,000","16,600,000","-3,500,000","-600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","10,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-84,900,000","-18,200,000","-19,600,000","-23,400,000","-23,700,000","-21,000,000","-15,800,000","-15,200,000","-13,500,000","-19,500,000","-13,600,000","-42,900,000","-21,200,000","-18,900,000","-15,700,000","-18,700,000","-24,200,000","-16,300,000","-15,100,000","-13,900,000","-19,700,000","-18,300,000","-16,100,000","-19,000,000","-19,900,000","-18,100,000","-16,500,000","-19,600,000","-16,400,000","-13,600,000","-13,900,000","-18,800,000","-17,600,000","-14,800,000","-13,200,000","-16,600,000","-14,400,000","-15,200,000","-11,900,000","-15,500,000","-14,900,000","-13,600,000","-10,500,000","-15,400,000","-12,600,000","-16,400,000","-6,400,000","-13,200,000",,,"30,100,000","-12,800,000","-10,400,000","-6,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-100,000","-200,000","0","0","100,000","0","-2,000,000","0","-1,900,000","371,600,000","-1,800,000","-1,900,000","-1,900,000","-1,900,000","-6,600,000","-6,600,000","-6,500,000","-6,600,000","-6,500,000","14,400,000","-6,200,000","-6,200,000","3,200,000","3,200,000","3,200,000","5,400,000","6,300,000","6,300,000","6,300,000","6,300,000",,,,,"-500,000","-600,000","-500,000","-500,000",,,,,,,,"-6,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
