name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
OperatingCashFlow,"1,914,000,000","363,000,000","597,000,000","461,000,000","493,000,000","568,000,000","1,299,000,000","-158,000,000","613,000,000","136,000,000","29,000,000","242,000,000","-93,000,000","249,000,000","-123,000,000","-505,000,000","-80,000,000","394,000,000","-153,000,000","285,000,000","-47,000,000","719,000,000","40,000,000","355,000,000","139,000,000","139,000,000","219,214,000","258,076,000","94,077,000","553,633,000","219,059,000","605,738,000","24,563,000","210,897,000","78,339,000","223,492,000","-131,852,000","20,104,000","83,760,000","28,041,000","185,408,000","50,575,000","70,232,000","40,265,000","30,848,000","84,050,000","153,184,000","-16,841,000","51,787,000","-26,484,000","25,088,000","35,443,000","27,925,000","66,915,000","60,702,000","-59,724,000","62,895,000","-23,442,000","45,310,000","25,325,000","52,087,000","35,904,000","35,131,000","28,598,000","-2,384,000","40,972,000","34,588,000","52,481,000","7,750,000","2,439,000","42,247,000","24,829,000","12,002,000","11,971,000","28,231,000","2,494,000","10,788,000","4,038,000"
	CashFlowFromContinuingOperatingActivities,"1,914,000,000","363,000,000","597,000,000","461,000,000","493,000,000","568,000,000","1,299,000,000","-158,000,000","613,000,000","136,000,000","29,000,000","242,000,000","-93,000,000","249,000,000","-123,000,000","-505,000,000","-80,000,000","394,000,000","-153,000,000","285,000,000","-47,000,000","719,000,000","40,000,000","355,000,000","139,000,000","139,000,000","219,214,000","258,076,000","94,077,000","553,633,000","219,059,000","605,738,000","24,563,000","210,897,000","78,339,000","223,492,000","-131,852,000","20,104,000","83,760,000","28,041,000","185,408,000","50,575,000","70,232,000","40,265,000","30,848,000","84,050,000","153,184,000","-16,841,000","51,787,000","-26,484,000","25,088,000","35,443,000","27,925,000","66,915,000","60,702,000","-59,724,000","62,895,000","-23,442,000","45,310,000","25,325,000","52,087,000","35,904,000","35,131,000","28,598,000","-2,384,000","40,972,000","34,588,000","52,481,000","7,750,000","2,439,000","42,247,000","24,829,000","12,002,000","11,971,000","28,231,000","2,494,000","10,788,000","4,038,000"
		NetIncomeFromContinuingOperations,"689,000,000","258,000,000","103,000,000","143,000,000","185,000,000","228,000,000","34,000,000","185,000,000","276,000,000","178,000,000","168,000,000","175,000,000","196,000,000","198,000,000","201,000,000","197,000,000","202,000,000","107,000,000","-262,000,000","-97,000,000","-230,000,000","77,000,000","-47,000,000","42,000,000","33,000,000","24,000,000","29,605,000","46,299,000","38,943,000","28,153,000","33,792,000","16,122,000","7,811,000","4,498,000","-9,126,000","7,569,000","24,571,000","29,915,000","25,643,000",,,,,,,"17,388,000","17,628,000","16,173,000","10,579,000","10,590,000","-4,472,000","8,564,000","14,565,000","12,211,000","15,541,000","17,186,000","16,516,000","13,155,000","17,911,000","17,513,000","13,314,000","9,592,000","11,644,000","12,341,000","13,152,000","8,590,000","10,732,000","6,811,000","-4,706,000","14,759,000","16,286,000","16,439,000","11,950,000","11,098,000","11,866,000","11,724,000","10,947,000","7,980,000"
		OperatingGainsLosses,,,,,,,"10,000,000","0",,,"0","2,000,000","-14,000,000","-3,000,000","49,000,000","-27,000,000","5,000,000","10,000,000","14,000,000",,,,,,,,,,,,,,"82,000","-952,000","1,340,000","-1,000","3,503,000","-119,000","4,558,000","0","0","-2,390,000",,,,,"0","1,196,000","2,118,000","493,000","-104,000","-92,000","-27,000","1,791,000",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"0",,,,"52,000,000","-37,000,000",,,,,,,,,,,,,,,,,,,"0","0","0","0","643,000","0","0","-2,390,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,000","-950,000","1,345,000",,,,"2,608,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,000","-2,000","-5,000","-1,000","3,503,000","-119,000","37,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"138,000,000","40,000,000","35,000,000","32,000,000","31,000,000","33,000,000","24,000,000","23,000,000","21,000,000","20,000,000","21,000,000","21,000,000","22,000,000","25,000,000","23,000,000","31,000,000","36,000,000","37,000,000","39,000,000","43,000,000","47,000,000","49,000,000","47,000,000","46,000,000","45,000,000","44,000,000","33,417,000","30,507,000","29,502,000","32,574,000","34,940,000","33,810,000","32,660,000","32,994,000","25,831,000","24,128,000","22,108,000","21,799,000","20,475,000","20,279,000","19,671,000","18,339,000","21,969,000","17,812,000","16,508,000","18,094,000","20,280,000","16,573,000","13,851,000","10,061,000","9,642,000","9,832,000","9,584,000","9,052,000","8,691,000","8,515,000","7,924,000","8,558,000","7,693,000","7,082,000","6,749,000","6,443,000","6,210,000","5,633,000","4,870,000","4,762,000","4,256,000","4,113,000","3,558,000","3,198,000","2,978,000","2,558,000","1,734,000","1,599,000","2,044,000","1,598,000","1,374,000","1,317,000"
			DepreciationAndAmortization,"138,000,000","40,000,000","35,000,000","32,000,000","31,000,000","33,000,000","24,000,000","23,000,000","21,000,000","20,000,000","21,000,000","21,000,000","22,000,000","25,000,000","23,000,000","31,000,000","36,000,000","37,000,000","39,000,000","43,000,000","47,000,000","49,000,000","47,000,000","46,000,000","45,000,000","44,000,000","33,417,000","30,507,000","29,502,000","32,574,000","34,940,000","33,810,000","32,660,000","32,994,000","25,831,000","24,128,000","22,108,000","21,799,000","20,475,000","20,279,000","19,671,000","18,339,000","21,969,000","17,812,000","16,508,000","18,094,000","20,280,000","16,573,000","13,851,000","10,061,000","9,642,000","9,832,000","9,584,000","9,052,000","8,691,000","8,515,000","7,924,000","8,558,000","7,693,000","7,082,000","6,749,000","6,443,000","6,210,000","5,633,000","4,870,000","4,762,000","4,256,000","4,113,000","3,558,000","3,198,000","2,978,000","2,558,000","1,734,000","1,599,000","2,044,000","1,598,000","1,374,000","1,317,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,832,000","9,584,000",,,,,"8,152,000",,,,,,,,,,,,,,,,,,,,
