name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989
		CashDividendsPaid,"-1,246,103,000","-309,485,000","-310,302,000","-312,672,000","-313,644,000","-315,215,000","-6,000","0","0","-278,250,000","-276,470,000","-277,644,000","-278,690,000","-238,758,000","-240,274,000","-241,448,000","-243,578,000","-197,296,000","-197,091,000","-197,493,000","-200,890,000","-168,566,000","-169,129,000","-170,351,000","-171,441,000","-140,067,000","-140,177,000","-141,212,000","-142,444,000","-120,438,000","-120,204,000","-121,430,000","-122,087,000","-102,181,000","-102,787,000","-103,704,000","-104,053,000","-83,211,000","-83,606,000","-84,603,000","-84,953,000","-70,760,000","-71,498,000","-71,896,000","-73,008,000","-58,614,000","-59,287,000","-59,917,000","-61,033,000","-49,092,000","-50,259,000","-50,802,000","-51,193,000","-45,408,000","-45,613,000","-46,030,000","-46,636,000","-38,470,000","-39,225,000","-39,721,000","-40,777,000","-31,769,000","-31,758,000","-31,492,000","-31,984,000","-27,693,000","-27,484,000","-27,910,000","-28,220,000","-21,637,000","-21,703,000","-21,988,000","-22,256,000","-17,471,000","-17,600,000","-17,747,000","-17,928,000","-15,614,000","-15,759,000","-15,859,000","-16,180,000","-12,227,000","-12,268,000","-12,330,000","-12,469,000","-11,223,000","-11,197,000","-11,273,000","-11,582,000","-10,641,000","-9,639,000","-10,900,000","-11,000,000","-11,200,000","-9,800,000","-10,400,000","-10,700,000","-10,800,000","-9,100,000","-11,600,000","-12,200,000","-10,600,000","-8,200,000","-7,700,000","-9,500,000","-9,600,000","-9,100,000","-11,900,000","-12,000,000","-11,900,000","-11,700,000","-12,100,000","-12,100,000","-12,800,000","-10,900,000","-11,000,000","-10,900,000","-11,000,000","-10,000,000","-9,600,000","-8,500,000","-8,000,000","-8,000,000","-8,100,000","-8,000,000","-8,000,000","-8,000,000","-8,000,000","-8,000,000","-7,000,000","192,200,000","-7,000,000"
			CommonStockDividendPaid,,,,,,,"-50,000","0","0","-278,250,000","-276,470,000","-277,644,000","-278,690,000","-238,758,000","-240,274,000","-241,448,000","-243,578,000","-197,296,000","-197,091,000","-197,493,000","-200,890,000","-168,566,000","-169,129,000","-170,351,000","-171,441,000","-140,067,000","-140,177,000","-141,212,000","-142,444,000","-120,438,000","-120,204,000","-121,430,000","-122,087,000","-102,181,000","-102,787,000","-103,704,000","-104,053,000","-83,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-33,581,000","-32,459,000","-1,070,000","0","-52,000","-24,426,000","-15,971,000","0","-78,000","-55,637,000","-126,000","0","8,000","-23,305,000","5,409,000","-3,182,000","-368,000","-17,873,000","-139,000","-711,000","-842,000","-17,582,000","10,667,000","-2,575,000","11,943,000","37,893,000","10,386,000","20,317,000","5,547,000","28,430,000","35,065,000","38,973,000","-5,930,000","12,833,000","21,472,000","24,615,000","18,258,000","10,653,000","18,517,000","16,582,000","17,403,000","8,600,000","12,080,000","9,349,000","5,027,000","17,388,000","4,656,000","5,317,000","-471,000","15,475,000","-5,463,000","9,542,000","6,047,000","166,000","-92,000","4,936,000","4,529,000","9,506,000","724,000","2,378,000","1,079,000","2,575,000","2,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000",,,,,,,,,,"100,000",,,,,,,,,,,,,,,,"100,000",,,,,,,,"300,000",,,,,"-199,300,000","0"
EndCashPosition,"4,407,522,000","4,295,068,000","6,226,765,000","6,791,596,000","7,106,016,000","8,775,485,000","10,469,570,000","10,581,993,000","6,620,411,000","4,287,835,000","3,216,752,000","2,060,176,000","2,186,382,000","2,235,056,000","3,030,229,000","2,711,767,000","2,872,717,000","2,681,105,000","2,758,477,000","2,364,244,000","2,449,305,000","2,669,495,000","2,929,849,000","2,375,532,000","1,803,648,000","1,944,155,000","2,095,473,000","1,723,336,000","1,910,770,000","2,259,965,000","2,493,775,000","2,153,625,000","2,183,330,000","2,059,296,000","2,149,746,000","2,010,752,000","1,858,798,000","1,989,835,000","1,811,957,000","1,641,915,000","1,620,402,000","1,563,691,000","1,507,112,000","956,932,000","977,763,000","1,377,146,000","1,741,751,000","1,339,065,000","1,380,169,000","1,833,270,000","1,614,607,000","1,445,648,000","1,426,895,000","1,012,495,000","453,527,000","387,351,000","517,493,000","698,115,000","732,612,000","388,131,000","533,786,000","781,210,000","856,669,000","341,636,000","273,717,000","279,882,000","465,649,000","201,019,000","181,689,000","177,750,000","307,187,000","143,411,000","135,585,000","241,510,000","246,403,000","87,622,000","44,008,000","171,452,000","492,330,000","151,939,000","292,644,000","516,859,000","492,776,000","76,088,000","138,617,000","304,687,000","132,535,000","55,481,000","39,400,000","236,009,000","371,759,000","24,600,000","47,200,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	ChangesInCash,"-4,367,963,000","-1,890,038,000","-531,434,000","-297,899,000","-1,648,592,000","-1,710,734,000","-161,736,000","3,982,814,000","2,281,553,000","1,108,923,000","1,147,419,000","-138,725,000","-41,941,000","-777,055,000","314,418,000","-150,967,000","225,589,000","-21,614,000","321,370,000","-44,313,000","-324,078,000","-237,437,000","540,832,000","621,087,000","-88,450,000","-248,365,000","455,174,000","-182,554,000","-304,716,000","-269,531,000","466,258,000","16,480,000","121,598,000","-110,146,000","180,640,000","142,163,000","-110,198,000","198,290,000","164,041,000","9,299,000","78,661,000","41,178,000","564,133,000","-8,445,000","-398,904,000","-387,503,000","394,551,000","-54,239,000","-448,313,000","212,941,000","172,702,000","38,560,000","375,474,000","541,159,000","67,270,000","-38,975,000","-178,872,000","-32,259,000","352,974,000","-121,833,000","-260,233,000","-88,724,000","530,376,000","66,496,000","-6,241,000","-190,953,000","276,885,000","17,258,000","3,640,000","-129,077,000","165,302,000","7,411,000","-106,359,000","-2,603,000","164,470,000","41,813,000","-127,403,000","-320,773,000","342,566,000","-139,027,000","-223,597,000","23,371,000","416,003,000","-64,779,000","-165,832,000","172,471,000","78,219,000","16,081,000","-196,609,000","-135,750,000","347,215,000","-22,700,000","-262,100,000","-151,900,000","305,600,000","97,600,000","-269,400,000","-76,900,000","260,900,000","5,300,000","-258,900,000","-77,600,000","238,600,000","-9,300,000","53,900,000","-17,800,000","182,300,000","7,100,000","-1,400,000","-20,400,000","15,300,000","5,500,000","-9,500,000","-27,900,000","10,900,000","29,400,000","-29,200,000","-59,700,000","81,100,000","3,300,000","1,700,000","-46,800,000","35,600,000","4,500,000","-33,200,000","-22,900,000","40,000,000","16,400,000","-17,300,000","-10,000,000","35,900,000","900,000"
	EffectOfExchangeRateChanges,"-112,454,000","-41,659,000","-33,397,000","-16,521,000","-20,877,000","16,649,000","49,313,000","-21,232,000","51,023,000","-37,840,000","9,157,000","12,519,000","-6,733,000","-18,118,000","4,044,000","-9,983,000","-33,977,000","-55,758,000","72,863,000","-40,748,000","103,888,000","-22,917,000","13,485,000","-49,203,000","-52,057,000","97,047,000","-83,037,000","-4,880,000","-44,479,000","35,721,000","-126,108,000","-46,185,000","2,436,000","19,696,000","-41,646,000","9,791,000","-20,839,000","-20,412,000","6,001,000","12,214,000","-21,950,000","15,401,000","-13,953,000","-12,386,000","-479,000","22,898,000","8,135,000","13,135,000","-4,788,000","5,722,000","-3,743,000","-19,807,000","38,926,000","17,809,000","-1,094,000","-91,167,000","-1,750,000","-2,238,000","-8,493,000","-23,822,000","12,809,000","13,265,000","-15,343,000","1,423,000","76,000","5,186,000","-12,255,000","2,072,000","299,000","-360,000","-1,526,000","415,000","434,000","-2,290,000","-5,689,000","1,801,000","-41,000","-105,000","-2,175,000","-1,678,000","-618,000","712,000","685,000","2,250,000","-238,000","-319,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	BeginningCashPosition,"8,775,485,000","6,226,765,000","6,791,596,000","7,106,016,000","8,775,485,000","10,469,570,000","10,581,993,000","6,620,411,000","4,287,835,000","3,216,752,000","2,060,176,000","2,186,382,000","2,235,056,000","3,030,229,000","2,711,767,000","2,872,717,000","2,681,105,000","2,758,477,000","2,364,244,000","2,449,305,000","2,669,495,000","2,929,849,000","2,375,532,000","1,803,648,000","1,944,155,000","2,095,473,000","1,723,336,000","1,910,770,000","2,259,965,000","2,493,775,000","2,153,625,000","2,183,330,000","2,059,296,000","2,149,746,000","2,010,752,000","1,858,798,000","1,989,835,000","1,811,957,000","1,641,915,000","1,620,402,000","1,563,691,000","1,507,112,000","956,932,000","977,763,000","1,377,146,000","1,741,751,000","1,339,065,000","1,380,169,000","1,833,270,000","1,614,607,000","1,445,648,000","1,426,895,000","1,012,495,000","453,527,000","387,351,000","517,493,000","698,115,000","732,612,000","388,131,000","533,786,000","781,210,000","856,669,000","341,636,000","273,717,000","279,882,000","465,649,000","201,019,000","181,689,000","177,750,000","307,187,000","143,411,000","135,585,000","241,510,000","246,403,000","87,622,000","44,008,000","171,452,000","492,330,000","151,939,000","292,644,000","516,859,000","492,776,000","76,088,000","138,617,000","304,687,000","132,535,000","55,481,000","39,400,000","236,009,000","371,759,000","24,600,000","47,200,000","0","461,200,000","0","0","0","404,400,000","0","0","0","474,700,000","0","0","0","209,200,000","0","0","0","41,600,000","0","0","0","58,100,000","0","0","0","106,700,000","0","0","0","67,300,000","0","0","0","83,300,000","0","0","0","54,300,000","0","0"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-309,300,000","-305,600,000","-97,600,000","269,400,000","-327,500,000","-260,900,000","-5,300,000","258,900,000","-397,100,000","-238,600,000","9,300,000","-53,900,000","-191,400,000","-182,300,000","-7,100,000","1,400,000","-21,200,000","-15,300,000","-5,500,000","9,500,000","-30,200,000","-10,900,000","-29,400,000","29,200,000","-47,000,000","-81,100,000","-3,300,000","-1,700,000","-20,500,000","-35,600,000","-4,500,000","33,200,000","-60,400,000","-40,000,000","-16,400,000","17,300,000","-44,300,000","-35,900,000","-900,000"
CapitalExpenditure,"-1,133,852,000","-314,351,000","-329,252,000","-270,598,000","-219,651,000","-225,293,000","-134,417,000","-123,694,000","-99,385,000","-210,525,000","-230,404,000","-414,694,000","-261,109,000","-316,909,000","-252,176,000","-299,063,000","-308,957,000","-264,943,000","-230,088,000","-320,667,000","-248,347,000","-258,515,000","-257,550,000","-258,762,000","-242,199,000","-266,236,000","-238,713,000","-245,792,000","-203,641,000","-201,234,000","-205,623,000","-280,784,000","-231,754,000","-193,361,000","-187,395,000","-262,269,000","-258,499,000","-238,515,000","-202,631,000","-336,684,000","-184,652,000","-254,261,000","-141,911,000","-222,202,000","-213,164,000","-226,053,000","-166,783,000","-213,495,000","-177,762,000","-149,094,000","-110,334,000","-155,311,000","-97,188,000","-66,449,000","-139,924,000","-184,003,000","-148,243,000","-110,762,000","-120,909,000","-189,081,000","-121,855,000","-95,142,000","-86,173,000","-112,472,000","-83,349,000","-96,017,000","-94,470,000","-182,366,000","-118,466,000","-100,646,000","-142,719,000","-148,202,000","-75,305,000","-62,907,000","-97,715,000","-123,157,000","-100,896,000","-87,269,000","-116,268,000","-121,534,000","-88,155,000","-70,767,000","-152,332,000","-125,789,000","-106,008,000","-65,315,000","-75,686,000","-66,765,000","-60,070,000","-54,484,000","-56,069,000","-66,300,000","-72,600,000","-43,600,000","-55,400,000","-58,100,000","-54,900,000","-39,300,000","-80,500,000","-64,100,000","-47,200,000","-33,800,000","-36,200,000","-33,100,000","-33,000,000","-16,900,000","-25,000,000","-29,300,000","-30,700,000","-26,800,000","-33,300,000","-37,600,000","-32,500,000","-24,400,000","-36,500,000","-34,100,000","-38,800,000","-16,400,000","-32,200,000","-27,200,000","-26,900,000","-21,600,000","-24,800,000","-27,100,000","-20,600,000","-17,000,000","-20,000,000","-19,400,000","-18,100,000","-24,100,000","-20,800,000",
IssuanceOfCapitalStock,"210,955,000","18,055,000","83,046,000","83,883,000","25,971,000","36,539,000","123,468,000","28,189,000","22,088,000","37,444,000","56,821,000","72,810,000","42,703,000","59,772,000","15,633,000","76,123,000","78,924,000","84,561,000","44,489,000","28,380,000","8,785,000","52,033,000","53,288,000","20,926,000","26,043,000","63,933,000","50,656,000","33,385,000","10,678,000","37,314,000","52,676,000","59,859,000","9,961,000","20,509,000","28,809,000","53,376,000","29,564,000","34,746,000","32,827,000","39,678,000","32,951,000","28,315,000","50,995,000","57,164,000","30,853,000","79,987,000","34,279,000","41,413,000","12,377,000","88,090,000","15,767,000","85,305,000","58,545,000","10,245,000","1,021,000","41,448,000","28,004,000","71,681,000","30,590,000","57,800,000","26,751,000","18,968,000","56,319,000","131,474,000","25,347,000","47,057,000","69,620,000","5,497,000","14,534,000","12,787,000","48,369,000","13,625,000","16,423,000","18,444,000",,"23,129,000","7,306,000","2,246,000","9,103,000","10,922,000","3,812,000","10,079,000","24,658,000","17,117,000","12,524,000","10,903,000","22,050,000","379,000","1,573,000","2,099,000","748,000","2,400,000","2,900,000","15,000,000","18,900,000","1,600,000","1,100,000","6,200,000","8,100,000","2,900,000","2,400,000","2,100,000","18,800,000","7,600,000","7,000,000","1,000,000",,,,,"0","100,000","100,000","500,000","700,000","800,000","1,000,000","1,300,000","2,400,000","80,700,000","100,000","24,300,000","100,000","200,000",,,"0",,,,"2,300,000","1,400,000"
