name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002
DilutedEPS,,"-0.08","-0.15","0.12","-0.003","-0.04","-0.34","0.11","0.09","-0.09","0.07","0.17","0.16","0.02","0.41","0.29","0.33","-0.03","0.26","0.04","-0.1","-0.32","0.13","-0.13","-0.19","-0.28","0.28","0.12","-0.18","-0.01","0.07","0.17","-0.21","0.51","0.42","0.42","0.33","-0.18","0.5","0.04","0.22","0.16","0.34","0.15","0.17","-0.1",,"0.36","0.23","-0.6",,"0.29","-0.06","0.47",,"-0.75","-0.57","-0.88","0.22","0.22","0.2",,"0.16","0.17","0.05",,"0.15","0.14","0.14",,"0.11","0.09","0.08"
BasicAverageShares,,"64,947,000","65,916,000","65,570,000","65,194,000","65,661,000","65,753,000","65,571,000","64,954,000","64,376,000","65,994,000","66,799,000","66,272,000","65,438,000","65,305,000","65,122,000","64,694,000","63,928,000","63,811,000","63,759,000","63,185,000","62,485,000","62,558,000","62,895,000","62,668,000","62,258,000","62,260,000","62,206,000","61,733,000","61,041,000","60,823,000","60,644,000","57,158,000","53,737,000","53,518,000","53,374,000","52,977,000","51,970,000","40,114,000","39,785,000","39,712,000","39,017,000","38,891,000","38,807,000","38,557,000","37,392,000",,"35,368,000","33,272,000","32,663,000",,"32,471,000","32,465,000","32,459,000",,"32,387,000","32,385,000","32,381,000","31,773,913","31,030,435","31,109,524",,"30,470,588","31,505,556","30,280,000",,"29,168,750","26,513,333","23,413,333",,"22,991,667","22,220,000","18,966,667"
DilutedAverageShares,,"64,947,000","65,916,000","66,328,000","65,194,000","65,661,000","65,753,000","66,234,000","65,849,000","64,376,000","66,999,000","67,442,000","67,519,000","67,088,000","66,504,000","66,200,000","65,840,000","63,928,000","65,139,000","64,588,000","63,185,000","62,485,000","63,207,000","62,895,000","62,668,000","62,258,000","62,900,000","62,778,000","61,733,000","61,041,000","62,081,000","61,492,000","57,158,000","55,018,000","54,540,000","53,946,000","53,637,000","51,970,000","51,797,000","39,922,000","40,072,000","39,889,000","39,674,000","39,263,000","39,377,000","37,392,000",,"47,679,000","35,006,000","32,663,000",,"33,330,000","32,465,000","42,151,000",,"32,387,000","32,385,000","32,381,000","33,218,182","32,440,909","32,665,000",,"32,375,000","33,358,824","30,280,000",,"31,113,333","28,407,143","25,085,714",,"25,081,818","24,688,889","21,337,500"
TotalOperatingIncomeAsReported,"42,899,000","498,000","6,196,000","24,668,000","11,537,000","4,442,000","22,473,000","37,741,000","42,317,000","6,174,000","28,296,000","29,817,000","15,275,000","14,468,000","43,552,000","33,670,000","29,231,000","7,782,000","36,257,000","17,812,000","3,946,000","-9,385,000","19,383,000","5,525,000","3,749,000","-11,291,000","27,204,000","22,328,000","3,969,000","9,610,000","42,287,000","24,358,000","11,470,000","996,000","39,479,000","37,831,000","31,263,000","13,713,000","35,536,000","16,771,000","26,263,000","20,983,000","27,952,000","18,282,000","21,410,000","18,834,000","22,895,000","30,393,000","23,799,000","-3,982,000","-7,774,000","23,735,000","13,709,000","36,009,000","5,712,000","5,399,000","-7,504,000","-18,633,000","7,567,000","7,666,000","6,641,000","6,116,000","5,055,000","5,352,000","861,000","5,101,000","4,456,000","4,133,000","3,499,000","3,027,000","2,717,000","2,232,000","2,075,000"
TotalExpenses,"848,612,000","217,408,000","227,972,000","200,152,000","203,080,000","196,462,000","326,627,000","290,460,000","266,792,000","281,121,000","310,907,000","295,050,000","309,030,000","300,791,000","286,678,000","270,313,000","277,096,000","281,425,000","282,474,000","262,914,000","270,831,000","270,380,000","276,476,000","253,377,000","258,172,000","256,715,000","253,590,000","261,726,000","291,913,000","259,926,000","269,366,000","258,216,000","265,346,000","256,397,000","216,266,000","186,483,000","191,184,000","191,073,000","193,425,000","184,749,000","186,163,000","175,652,000","184,041,000","181,082,000","173,549,000","157,498,000","163,974,000","156,248,000","156,877,000","176,595,000","180,393,000","162,745,000","155,549,000","139,126,000","155,539,000","159,861,000","169,923,000","168,632,000","70,671,000","67,043,000","65,398,000","62,914,000","58,934,000","54,815,000","52,623,000","47,324,000","44,556,000","42,759,000","40,916,000","39,290,000","37,954,000","36,238,000","34,242,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"13,900,000","286,000","-4,623,000","13,237,000","5,000,000","799,000","-19,922,000","10,175,000","8,494,000","-6,014,000","4,869,000","11,681,000","10,558,000","1,576,000","27,306,000","18,920,000","21,980,000","-2,215,000","17,097,000","2,489,000","-6,427,000","-19,786,000","8,018,000","-8,237,000","-11,705,000","-17,456,000","17,505,000","7,634,000","-11,242,000","-416,000","4,583,000","10,670,000","-12,278,000","27,956,000","22,887,000","22,487,000","17,536,000","-9,153,000","25,889,000","5,471,000","12,607,000","10,035,000","17,179,000","9,451,000","10,475,000","-112,000","13,140,000","17,174,000","11,475,000","-16,208,000","-18,791,000","13,176,000","1,598,000","19,634,000","-18,868,000","-21,136,000","-15,087,000","-25,297,000","7,308,000","7,137,000","6,533,000","6,707,000","5,180,000","5,671,000","1,514,000","5,782,000","4,667,000","3,977,000","3,512,000","3,459,000","2,759,000","2,222,000","1,707,000"
NormalizedIncome,"13,534,000","-844,580","-4,651,200","13,738,510","5,337,990","16,970,770","-21,387,358.067","12,416,100","6,618,630","-4,461,680","5,625,280","10,759,010","9,862,310","2,039,826","28,478,744.399","19,238,681","22,606,340","-1,961,690","14,285,770","2,873,000","-7,733,800","-19,027,730","10,561,400","-7,705,400","-10,320,800","-20,075,600","19,180,200","9,499,760","-9,310,600","-762,200","10,611,200","10,943,609","-7,796,900","30,968,100","33,311,050","22,502,238","18,762,484","-2,005,600","26,268,600","4,805,423","12,930,400","9,458,845","18,260,382.787","10,747,750","9,898,688.301","4,518,600","13,888,150","15,500,319.899","13,427,946.691","-13,804,300","-12,972,429.937","15,620,048.485","3,624,050","23,755,025.443","5,522,600","-21,335,550","-13,209,181.515","-25,278,800","7,308,000","7,137,000","6,533,000","6,371,422.026","5,180,000","5,671,000","4,295,000","5,782,000","4,667,000","3,977,000","3,512,000","-118,107.959","3,411,321.705","2,222,000","1,707,000"
InterestIncome,"409,000","199,000","86,000","101,000","23,000","23,000","416,000","536,000","839,000","1,017,000","1,103,000","1,404,000","1,687,000","1,426,000","1,531,000","1,319,000","1,134,000","793,000","684,000","654,000","809,000","330,000","353,000","229,000","313,000","153,000","498,000","335,000","463,000","194,000","387,000","208,000","250,000","225,000","400,000","242,000","166,000","155,000","152,000","125,000","124,000","130,000","214,000","153,000","146,000","148,000","145,000","109,000","117,000","83,000","35,000","336,000","98,000","147,000","315,000","481,000","529,000","547,000",,,,,,,,,,,,,,,
InterestExpense,"6,807,000","1,501,000","1,605,000","1,502,000","2,199,000","5,019,000","9,283,000","9,731,000","10,263,000","10,698,000","10,235,000","10,102,000","10,107,000","9,934,000","9,674,000","8,686,000","9,922,000","9,062,000","8,962,000","8,891,000","9,118,000","8,988,000","8,986,000","8,708,000","8,724,000","8,544,000","8,520,000","8,467,000","8,561,000","8,337,000","8,558,000","8,494,000","9,383,000","10,226,000","7,793,000","7,416,000","7,383,000","7,188,000","7,751,000","7,698,000","7,867,000","7,718,000","7,802,000","7,905,000","7,857,000","8,794,000","9,071,000","8,941,000","5,936,000","5,948,000","6,064,000","6,178,000","6,369,000","6,353,000","7,811,000","9,794,000","9,694,000","9,912,000",,,,,,,,,,,,,,,
NetInterestIncome,"-6,398,000","-1,302,000","-1,519,000","-1,401,000","-2,176,000","-4,996,000","-8,867,000","-9,195,000","-9,424,000","-9,681,000","-9,132,000","-8,698,000","-8,420,000","-8,508,000","-8,143,000","-7,367,000","-8,788,000","-8,269,000","-8,278,000","-8,237,000","-8,309,000","-8,658,000","-8,633,000","-8,479,000","-8,411,000","-8,391,000","-8,022,000","-8,132,000","-8,098,000","-8,143,000","-8,171,000","-8,286,000","-9,133,000","-10,001,000","-7,393,000","-7,174,000","-7,217,000","-7,033,000","-7,599,000","-7,573,000","-7,743,000","-7,588,000","-7,588,000","-7,752,000","-7,711,000","-8,646,000","-8,926,000","-8,832,000","-5,819,000","-5,865,000","-6,029,000","-5,842,000","-6,271,000","-6,206,000","-7,496,000","-9,313,000","-9,165,000","-9,365,000",,,,,,,,,,,,,,,
