name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,09/30/2020,06/30/2020,03/31/2020
OperatingCashFlow,"2,819,000","3,308,000","30,635,000","-14,209,000","-16,915,000","9,909,000","11,188,000","-37,317,000","2,396,000"
	CashFlowFromContinuingOperatingActivities,"2,819,000","3,308,000","30,635,000","-14,209,000","-16,915,000","9,909,000","11,188,000","-37,317,000","2,396,000"
		NetIncomeFromContinuingOperations,"-360,843,000","-62,328,000","-108,030,000","-120,452,000","-70,033,000","-8,682,000","-3,294,000","-4,342,000","2,653,000"
		OperatingGainsLosses,,,"8,820,000","0",,,"0","3,066,000",
		DepreciationAmortizationDepletion,"57,592,000","15,684,000","15,357,000","13,777,000","12,774,000","12,228,000","10,910,000","5,432,000","2,175,000"
			DepreciationAndAmortization,"57,592,000","15,684,000","15,357,000","13,777,000","12,774,000","12,228,000","10,910,000","5,432,000","2,175,000"
		DeferredTax,,,"-26,945,000","0","0","0","0","2,866,000","703,000"
			DeferredIncomeTax,,,"-26,945,000","0","0","0","0","2,866,000","703,000"
		StockBasedCompensation,"318,689,000","59,855,000","108,630,000","120,689,000","29,515,000","605,000","573,000","292,000","0"
		OtherNonCashItems,"13,426,000","729,000","1,446,000","1,323,000","9,928,000","710,000","134,000","186,000","-171,000"
		ChangeInWorkingCapital,"-13,540,000","-10,632,000","31,357,000","-29,546,000","-4,719,000","5,048,000","2,865,000","-44,817,000","-2,964,000"
			ChangeInReceivables,"-39,218,000","-18,121,000","-3,502,000","-8,880,000","-8,715,000","-3,116,000","-2,476,000","-2,463,000","-5,514,000"
				ChangesInAccountReceivables,"-39,218,000","-18,121,000","-3,502,000","-8,880,000","-8,715,000","-3,116,000","-2,476,000","-2,463,000","-5,514,000"
			ChangeInPrepaidAssets,"-33,144,000","-12,065,000","3,767,000","-17,924,000","-6,922,000","-8,042,000","-2,074,000","-4,394,000","-3,860,000"
			ChangeInPayablesAndAccruedExpense,"58,822,000","19,554,000","31,092,000","-2,742,000","10,918,000","16,206,000","7,415,000","-37,960,000","6,410,000"
				ChangeInPayable,"-539,000","1,852,000","5,236,000","-6,874,000","-753,000","3,014,000","165,000","891,000","-3,742,000"
					ChangeInAccountPayable,"-539,000","1,852,000","5,236,000","-6,874,000","-753,000","3,014,000","165,000","891,000","-3,742,000"
				ChangeInAccruedExpense,"59,361,000","17,702,000","25,856,000","4,132,000","11,671,000","13,192,000","7,250,000","-38,851,000","10,152,000"
InvestingCashFlow,"-233,096,000","-50,855,000","-79,562,000","-43,585,000","-59,094,000","-11,835,000","-20,234,000","-671,213,000","-17,026,000"
	CashFlowFromContinuingInvestingActivities,"-233,096,000","-50,855,000","-79,562,000","-43,585,000","-59,094,000","-11,835,000","-20,234,000","-671,213,000","-17,026,000"
		NetPPEPurchaseAndSale,"-111,321,000","-27,910,000","-38,677,000","-24,012,000","-20,722,000","-11,081,000","-9,533,000","-5,120,000","-8,643,000"
			PurchaseOfPPE,"-111,321,000","-27,910,000","-38,677,000","-24,012,000","-20,722,000","-11,081,000","-9,533,000","-5,120,000","-8,643,000"
		NetBusinessPurchaseAndSale,"-121,775,000","-22,945,000","-40,885,000","-19,573,000","-38,372,000","-754,000","-10,701,000","-666,093,000","-8,383,000"
			PurchaseOfBusiness,"-121,775,000","-22,945,000","-40,885,000","-19,573,000","-38,372,000","-754,000","-10,701,000","-666,093,000","-8,383,000"
FinancingCashFlow,"304,773,000","13,508,000","-15,167,000","-6,270,000","312,702,000","22,591,000","20,310,000","722,334,000","31,421,000"
	CashFlowFromContinuingFinancingActivities,"304,773,000","13,508,000","-15,167,000","-6,270,000","312,702,000","22,591,000","20,310,000","722,334,000","31,421,000"
		NetIssuancePaymentsOfDebt,"-218,336,000","19,669,000","-330,000","-331,000","-237,344,000","25,415,000","-590,000","97,360,000","34,572,000"
			NetLongTermDebtIssuance,"-218,336,000","19,669,000","-330,000","-331,000","-237,344,000","25,415,000","-590,000","97,360,000","34,572,000"
				LongTermDebtIssuance,"92,600,000","20,000,000","0","0","72,600,000","26,200,000","0","235,900,000","52,750,000"
				LongTermDebtPayments,"-310,936,000","-331,000","-330,000","-331,000","-309,944,000","-785,000","-590,000","-138,540,000","-18,178,000"
		NetCommonStockIssuance,,,"0","-5,264,000",,,"21,000,000","0",
			CommonStockIssuance,,,"0","-5,264,000",,,"21,000,000","0",
		NetPreferredStockIssuance,,,"0","0","0","0","0","0","-1,000,000"
			PreferredStockPayments,,,"0","0","0","0","0","0","-1,000,000"
		NetOtherFinancingCharges,"-26,796,000","-6,161,000","-14,837,000","-675,000","-5,123,000","-2,824,000","-100,000","624,974,000","-2,151,000"
EndCashPosition,"113,990,000","113,990,000","148,029,000","212,123,000","276,187,000","39,494,000","25,068,000","13,804,000","20,272,000"
	ChangesInCash,"74,496,000","-34,039,000","-64,094,000","-64,064,000","236,693,000","20,665,000","11,264,000","13,804,000","16,791,000"
	BeginningCashPosition,"39,494,000","148,029,000","212,123,000","276,187,000","39,494,000","18,829,000","13,804,000","0","3,481,000"
IncomeTaxPaidSupplementalData,,,"185,000","8,000","897,000","3,000","144,000","0","0"
InterestPaidSupplementalData,"18,700,000","3,091,000","-5,802,000","3,328,000","18,083,000","6,806,000","5,782,000","2,773,000","1,467,000"
CapitalExpenditure,"-111,321,000","-27,910,000","-38,677,000","-24,012,000","-20,722,000","-11,081,000","-9,533,000","-5,120,000","-8,643,000"
IssuanceOfCapitalStock,,,"0","-5,264,000",,,"21,000,000","0",
IssuanceOfDebt,"92,600,000","20,000,000","0","0","72,600,000","26,200,000","0","235,900,000","52,750,000"
RepaymentOfDebt,"-310,936,000","-331,000","-330,000","-331,000","-309,944,000","-785,000","-590,000","-138,540,000","-18,178,000"
RepurchaseOfCapitalStock,,,"0","0","0","0","0","0","-1,000,000"
FreeCashFlow,"-108,502,000","-24,602,000","-8,042,000","-38,221,000","-37,637,000","-1,172,000","1,655,000","-42,437,000","-6,247,000"
