name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
OperatingExpense,"111,809,000","26,051,000","32,439,000","24,353,000","28,966,000","15,128,000","29,783,000","21,538,000","16,454,000","12,379,000","16,221,000","16,309,000","7,609,000","5,512,000","2,968,000","1,727,000","8,662,000","421,000"
	SellingGeneralAndAdministration,"20,138,000","5,537,000","4,728,000","4,883,000","4,990,000","4,526,000","4,074,000","4,159,000","3,417,000","3,588,000","3,083,000","2,424,000","1,649,000","1,449,000","985,000","474,000","242,000","195,000"
		GeneralAndAdministrativeExpense,"20,138,000","5,537,000","4,728,000","4,883,000","4,990,000","4,526,000","4,074,000","4,159,000","3,417,000","3,588,000","3,083,000","2,424,000","1,649,000","1,449,000","985,000","474,000","242,000","195,000"
			SalariesAndWages,,,,,,,,,,,,,,"783,000",,,,"154,000"
			OtherGandA,"20,138,000","5,537,000","4,728,000","4,883,000","4,990,000","4,526,000","4,074,000","4,159,000","3,417,000","3,588,000","3,083,000","2,424,000","1,649,000","666,000","-91,000","474,000","242,000","41,000"
	ResearchAndDevelopment,"91,671,000","20,514,000","27,711,000","19,470,000","23,976,000","10,602,000","25,709,000","17,379,000","13,037,000","8,791,000","13,138,000","13,885,000","5,960,000","4,063,000","1,983,000","1,253,000","8,420,000","226,000"
OperatingIncome,"-111,809,000","-26,051,000","-32,439,000","-24,353,000","-28,966,000","-15,128,000","-29,783,000","-21,538,000","-16,454,000","-12,379,000","-16,221,000","-16,309,000","-7,609,000","-5,512,000","-2,968,000","-1,727,000","-8,662,000","-421,000"
NetNonOperatingInterestIncomeExpense,,"22,000",,,,,,"135,000","247,000","493,000",,,,,,,,
	InterestIncomeNonOperating,,"22,000",,,,,,"135,000","247,000","493,000",,,,,,,,
OtherIncomeExpense,,,"15,000","23,000","33,000","38,000","72,000",,,,"610,000","755,000","381,000","150,000","-58,504,000","-9,421,000","-11,000",
	OtherNonOperatingIncomeExpenses,,,"15,000","23,000","33,000","38,000","72,000",,,,"610,000","755,000","381,000","150,000","-58,504,000","-9,421,000","-11,000",
PretaxIncome,"-111,716,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,711,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000","-15,554,000","-7,228,000","-5,362,000","-61,472,000","-11,148,000","-8,673,000","-421,000"
NetIncomeCommonStockholders,"-111,716,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,711,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000","-15,554,000","-7,228,000","-5,362,000","999,000","-11,399,000","-8,743,000","-421,000"
	NetIncome,"-111,716,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,711,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000","-15,554,000","-7,228,000","-5,362,000","-61,472,000","-11,148,000","-8,673,000","-421,000"
		NetIncomeIncludingNoncontrollingInterests,"-111,716,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,711,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000","-15,554,000","-7,228,000","-5,362,000","-61,472,000","-11,148,000","-8,673,000","-421,000"
			NetIncomeContinuousOperations,"-111,716,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,711,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000","-15,554,000","-7,228,000","-5,362,000","-61,472,000","-11,148,000","-8,673,000","-421,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,"0","0","0",,"-62,471,000","251,000","70,000",
DilutedNIAvailtoComStockholders,"-111,716,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,711,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000","-15,554,000","-7,228,000","-5,362,000","999,000","-11,399,000","-8,743,000","-421,000"
BasicEPS,,"-0.74","-0.93","-0.7","-0.83","-0.43","-0.86","-0.63","-0.57","-0.42","-0.55","-0.56","-2.21","-0.25",,"-0.537","-0.412","-0.02"
DilutedEPS,,"-0.74","-0.93","-0.7","-0.83","-0.43","-0.86","-0.63","-0.57","-0.42","-0.55","-0.56","-2.21","-0.25",,"-0.537","-0.412","-0.02"
BasicAverageShares,,"35,005,501","34,886,574","34,862,116","34,814,631","34,744,275","34,684,466","34,002,769","28,602,976","28,499,475","28,335,405","28,024,779","3,268,390","21,224,207",,"21,224,207","21,224,207","21,224,207"
DilutedAverageShares,,"35,005,501","34,886,574","34,862,116","34,814,631","34,744,275","34,684,466","34,002,769","28,602,976","28,499,475","28,335,405","28,024,779","3,268,390","21,224,207",,"21,224,207","21,224,207","21,224,207"
TotalOperatingIncomeAsReported,"-111,809,000","-26,051,000","-32,439,000","-24,353,000","-28,966,000","-15,128,000","-29,783,000","-21,538,000","-16,454,000","-12,379,000","-16,221,000","-16,309,000","-7,609,000","-5,512,000","-2,968,000","-1,727,000","-8,662,000","-421,000"
TotalExpenses,"111,809,000","26,051,000","32,439,000","24,353,000","28,966,000","15,128,000","29,783,000","21,538,000","16,454,000","12,379,000","16,221,000","16,309,000","7,609,000","5,512,000","2,968,000","1,727,000","8,662,000","421,000"
