name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,09/30/2020,08/31/2020
TotalAssets,"414,908,102","414,777,497","414,834,116","415,106,054","415,241,631","283,557","60,000"
	CurrentAssets,"569,683","609,830","703,255","1,019,129","1,224,733",,
		CashCashEquivalentsAndShortTermInvestments,"5,290","5,290","108,676","425,128","631,058",,
			CashAndCashEquivalents,"5,290","5,290","108,676","425,128","631,058",,
				CashFinancial,"5,290","5,290","108,676","425,128","631,058",,
		PrepaidAssets,"564,393","604,540","594,579","594,001","593,675",,
	TotalNonCurrentAssets,"414,338,419","414,167,667","414,130,861","414,086,925","414,016,898","283,557","60,000"
		NonCurrentDeferredAssets,,"0","0","0","0","283,557","60,000"
		OtherNonCurrentAssets,"414,338,419","414,167,667","414,130,861","414,086,925","414,016,898",,
TotalLiabilitiesNetMinorityInterest,"21,627,030","29,611,452","32,375,793","39,177,253","30,044,330","263,557","40,000"
	CurrentLiabilities,"1,147,563","870,652","1,363,127","316,320","477,397","263,557","40,000"
		PayablesAndAccruedExpenses,"680,611","616,504","1,363,127","316,320","477,397","190,029","40,000"
			Payables,"680,611","616,504","1,363,127","316,320","174,794",,
				AccountsPayable,"680,611","616,504","1,363,127","316,320","174,794",,
			CurrentAccruedExpenses,,"0","0","0","302,603","190,029","40,000"
		CurrentDebtAndCapitalLeaseObligation,"466,952","254,148",,,,"73,528",
			CurrentDebt,"466,952","254,148",,,,"73,528",
				CurrentNotesPayable,"466,952","254,148","0","0","0","73,528","0"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"20,479,467","28,740,800","31,012,666","38,860,933","29,566,933","0","0"
		NonCurrentDeferredLiabilities,,,"14,490,000","14,490,000","14,490,000",,
		TradeandOtherPayablesNonCurrent,"14,490,000","14,490,000","14,490,000","14,490,000","14,490,000",,
		DerivativeProductLiabilities,"5,989,467","14,250,800","16,522,666","24,370,933","15,076,933",,
TotalEquityGrossMinorityInterest,"393,281,072","385,166,045","382,458,323","375,928,801","385,197,301","20,000","20,000"
	StockholdersEquity,"393,281,072","385,166,045","382,458,323","375,928,801","385,197,301","20,000","20,000"
		CapitalStock,"414,001,035","414,001,035","414,001,035","370,930,266","380,198,673","1,035","863"
			PreferredStock,"0","0","0","0","0","0","0"
			CommonStock,"414,001,035","414,001,035","414,001,035","370,930,266","380,198,673","1,035","863"
		AdditionalPaidInCapital,"0","0","0","425,584","-8,842,823","23,965","24,137"
		RetainedEarnings,"-20,719,963","-28,834,990","-31,542,712","4,572,951","13,841,451","-5,000","-5,000"
TotalCapitalization,"393,281,072","385,166,045","382,458,323","375,928,801","385,197,301","20,000","20,000"
CommonStockEquity,"393,281,072","385,166,045","382,458,323","375,928,801","385,197,301","20,000","20,000"
NetTangibleAssets,"393,281,072","385,166,045","382,458,323","375,928,801","385,197,301","20,000","20,000"
WorkingCapital,"-577,880","-260,822","-659,872","702,809","747,336",,
InvestedCapital,"393,748,024","385,420,193","382,458,323","375,928,801","385,197,301","93,528","20,000"
TangibleBookValue,"393,281,072","385,166,045","382,458,323","375,928,801","385,197,301","20,000","20,000"
TotalDebt,"466,952","254,148",,,,"73,528",
NetDebt,"461,662","248,858",,,,"73,528",
ShareIssued,"51,750,000","51,750,000","51,750,000","51,750,000","51,750,000","51,750,000",
OrdinarySharesNumber,"51,750,000","51,750,000","51,750,000","51,750,000","51,750,000","51,750,000",
