name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006
PretaxIncome,"375,897,000","70,300,000","104,521,000","96,240,000","104,836,000","58,028,000","79,969,000","79,702,000","35,874,000","-179,702,000","14,765,000","29,890,000","41,687,000","44,470,000","11,560,000","72,521,000","56,747,000","33,538,000","73,530,000","39,470,000","45,003,000","37,088,000","47,783,000","42,653,000","32,684,000","14,549,000","5,859,000","17,431,000","37,326,000","35,133,000","19,880,000","24,531,000","33,725,000","28,899,000","17,824,000","28,529,000","24,787,000","25,680,000","28,265,000","36,136,000","25,149,000","25,715,000","24,549,555","14,575,563","19,745,838","11,523,135","15,187,407","11,854,794","9,204,911","4,663,873","147,471","5,664,691","4,264,749","-410,523","-315,632","2,728,074","1,879,773","3,459,324",,,"1,330,897","1,779,474",,
TaxProvision,"37,278,000","5,097,000","10,172,000","12,284,000","9,726,000","682,000","712,000","1,507,000","-7,495,000","-8,264,000","-1,249,000","-4,012,000","3,433,000","3,069,000","2,055,000","3,781,000","1,296,000","-979,000","12,088,000","4,571,000","2,174,000","5,638,000","-209,000","-528,000","1,773,000","-2,263,000","-1,683,000","-3,237,000","-3,476,000","-291,000","-2,114,000","2,962,000","3,775,000","1,665,000","-3,343,000","475,000","783,000","2,051,000","3,779,000","4,169,000","996,000","1,876,000","2,985,560","139,490","1,962,206","1,200,405","160,727","358,647","36,686","384,574","-1,500,277","-1,372,451","525,612","57,275","-885,136","54,371","-2,608,324","256,688",,,"0","0",,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"338,619,000","65,203,000","94,349,000","83,956,000","95,110,000","57,346,000","79,257,000","78,195,000","43,369,000","-171,438,000","16,014,000","33,902,000","38,254,000","41,401,000","9,505,000","68,740,000","55,451,000","34,517,000","61,442,000","34,899,000","42,829,000","31,450,000","47,992,000","43,181,000","30,911,000","16,812,000","7,542,000","20,668,000","40,802,000","35,424,000","21,994,000","21,569,000","29,950,000","27,234,000","21,167,000","28,054,000","24,004,000","23,629,000","24,486,000","31,967,000","24,153,000","23,785,000","20,582,357","14,436,073","17,626,032","10,322,730","9,871,351","10,943,302","8,872,666","9,056,545","1,647,748","7,037,142","3,739,137","-467,798","569,504","2,673,703","4,488,097","3,202,636","-3,274,436","2,708,941","1,330,897","1,779,474","2,690,886","6,731,463"
	NetIncome,"338,619,000","65,203,000","94,349,000","83,956,000","95,110,000","57,346,000","79,257,000","78,195,000","43,369,000","-171,438,000","16,014,000","33,902,000","38,254,000","41,401,000","9,505,000","68,740,000","55,451,000","34,517,000","61,442,000","34,899,000","42,829,000","31,450,000","47,992,000","43,181,000","30,911,000","16,812,000","7,542,000","20,668,000","40,802,000","35,424,000","21,994,000","21,569,000","29,950,000","27,234,000","21,167,000","28,054,000","24,004,000","23,629,000","24,486,000","31,967,000","24,153,000","23,785,000","20,582,357","14,436,073","17,626,032","10,322,730","9,871,351","10,943,302","8,872,666","9,056,545","1,647,748","7,037,142","3,739,137","-467,798","569,504","2,673,703","4,488,097","3,202,636","-3,274,436","2,708,941","1,330,897","1,779,474","2,690,886","6,731,463"
		NetIncomeIncludingNoncontrollingInterests,"338,619,000","65,203,000","94,349,000","83,956,000","95,110,000","57,346,000","79,257,000","78,195,000","43,369,000","-171,438,000","16,014,000","33,902,000","38,254,000","41,401,000","9,505,000","68,740,000","55,451,000","34,517,000","61,442,000","34,899,000","42,829,000","31,450,000","47,992,000","43,181,000","30,911,000","16,812,000","7,542,000","20,668,000","40,802,000","35,424,000","21,994,000","21,569,000","29,950,000","27,234,000","21,167,000","28,054,000","24,004,000","23,629,000","24,486,000","31,967,000","24,153,000","23,839,000","21,563,995","14,436,073","17,783,632","10,322,730","10,136,098","11,496,147","9,168,225","9,169,881","1,647,748","7,037,142","3,739,137","-467,798","569,504","2,673,703","4,488,097","3,202,636","-3,274,436","2,708,941","1,330,897","1,779,474","2,690,886","6,731,463"
			NetIncomeContinuousOperations,"338,619,000","65,203,000","94,349,000","83,956,000","95,110,000","57,346,000","79,257,000","78,195,000","43,369,000","-171,438,000","16,014,000","33,902,000","38,254,000","41,401,000","9,505,000","68,740,000","55,451,000","34,517,000","61,442,000","34,899,000","42,829,000","31,450,000","47,992,000","43,181,000","30,911,000","16,812,000","7,542,000","20,668,000","40,802,000","35,424,000","21,994,000","21,569,000","29,950,000","27,234,000","21,167,000","28,054,000","24,004,000","23,629,000","24,486,000","31,967,000","24,153,000","23,839,000","21,563,995","14,436,073","17,783,632","10,322,730","10,136,098","11,496,147","9,168,225","9,169,881","1,647,748","7,037,142","3,739,137","-467,798","569,504","2,673,703","4,488,097","3,202,636","-3,274,436","2,708,941","1,330,897","1,779,474","2,690,886","6,731,463"
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-54,000","-981,638","0","-157,600","0","-264,747","-552,845","-295,559","-113,336",,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"338,619,000","65,203,000","94,349,000","83,956,000","95,110,000","57,346,000","79,257,000","78,195,000","43,369,000","-171,438,000","16,014,000","33,902,000","38,254,000","41,401,000","9,505,000","68,740,000","55,451,000","34,517,000","61,442,000","34,899,000","42,829,000","31,450,000","47,992,000","43,181,000","30,911,000","16,812,000","7,542,000","20,668,000","40,802,000","35,424,000","21,994,000","21,569,000","29,950,000","27,234,000","21,167,000","28,054,000","24,004,000","23,629,000","24,486,000","31,967,000","24,153,000","23,785,000","20,582,357","14,436,073","17,626,032","10,322,730","9,871,351","10,943,302","8,872,666","9,056,545","1,647,748","7,037,142","3,739,137","-467,798","569,504","2,673,703","4,488,097","3,202,636","-3,274,436","2,708,941","1,330,897","1,779,474","2,690,886","6,731,463"
BasicEPS,,"0.91","1.34","1.22","1.39","0.84","1.19","1.18","0.66","-2.66","0.25","0.54","0.61","0.67","0.16","1.13","0.93","0.59","1.05","0.61","0.76","0.57","0.9","0.82","0.6","0.33","0.15","0.41","0.82","0.77","0.49","0.48","0.68","0.68","0.53","0.76","0.69","0.68","0.76","1.01","0.88","0.89",,"0.62","0.77","0.54",,"0.65","0.59","0.63",,"0.66","0.39","-0.05",,"0.3","0.5","0.36",,"0.318","0.16","0.21",,"0.789"
DilutedEPS,,"0.91","1.34","1.22","1.39","0.84","1.19","1.18","0.66","-2.66","0.25","0.54","0.61","0.67","0.16","1.13","0.93","0.59","1.05","0.61","0.76","0.57","0.9","0.82","0.6","0.33","0.15","0.41","0.82","0.77","0.49","0.48","0.68","0.68","0.53","0.76","0.69","0.68","0.76","1.01","0.88","0.89",,"0.62","0.77","0.54",,"0.65","0.59","0.63",,"0.66","0.39","-0.05",,"0.3","0.5","0.36",,"0.318","0.16","0.21",,"0.789"
BasicAverageShares,,"71,708,326","70,158,447","69,021,826","68,514,683","68,126,576","66,856,103","66,110,555","65,303,580","64,536,471","63,775,000","63,297,943","62,880,035","61,864,688","61,186,693","60,807,096","59,828,751","58,852,252","58,326,827","57,109,104","56,166,782","55,125,170","53,473,204","52,613,277","51,441,371","50,549,780","50,229,465","50,036,776","49,883,321","46,080,204","44,992,123","44,910,756","44,216,906","39,898,573","39,762,050","37,144,693","34,803,729","34,699,505","32,292,734","31,578,742","27,365,758","26,871,084",,"23,194,896","23,015,718","19,217,690",,"16,878,088","15,147,091","14,356,785",,"10,701,603","9,520,314","9,125,440",,"8,972,985","8,959,718","8,959,718",,"8,526,726","8,526,726","8,526,726",,"8,526,726"
DilutedAverageShares,,"71,708,326","70,158,447","69,021,826","68,514,683","68,126,576","66,856,103","66,110,555","65,303,580","64,536,471","63,775,000","63,297,943","62,880,035","61,864,688","61,186,693","60,807,096","59,828,751","58,852,252","58,326,827","57,109,104","56,166,782","55,125,170","53,473,204","52,613,277","51,441,371","50,549,780","50,229,465","50,036,776","49,883,321","46,080,204","44,992,123","44,910,756","44,216,906","39,898,573","39,762,050","37,144,693","34,803,729","34,699,505","32,292,734","31,578,742","27,365,758","26,871,084",,"23,194,896","23,015,718","19,217,690",,"16,878,088","15,147,091","14,356,785",,"10,701,603","9,520,314","9,125,440",,"8,973,091","8,959,718","8,959,718",,"8,526,726","8,526,726","8,526,726",,"8,526,726"
TotalOperatingIncomeAsReported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,522,000","12,826,000","12,849,000","11,929,628","10,361,362","9,615,091","7,392,482","6,540,747","4,757,564","4,742,088","3,220,253","2,493,382","2,625,041","1,987,140","2,116,266","2,694,550","2,529,950","2,586,575","2,504,062",,,"970,897","1,170,179",,
TotalExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,509,000","3,836,000","3,846,000","4,105,715","3,009,238","3,249,864","3,079,885","2,466,128","1,965,129","1,878,263","1,879,349","854,395","919,144","671,353","544,824","895,530","997,042","669,130","678,897","-2,088,584","1,382,239","1,330,799","535,744","-1,502,760","1,221,726"
NetIncomeFromContinuingAndDiscontinuedOperation,"338,619,000","65,203,000","94,349,000","83,956,000","95,110,000","57,346,000","79,257,000","78,195,000","43,369,000","-171,438,000","16,014,000","33,902,000","38,254,000","41,401,000","9,505,000","68,740,000","55,451,000","34,517,000","61,442,000","34,899,000","42,829,000","31,450,000","47,992,000","43,181,000","30,911,000","16,812,000","7,542,000","20,668,000","40,802,000","35,424,000","21,994,000","21,569,000","29,950,000","27,234,000","21,167,000","28,054,000","24,004,000","23,629,000","24,486,000","31,967,000","24,153,000","23,785,000","20,582,357","14,436,073","17,626,032","10,322,730","9,871,351","10,943,302","8,872,666","9,056,545","1,647,748","7,037,142","3,739,137","-467,798","569,504","2,673,703","4,488,097","3,202,636","-3,274,436","2,708,941","1,330,897","1,779,474","2,690,886","6,731,463"
NormalizedIncome,"338,619,000","65,203,000","94,349,000","83,956,000","95,110,000","57,346,000","79,257,000","78,195,000","43,369,000","-171,438,000","16,014,000","33,902,000","38,254,000","41,401,000","9,505,000","68,740,000","55,451,000","34,517,000","61,442,000","34,899,000","42,829,000","31,450,000","47,992,000","43,181,000","30,911,000","16,812,000","7,542,000","20,668,000","40,802,000","35,424,000","21,994,000","21,569,000","29,950,000","27,234,000","21,167,000","28,054,000","24,004,000","23,629,000","24,486,000","31,967,000","24,153,000","23,785,000","20,582,357","13,129,992.137","8,726,854.276","10,322,730","9,871,351","1,088,792.589","8,872,666","9,056,545","1,647,748","5,164,290.5","2,115,967.581","1,755,860.45","569,504","6,713,638.033","5,011,968.4","2,884,150.303","-3,274,436","2,708,941","820,897","1,917,070","2,690,886","6,731,463"
InterestIncome,"210,255,000","79,395,000","53,785,000","50,468,000","45,944,000","43,471,000","45,089,000","42,138,000","41,574,000","44,877,000","46,649,000","46,192,000","47,222,000","47,320,000","46,874,000","46,351,000","44,265,000","39,612,000","44,594,000","39,814,000","39,065,000","38,463,000","37,508,000","35,585,000","33,456,000","32,313,000","34,463,000","34,396,000","33,019,000","30,441,000","9,182,000","36,351,000","34,877,000","30,776,000","12,781,000","29,659,000","27,800,000","25,644,000","78,553,000","3,923,000","4,180,000","3,864,000","56,358,265","3,715,733","3,263,807","2,902,205","30,119,540","2,283,262","2,111,868","1,993,237","13,171,922","957,413","941,577","931,335","14,561,252","930,332","921,206","844,407",,,"840,588","706,654",,
InterestExpense,"61,719,000","16,687,000","15,922,000","14,711,000","14,400,000","13,804,000","12,760,000","12,489,000","11,898,000","12,441,000","13,120,000","12,893,000","12,329,000","11,916,000","11,511,000","10,884,000","10,833,000","10,265,000","9,659,000","9,420,000","8,793,000","8,608,000","8,620,000","8,573,000","8,255,000","8,182,000","8,360,000","8,302,000","7,657,000","7,796,000","6,876,000","5,954,000","5,473,000","5,286,000","4,892,000","5,922,000","5,542,000","3,882,000","3,664,000","3,923,000","4,180,000","3,864,000","3,636,459","3,715,733","3,263,807","2,902,205","2,670,019","2,283,262","2,111,868","1,993,237","960,377","957,413","941,577","931,335","1,043,745","930,332","921,206","844,407",,,"840,588","706,654",,
NetInterestIncome,"148,536,000","62,708,000","37,863,000","35,757,000","31,544,000","29,667,000","32,329,000","29,649,000","29,676,000","32,436,000","33,529,000","33,299,000","34,893,000","35,404,000","35,363,000","35,467,000","33,432,000","29,347,000","34,935,000","30,394,000","30,272,000","29,855,000","28,888,000","27,012,000","25,201,000","24,131,000","26,103,000","26,094,000","25,362,000","22,645,000","2,306,000","30,397,000","29,404,000","25,490,000","7,889,000","23,737,000","22,258,000","21,762,000","86,856,000","-3,923,000","-4,180,000","-3,864,000","62,603,551","-3,715,733","-3,263,807","-654,923","32,043,609","-2,283,262","-2,111,868","-1,167,715","13,727,825","-270,312","-597,427","-648,541","16,251,681","-930,332","-921,206","-844,407",,,"-840,588","-706,654",,
ReconciledCostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"0","0",,
ReconciledDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,130,653",,,,,,,,,,,,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"338,619,000","65,203,000","94,349,000","83,956,000","95,110,000","57,346,000","79,257,000","78,195,000","43,369,000","-171,438,000","16,014,000","33,902,000","38,254,000","41,401,000","9,505,000","68,740,000","55,451,000","34,517,000","61,442,000","34,899,000","42,829,000","31,450,000","47,992,000","43,181,000","30,911,000","16,812,000","7,542,000","20,668,000","40,802,000","35,424,000","21,994,000","21,569,000","29,950,000","27,234,000","21,167,000","28,054,000","24,004,000","23,629,000","24,486,000","31,967,000","24,153,000","23,785,000","20,582,357","14,436,073","17,626,032","10,322,730","9,871,351","10,943,302","8,872,666","9,056,545","1,647,748","7,037,142","3,739,137","-467,798","569,504","2,673,703","4,488,097","3,202,636","-3,274,436","2,708,941","1,330,897","1,779,474","2,690,886","6,731,463"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,419,196","1,318,701","9,881,093",,,"10,161,942",,"5,504,077","6,930,471","2,881,310","1,851,339","-3,421,013","622,941","-4,122,089","-805,956","344,012",,,"510,000","-137,596",,
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,419,196","1,318,701","9,881,093",,,"10,161,942",,"5,504,077","6,930,471","2,881,310","1,851,339","-3,421,013","622,941","-4,122,089","-805,956","344,012",,,"510,000","-137,596",,
TaxRateForCalcs,"0.099","0.073","0.097","0.128","0.093","0.012","0.009","0.019","0.27","0.046","0.27","0.27","0.082","0.069","0.178","0.052","0.023","0.27","0.164","0.116","0.048","0.152","0.4","0.4","0.054","0.4","0.4","0.4","0.4","0.4","0.35","0.121","0.112","0.058","0.35","0.017","0.032","0.08","0.134","0.115","0.04","0.073","0.122","0.01","0.099","0.104","0.011","0.03","0.004","0.082","0.35","0.35","0.123","0.35","0.35","0.02","0.35","0.074","0.35","0.35","0","0","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12,620.137","981,915.276","0","0","307,432.589","0","0","0","1,008,458.5","228,169.581","-1,197,354.55","0","-82,153.967","-282,084.6","25,526.303","0","0","0","0","0","0"
