name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016
		NonCurrentDeferredLiabilities,"375,706,000","400,849,000","426,021,000","451,193,000","397,369,000","418,344,000",,,"0","0","0","0","1,157,000","1,132,000","975,000","732,000","408,000","372,000","326,000","218,000","113,000",,,
			NonCurrentDeferredRevenue,"375,706,000","400,849,000","426,021,000","451,193,000","397,369,000","418,344,000",,,,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,,,,,"29,447,000","46,424,000",,,"0","0","5,323,000","3,790,000","2,273,000","773,000","560,000","407,000","255,000","105,000",,,,,,
		DerivativeProductLiabilities,,,,,,,,,,,,,,,,,"0","0","0","0","52,000","1,655,000","32,555,000","6,975,000"
		OtherNonCurrentLiabilities,"1,711,000","371,000","1,251,000","1,248,000","2,947,000","4,662,000","4,968,000","4,437,000","3,582,000",,,,,,,,,,,,,,,
TotalEquityGrossMinorityInterest,"-473,477,000","-432,283,000","-382,927,000","-399,626,000","-353,965,000","-270,657,000","-199,779,000","-134,610,000","-108,277,000","-48,888,000","17,254,000","79,567,000","4,334,000","46,735,000","74,101,000","60,155,000","37,729,000","82,198,000","118,719,000","145,982,000","166,776,000","186,068,000","-37,925,000","-8,598,094"
	StockholdersEquity,"-473,477,000","-432,283,000","-382,927,000","-399,626,000","-353,965,000","-270,657,000","-199,779,000","-134,610,000","-108,277,000","-48,888,000","17,254,000","79,567,000","4,334,000","46,735,000","74,101,000","60,155,000","37,729,000","82,198,000","118,719,000","145,982,000","166,776,000","186,068,000","-37,925,000","-8,598,094"
		CapitalStock,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","773"
			CommonStock,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","773"
		AdditionalPaidInCapital,"795,935,000","777,844,000","763,755,000","725,465,000","709,466,000","711,411,000","702,695,000","694,383,000","684,381,000","678,034,000","657,780,000","649,806,000","505,851,000","473,518,000","430,101,000","350,313,000","266,178,000","262,510,000","256,875,000","254,114,000","251,733,000","249,491,000","17,415,000","12,029,070"
