name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997
OperatingCashFlow,"175,304,000","24,714,000","48,648,000","55,076,000","46,866,000","32,147,000","28,007,000","49,422,000","47,702,000","14,791,000","45,334,000","33,244,000","33,474,000","4,777,000","30,917,000","41,838,000","35,285,000","12,794,000","28,438,000","39,091,000","29,333,000","10,676,000","24,363,000","20,486,000","33,861,000","1,724,000","29,977,000","16,641,000","29,584,000","-5,695,000","9,253,000","13,581,000","11,964,000","9,559,000","8,558,000","19,360,000","12,298,000","8,151,000","14,854,000","7,521,000","14,033,000","8,264,000","26,892,000","14,586,000","-2,372,000","13,592,000","22,208,000","13,304,000","21,793,000","7,392,000","15,851,000","24,701,000","26,887,000","11,416,000","19,430,000","19,834,000","20,770,000","16,040,000","15,111,000","20,296,000","24,773,000","16,403,000","21,007,000","18,393,000","12,996,000","25,464,000","13,983,000","22,621,000","20,966,000","26,222,000","16,133,000","19,713,000","23,460,000","23,418,000","8,032,000","14,988,000","28,174,000","4,885,000","21,984,000","9,909,000","16,000,000","8,370,000","15,369,000","22,156,000","9,035,000","20,471,000","-113,000","21,620,000","10,785,000","6,700,000","14,900,000","9,200,000","15,200,000","5,500,000","4,600,000","12,800,000","9,000,000","5,200,000","2,100,000","3,100,000"
	CashFlowFromContinuingOperatingActivities,"175,304,000","24,714,000","48,648,000","55,076,000","46,866,000","32,147,000","28,007,000","49,422,000","47,702,000","14,791,000","45,334,000","33,244,000","33,474,000","4,777,000","30,917,000","41,838,000","35,285,000","12,794,000","28,438,000","39,091,000","29,333,000","10,676,000","24,363,000","20,486,000","33,861,000","1,724,000","29,977,000","16,641,000","29,584,000","-5,695,000","9,253,000","13,581,000","11,964,000","9,559,000","8,593,000","19,526,000","13,335,000","8,151,000","14,854,000","7,521,000","14,033,000","8,264,000","27,538,000","13,940,000","1,837,000","9,742,000","22,208,000","13,304,000","21,650,000","7,064,000","15,851,000","24,701,000","26,932,000","11,416,000","19,430,000","19,742,000","17,567,000","16,040,000","14,094,000","20,296,000","24,377,000","16,403,000","21,007,000","18,393,000","12,996,000","25,464,000","13,983,000","22,621,000","20,966,000","26,222,000","16,133,000","19,713,000","23,460,000","23,418,000","8,032,000","14,988,000","28,419,000","5,106,000","21,745,000","9,682,000","15,772,000","15,233,000","15,369,000","22,156,000","21,789,000","20,471,000","-113,000","21,620,000","10,785,000","6,700,000","14,900,000","9,200,000","15,200,000","5,500,000","4,600,000","12,800,000","9,000,000","5,200,000","2,100,000","3,100,000"
		NetIncomeFromContinuingOperations,"40,979,000","4,190,000","9,145,000","15,861,000","11,783,000","4,311,000","62,917,000","15,117,000","12,113,000","959,000","9,066,000","12,386,000","11,915,000","-1,714,000","-13,676,000","22,302,000","1,704,000","-3,910,000","20,021,000","12,080,000","-53,676,000","-224,000","-11,974,000","7,538,000","5,192,000","-7,614,000","-7,019,000","2,259,000","942,000","-7,963,000","361,000","-154,000","-15,633,000","-11,033,000","-530,000","-114,000","-9,037,000","-11,475,000","-21,092,000","-8,379,000","-49,131,000","-28,461,000","-79,000","-646,000","51,562,000","-7,620,000","-1,154,000","-2,902,000","-6,053,000","-9,198,000","0","0","-380,000","-3,817,000","2,066,000","2,176,000","-7,803,000","-4,604,000","2,829,000","1,743,000","-19,374,000","-845,000","2,389,000","-53,000","2,551,000","1,288,000","4,158,000","3,107,000","-364,000","1,396,000","3,394,000","2,843,000","-5,272,000","1,489,000","5,694,000","6,194,000","-3,432,000","-785,000","4,630,000","-60,221,000","681,000","127,000","4,496,000","2,177,000","-92,886,000","-12,920,000","952,000","3,319,000","2,381,000","1,400,000","4,900,000","3,000,000","1,800,000","2,400,000","2,800,000","2,100,000","800,000","300,000","500,000","1,100,000"
		OperatingGainsLosses,"119,000","-77,000","173,000","91,000","-68,000","-24,000","682,000","123,000","-6,000","137,000","-1,447,000","3,112,000","-270,000","-57,000","-78,000","-44,000","7,265,000","-283,000","92,000","54,000","32,000","388,000","12,978,000","170,000","276,000","-251,000","221,000","342,000","-676,000","-4,309,000","234,000","-94,000","-222,000","-468,000","314,000","159,000","1,433,000","7,479,000","13,498,000","1,720,000","29,000","6,234,000","962,000","2,065,000","-37,252,000","2,562,000","-2,341,000","-1,471,000","1,564,000","-686,000","-410,000","1,233,000","-5,810,000","5,857,000","840,000","756,000","9,316,000","-7,917,000","1,423,000","2,835,000","1,464,000","-1,140,000","-2,974,000","1,545,000","-5,594,000","5,239,000","-5,760,000","1,597,000","2,680,000","1,468,000","528,000","1,691,000","7,916,000","-861,000","-998,000","-2,812,000","5,928,000","1,287,000","-1,314,000","62,476,000","1,736,000","-156,000","-2,961,000","-1,427,000","83,899,000","18,535,000","1,710,000","21,000","1,154,000","1,600,000",,,,,,,"900,000","-200,000","300,000","-400,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","94,000","0","-676,000","-4,935,000",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"119,000","-77,000","173,000","91,000","-68,000","-24,000","682,000","123,000","-6,000","137,000","-86,000","-479,000","-270,000","-57,000","-78,000","-44,000","-87,000","-283,000","92,000","54,000","-13,000","-84,000","-33,000","-21,000","-317,000","-203,000","6,000","-44,000","-47,000","-46,000","-128,000","-25,000","-232,000","-219,000","-225,000","-164,000","15,000","-199,000","-177,000","-46,000","-102,000","-148,000","-562,000","-192,000","-71,000","-89,000","-209,000","-101,000","-238,000","-171,000","-488,000","-428,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,000","41,000","47,000","151,000","362,000","-69,000","72,000","233,000","629,000","-654,000","641,000","-25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","-62,000","111,000","-90,000","977,000","1,130,000","1,436,000","109,000","1,766,000","-169,000","6,382,000","1,524,000","2,257,000","1,560,000","-102,000","506,000","2,132,000","1,386,000","-73,000","159,000","1,219,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,"0",,,,"-1,361,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"110,336,000","29,428,000","29,080,000","23,910,000","26,314,000","24,286,000","25,571,000","26,042,000","23,871,000","23,079,000","23,777,000","22,897,000","21,690,000","19,137,000","20,833,000","21,036,000","19,988,000","18,375,000","18,607,000","19,251,000","18,277,000","15,613,000","17,591,000","18,862,000","18,295,000","16,403,000","18,739,000","19,044,000","18,911,000","15,438,000","19,092,000","19,502,000","17,316,000","16,614,000","18,533,000","17,824,000","15,157,000","16,525,000","17,222,000","17,044,000","16,094,000","16,883,000","17,545,000","16,536,000","15,323,000","12,774,000","18,703,000","18,728,000","17,202,000","16,172,000","19,991,000","21,050,000","23,586,000","13,012,000","21,466,000","21,029,000","19,786,000","20,522,000","21,438,000","22,033,000","24,304,000","13,361,000","23,154,000","17,942,000","21,301,000","16,525,000","16,913,000","16,134,000","14,569,000","16,270,000","17,554,000","17,244,000","16,565,000","14,614,000","14,972,000","14,770,000","12,030,000","11,623,000","12,222,000","12,055,000","12,306,000","12,825,000","12,934,000","12,631,000","10,623,000","13,548,000","14,381,000","14,331,000","14,311,000","10,200,000","8,100,000","7,600,000","7,000,000","6,300,000","6,200,000","5,300,000","4,900,000","5,000,000","4,500,000","3,900,000"
