name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalAssets,"6,467,257,000","6,652,958,000","6,627,567,000","6,320,454,000","6,149,059,000","5,982,896,000","5,631,640,000","5,370,129,000","5,206,488,000","5,104,604,000","4,937,937,000","4,659,307,000","4,625,482,000","2,265,518,000","2,230,872,000","2,128,622,000","2,097,444,000","2,045,692,000","2,064,377,000","2,068,551,000","2,062,262,000","2,026,103,000","2,067,033,000","2,101,800,000","2,140,820,000","2,725,066,000","2,947,922,000","2,806,224,000","2,703,719,000","2,546,285,000","2,437,053,000","2,277,582,000","2,155,680,000","2,009,280,000","1,911,432,000","1,808,931,000","1,712,670,000","1,668,667,000","1,706,205,000","1,648,409,000","1,527,568,000","1,425,308,000","1,343,373,000","1,263,581,000","1,158,055,000","1,121,605,000","1,032,371,000","1,009,122,000","992,772,000","961,505,000","919,819,000","873,339,000","854,599,000","824,985,000","831,919,000","786,756,000","751,932,000","722,115,000","683,367,000","645,833,000","626,241,000","604,208,000","573,224,000","535,053,000","513,588,000","392,495,000","371,777,000"
	CurrentAssets,"1,096,493,000","1,381,564,000","1,518,606,000","1,447,810,000","1,456,851,000","1,420,237,000","1,211,280,000","1,150,343,000","1,075,501,000","1,072,204,000","954,756,000","832,402,000","837,746,000","814,794,000","793,071,000","720,674,000","630,439,000","629,535,000","655,936,000","663,965,000","663,964,000","522,374,000","468,897,000","387,707,000","374,740,000","814,647,000","1,073,233,000","989,231,000","984,695,000","878,479,000","873,870,000","892,099,000","790,791,000","666,307,000","603,782,000","555,010,000","575,514,000","546,607,000","656,679,000","620,442,000","551,487,000","501,192,000","487,729,000","441,712,000","377,160,000","406,221,000","345,399,000","339,348,000","327,050,000","297,454,000","269,142,000","239,297,000","230,445,000","211,072,000","239,976,000","220,338,000","210,676,000","201,844,000","188,649,000","176,412,000","177,444,000","178,837,000","172,716,000","155,060,000","147,312,000","17,824,000","14,368,000"
		CashCashEquivalentsAndShortTermInvestments,"856,242,000","1,076,319,000","1,022,643,000","990,729,000","1,058,361,000","951,603,000","1,005,220,000","906,663,000","881,293,000","880,782,000","815,361,000","717,780,000","735,024,000","676,798,000","670,815,000","573,927,000","530,602,000","508,951,000","548,357,000","569,603,000","577,040,000","417,716,000","359,149,000","270,144,000","250,805,000","663,204,000","959,743,000","879,230,000","890,534,000","758,057,000","789,609,000","804,630,000","706,995,000","578,174,000","532,173,000","483,796,000","507,503,000","472,859,000","573,891,000","529,533,000","464,671,000","456,248,000","444,634,000","384,560,000","327,939,000","349,604,000","300,996,000","307,042,000","298,002,000","269,566,000","238,446,000","208,299,000","204,934,000","188,034,000","212,183,000","195,617,000","187,162,000","171,176,000","167,657,000","156,217,000","158,902,000","153,642,000","157,565,000","142,044,000","133,464,000","61,000","1,958,000"
			CashAndCashEquivalents,"615,863,000","815,374,000","721,109,000","668,269,000","694,776,000","607,987,000","662,401,000","605,622,000","500,315,000","480,626,000","386,565,000","299,913,000","277,661,000","249,953,000","343,028,000","225,658,000","231,838,000","184,569,000","113,480,000","175,137,000","122,413,000","87,880,000","154,128,000","189,960,000","250,805,000","248,005,000","604,162,000","587,685,000","542,957,000","419,465,000","442,618,000","470,050,000","411,592,000","323,203,000","308,076,000","281,632,000","346,930,000","322,553,000","421,149,000","404,797,000","370,191,000","401,243,000","409,875,000","349,801,000","282,939,000","224,838,000","210,996,000","202,042,000","193,002,000","219,566,000","238,446,000","208,299,000","204,934,000","88,044,000","212,183,000","195,617,000","187,162,000","151,176,000","167,657,000","156,217,000","158,902,000","153,642,000","157,565,000","142,044,000","133,464,000","61,000","1,958,000"
			OtherShortTermInvestments,"240,379,000","260,945,000","301,534,000","322,460,000","363,585,000","343,616,000","342,819,000","301,041,000","380,978,000","400,156,000","428,796,000","417,867,000","457,363,000","426,845,000","327,787,000","348,269,000","298,764,000","324,382,000","434,877,000","394,466,000","454,627,000","329,836,000","205,021,000","80,184,000",,"415,199,000","355,581,000","291,545,000","347,577,000","338,592,000","346,991,000","334,580,000","295,403,000","254,971,000","224,097,000","202,164,000","160,573,000","150,306,000","152,742,000","124,736,000","94,480,000","55,005,000","34,759,000","34,759,000","45,000,000","124,766,000","90,000,000","105,000,000","105,000,000","50,000,000","0","0","0","99,990,000",,,,"20,000,000",,,,,,,,,
		Receivables,"139,996,000","193,663,000","394,692,000","360,309,000","312,571,000","387,283,000","129,802,000","165,846,000","120,092,000","108,250,000","53,313,000","49,362,000","49,725,000","62,312,000","48,565,000","56,036,000","26,691,000","49,806,000","36,856,000","24,940,000","21,582,000","45,559,000","46,116,000","48,419,000","58,733,000","96,435,000","37,643,000","33,562,000","21,480,000","51,327,000","18,949,000","20,242,000","16,582,000","27,673,000","14,575,000","14,961,000","15,475,000","26,412,000","40,764,000","44,797,000","43,978,000","8,389,000","5,765,000","12,312,000","15,468,000","29,186,000","14,537,000","3,787,000","3,514,000","4,763,000","8,109,000","9,036,000","3,375,000","3,928,000","7,777,000","5,374,000","5,216,000","14,908,000","6,311,000","6,318,000","5,380,000","13,648,000","3,059,000","1,967,000","2,773,000","4,181,000","1,927,000"
			AccountsReceivable,"89,295,000","99,599,000","76,099,000","75,697,000","68,449,000","104,500,000","69,366,000","68,006,000","63,461,000","80,545,000","49,489,000","49,362,000","49,725,000","62,312,000","26,868,000","23,702,000","26,691,000","40,453,000","23,870,000","24,940,000","21,582,000","40,451,000","22,103,000","23,208,000","23,692,000","38,283,000","24,157,000","25,711,000","21,480,000","34,839,000","18,949,000","20,242,000","16,582,000","24,016,000","14,575,000","14,961,000","15,475,000","16,800,000","14,566,000","10,351,000","9,087,000","8,389,000","5,765,000","6,179,000","7,623,000","5,658,000","4,446,000","3,787,000","3,514,000","4,763,000","3,133,000","3,217,000","3,375,000","3,643,000","4,582,000","5,374,000","3,879,000","5,373,000","5,869,000","6,270,000","5,332,000","4,865,000","3,059,000","1,967,000","2,773,000","1,933,000","1,927,000"
				GrossAccountsReceivable,,,,,,,,,,"80,552,000","49,570,000","49,443,000","49,928,000",,,,,"40,453,000","23,909,000","24,979,000","21,622,000","40,710,000","23,378,000","24,264,000","24,828,000","39,459,000","25,329,000","26,883,000","22,652,000","36,038,000","20,129,000","21,414,000","17,752,000","25,206,000","15,775,000","16,176,000","16,660,000","17,987,000","15,628,000","10,720,000","9,287,000","8,597,000","5,771,000","6,247,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"-7,000","-81,000","-81,000","-203,000",,,,,"0","-39,000","-39,000","-40,000","-259,000","-1,275,000","-1,056,000","-1,136,000","-1,176,000","-1,172,000","-1,172,000","-1,172,000","-1,199,000","-1,180,000","-1,172,000","-1,170,000","-1,190,000","-1,200,000","-1,215,000","-1,185,000","-1,187,000","-1,062,000","-369,000","-200,000","-208,000","-6,000","-68,000",,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,000","48,000","48,000","8,783,000",,,,"2,248,000",
