name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
OperatingCashFlow,"-151,756,000","-42,340,000","-46,653,000","-34,803,000","-27,960,000","-24,549,000","-24,932,000","-25,202,000","-23,468,000","-58,671,000","-34,914,000","-23,358,000","-22,082,000","-20,813,000","-21,684,000","-16,696,000","-16,942,000","-16,510,000","-16,016,000","-11,458,000"
	CashFlowFromContinuingOperatingActivities,"-151,756,000","-42,340,000","-46,653,000","-34,803,000","-27,960,000","-24,549,000","-24,932,000","-25,202,000","-23,468,000","-58,671,000","-34,914,000","-23,358,000","-22,082,000","-20,813,000","-21,684,000","-16,696,000","-16,942,000","-16,510,000","-16,016,000","-11,458,000"
		NetIncomeFromContinuingOperations,"-187,510,000","-60,668,000","-45,563,000","-41,242,000","-40,037,000","-37,919,000","-32,900,000","-24,318,000","-28,207,000","-31,768,000","-55,638,000","-31,181,000","-27,916,000","-25,933,000","-22,639,000","-19,802,000","-17,624,000","-16,873,000","-16,937,000","-17,009,000"
		OperatingGainsLosses,,,"70,000","0","-1,000","-4,000","2,000",,,,,"-13,000","194,000","0","8,000","-79,000","39,000","84,000","-2,000","703,000"
			GainLossOnSaleOfPPE,"0","0","0","0","0","0","2,000","0","0","0","0","-13,000","194,000","0","8,000","0","19,000","36,000","0","620,000"
			NetForeignCurrencyExchangeGainLoss,,,"70,000",,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,"0","-1,000",,,,,,,,,,,"-79,000","20,000","48,000","-2,000","83,000"
		DepreciationAmortizationDepletion,"12,293,000","3,968,000","3,150,000","2,431,000","2,744,000","2,464,000","2,111,000","1,889,000","1,724,000","1,559,000","1,505,000","1,489,000","1,587,000","1,563,000","1,472,000","1,329,000","1,697,000","1,415,000","1,286,000","1,247,000"
			DepreciationAndAmortization,"12,293,000","3,968,000","3,150,000","2,431,000","2,744,000","2,464,000","2,111,000","1,889,000","1,724,000","1,559,000","1,505,000","1,489,000","1,587,000","1,563,000","1,472,000","1,329,000","1,697,000","1,415,000","1,286,000","1,247,000"
		DeferredTax,,"-500,000","-10,545,000",,,,,,,,,,,,,,,,,
			DeferredIncomeTax,,"-500,000","-10,545,000",,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,"1,069,000","472,000","318,000","92,000","187,000","192,000","122,000","29,000","-11,000","-82,000","-150,000","-281,000","-447,000",,,,,,,
		AssetImpairmentCharge,,,,,"-234,000",,,,,,,,,,,,,,,
		StockBasedCompensation,"58,996,000","22,465,000","18,108,000","9,247,000","9,176,000","11,553,000","7,022,000","5,131,000","4,071,000","4,197,000","3,697,000","3,363,000","3,032,000","2,911,000","1,864,000","1,086,000","603,000","736,000","536,000","864,000"
		OtherNonCashItems,"-5,678,000","-5,579,000","-1,645,000","-1,202,000","2,748,000","8,000","303,000","262,000","-934,000","-373,000","338,000","114,000","124,000","135,000","142,000","182,000","140,000","130,000","110,000","157,000"
		ChangeInWorkingCapital,"-19,393,000","-2,318,000","-10,546,000","-3,986,000","-2,543,000","-1,260,000","-1,592,000","-8,195,000","-111,000","-32,204,000","15,334,000","3,151,000","1,344,000","1,032,000","-2,531,000","588,000","-1,797,000","-2,002,000","-1,009,000","2,580,000"
			ChangeInReceivables,"-4,716,000","-1,813,000","-2,032,000","-290,000","-581,000","-2,215,000","884,000","-13,029,000","1,484,000","-1,777,000","-950,000","-577,000","-3,529,000","-1,020,000","-1,559,000","-1,130,000","-273,000","-993,000","-677,000","-274,000"
				ChangesInAccountReceivables,"-4,716,000","-1,813,000","-2,032,000","-290,000","-581,000","-2,215,000","884,000","-13,029,000","1,484,000","-1,777,000","-950,000","-577,000","-3,529,000","-1,020,000","-1,559,000","-1,130,000","-273,000","-993,000","-677,000","-274,000"
			ChangeInInventory,"-28,732,000","-4,351,000","-8,436,000","-10,575,000","-5,370,000","-2,422,000","-1,122,000","875,000","-2,398,000","-3,347,000","-86,000","-1,834,000","-1,047,000","1,112,000","467,000","-1,776,000","-1,139,000","-841,000","-446,000","-16,000"
			ChangeInPrepaidAssets,"-734,000","-1,316,000","-91,000","-441,000","1,114,000","-688,000","-2,043,000","31,000","-1,761,000","964,000","-2,917,000","868,000","609,000","-365,000","-366,000","-964,000","-304,000","-582,000","90,000","-360,000"
			ChangeInPayablesAndAccruedExpense,"9,027,000","683,000","440,000","4,917,000","2,987,000","443,000","3,310,000","-977,000","-1,065,000","-26,777,000","20,665,000","1,148,000","5,664,000","1,492,000","-816,000","3,610,000","1,023,000","724,000","220,000","3,627,000"
				ChangeInPayable,"3,982,000","-757,000","-5,000","3,348,000","1,396,000","339,000","3,459,000","-1,691,000","-740,000","-2,519,000","-556,000","3,374,000","1,921,000","-1,302,000","-715,000","2,220,000","232,000","353,000","954,000","498,000"
