name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
TotalRevenue,"479,295,000","114,666,000","127,175,000","120,707,000","116,747,000","94,577,000","99,302,000","95,594,000","85,062,000","77,251,000","83,242,000","85,334,000","82,675,000","68,349,000","75,057,110","72,508,466","70,379,391","55,956,000","59,268,009","56,393,294","53,777,344"
	OperatingRevenue,"475,786,000","113,674,000","126,317,000","119,834,000","115,961,000","93,961,000","98,628,000","94,942,000","84,453,000","76,649,000","82,642,000","84,740,000","82,113,000","67,853,000","74,577,604","72,029,005","69,953,224","55,585,000","58,893,030","56,055,204","53,462,162"
CostOfRevenue,"321,079,000","76,993,000","84,804,000","81,416,000","77,864,000","63,372,000","66,194,000","63,904,000","56,271,000","52,227,000","56,160,000","56,319,000","54,622,000","45,569,000","49,906,062","48,305,007","46,323,264","37,937,000","40,847,417","37,846,027","35,995,569"
GrossProfit,"158,216,000","37,673,000","42,371,000","39,291,000","38,883,000","31,205,000","33,108,000","31,690,000","28,791,000","25,024,000","27,082,000","29,015,000","28,053,000","22,780,000","25,151,048","24,203,459","24,056,127","18,019,000","18,420,592","18,547,267","17,781,775"
OperatingExpense,"86,743,000","20,562,000","23,397,000","23,187,000","19,599,000","17,715,000","18,327,000","17,118,000","14,915,000","15,386,000","17,347,000","20,579,000","16,089,000","16,472,000","18,265,845","26,613,550","17,995,840","15,482,000","18,709,979","14,700,245","14,144,298"
	SellingGeneralAndAdministration,"77,404,000","18,379,000","20,947,000","20,825,000","17,254,000","15,380,000","15,578,000","14,420,000","12,224,000","12,696,000","14,144,000","17,400,000","12,934,000","13,320,000","14,344,358","22,471,411","14,177,714","11,693,000","14,122,144","10,147,203","9,617,648"
		GeneralAndAdministrativeExpense,"77,404,000","18,379,000","20,947,000","20,825,000","17,254,000","15,380,000","15,578,000","14,420,000","12,224,000","12,696,000","14,144,000","17,400,000","12,934,000","13,320,000","14,344,358","22,471,411","14,177,714","11,693,000","14,122,144","10,147,203","9,617,648"
			SalariesAndWages,"44,500,000","11,310,000","12,156,000","10,859,000","10,175,000","9,875,000","10,319,000","8,084,000","7,069,000","7,359,000","7,899,000","7,612,000","7,597,000","7,597,000","8,293,090","10,959,507","7,441,220","6,223,000","5,558,820","5,983,784","5,877,726"
			OtherGandA,"32,904,000","7,069,000","8,791,000","9,966,000","7,079,000","5,505,000","5,259,000","6,336,000","5,155,000","5,337,000","6,245,000","9,788,000","5,337,000","5,723,000","6,051,268","11,511,904","6,736,494","5,470,000","8,563,324","4,163,419","3,739,922"
	DepreciationAmortizationDepletionIncomeStatement,"9,339,000","2,183,000","2,450,000","2,362,000","2,345,000","2,335,000","2,749,000","2,698,000","2,691,000","2,690,000","3,203,000","3,179,000","3,155,000","3,152,000","3,921,487","4,142,139","3,818,126","3,789,000","4,587,835","4,553,042","4,526,650"
