name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011
OperatingCashFlow,"64,499,642","26,680,393","-33,351,171","56,452,340","14,718,080","-120,428,173","84,530,687","30,161,633","73,519,293","-65,885,936","63,889,664","3,067,093","-82,873,307","20,609,904","-80,434,207","123,004,402","3,633,053","-92,573,793","-23,913,829","-26,370,180","-63,411,141","-14,522,852","-7,451,139","-31,218,109","27,184,093","-34,598,543","93,423,929","-38,345,289","23,419,514","-37,509,329","-88,872,192","-161,370,891","-74,145,012","-43,679,378","-67,797,562","-132,291,198","-1,527,014","6,108,988","-10,504,812","-22,763,777","-61,254,560","6,086,226","5,008,533","38,609,809"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-22,763,777",,,"5,008,533","38,609,809"
		NetIncomeFromContinuingOperations,"110,754,912","12,448,960","32,582,722","10,896,680","54,826,550","35,484,822","47,988,333","46,516,298","46,351,268","-69,481,411","-1,155,198","18,438,049","-10,823,882","24,121,820","-1,021,921","15,191,373","4,117,645","27,188,785","13,649,978","14,617,947","20,227,539","19,435,550","22,920,969","20,740,799","21,182,341","11,473,050","2,090,954","17,467,936","20,995,549","18,514,388","-7,054,155","11,466,278","12,045,771","18,089,625","14,439,674","12,909,635","9,397,066","12,779,280","6,925,556",,,"3,432,624",,"-12,085,313"
		OperatingGainsLosses,,,,,,,,,,,,,"37","257,002","30,028,881","5,291,851","-7,105,860","632,776","9,126,815","4,663,896","1,789,103","5,087,458","11,009,196","661,225","703,075","2,628,652","13,977,886","-5,735,754","7,668,210","86,306","16,185,149",,"-943,858","6,795,346","44,603,798","-796,554","5,598,707","-2,021,205","20,711,526",,,"5,161,876","1,288,121","409,044"
			GainLossOnInvestmentSecurities,"-43,747,400","49,538,160","-79,431,667","73,280,535","-87,134,428","-102,486,259","4,656,590","-15,549,474","23,727,243","27,989,392","37,028,762","15,020,730","-75,581,326","-2,197,694","-30,496,938","60,330,510","11,935,249","-100,978,268","20,099,969","-77,086,895","-99,820,343","-18,781,255","-30,623,402","-36,124,925","-474,048","-39,670,009","93,611,328","-51,119,248","-4,217,573","-55,252,240","-69,236,432","-178,883,355","-75,656,980","-46,209,887","-58,112,207","-129,457,760","-60,650,494","9,445,431",,,,"-23,163,862",,
		AmortizationOfSecurities,,,,,,,,,,,,,"-3,871,453","-2,950,121",,,,"1,172,399",,,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,"34,637,541","-1,058,816","-5,651,430","10,412,365","20,510,185","-6,236,730","1,158,423","2,777,886","2,812,978","-4,617,449","-14,635,238","-188,253","-3,888,310","4,197,741","4,703,397","7,575,553","-7,330,386","-619,193","8,700,125",,"3,946,261","-11,974,865","-47,322,280","-2,063,881",,,,,,,,
		OtherNonCashItems,"-5,811,553","-3,269,392","-3,190,414","2,862,413","-2,214,160","-2,092,200","-4,255,046","-2,042,443","-4,208,550","-3,208,153","-3,949,169","-5,881,954","-7,532,285","-4,132,284","-5,474,603","-5,028,831","-4,627,303","-3,976,875","-4,466,991","-4,221,231","-6,323,794","-6,745,357","-6,361,031","-5,040,092","-3,450,942","-3,453,722","-7,013,043","-5,351,909","-4,638,267","-2,185,280","-2,812,287","-2,419,596","-3,239,020","-1,442,468","-2,637,368","-1,535,714","-649,370","-970,228","-17,676,018","4,304,741","10,466,414","-1,344,488","-51,527,882","18,224,451"
		ChangeInWorkingCapital,"3,303,683","-32,037,335","16,688,188","-30,587,288","49,240,118","-51,334,536","36,140,810","1,237,252","7,649,332","-21,185,764","31,965,269","-24,509,732","11,064,186","2,818,062","-43,440,745","52,511,350","-7,792,538","-14,807,435","-53,196,785","40,319,999","22,505,457","-8,431,790","6,612,325","-10,793,891","9,926,742","-2,947,862","4,734,689","657,933","11,279,805","1,413,803","-9,769,318","8,465,782","-7,294,783","-14,116,648","-21,487,661","-14,207,359","50,375,784","-15,145,495","124,213,035","-31,077,927","-97,982,096","27,161,952","-91,349","33,250,197"
			ChangeInReceivables,"23,822,160","4,393,094","6,483,995","320,390","12,624,681","-29,664,766","418,282","1,502,133","1,149,087","305,005","8,126,471","-6,577,667","1,521,249","-594,041","875,363","8,749,483","-9,980,504","-1,545,825","13,464,926","-3,960,182","-14,393,512","1,859,465","4,734,204","18,546,555","-24,676,759","-2,683,130","6,385,968","3,431,307","-1,820,206","2,855,674","-10,106,493","15,658,958","-15,988,459","315,256","-1,823,340","511,582","-1,910,550","5,179,961","5,633,412","-11,435,099","2,955,915","1,129,122","-115,250","-4,755,893"
