name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,12/31/2014
		NetPPE,"142,380,000","138,381,000","6,976,000","6,005,000","4,922,000","4,912,000","4,664,000","4,267,000","3,898,000","2,996,000","2,859,000","2,814,000","2,693,000","1,445,000","795,000","810,000","829,000","718,000","774,000","671,000","703,000","819,000","899,000","942,000","994,000","1,142,000","1,223,000","2,516,000"
			GrossPPE,"142,380,000","153,643,000",,,,"19,104,000",,,,"16,265,000",,,,"14,159,000",,,,"13,012,000",,,,"13,980,000",,,,"14,107,000",,"14,596,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"0"
				MachineryFurnitureEquipment,,"6,137,000",,,,"5,708,000",,,,"5,442,000",,,,"4,031,000",,,,"3,399,000",,,,"4,474,000",,,,"4,650,000",,"4,894,000"
				OtherProperties,"142,380,000","133,379,000",,,,"5,567,000",,,,"5,167,000",,,,"5,025,000",,,,"4,654,000",,,,"4,530,000",,,,"4,531,000",,"4,372,000"
				Leases,,"14,127,000",,,,"7,829,000",,,,"5,656,000",,,,"5,103,000",,,,"4,959,000",,,,"4,976,000",,,,"4,926,000",,"5,330,000"
			AccumulatedDepreciation,,"-15,262,000",,,,"-14,192,000",,,,"-13,269,000",,,,"-12,714,000",,,,"-12,294,000",,,,"-13,161,000",,,,"-12,965,000",,"-12,080,000"
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3,767,000","15,515,000"
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3,767,000","15,515,000"
		OtherNonCurrentAssets,"152,000","160,000","3,209,000","3,929,000","4,642,000","5,348,000","1,301,000","7,670,000","8,443,000","10,148,000","9,733,000","10,463,000","11,120,000","1,490,000","1,496,000","1,497,000","1,237,000","1,510,000","1,760,000","1,760,000","1,760,000","991,000","1,004,000","554,000","553,000","553,000","590,000","872,000"
TotalLiabilitiesNetMinorityInterest,"552,083,000","549,027,000","475,870,000","463,783,000","445,751,000","440,167,000","427,153,000","420,777,000","435,550,000","425,563,000","326,546,000","333,961,000","335,895,000","330,049,000","344,564,000","342,593,000","279,514,000","282,310,000","292,802,000","301,628,000","308,485,000","304,141,000","314,112,000","326,564,000","337,594,000","352,110,000","364,603,000","399,850,000"
	CurrentLiabilities,"43,620,000","53,994,000","121,285,000","121,103,000","114,359,000","119,202,000","46,762,000","47,185,000","200,840,000","192,014,000","74,562,000","67,709,000","61,205,000","55,920,000","62,867,000","55,734,000","51,366,000","47,617,000","49,603,000","51,344,000","51,192,000","59,631,000","60,071,000","60,001,000","58,645,000","60,820,000","60,700,000","58,098,000"
		PayablesAndAccruedExpenses,"23,945,000","27,754,000","98,053,000","101,030,000","96,023,000","92,250,000","27,072,000","27,952,000","182,533,000","175,682,000","23,430,000","25,232,000","19,763,000","19,889,000","23,449,000","17,447,000","14,832,000","14,694,000","12,541,000","10,161,000","5,984,000","9,981,000","5,720,000","5,757,000","4,563,000","7,060,000","6,300,000","5,584,000"
			Payables,"9,015,000","13,505,000","80,501,000","85,335,000","83,405,000","78,227,000","9,081,000","11,263,000","162,627,000","151,908,000","3,582,000","4,361,000","3,500,000","4,473,000","5,000,000","2,113,000","1,002,000","2,067,000","2,527,000","2,670,000","541,000","3,830,000","1,296,000","1,552,000","633,000","3,531,000","2,650,000","1,985,000"
				AccountsPayable,"9,015,000","13,505,000","1,742,000","8,412,000","8,255,000","4,790,000","9,081,000","11,263,000","12,627,000","1,908,000","3,582,000","4,361,000","3,500,000","4,473,000","5,000,000","2,113,000","1,002,000","2,067,000","2,527,000","2,670,000","541,000","3,830,000","1,296,000","1,552,000","633,000","3,531,000","1,430,000","765,000"
				TotalTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1,220,000","1,220,000"
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1,220,000","1,220,000"
				OtherPayable,,,"78,759,000","76,923,000","75,150,000","73,437,000",,,"150,000,000","150,000,000",,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"14,930,000","14,249,000","17,552,000","15,695,000","12,618,000","14,023,000","17,991,000","16,689,000","19,906,000","23,774,000","19,848,000","20,871,000","16,263,000","15,416,000","18,449,000","15,334,000","13,830,000","12,627,000","10,014,000","7,491,000","5,443,000","6,151,000","4,424,000","4,205,000","3,930,000","3,529,000","3,650,000","3,599,000"
