name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
OperatingCashFlow,"208,311,000","100,143,000","27,725,000","30,078,000","50,365,000","30,733,000","23,030,000","-10,452,000","30,825,000","13,672,000","17,816,000","8,766,000","7,647,000","17,009,000","22,723,000","28,685,000","-10,413,000","5,415,000","36,697,000","-13,435,000","2,914,000","662,000","15,801,000","751,000","11,062,000","19,853,000","5,761,000","14,135,000","14,353,000","3,101,000","10,892,000","28,445,000","-5,709,000","14,192,000","31,353,000","2,875,000","20,628,000","17,024,000","6,948,000","8,133,000","27,633,000","-1,033,000","9,536,000","8,172,000","13,837,000","5,501,000","28,625,000","7,124,000","7,474,000","20,886,000","-4,789,000","9,522,000","5,458,000","4,842,000","9,397,000","10,586,000","8,120,000","6,190,000","9,568,000","11,850,000","6,750,000","2,395,000","4,792,000","8,079,000","2,198,000","9,989,000","10,559,000","4,748,000","7,146,000","6,444,000","7,794,000","9,162,000","4,965,000","5,965,000","10,134,000","4,957,000","3,180,000","23,198,000","-8,028,000","1,188,000","5,745,000","12,179,000","-1,106,000","7,144,000","4,639,000","1,339,000","4,575,000","4,727,000","2,524,000","2,312,000","3,725,000","6,100,000","1,800,000","2,400,000","7,900,000","4,100,000","600,000","1,600,000","2,000,000","1,800,000","1,800,000","1,800,000","1,500,000","1,300,000","3,600,000","900,000","600,000","1,900,000","3,200,000","1,100,000","2,100,000","500,000","1,300,000","400,000","1,600,000","1,700,000","1,400,000","100,000","2,900,000","-500,000","2,400,000","-300,000","1,200,000","700,000","1,000,000","600,000"
	CashFlowFromContinuingOperatingActivities,"208,311,000","100,143,000","27,725,000","30,078,000","50,365,000","30,733,000","23,030,000","-10,452,000","30,825,000","13,672,000","17,816,000","8,766,000","7,647,000","17,009,000","22,723,000","28,685,000","-10,413,000","5,415,000","36,697,000","-13,435,000","2,914,000","662,000","15,801,000","751,000","11,062,000","19,853,000","5,761,000","14,135,000","14,353,000","3,101,000","10,892,000","28,445,000","-5,709,000","14,192,000","31,353,000","2,875,000","20,628,000","17,024,000","6,948,000","8,133,000","27,633,000","-1,033,000","9,536,000","8,172,000","13,837,000","5,501,000","28,625,000","7,124,000","7,474,000","20,886,000","-4,789,000","9,522,000","5,458,000","4,842,000","9,397,000","10,586,000","8,120,000","6,190,000","9,568,000","11,850,000","6,750,000","2,395,000","4,792,000","8,079,000","2,198,000","9,989,000","10,559,000","4,748,000","7,146,000","6,444,000","7,794,000","9,162,000","4,965,000","5,965,000","10,134,000","4,957,000","3,180,000","23,198,000","-8,028,000","1,188,000","5,745,000","12,179,000","-1,106,000","7,144,000","4,639,000","1,339,000","4,575,000","4,727,000","2,524,000","2,312,000","3,725,000","6,100,000","1,800,000","2,400,000","7,900,000","4,100,000","600,000","1,600,000","2,000,000","1,800,000","1,800,000","1,800,000","1,500,000","1,300,000","3,600,000","900,000","600,000","1,900,000","3,200,000","1,100,000","2,100,000","500,000","1,300,000","400,000","1,600,000","1,700,000","1,400,000","100,000","2,900,000","-500,000","2,400,000","-300,000","1,200,000","700,000","1,000,000","600,000"
		NetIncomeFromContinuingOperations,"101,419,000","33,969,000","10,522,000","27,643,000","29,285,000","28,194,000","23,648,000","23,297,000","16,352,000","18,180,000","20,883,000","25,019,000","23,859,000","22,285,000","23,895,000","21,991,000","22,730,000","20,673,000","14,177,000","13,086,000","11,154,000","7,555,000","8,355,000","4,678,000","7,639,000","6,837,000","6,797,000","7,005,000","6,244,000","6,988,000","7,095,000","5,579,000","6,646,000","5,676,000","5,678,000","6,333,000","5,588,000","3,100,000","-25,937,000","4,423,000","3,290,000","-5,182,000","984,000","2,557,000","3,726,000","6,375,000","-2,245,000","3,848,000","3,941,000","4,438,000","8,784,000","11,376,000","36,018,000","4,081,000","5,001,000","6,197,000","5,278,000","5,529,000","5,762,000","5,743,000","5,419,000","4,886,000","5,144,000","4,372,000","4,795,000","4,991,000","7,413,000","-691,000","4,652,000","4,716,000","5,311,000","5,197,000","4,886,000","4,720,000","4,857,000","5,056,000","4,811,000","4,693,000","5,113,000","4,427,000","3,930,000","3,760,000","3,361,000","3,764,000","3,267,000","3,224,000","3,743,000","1,871,000","1,886,000","1,842,000","1,819,000","1,700,000","1,600,000","1,500,000","1,500,000","1,500,000","1,400,000","1,300,000","1,400,000","1,200,000","1,300,000","1,100,000","1,000,000","1,300,000","1,000,000","1,000,000","-800,000","900,000","800,000","700,000","800,000","800,000","800,000","600,000","700,000","700,000","700,000","600,000","800,000","600,000","600,000","500,000","500,000","700,000","400,000","400,000"
		OperatingGainsLosses,"-14,575,000","-4,382,000","-1,172,000","-3,751,000","-5,270,000","-6,874,000","-6,890,000","-7,793,000","-13,009,000","-2,488,000","-2,494,000","-3,289,000","-3,926,000","-2,607,000","-2,097,000","-2,949,000","-3,394,000","-4,661,000","-3,812,000","-3,534,000","-2,438,000","-1,155,000","-1,391,000","-3,541,000","0","-3,000","0","940,000","326,000","257,000","0","0","938,000","2,273,000","28,000","-553,000","-264,000","3,858,000","-1,643,000","-530,000","3,094,000","-1,559,000","73,723,000","-1,412,000","207,000","-8,964,000","85,678,000","2,333,000","575,000","3,399,000","-3,789,000","-60,410,000","322,000","-3,771,000","73,000","26,000","44,000","-285,000","107,000","-25,000",,,"-124,000","-254,000","66,000","107,000","-255,000","116,000","188,000","-131,000","-171,000","-451,000","-14,000","-92,000","3,000",,,"-61,000","-31,000","15,000","-21,000","1,000","-131,000","30,000",,,"-806,000","2,006,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,"-110,000",,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-10,196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,030,000","989,000","990,000","984,000",,"899,000","890,000","863,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"1,237,000","0",,,"0","0",,,"0",,,,"0",,,,"0","0","0","235,000","0","0","0","-3,000","0","1,000",,,"0","0",,,"28,000","-553,000","-7,000","0","0","-189,000","3,000","-452,000","0","0","-60,000","-14,000","-1,000","-1,000","-15,000","-9,000","-9,000",,,"63,000","0","-2,000","301,000","-285,000","0","0",,,"0","0",,,"-3,000","0",,,"-11,000","-100,000","-96,000","-92,000","-136,000",,,,"0","2,000","-7,000","-20,000",,,,,"2,000","2,006,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"11,875,000","3,082,000","3,677,000","2,500,000","2,616,000","2,862,000","2,931,000","2,869,000","2,892,000","3,114,000","3,116,000","3,064,000","3,096,000","3,275,000","3,347,000","3,217,000","3,159,000","3,117,000","3,201,000","2,217,000","2,439,000","1,876,000","1,574,000","1,548,000","1,385,000","1,306,000","1,300,000","1,301,000","1,303,000","1,312,000","1,336,000","1,346,000","1,362,000","1,351,000","1,385,000","1,392,000","1,386,000","1,320,000","1,357,000","1,373,000","1,368,000","1,356,000","1,312,000","1,346,000","1,316,000","1,316,000","220,000","219,000","220,000","215,000","3,840,000","218,000","98,000","98,000","-2,320,000","4,403,000","1,024,000","768,000","837,000","941,000","929,000","902,000","873,000","860,000","778,000","770,000","780,000","784,000","774,000","747,000","382,000","758,000","775,000","778,000","753,000","722,000","688,000","659,000","-467,000","896,000","860,000","857,000","936,000","792,000","778,000","503,000","424,000","551,000","442,000","432,000","203,000","500,000","400,000","500,000","400,000","200,000","500,000","300,000","400,000","200,000","400,000","300,000","300,000","400,000","300,000","300,000","200,000","200,000","400,000","300,000","300,000","300,000","300,000","200,000","300,000","200,000","300,000","200,000","700,000","100,000","100,000","200,000","-100,000","200,000","300,000","300,000"
			DepreciationAndAmortization,"11,875,000","3,082,000","3,677,000","2,500,000","2,616,000","2,862,000","2,931,000","2,869,000","2,892,000","3,114,000","3,116,000","3,064,000","3,096,000","3,275,000","3,347,000","3,217,000","3,159,000","3,117,000","3,201,000","2,217,000","2,439,000","1,876,000","1,574,000","1,548,000","1,385,000","1,306,000","1,300,000","1,301,000","1,303,000","1,312,000","1,336,000","1,346,000","1,362,000","1,351,000","1,385,000","1,392,000","1,386,000","1,320,000","1,357,000","1,373,000","1,368,000","1,356,000","1,312,000","1,346,000","1,316,000","1,316,000","220,000","219,000","220,000","215,000","3,840,000","218,000","98,000","98,000","-2,320,000","4,403,000","1,024,000","768,000","837,000","941,000","929,000","902,000","873,000","860,000","778,000","770,000","780,000","784,000","774,000","747,000","382,000","758,000","775,000","778,000","753,000","722,000","688,000","659,000","-467,000","896,000","860,000","857,000","936,000","792,000","778,000","503,000","424,000","551,000","442,000","432,000","203,000","500,000","400,000","500,000","400,000","200,000","500,000","300,000","400,000","200,000","400,000","300,000","300,000","400,000","300,000","300,000","200,000","200,000","400,000","300,000","300,000","300,000","300,000","200,000","300,000","200,000","300,000","200,000","700,000","100,000","100,000","200,000","-100,000","200,000","300,000","300,000"
				Depreciation,"8,224,000","2,065,000","2,583,000","1,805,000","1,771,000","1,965,000","1,936,000","1,941,000","1,914,000","2,059,000","1,995,000","1,901,000","1,854,000","1,943,000","1,657,000","1,561,000","1,414,000","1,445,000","1,470,000","1,315,000","1,408,000","1,300,000","1,197,000","1,161,000","1,124,000","1,120,000","1,119,000","1,120,000","1,123,000","1,132,000","1,141,000","1,152,000","1,168,000","1,157,000","1,164,000","1,172,000","1,166,000","1,121,000","1,130,000","1,149,000","1,145,000","1,133,000","1,086,000","1,120,000","1,090,000","1,092,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"3,651,000","1,017,000","1,094,000","695,000","845,000","897,000","995,000","928,000","978,000","1,055,000","1,121,000","1,163,000","1,242,000","1,332,000","1,690,000","1,656,000","1,745,000","1,672,000","1,731,000","902,000","1,031,000","576,000","377,000","387,000","261,000","186,000","181,000","181,000","180,000","180,000","195,000","194,000","194,000","194,000","221,000","220,000","220,000","199,000","227,000","224,000","223,000","223,000","226,000","226,000","226,000","224,000","220,000","219,000","220,000","215,000","216,000","218,000","98,000","98,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"3,651,000","1,017,000","1,094,000","695,000","845,000","897,000","995,000","928,000","978,000","1,055,000","1,121,000","1,163,000","1,242,000","1,332,000","1,690,000","1,656,000","1,745,000","1,672,000","1,731,000","902,000","1,031,000","576,000","377,000","387,000","261,000","186,000","181,000","181,000","180,000","180,000","195,000","194,000","194,000","194,000","221,000","220,000","220,000","199,000","227,000","224,000","223,000","223,000","226,000","226,000","226,000","224,000","220,000","219,000","220,000","215,000","216,000","218,000","98,000","98,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,695,000","-250,000","16,234,000","-618,000","-83,000","-549,000","-398,000","-335,000","496,000","-239,000","-399,000","-280,000","214,000","294,000","-1,433,000","-416,000","68,000","170,000","-198,000","-196,000","481,000","-351,000","-280,000","-67,000","-24,000","-219,000","713,000","-45,000","406,000","291,000","-575,000","-444,000","2,606,000","-2,524,000","-51,000","-82,000","-257,000","-69,000","-119,000","-101,000","38,000","-100,000",,,,,,,,,,,"0","100,000","-100,000","300,000","300,000","-300,000","-100,000","-100,000","200,000",,,,,,,,,"0",,,"0",,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,695,000","-250,000","16,234,000","-618,000","-83,000","-549,000","-398,000","-335,000","496,000","-239,000","-399,000","-280,000","214,000","294,000","-1,433,000","-416,000","68,000","170,000","-198,000","-196,000","481,000","-351,000","-280,000","-67,000","-24,000","-219,000","713,000","-45,000","406,000","291,000","-575,000","-444,000","2,606,000","-2,524,000","-51,000","-82,000","-257,000","-69,000","-119,000","-101,000","38,000","-100,000",,,,,,,,,,,"0","100,000","-100,000","300,000","300,000","-300,000","-100,000","-100,000","200,000",,,,,,,,,"0",,,"0",,,
		AmortizationOfSecurities,,,,,,,,,,,,"723,000","645,000","459,000","565,000","708,000","791,000","685,000","743,000","695,000","1,238,000","232,000","923,000","895,000","843,000","680,000","867,000","768,000","810,000","802,000","518,000","380,000","543,000","493,000","578,000","729,000","740,000","620,000","520,000","490,000","451,000","456,000","360,000","265,000","336,000","412,000","395,000","331,000","293,000","472,000",,"314,000","332,000","76,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"2,418,000","547,000","504,000","536,000","831,000","397,000","527,000","605,000","895,000","513,000","522,000","546,000","799,000","403,000","368,000","374,000","596,000","231,000","235,000","177,000","505,000","178,000","187,000","147,000","257,000","123,000","156,000","150,000","277,000","127,000","22,000","23,000","202,000","23,000","1,000","1,000","201,000","19,000","31,000","17,000","243,000","20,000","262,000","160,000","350,000","133,000","99,000","100,000","342,000","99,000","63,000","75,000","311,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"71,435,000","60,947,000","-9,560,000","2,218,000","17,830,000","9,516,000","-4,178,000","-19,699,000","-5,129,000","-12,864,000","-3,798,000","-14,546,000","-11,790,000","-6,475,000","-4,683,000","-7,012,000","-12,562,000","-4,720,000","2,463,000","-7,061,000","-3,577,000","-3,693,000","7,353,000","7,612,000","-653,000","2,245,000","-578,000","4,050,000","4,049,000","-1,199,000","4,800,000","-1,561,000","-4,058,000","-3,145,000","-12,063,000","-3,876,000","-7,154,000","4,608,000","4,945,000","-1,929,000","4,640,000","2,650,000","-65,176,000","2,740,000","3,713,000","-1,460,000","-83,705,000","-1,721,000","-2,651,000","-2,858,000","-3,423,000","51,475,000","-53,867,000","-267,000","6,422,000","-214,000","1,021,000","1,536,000","1,531,000","1,293,000","1,409,000","1,184,000","1,479,000","1,254,000","563,000","2,390,000","2,989,000","-897,000","1,026,000","-17,000","547,000","1,054,000","1,323,000","-200,000","18,947,000","735,000","804,000","516,000","766,000","590,000","853,000","881,000","2,211,000","-1,555,000","287,000","164,000","259,000","802,000","376,000","334,000","3,092,000","1,300,000","500,000","100,000","6,700,000","300,000","100,000","400,000","300,000",,,"200,000","300,000","-300,000",,,"700,000","0","200,000","100,000","300,000","0","0","200,000","100,000","300,000","200,000","100,000","-400,000","300,000","400,000","300,000","500,000","300,000","100,000","200,000"
		ChangeInWorkingCapital,"23,648,000","2,990,000","15,283,000","315,000","5,060,000","-7,742,000","4,054,000","-14,114,000","1,649,000","2,344,000","-2,533,000","-546,000","-2,838,000","913,000","3,275,000","14,364,000","-18,558,000","-3,354,000","21,106,000","-16,899,000","-4,543,000","-4,349,000","3,004,000","-11,464,000","1,688,000","8,792,000","-2,630,000","2,220,000","865,000","-4,928,000","-4,140,000","21,272,000","-13,385,000","6,050,000","26,754,000","-6,275,000","14,128,000","-3,793,000","-16,858,000","-2,784,000","8,080,000","-20,329,000","-11,807,000","-6,630,000","-6,745,000","-3,654,000","-2,362,000","-6,377,000","-3,249,000","7,498,000","-22,091,000","1,524,000","2,084,000","758,000","304,000","723,000","1,151,000","-1,023,000","835,000","4,137,000","-39,000","-4,297,000","-2,794,000","1,553,000","-2,571,000","2,147,000","-436,000","5,266,000","704,000","1,325,000","1,244,000","2,955,000","-1,725,000","826,000","-14,402,000","-1,114,000","-3,897,000","17,436,000","-13,815,000","-5,031,000","698,000","7,124,000","-10,089,000","6,637,000","397,000","-2,470,000","1,212,000","-434,000","28,000","-195,000","-1,373,000","2,700,000","-600,000","300,000","-1,000,000","2,300,000","-1,500,000","-400,000","0","0","300,000","200,000","-100,000","-200,000","2,200,000","-700,000","200,000","1,100,000","1,900,000","100,000","500,000","-800,000","200,000","-600,000","400,000","500,000","200,000","-800,000","1,700,000","-1,500,000","1,400,000","-1,300,000","300,000","-400,000","200,000","-300,000"
			ChangeInReceivables,"-1,225,000","1,168,000","-1,623,000","935,000","-1,705,000","1,620,000","-626,000","297,000","-4,176,000","881,000","-351,000","612,000","-393,000","-512,000","-1,022,000","-1,052,000","-660,000","824,000","-430,000","-615,000","-306,000","279,000","-501,000","367,000","-166,000","180,000","-158,000","126,000","-390,000","176,000","-35,000","-90,000","195,000","659,000","14,000","117,000","-43,000","464,000","519,000","212,000","37,000","810,000","-211,000","432,000","958,000","621,000","-444,000","-160,000","1,147,000","661,000","380,000","-9,000","190,000","535,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
