name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991
MarketCap,"2,824,882,820","2,705,659,720","2,635,033,924","2,453,007,046","3,074,282,662","3,314,081,295","3,125,515,066","2,695,826,292","2,711,148,121","2,211,068,099","3,632,988,359","3,621,554,448","3,370,842,783","3,376,389,429","3,225,589,046","3,188,004,319","3,060,089,106","2,794,698,642","3,130,693,768","3,167,858,255","3,245,955,688","2,976,299,976","2,955,515,776","3,127,260,052","2,940,139,338","2,554,632,616","2,337,208,772","2,159,682,045","2,340,375,568","2,667,577,353","2,622,513,703","1,888,941,205","2,067,895,713","1,998,323,859","1,854,170,973","1,585,875,652","1,668,667,895","1,824,073,697","1,574,768,477","1,431,591,197","1,414,872,591","1,355,186,155","1,219,943,144","1,168,626,754","1,231,138,016","1,327,844,559","1,246,576,427","1,219,994,611","1,066,967,384","1,071,539,502","1,022,015,389","873,488,315","736,744,601","741,083,171","761,852,313","949,329,641","791,439,766","868,527,687","774,287,468","857,821,707","907,220,692","869,755,170","915,823,887","786,135,940","746,177,036","708,163,150","722,478,196","766,481,900","778,511,288","718,641,976","803,763,625","781,820,662","747,368,647","825,140,100","666,040,660","487,725,110","492,879,864","409,901,856","429,062,543","406,013,773","425,545,152","382,776,653","384,863,906","333,697,636","251,239,217","283,680,785","179,892,157","164,589,435","271,267,772","291,096,192","362,697,125","400,511,870","555,838,745","523,847,500","601,498,432","762,414,000","821,980,577","986,376,693","1,036,573,750","959,590,500","958,406,500","901,951,875","889,115,625","748,267,500","716,963,000","684,645,000","680,221,875","537,542,500","441,368,250","355,823,000","367,004,000","372,131,250","358,010,500","347,868,000","354,145,500","344,897,625","343,157,750","356,787,500","279,372,375","186,775,750","182,904,750","162,580,750","175,368,000"
EnterpriseValue,"4,037,805,820","3,919,968,720","3,880,765,924","3,864,645,046","4,496,270,662","4,780,660,295","4,622,923,066","4,213,852,292","4,224,641,121","3,656,956,099","5,087,104,359","5,098,344,448","4,663,508,783","4,664,043,429","4,464,361,046","4,432,004,319","4,238,360,106","3,958,407,642","4,260,434,768","4,331,768,255","4,408,436,688","4,108,773,976","4,058,611,776","4,217,494,052","3,869,744,338","3,488,878,616","3,353,430,772","3,070,696,045","3,256,880,568","3,548,664,353","3,282,692,703","2,542,578,205","2,713,458,713","2,626,866,859","2,238,082,973","1,936,184,652","1,865,867,895","2,018,151,697","1,768,846,477","1,528,649,197","1,500,951,591","1,425,236,155","1,243,074,144","1,191,757,754","1,247,615,016","1,334,744,559","1,259,201,427","1,224,923,611","1,079,214,384","1,083,445,502","936,884,389","788,357,315","650,526,601","617,221,171","639,003,313","818,974,641","662,754,766","739,859,687","652,627,468","777,302,707","823,641,692","741,837,170","814,919,887","687,575,940","647,617,036","635,922,150","647,573,196","691,576,900","707,602,288","658,834,976","730,866,625","749,966,662","759,746,647","877,531,100","727,669,660","604,578,110","628,497,864","564,839,856","592,333,543","559,552,773","634,161,152","587,707,653","589,794,906","613,784,636","549,564,217","639,962,785","573,142,157","563,126,435","669,804,772","666,199,192","759,602,125","767,981,870","923,308,745","891,317,500","968,968,432","996,414,000","1,055,880,577","1,217,000,693","1,267,197,750","1,292,186,500","1,291,002,500","1,234,547,875","1,221,711,625","1,047,867,500","991,663,000","939,845,000","1,007,921,875","846,242,500","750,068,250","751,123,000","769,704,000","774,831,250","591,410,500","577,568,000","663,445,500","581,697,625","583,957,750","623,287,500","432,472,375","410,875,750","407,704,750","392,880,750","401,268,000"
PeRatio,"33.484","24.184","18.303","15.689","18.887","17.459","16.237","15.803","14.423","13.493","22.696","22.95","21.796","21.403","20.416","20.597","19.967","17.388","18.84","19.869","19.223","18.767","17.329","18.083","18.719","16.841","18.39","18.079","19.978","23.359","22.863","18.492","20.993","21.827","18.393","21.07","23.112","24.422","21.093","21.613","19","18.618","17.047","16.329","17.355","21.11","20.098","19.67","17.062","18.112","17.614","14.653","13.289","12.981","13.715","16.512","10.004","11.201","9.824","13.042","13.735","13.867","17.46","15.314","14.535","14.11","12.019","12.782","13.056","12.49","14.663","17.03","16.38","18.333","15.949","18.05","22.217","15.663","18.067","10.235",,,,"229","9.279","8.878","4.852","3.462","5.705","5.852","6.984","6.446","8.774","8.113","9.178","11.032","11.542","13.66","14.341","13.688","13.724","13.118","13.527","12.453","12.843","13.052","13.357","12.552","11.307","10.745","11.821","12.613","12.976","13.636","14.231","14.959","15.696","16.813","14.297","18.996","25.133","35.887","82.759"
ForwardPeRatio,"12.937","12.392",,,,,,,,,,,,,,,,,,,,,,,,,,,,"22.989",,,"20.284","19.57","17.637","19.841","21.598","22.779","20.661","20.08","17.331","18.553","16.051","15.408","16.393","17.668","17.668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.112",,,"4.504","4.352","3.919","4.41","4.795","5.057","4.592","4.458","3.852","3.972","3.437","3.299","3.643","3.215","1.766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"9.77","9.034","8.424","7.537","9.102","9.708","9.236","8.074","8.234","6.804","11.376","11.663","11.124","11.223","10.85","10.926","10.733","9.937","11.255","11.762","12.251","11.444","11.819","12.6","12.233","10.935","10.369","10.142","11.323","13.368","13.727","11.734","13.879","14.571","13.652","14.8","16.521","18.793","16.232","18.664","16.683","16.393","15.08","14.446","15.426","16.876","15.926","16.076","14.322","15.311","15.908","12.957","11.64","11.697","12.073","15.217","12.731","13.964","12.44","5.595","5.96","5.776","5.802","4.967","4.715","4.484","4.485","4.77","4.945","4.607","5.164","4.92","4.551","5.123","4.132","2.903","2.917","2.363","2.514","2.344","2.498","2.567","2.602","2.435","2.013","1.937","1.174","1.1","1.813","2.092","2.764","4.039","5.974","5.762","6.924","8.562","8.909","10.567","10.979","10.381","10.601","10.118","10.375","7.705","6.986","6.4","5.081","4.82","4.342","4.389","6.504","6.94","6.847","6.674","7.015","6.647","6.322","6.169","4.342","5.794","7.475","10.3","21.999"
PbRatio,"1.91","1.795","1.712","1.586","1.981","2.192","2.093","1.806","1.813","1.476","2.484","2.552","2.389","2.442","2.366","2.345","2.354","2.114","2.358","2.495","2.522","2.461","2.449","2.674","2.601","2.254","2.258","2.083","2.258","2.565","3.401","2.453","2.676","2.607","3.865","3.461","3.647","3.991","3.445","3.215","3.177","3.056","2.727","2.612","2.752","2.967","2.817","2.77","2.433","2.453","2.352","2.004","1.711","1.734","1.773","2.127","1.791","1.961","1.736","1.99","2.099","2.015","2.126","1.833","1.74","1.662","1.7","1.804","1.836","1.709","1.889","1.879","1.806","2.085","1.704","1.251","1.273","1.071","1.124","1.037","1.118","1.01","1.015","0.884","0.613","0.749","0.454","0.443","0.731","0.788","0.97","0.974","1.328","1.25","1.484","1.753","1.787","2.142","2.449","2.172","2.207","2.089","2.319","1.95","1.993","1.918","2.307","1.959","1.608","1.584","1.705","1.728","1.672","1.676","3.52","3.527","3.605","3.709","3.017","24.903","21.518",,"438.42"
EnterprisesValueRevenueRatio,"13.964","54.958","55.705","52.343","60.491","59.104","56.905","49.986","50.189","44.019","61.891","62.417","59.715","61.283","60.332","59.16","58.095","54.414","59.936","60.71","63.126","61.89","62.414","66.679","63.227","59.116","57.185","52.687","57.835","63.652","71.778","57.165","61.446","60.897","74.812","60.9","66.524","71.895","76.382","59.919","68.933","59.215","57.753","58.265","61.519","64.743","65.707","62.318","56.069","52.983","74.474","40.177","40.463","38.717","40.51","52.431","40.78","48.171","-12.086","19.89","20.991","19.526","20.915","18.478","24.444","25.572","16.815","16.665","18.006","17.304","17.429","19.577","20.053","22.162","16.407","14.225","15.293","13.086","14.921","11.701","14.305","14.545","15.42","17.993","16.435","31.714","15.703","16.093","17.627","17.521","18.061","24.303","33.575","29.711","39.402","38.621","40.768","46.628","44.97","45.5","47.463","46.763","45.368","41.418","41.492","40.164","46.024","37.116","35.548","33.987","35.308","42.808","36.507","38.763","49.144","46.536","47.093","56.152","42.399","41.926","42.031","40.503","200.634"
EnterprisesValueEBITDARatio,"19.362","108.665","103.62","61.38","62.396","69.889","66.368","55.89","54.103","38.534","67.693","66.901","64.91","69.826","62.399","62.695","61.492","58.543","63.715","63.322","65.72","56.692","59.296","69.775","55.018","61.251","43.041","53.637","60.488","68.97","72.595","60.407","64.729","69.475","71.484","59.822","73.43","98.226","57.657","72.458","75.714","67.897","188.259","56.104","66.885","81.906","72.543","67.13","59.628","67.656","78.909","43.905","45.818","43.259","46.473","55.471","43.839","54.582","-213.766","20.76","61.388","50.486","50.61","45.22","1,595.116","-762.497","33.066","61.11","93.834","60.311","18.664","68.994","87.842","62.373","16.677","57.794","60.514","30.955","180.865","27.832","32.362","35.655","13.06","-167.381","-40.887","102.051","50.117","33.337","27.114","27.115","-9.956","17.986","27.479","22.565","-31.55","32.885","35.914","39.771","-35.903","38.921","41.511","40.879","-46.212","38.243","35.041","36.713","44.598","30.998","29.53","28.56","28.936","35.707","29.869","31.39","39.026","36.816","36.497","44.205","32.517","32.1","32.358","31.43","111.463"
