name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,12/31/2010,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalAssets,"6,215,000,000","5,987,000,000","6,043,000,000","6,182,000,000","6,623,000,000","6,568,000,000","6,476,000,000","5,482,000,000","5,130,000,000","5,268,000,000","5,157,000,000","5,416,000,000","4,726,000,000","4,642,000,000","4,714,000,000","4,733,000,000","4,858,000,000","4,864,000,000","4,691,000,000","4,994,000,000","4,922,000,000","4,950,000,000","4,925,000,000","4,893,000,000","4,907,000,000","5,072,000,000","5,296,000,000","5,592,000,000","5,436,000,000","5,065,000,000","5,347,000,000","5,566,000,000","5,606,000,000","5,699,000,000","5,785,000,000","5,847,000,000","6,015,000,000","5,511,000,000","5,665,900,000","5,182,100,000","1,903,000,000","1,657,400,000","1,587,900,000","1,554,200,000","1,097,900,000","1,614,700,000","1,710,800,000","1,746,500,000","1,723,400,000","1,748,300,000","1,786,300,000","1,813,000,000","1,823,400,000","1,913,400,000","1,902,700,000","1,889,600,000","1,758,300,000","1,703,000,000"
	CurrentAssets,"2,189,000,000","2,049,000,000","2,102,000,000","2,185,000,000","2,640,000,000","2,529,000,000","2,586,000,000","2,507,000,000","2,158,000,000","2,073,000,000","2,053,000,000","2,262,000,000","2,571,000,000","2,544,000,000","2,604,000,000","2,605,000,000","2,623,000,000","2,639,000,000","2,524,000,000","1,322,000,000","1,245,000,000","1,253,000,000","1,202,000,000","1,204,000,000","1,174,000,000","1,301,000,000","1,385,000,000","1,532,000,000","2,840,000,000","2,381,000,000","2,508,000,000","2,580,000,000","2,567,000,000","2,653,000,000","2,704,000,000","2,654,000,000","2,710,000,000","2,173,000,000","2,222,300,000","1,835,600,000","999,500,000","769,000,000","684,400,000","646,300,000","735,700,000","646,900,000","703,500,000","704,600,000","693,100,000","736,100,000","777,100,000","791,300,000","794,100,000","788,200,000","781,000,000","787,200,000","779,400,000","762,500,000"
		CashCashEquivalentsAndShortTermInvestments,"292,000,000","228,000,000","309,000,000","303,000,000","759,000,000","619,000,000","722,000,000","722,000,000","420,000,000","302,000,000","305,000,000","397,000,000","1,068,000,000","1,034,000,000","1,077,000,000","1,036,000,000","1,074,000,000","1,116,000,000","1,058,000,000","303,000,000","265,000,000","248,000,000","202,000,000","188,000,000","152,000,000","229,000,000","145,000,000","205,000,000","1,139,000,000","1,279,000,000","1,345,000,000","1,375,000,000","1,403,000,000","1,478,000,000","1,457,000,000","1,389,000,000","1,375,000,000","716,000,000","774,400,000","185,900,000","222,700,000","154,000,000","130,600,000","87,100,000","141,700,000","55,700,000","23,300,000","9,200,000","21,000,000","64,900,000","39,700,000","44,500,000","76,600,000","56,200,000","25,900,000","57,300,000","69,000,000","76,700,000"
			CashAndCashEquivalents,"292,000,000","228,000,000","309,000,000","303,000,000","759,000,000","619,000,000","722,000,000","722,000,000","420,000,000","302,000,000","305,000,000","397,000,000","1,068,000,000","1,034,000,000","1,077,000,000","1,036,000,000","1,074,000,000","1,116,000,000","1,058,000,000","303,000,000","265,000,000","248,000,000","202,000,000","188,000,000","152,000,000","229,000,000","145,000,000","205,000,000","1,139,000,000","1,279,000,000","1,345,000,000","1,375,000,000","1,403,000,000","1,478,000,000","1,457,000,000","1,389,000,000","1,375,000,000","716,000,000","774,400,000","185,900,000","222,700,000","154,000,000","130,600,000","87,100,000","141,700,000","55,700,000","23,300,000","9,200,000","21,000,000","64,900,000","39,700,000","44,500,000","76,600,000","56,200,000","25,900,000","57,300,000","69,000,000","76,700,000"
		Receivables,"656,000,000","637,000,000","631,000,000","687,000,000","658,000,000","544,000,000","487,000,000","449,000,000","560,000,000","488,000,000","576,000,000","603,000,000","302,000,000","319,000,000","334,000,000","349,000,000","338,000,000","344,000,000","310,000,000","457,000,000","428,000,000","421,000,000","394,000,000","405,000,000","367,000,000","391,000,000","453,000,000","472,000,000","298,000,000","277,000,000","304,000,000","370,000,000","327,000,000","308,000,000","373,000,000","425,000,000","416,000,000","391,000,000","364,400,000","426,400,000","350,100,000","277,800,000","303,600,000","294,300,000","246,500,000","253,100,000","297,800,000","275,100,000","294,800,000","292,000,000","348,400,000","340,400,000","339,500,000","378,700,000","358,000,000","325,500,000","334,000,000","304,500,000"
			AccountsReceivable,"651,000,000","631,000,000","625,000,000","681,000,000","652,000,000","540,000,000","484,000,000","439,000,000","554,000,000","482,000,000","573,000,000","599,000,000","300,000,000","317,000,000","326,000,000","341,000,000","329,000,000","323,000,000","297,000,000","434,000,000","411,000,000","406,000,000","375,000,000","382,000,000","343,000,000","366,000,000","434,000,000","452,000,000","290,000,000","271,000,000","299,000,000","364,000,000","319,000,000","302,000,000","357,000,000","405,000,000","397,000,000","368,000,000","364,400,000","406,000,000","350,100,000","270,900,000","303,600,000","294,300,000","243,800,000","252,600,000","289,900,000","272,200,000","290,500,000","287,600,000","344,000,000","331,500,000","325,600,000","369,400,000","351,400,000","324,700,000","331,600,000","303,900,000"
				GrossAccountsReceivable,"655,000,000","635,000,000","629,000,000","685,000,000","657,000,000","545,000,000","488,000,000","443,000,000","558,000,000","487,000,000",,,,"318,000,000",,,,"324,000,000","298,000,000","436,000,000","413,000,000","408,000,000","377,000,000","384,000,000","344,000,000","367,000,000","436,000,000","454,000,000","291,000,000","272,000,000","301,000,000","366,000,000","321,000,000","304,000,000","358,000,000","406,000,000","400,000,000","371,000,000","365,600,000","407,200,000","350,800,000","271,300,000","303,700,000","294,300,000","244,600,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,000,000","-4,000,000","-4,000,000","-4,000,000","-5,000,000","-5,000,000","-4,000,000","-4,000,000","-4,000,000","-5,000,000",,,,"-1,000,000",,,,"-1,000,000","-1,000,000","-2,000,000","-2,000,000","-2,000,000","-2,000,000","-2,000,000","-1,000,000","-1,000,000","-2,000,000","-2,000,000","-1,000,000","-1,000,000","-2,000,000","-2,000,000","-2,000,000","-2,000,000","-1,000,000","-1,000,000","-3,000,000","-3,000,000","-1,200,000","-1,200,000","-700,000","-400,000","-100,000","0","-800,000",,,,,,,,,,,,,
			TaxesReceivable,"5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","4,000,000","3,000,000","10,000,000","6,000,000","6,000,000","3,000,000","4,000,000","2,000,000","2,000,000","8,000,000","8,000,000","9,000,000","8,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0","500,000",,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","0",,,,"6,900,000",,,"2,700,000",,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"329,000,000","13,000,000","12,000,000","23,000,000","17,000,000","15,000,000","19,000,000","23,000,000","24,000,000","25,000,000","19,000,000","20,000,000","8,000,000","6,000,000","5,000,000","6,000,000","8,000,000","6,000,000","16,000,000","20,000,000","18,000,000","23,000,000","1,200,000","20,400,000","0",,"0","0","2,700,000","0","7,900,000","2,900,000","4,300,000","4,400,000","4,400,000","8,900,000","13,900,000","9,300,000","6,600,000","800,000","2,400,000","600,000"
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,"-2,000,000","-2,000,000","-1,000,000","-1,000,000","-2,000,000",,,,,,,,,,,,"-1,200,000",,,,,,,,,,,,,,,,,,,
		Inventory,"1,050,000,000","1,048,000,000","1,011,000,000","1,020,000,000","1,052,000,000","1,137,000,000","1,176,000,000","1,174,000,000","1,054,000,000","1,131,000,000","1,035,000,000","1,097,000,000","486,000,000","479,000,000","475,000,000","451,000,000","470,000,000","473,000,000","459,000,000","506,000,000","510,000,000","532,000,000","558,000,000","566,000,000","616,000,000","630,000,000","715,000,000","780,000,000","754,000,000","770,000,000","778,000,000","754,000,000","754,000,000","759,000,000","734,000,000","749,000,000","850,000,000","914,000,000","1,033,100,000","1,124,000,000","404,400,000","311,200,000","217,900,000","214,300,000","198,400,000","313,700,000","344,800,000","391,600,000","350,000,000","325,100,000","334,800,000","351,300,000","319,200,000","296,500,000","333,300,000","347,900,000","312,300,000","307,800,000"
			RawMaterials,"475,000,000","470,000,000","348,000,000","412,000,000","365,000,000","366,000,000","398,000,000","388,000,000","387,000,000","429,000,000","405,000,000","461,000,000","195,000,000","211,000,000","232,000,000","225,000,000","227,000,000","247,000,000","259,000,000","294,000,000","298,000,000",,,"319,000,000","350,000,000",,"368,000,000","385,000,000","436,000,000","390,000,000","393,000,000","381,000,000","343,000,000","297,000,000","322,000,000","344,000,000","357,000,000","338,000,000","313,900,000","370,100,000","224,700,000","171,900,000",,,"111,500,000","141,200,000","136,700,000","159,100,000","136,600,000","131,800,000","150,100,000","160,700,000","131,000,000","137,800,000","156,200,000","145,400,000","77,100,000","79,200,000"
			WorkInProcess,"117,000,000","117,000,000","107,000,000","111,000,000","106,000,000","103,000,000","106,000,000","109,000,000","101,000,000","129,000,000","101,000,000","108,000,000","46,000,000","43,000,000","45,000,000","38,000,000","46,000,000","35,000,000","30,000,000","37,000,000","35,000,000",,,"53,000,000","51,000,000",,"41,000,000","52,000,000","56,000,000","77,000,000","76,000,000","74,000,000","49,000,000","45,000,000","68,000,000","80,000,000","87,000,000","99,000,000","164,900,000","160,900,000","11,300,000","9,000,000",,,"6,900,000","14,600,000","14,900,000","15,500,000","12,800,000","13,400,000","14,800,000","14,300,000","13,400,000","11,500,000","13,500,000","16,400,000","15,200,000","16,000,000"
