name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996
TotalAssets,"6,053,183,000","6,324,314,000","5,974,752,000","5,890,772,000","5,818,028,000","5,940,590,000","4,846,295,000","4,671,866,000","4,526,085,000","4,838,887,000","3,582,012,000","3,512,842,000","3,372,263,000","3,265,964,000","3,056,111,000","3,058,250,000","2,959,166,000","2,941,623,000","2,846,013,000","2,760,965,000","2,794,693,000","2,800,526,000","2,730,357,000","2,747,661,000","2,758,828,000","2,729,904,000","2,701,566,000","2,746,030,000","2,681,094,000","2,774,103,000","2,789,038,000","2,799,196,000","2,793,229,000","2,722,382,000","2,618,279,000","2,576,036,000","2,599,700,000","2,607,417,000","2,558,304,000","2,513,222,000","2,517,058,000","2,448,470,000","2,347,905,000","2,237,975,000","2,178,360,000","2,126,876,000","2,118,482,000","1,953,550,000","1,954,531,000","1,920,182,000","1,852,729,000","1,835,124,000","1,824,568,000","1,864,514,000","1,841,091,000","996,112,000","1,018,988,000","969,292,000","928,760,000","906,791,000","903,402,000","878,043,000","854,554,000","868,894,000","325,543,000","305,509,000","273,018,000","262,011,000","254,979,000","239,646,000","212,879,000","202,676,000","193,456,000","179,346,000","162,445,000","155,682,000","147,333,000","127,001,000","116,274,000","113,238,000","113,748,000","117,762,000","92,117,000","91,377,000","84,001,000","94,225,000","94,748,000","85,343,000","88,630,000","83,891,000","79,300,000","77,100,000","73,300,000","68,000,000","63,400,000","60,000,000","57,200,000","53,600,000","50,100,000","47,700,000","44,600,000","43,400,000","42,000,000","41,300,000"
	CurrentAssets,"1,449,878,000","1,638,574,000","1,756,685,000","1,622,364,000","1,660,952,000","1,719,237,000","1,458,721,000","1,294,264,000","1,290,700,000","1,555,480,000","1,206,226,000","1,133,345,000","1,062,811,000","1,311,177,000","1,127,567,000","1,142,985,000","1,327,329,000","1,270,266,000","1,201,674,000","1,145,680,000","1,182,069,000","1,169,401,000","1,100,151,000","1,109,742,000","1,118,679,000","1,076,426,000","1,045,264,000","1,110,355,000","1,029,288,000","1,110,493,000","1,075,020,000","1,064,657,000","1,132,262,000","1,067,596,000","959,956,000","915,484,000","931,608,000","913,359,000","825,831,000","841,153,000","830,802,000","740,033,000","626,427,000","854,251,000","784,745,000","714,633,000","686,392,000","578,742,000","566,082,000","515,490,000","430,481,000","399,307,000","378,208,000","397,153,000","358,338,000","337,882,000","355,936,000","305,169,000","281,282,000","253,066,000","245,500,000","215,156,000","184,179,000","191,448,000","257,914,000","242,486,000","215,320,000","203,651,000","195,358,000","184,254,000","157,842,000","146,763,000","137,261,000","122,559,000","106,658,000","97,411,000","88,992,000","92,491,000","81,859,000","78,260,000","77,937,000","83,402,000","65,898,000","64,031,000","55,545,000","64,907,000","64,604,000","71,694,000","75,828,000","70,915,000","65,800,000","63,300,000","58,900,000","53,700,000","48,300,000","44,400,000","41,100,000","36,900,000","33,600,000","31,000,000","27,700,000","25,100,000","21,900,000","20,800,000"
		CashCashEquivalentsAndShortTermInvestments,"657,765,000","668,028,000","1,081,365,000","958,208,000","987,943,000","913,151,000","845,209,000","744,979,000","718,030,000","872,382,000","732,902,000","631,696,000","607,628,000","777,364,000","729,391,000","696,163,000","889,768,000","881,787,000","926,635,000","863,482,000","866,556,000","822,860,000","838,272,000","843,765,000","863,877,000","784,614,000","776,923,000","841,170,000","761,183,000","788,778,000","817,470,000","783,559,000","858,243,000","742,986,000","707,774,000","659,864,000","651,481,000","577,155,000","555,341,000","551,952,000","558,445,000","472,404,000","406,880,000","630,260,000","550,469,000","472,934,000","495,836,000","416,585,000","390,312,000","343,844,000","293,706,000","254,187,000","229,603,000","233,875,000","212,374,000","202,044,000","201,227,000","171,851,000","150,867,000","137,971,000","117,543,000","104,486,000","101,768,000","103,109,000","203,230,000","194,232,000","174,472,000","163,370,000","149,744,000","138,446,000","124,260,000","109,371,000","96,283,000","83,014,000","72,270,000","62,832,000","51,793,000","61,132,000","55,269,000","50,637,000","50,300,000","53,448,000","47,770,000","49,664,000","41,974,000","47,540,000","50,605,000","58,579,000","63,352,000","57,132,000","54,900,000","17,700,000","8,000,000","6,600,000","4,800,000","5,600,000","14,000,000","14,000,000","14,500,000","18,000,000","19,900,000","17,100,000","9,300,000","8,700,000"
			CashAndCashEquivalents,"657,421,000","667,667,000","1,080,838,000","957,704,000","987,427,000","912,672,000","844,741,000","744,546,000","717,748,000","872,094,000","732,684,000","631,455,000","607,391,000","777,139,000","729,180,000","695,894,000","885,493,000","881,501,000","919,571,000","857,996,000","866,188,000","822,479,000","837,916,000","843,355,000","863,435,000","784,168,000","776,239,000","840,354,000","760,394,000","788,064,000","816,805,000","782,915,000","857,684,000","742,486,000","707,334,000","659,403,000","650,993,000","576,703,000","554,887,000","551,484,000","557,846,000","471,828,000","406,298,000","629,712,000","549,934,000","472,479,000","494,716,000","415,488,000","389,240,000","335,878,000","293,338,000","251,703,000","229,269,000","228,176,000","209,532,000","195,405,000","200,903,000","167,224,000","150,651,000","137,784,000","117,374,000","104,315,000","101,618,000","102,648,000","197,159,000","176,166,000","164,430,000","153,324,000","69,906,000","83,547,000","114,280,000","89,267,000","91,295,000","78,038,000","67,281,000","47,852,000","36,849,000","46,198,000","25,429,000","22,803,000","18,457,000","28,545,000","17,995,000","19,786,000","17,294,000","6,313,000","11,437,000","23,873,000","13,059,000","57,132,000","6,700,000","17,700,000","8,000,000","6,600,000","4,800,000","5,600,000","14,000,000","14,000,000","14,500,000","18,000,000","19,900,000","17,100,000","9,300,000","8,700,000"
				CashFinancial,"572,768,000","580,047,000","960,228,000","556,074,000","548,833,000","571,587,000","536,778,000","518,734,000","599,137,000","549,639,000","431,624,000","381,218,000","379,831,000","331,084,000","332,097,000","305,154,000","560,670,000","568,587,000","528,134,000","487,424,000","511,200,000","488,504,000","503,107,000","488,600,000","521,033,000","427,244,000","423,132,000","431,664,000","421,023,000","506,731,000",,,,,,,,,,,,,,,,,,,"151,543,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"84,653,000","87,620,000","120,610,000","401,630,000","438,594,000","341,085,000","307,963,000","225,812,000","118,611,000","322,455,000","301,060,000","250,237,000","227,560,000","446,055,000","397,083,000","390,740,000","324,823,000","312,914,000","391,437,000","370,572,000","354,988,000","333,975,000","334,809,000","354,755,000","342,402,000","356,924,000","353,107,000","408,690,000","339,371,000","281,333,000",,,,,,,,,,,,,,,,,,,"237,697,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"344,000","361,000","527,000","504,000","516,000","479,000","468,000","433,000","282,000","288,000","218,000","241,000","237,000","225,000","211,000","269,000","4,275,000","286,000","7,064,000","5,486,000","368,000","381,000","356,000","410,000","442,000","446,000","684,000","816,000","789,000","714,000","665,000","644,000","559,000","500,000","440,000","461,000","488,000","452,000","454,000","468,000","599,000","576,000","582,000","548,000","535,000","455,000","1,120,000","1,097,000","1,072,000","7,966,000","368,000","2,484,000","334,000","5,699,000","2,842,000","6,639,000","324,000","4,627,000","216,000","187,000","169,000","171,000","150,000","461,000","6,071,000","18,066,000","10,042,000","10,046,000","79,838,000","54,899,000","9,980,000","20,104,000","4,988,000","4,976,000","4,989,000","14,980,000","14,944,000","14,934,000","29,840,000","27,834,000","31,843,000","24,903,000","29,775,000","29,878,000","24,680,000","41,227,000","39,168,000","34,706,000","50,293,000",,"48,200,000",,,,,,,,,,,,,
		Receivables,"722,141,000","918,111,000","624,849,000","608,897,000","589,993,000","761,346,000","569,605,000","503,293,000","524,773,000","637,830,000","430,450,000","455,635,000","412,105,000","498,553,000","361,951,000","410,014,000","405,094,000","361,477,000","251,615,000","256,396,000","288,356,000","322,029,000","239,222,000","240,994,000","228,250,000","269,642,000","217,360,000","223,146,000","223,331,000","272,335,000","211,536,000","235,892,000","232,901,000","298,579,000","228,564,000","235,147,000","264,097,000","312,866,000","249,098,000","271,175,000","255,162,000","247,898,000","199,275,000","203,368,000","217,496,000","224,006,000","170,728,000","145,252,000","161,199,000","153,819,000","117,860,000","128,482,000","137,646,000","157,285,000","140,087,000","121,833,000","135,481,000","115,780,000","108,068,000","96,346,000","104,661,000","89,694,000","69,482,000","76,086,000","50,505,000","44,199,000","37,533,000","15,359,000","17,592,000","18,792,000","14,716,000","16,652,000","18,653,000","36,234,000","16,034,000","16,035,000","18,878,000","29,612,000","12,785,000","13,523,000","13,057,000","28,155,000","12,948,000","11,701,000","10,896,000","14,403,000","10,362,000","9,510,000","9,531,000","10,518,000","7,800,000","8,200,000","8,300,000","8,900,000","7,300,000","6,100,000","6,900,000","8,000,000","6,600,000","6,900,000","6,800,000","7,300,000","11,800,000","8,100,000"
			AccountsReceivable,"513,738,000","645,891,000","475,829,000","449,664,000","394,289,000","537,564,000","371,352,000","343,247,000","337,105,000","433,479,000","295,590,000","297,798,000","268,526,000","317,700,000","235,547,000","258,280,000","256,560,000","124,659,000","91,356,000","83,223,000","92,332,000","107,192,000","85,273,000","85,506,000","82,498,000","91,579,000","91,470,000","87,960,000","80,949,000","101,229,000","83,253,000","88,544,000","83,418,000","97,845,000","79,912,000","84,101,000","80,291,000","96,598,000","77,861,000","83,935,000","79,506,000","84,602,000","65,084,000","68,807,000","71,049,000","76,604,000","54,042,000","63,522,000","67,389,000","67,084,000","51,056,000","50,886,000","53,445,000","61,823,000","57,844,000","51,718,000","54,978,000","48,281,000","39,490,000","41,079,000","43,550,000","37,341,000","27,816,000","29,937,000","22,491,000","19,134,000","16,448,000","15,359,000","17,592,000","18,792,000","14,716,000","16,652,000","18,653,000","20,028,000","16,034,000","16,035,000","18,878,000","15,875,000","12,785,000","13,523,000","13,057,000","15,352,000","12,948,000","11,701,000","10,896,000",,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"528,338,000","660,491,000","490,429,000","464,264,000","408,289,000","551,564,000","384,752,000","356,647,000","348,105,000","442,179,000","304,290,000","306,798,000","277,126,000","325,700,000","243,647,000","265,580,000","256,560,000","131,459,000","98,156,000","89,923,000","99,032,000","112,892,000","90,573,000","90,606,000","87,698,000","96,779,000","96,870,000","93,160,000","85,949,000","106,729,000","88,653,000","94,044,000","89,018,000","103,545,000","85,312,000","89,201,000","85,091,000","101,398,000","81,911,000","87,985,000","83,506,000","88,703,000","69,484,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
