name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
TotalRevenue,"2,073,056,000","527,711,000","477,851,000","518,005,000","549,489,000","534,180,000","496,696,000","485,353,000","260,007,000","469,704,000","401,763,000","431,902,000","429,451,000","461,215,000","355,922,000","387,425,000","385,532,000","407,975,000","321,819,000","346,089,000","337,541,000","369,859,000","277,114,000","301,216,000"
	OperatingRevenue,"2,073,056,000","527,711,000","477,851,000","518,005,000","549,489,000","534,180,000","496,696,000","485,353,000","260,007,000","469,704,000","401,763,000","431,902,000","429,451,000","461,215,000","355,922,000","387,425,000","385,532,000","407,975,000","321,819,000","346,089,000","337,541,000","369,859,000","277,114,000","301,216,000"
CostOfRevenue,"916,126,000","236,037,000","217,685,000","226,458,000","235,946,000","224,690,000","216,481,000","210,809,000","140,780,000","218,554,000","187,541,000","204,502,000","202,506,000","211,969,000","173,470,000","182,588,000","177,059,000","180,454,000","152,393,000","162,358,000","156,408,000","165,808,000","130,328,000","138,664,000"
GrossProfit,"1,156,930,000","291,674,000","260,166,000","291,547,000","313,543,000","309,490,000","280,215,000","274,544,000","119,227,000","251,150,000","214,222,000","227,400,000","226,945,000","249,246,000","182,452,000","204,837,000","208,473,000","227,521,000","169,426,000","183,731,000","181,133,000","204,051,000","146,786,000","162,552,000"
OperatingExpense,"1,002,235,000","253,936,000","249,268,000","240,836,000","258,195,000","247,083,000","222,231,000","212,600,000","158,414,000","218,485,000","204,354,000","212,772,000","203,453,000","214,764,000","188,829,000","203,915,000","182,680,000","187,878,000","169,127,000","167,171,000","159,361,000","164,329,000","143,059,000","148,237,000"
	SellingGeneralAndAdministration,"905,759,000","228,554,000","224,756,000","218,214,000","234,235,000","223,593,000","199,749,000","190,518,000","136,582,000","193,741,000","178,044,000","190,290,000","182,278,000","193,876,000","167,912,000","184,424,000","165,038,000","170,102,000","152,210,000","151,251,000","144,655,000","149,804,000","128,853,000","134,457,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,"170,102,000",,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,"170,102,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"98,685,000","25,151,000","24,450,000","25,059,000","24,025,000","23,555,000","22,615,000","22,236,000","21,924,000","24,810,000","23,674,000","22,336,000","20,819,000","20,415,000","20,259,000","19,080,000","17,346,000","17,654,000","16,711,000","15,352,000","14,629,000","14,423,000","13,756,000","13,217,000"
		DepreciationAndAmortizationInIncomeStatement,"98,685,000","25,151,000","24,450,000","25,059,000","24,025,000","23,555,000","22,615,000","22,236,000","21,924,000","24,810,000","23,674,000","22,336,000","20,819,000","20,415,000","20,259,000","19,080,000","17,346,000","17,654,000","16,711,000","15,352,000","14,629,000","14,423,000","13,756,000","13,217,000"
	OtherOperatingExpenses,"-2,209,000","231,000","62,000","-2,437,000","-65,000","-65,000","-133,000","-154,000","-92,000","-66,000","2,636,000","146,000","356,000","473,000","658,000","411,000","296,000","122,000","206,000","568,000","77,000","102,000","450,000","563,000"
OperatingIncome,"154,695,000","37,738,000","10,898,000","50,711,000","55,348,000","62,407,000","57,984,000","61,944,000","-39,187,000","32,665,000","9,868,000","14,628,000","23,492,000","34,482,000","-6,377,000","922,000","25,793,000","39,643,000","299,000","16,560,000","21,772,000","39,722,000","3,727,000","14,315,000"
NetNonOperatingInterestIncomeExpense,"-15,138,000","4,144,000","-3,351,000","-5,743,000","-10,188,000","-6,330,000","-12,759,000","-12,475,000","-15,638,000","-7,455,000","-7,398,000","-7,873,000","-8,968,000","-9,061,000","-9,339,000","-9,407,000","-9,424,000","-9,313,000","-16,396,000","-14,851,000","-14,622,000","-14,194,000","-9,715,000","-9,728,000"
	InterestExpenseNonOperating,,,"3,443,000","5,743,000","10,096,000","6,330,000","12,739,000","12,475,000","15,502,000","7,455,000","7,398,000","7,873,000","8,968,000","9,061,000","9,139,000","9,407,000","9,424,000","9,313,000","14,571,000","14,851,000","14,622,000","11,492,000","9,715,000","9,728,000"
	TotalOtherFinanceCost,,"-4,144,000",,,"92,000",,"20,000",,"136,000",,"7,398,000","7,873,000","8,968,000","9,061,000","9,339,000","9,407,000","9,424,000","9,313,000","1,825,000","14,851,000","14,622,000","2,702,000","9,715,000","9,728,000"
OtherIncomeExpense,"-3,874,000","-406,000","-2,949,000",,"-519,000","-959,000","-1,088,000","-7,150,000","-2,411,000","-15,750,000","-1,507,000","-13,302,000","-1,790,000","-2,082,000","-15,493,000","-2,137,000",,,"-3,117,000","-568,000","-8,000,000",,"-7,080,000","-563,000"
	SpecialIncomeCharges,"-3,874,000","-406,000","-2,949,000","0","-519,000","-959,000","-1,088,000","-7,150,000","-2,411,000","-15,750,000","-1,507,000","-13,302,000","-1,790,000","-2,082,000","-15,493,000","-2,137,000","0",,"-3,117,000","0","-8,000,000",,"-7,080,000","0"
		ImpairmentOfCapitalAssets,"3,874,000","406,000","2,949,000","0","519,000","959,000","1,088,000","7,150,000","2,411,000","11,355,000","1,507,000","3,516,000","1,790,000","2,082,000","15,493,000","2,137,000","0",,"3,117,000","0","1,000,000",,"7,080,000","0"
		WriteOff,,,,,,,,,,,,,,"2,082,000","15,493,000","2,137,000",,,,,"1,000,000",,,
		OtherSpecialCharges,,,,,,,"0",,,"4,395,000","0","9,786,000",,,,,,,"0",,"7,000,000",,"450,000",
PretaxIncome,"135,683,000","41,476,000","4,598,000","44,968,000","44,641,000","55,118,000","44,137,000","42,319,000","-57,236,000","9,460,000","963,000","-6,547,000","12,734,000","23,339,000","-31,209,000","-10,622,000","16,369,000","30,330,000","-19,214,000","1,709,000","-850,000","25,528,000","-13,068,000","4,587,000"
TaxProvision,"20,724,000","11,329,000","-1,621,000","3,976,000","7,040,000","11,686,000","9,058,000","7,030,000","-13,403,000","-282,000","-2,956,000","-7,739,000","2,477,000","5,910,000","-10,922,000","-16,438,000","3,292,000","5,283,000","-47,914,000","163,000","646,000","8,458,000","-3,359,000","1,561,000"
NetIncomeCommonStockholders,"114,959,000","30,147,000","-868,000","43,385,000","39,963,000","43,432,000","35,079,000","35,289,000","-43,833,000","9,742,000","3,919,000","1,192,000","10,257,000","17,429,000","-20,287,000","5,816,000","13,077,000","25,047,000","28,700,000","1,546,000","-1,496,000","17,070,000","-4,125,000","3,026,000"
	NetIncome,"114,959,000","30,147,000","6,219,000","40,992,000","37,601,000","43,432,000","35,079,000","35,289,000","-43,833,000","9,742,000","3,919,000","1,192,000","10,257,000","17,429,000","-20,287,000","5,816,000","13,077,000","25,047,000","28,700,000","1,546,000","-1,496,000","17,070,000","-9,709,000","3,026,000"
		NetIncomeIncludingNoncontrollingInterests,"114,959,000","30,147,000","6,219,000","40,992,000","37,601,000","43,432,000","35,079,000","35,289,000","-43,833,000","9,742,000","3,919,000","1,192,000","10,257,000","17,429,000","-20,287,000","5,816,000","13,077,000","25,047,000","28,700,000","1,546,000","-1,496,000","17,070,000","-9,709,000","3,026,000"
			NetIncomeContinuousOperations,"114,959,000","30,147,000","6,219,000","40,992,000","37,601,000","43,432,000","35,079,000","35,289,000","-43,833,000","9,742,000","3,919,000","1,192,000","10,257,000","17,429,000","-20,287,000","5,816,000","13,077,000","25,047,000","28,700,000","1,546,000","-1,496,000","17,070,000","-9,709,000","3,026,000"
	OtherunderPreferredStockDividend,,,,"-2,393,000","-2,362,000",,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"114,959,000","30,147,000","-868,000","43,385,000","39,963,000","43,432,000","35,079,000","35,289,000","-43,833,000","9,742,000","3,919,000","1,192,000","10,257,000","17,429,000","-20,287,000","5,816,000","13,077,000","25,047,000","28,700,000","1,546,000","-1,496,000","17,070,000","-4,125,000","3,026,000"
