name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"3,911,000","3,911,000","0","0","0","0","0","0","0"
	OperatingRevenue,"3,911,000","3,911,000","0","0","0","0","0","0","0"
CostOfRevenue,,"11,014,000",,,,"0",,,
GrossProfit,,"-7,103,000",,,,"0",,,
OperatingExpense,"198,284,000","63,677,000","62,161,000","42,544,000","29,901,000","24,654,000","43,198,000","7,781,000","11,082,000"
	SellingGeneralAndAdministration,"92,155,000","25,750,000","25,922,000","20,820,000","19,443,000","12,458,000","36,609,000","2,358,000","3,861,000"
		GeneralAndAdministrativeExpense,"83,344,000","20,986,000","24,040,000","19,730,000","18,318,000","12,394,000","36,609,000","2,358,000","3,861,000"
			OtherGandA,"83,344,000","20,986,000","24,040,000","19,730,000","18,318,000","12,394,000","36,609,000","2,358,000","3,861,000"
		SellingAndMarketingExpense,"8,811,000","4,764,000","1,882,000","1,090,000","1,125,000","64,000","0","0","0"
	ResearchAndDevelopment,"106,129,000","37,927,000","36,239,000","21,724,000","10,458,000","12,196,000","6,589,000","5,423,000","7,221,000"
OperatingIncome,"-205,387,000","-70,780,000","-62,161,000","-42,544,000","-29,901,000","-24,654,000","-43,198,000","-7,781,000","-11,082,000"
NetNonOperatingInterestIncomeExpense,"-460,000","174,000","25,000","18,000","-678,000","-535,000","-2,095,000","-1,312,000","-1,253,000"
	InterestExpenseNonOperating,,,,,"678,000",,,,"1,253,000"
	TotalOtherFinanceCost,,"-174,000","-25,000","-18,000",,"535,000",,"1,312,000",
OtherIncomeExpense,"20,939,000","-15,107,000","10,869,000","25,895,000","-718,000","-133,783,000","3,008,000","3,891,000","3,510,000"
	GainOnSaleOfSecurity,,,"5,234,000","20,447,000",,,"2,757,000","2,570,000",
	SpecialIncomeCharges,"-5,950,000","-15,500,000","4,700,000","4,850,000","0","-133,783,000","0","0","0"
		RestructuringAndMergernAcquisition,"10,800,000","15,500,000",,,,"0",,,
		OtherSpecialCharges,,,"0","-4,850,000",,"133,783,000",,,
	OtherNonOperatingIncomeExpenses,,"393,000","935,000","598,000","-718,000",,"251,000","1,321,000","3,510,000"
PretaxIncome,"-184,908,000","-85,713,000","-51,267,000","-16,631,000","-31,297,000","-158,972,000","-42,285,000","-5,202,000","-8,825,000"
TaxProvision,"-385,000","0","-2,000","-383,000","0","0","0","0","0"
NetIncomeCommonStockholders,"-184,523,000","-85,713,000","-51,265,000","-16,248,000","-31,297,000","-1,170,698,000","-42,285,000","-5,202,000","-8,825,000"
	NetIncome,"-184,523,000","-85,713,000","-51,265,000","-16,248,000","-31,297,000","-158,972,000","-42,285,000","-5,202,000","-8,825,000"
		NetIncomeIncludingNoncontrollingInterests,"-184,523,000","-85,713,000","-51,265,000","-16,248,000","-31,297,000","-158,972,000","-42,285,000","-5,202,000","-8,825,000"
			NetIncomeContinuousOperations,"-184,523,000","-85,713,000","-51,265,000","-16,248,000","-31,297,000","-158,972,000","-42,285,000","-5,202,000","-8,825,000"
	OtherunderPreferredStockDividend,"0","0","0","0",,"1,011,726,000","0","0","0"
DilutedNIAvailtoComStockholders,"-184,523,000","-85,713,000","-51,265,000","-16,248,000","-31,297,000","-1,170,698,000","-42,285,000","-5,202,000","-8,825,000"
BasicEPS,,"-0.33","-0.2","-0.06","-0.123","-4.603",,"-0.02","-0.035"
DilutedEPS,,"-0.33","-0.2","-0.06","-0.123","-4.603",,"-0.02","-0.035"
BasicAverageShares,,"263,651,818","259,214,000","257,319,000","254,330,092","254,330,092",,"254,330,092","254,330,092"
DilutedAverageShares,,"263,651,818","259,214,000","257,319,000","254,330,092","254,330,092",,"254,330,092","254,330,092"
TotalOperatingIncomeAsReported,"-220,887,000","-86,280,000","-62,161,000","-42,544,000","-29,901,000","-24,654,000","-43,198,000","-7,781,000","-11,082,000"
TotalExpenses,"209,298,000","74,691,000","62,161,000","42,544,000","29,901,000","24,654,000","43,198,000","7,781,000","11,082,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-184,523,000","-85,713,000","-51,265,000","-16,248,000","-31,297,000","-158,972,000","-42,285,000","-5,202,000","-8,825,000"
NormalizedIncome,"-204,212,917.759","-70,213,000","-61,198,612.46","-40,962,428.236","-31,297,000","-25,189,000","-45,042,000","-7,772,000","-8,825,000"
InterestExpense,,,,,"678,000",,,,"1,253,000"
NetInterestIncome,"-460,000","174,000","25,000","18,000","-678,000","-535,000","-2,095,000","-1,312,000","-1,253,000"
EBIT,"-303,124,000","-70,780,000","-159,898,000","-42,544,000","-30,619,000","-24,654,000","-32,338,000","-7,781,000","-7,572,000"
EBITDA,"-295,910,000"
ReconciledCostOfRevenue,,"11,014,000",,,,"0",,,
ReconciledDepreciation,"7,214,000","2,775,000","1,431,000","1,978,000","1,030,000","888,000","830,000","815,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-184,523,000","-85,713,000","-51,265,000","-16,248,000","-31,297,000","-158,972,000","-42,285,000","-5,202,000","-8,825,000"
TotalUnusualItemsExcludingGoodwill,"19,731,000","-15,500,000","9,934,000","25,297,000","0","-133,783,000","2,757,000","2,570,000","0"
TotalUnusualItems,"19,731,000","-15,500,000","9,934,000","25,297,000","0","-133,783,000","2,757,000","2,570,000","0"
NormalizedEBITDA,"-315,641,000","-52,505,000","-168,401,000","-65,863,000","-29,589,000","110,017,000","-34,265,000","-9,536,000","-7,572,000"
TaxRateForCalcs,"0.002","0","0","0.023","0","0","0","0","0"
TaxEffectOfUnusualItems,"41,082.241","0","387.54","582,571.764","0","0","0","0","0"
