name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015
TotalRevenue,"1,105,970,000","278,034,000","293,009,000","266,747,000","268,180,000","272,586,000","275,294,000","258,765,000","266,820,000","266,162,000","268,537,000","263,629,000","264,414,000","261,031,000","270,754,000","252,636,000","247,329,000","246,915,000","246,336,000","245,210,000","213,013,000","211,473,000","206,920,000","200,240,000","188,573,000","174,675,000","173,932,000","173,634,000",
	OperatingRevenue,"1,105,970,000","278,034,000","293,009,000","266,747,000","268,180,000","272,586,000","275,294,000","258,765,000","266,820,000","266,162,000","268,537,000","263,629,000","264,414,000","261,031,000","270,754,000","252,636,000","247,329,000","246,915,000","246,336,000","245,210,000","213,013,000","211,473,000","206,920,000","200,240,000","188,573,000","174,675,000","173,932,000","173,634,000",
CostOfRevenue,,,,,,"38,084,000","41,029,000","37,831,000","40,167,000","40,310,000","41,495,000","39,948,000","40,163,000","38,418,000","40,866,000","34,773,000","31,522,000","29,904,000","27,918,000","30,172,000","21,961,000","22,125,000","19,346,000","15,704,000","9,911,000","4,707,000","4,854,000","5,148,000",
GrossProfit,,,,,,"234,502,000","234,265,000","220,934,000","226,653,000","225,852,000","227,042,000","223,681,000","224,251,000","222,613,000","229,888,000","217,863,000","215,807,000","217,011,000","218,418,000","215,038,000","191,052,000","189,348,000","187,574,000","184,536,000","178,662,000","169,968,000","169,078,000","168,486,000",
OperatingExpense,"534,419,000","130,303,000","146,586,000","129,774,000","127,756,000","134,871,000","142,751,000","144,370,000","153,030,000","153,564,000","166,657,000","166,381,000","169,169,000","166,471,000","171,636,000","168,187,000","167,045,000","167,145,000","167,215,000","165,684,000","138,063,000","137,464,000","131,651,000","122,618,000","110,535,000","96,236,000","90,851,000","91,500,000",
	SellingGeneralAndAdministration,"99,223,000","23,870,000","25,376,000","25,077,000","24,900,000","25,823,000","23,289,000","26,659,000","27,894,000","27,133,000","26,979,000","25,267,000","26,428,000","24,226,000","21,331,000","20,666,000","20,681,000","22,520,000","22,496,000","22,068,000","13,503,000","13,978,000","11,783,000","10,191,000","8,239,000","5,189,000","3,818,000","4,229,000",
		GeneralAndAdministrativeExpense,"99,223,000","23,870,000","25,376,000","25,077,000","24,900,000","25,823,000","23,289,000","26,659,000","27,894,000","27,133,000","26,979,000","25,267,000","26,428,000","24,226,000","21,331,000","20,666,000","20,681,000","22,520,000","22,496,000","22,068,000","13,503,000","13,978,000","11,783,000","10,191,000","8,239,000","5,189,000","3,818,000","4,229,000",
			OtherGandA,"99,223,000","23,870,000","25,376,000","25,077,000","24,900,000","25,823,000","23,289,000","26,659,000","27,894,000","27,133,000","26,979,000","25,267,000","26,428,000","24,226,000","21,331,000","20,666,000","20,681,000","22,520,000","22,496,000","22,068,000","13,503,000","13,978,000","11,783,000","10,191,000","8,239,000","5,189,000","3,818,000","4,229,000",
	DepreciationAmortizationDepletionIncomeStatement,"291,435,000","71,457,000","79,777,000","70,530,000","69,671,000","70,964,000","78,433,000","79,880,000","84,969,000","86,121,000","98,183,000","101,166,000","102,578,000","103,827,000","109,439,000","112,748,000","114,842,000","114,721,000","116,801,000","113,444,000","102,599,000","101,361,000","100,522,000","96,723,000","92,385,000","86,340,000","87,033,000","87,271,000",
		DepreciationAndAmortizationInIncomeStatement,"291,435,000","71,457,000","79,777,000","70,530,000","69,671,000","70,964,000","78,433,000","79,880,000","84,969,000","86,121,000","98,183,000","101,166,000","102,578,000","103,827,000","109,439,000","112,748,000","114,842,000","114,721,000","116,801,000","113,444,000","102,599,000","101,361,000","100,522,000","96,723,000","92,385,000","86,340,000","87,033,000","87,271,000",
	OtherOperatingExpenses,"143,761,000","34,976,000","41,433,000","34,167,000","33,185,000","38,084,000","41,029,000","37,831,000","40,167,000","40,310,000","41,495,000","39,948,000","40,163,000","38,418,000","40,866,000","34,773,000","31,522,000","29,904,000","27,918,000","30,172,000","21,961,000","22,125,000","19,346,000","15,704,000","9,911,000","4,707,000",,,
OperatingIncome,"571,551,000","147,731,000","146,423,000","136,973,000","140,424,000","137,715,000","132,543,000","114,395,000","113,790,000","112,598,000","101,880,000","97,248,000","95,245,000","94,560,000","99,118,000","84,449,000","80,284,000","79,770,000","79,121,000","79,526,000","74,950,000","74,009,000","75,269,000","77,622,000","78,038,000","78,439,000","78,227,000","76,986,000",
NetNonOperatingInterestIncomeExpense,"-401,887,000","-96,172,000","-104,534,000","-94,793,000","-106,388,000","-140,581,000","-108,701,000","-102,791,000","-107,243,000","-178,393,000","-103,270,000","-104,655,000","-97,729,000","-84,458,000","-82,193,000","-80,406,000","-79,385,000","-77,607,000","-78,759,000","-78,784,000","-75,086,000","-73,365,000","-70,787,000","-70,522,000","-68,036,000","-66,049,000","-66,489,000","-66,511,000",
	InterestExpenseNonOperating,"401,887,000","96,172,000","104,534,000","94,793,000","106,388,000","140,581,000","108,701,000","102,791,000","107,243,000","178,393,000","103,270,000","104,655,000","97,729,000","84,458,000","82,193,000","80,406,000","79,385,000","77,607,000","78,759,000","78,784,000","75,086,000","73,365,000","70,787,000","70,522,000","68,036,000","66,049,000","66,489,000","66,511,000",
OtherIncomeExpense,"5,763,000","-1,316,000","-11,715,000","-1,346,000","20,140,000","-4,591,000","-79,507,000","-1,006,000","-610,751,000","-19,047,000","-15,453,000","-14,115,000","49,874,000","-3,556,000","-2,455,000","-1,285,000","-7,138,000","-2,028,000","-7,438,000","-4,579,000","-16,249,000","-21,023,000","-9,234,000","-9,315,000","-11,210,000","-3,910,000","-4,333,000","-804,000",
	GainOnSaleOfSecurity,,,"0",,"442,000",,"-459,000","22,908,000","63,818,000",,"0","205,000","28,790,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"23,022,000","-1,714,000","-1,920,000","-1,063,000","27,719,000","-4,137,000","-79,531,000","-20,816,000","-668,556,000","-15,972,000","-14,825,000","-15,179,000","-7,035,000","-6,669,000","-5,385,000","-2,323,000","-3,789,000","-5,913,000","-5,792,000","-8,512,000","-14,017,000","-9,684,000","-9,234,000","-9,315,000","-11,210,000","-3,910,000","-4,333,000","-804,000",
		RestructuringAndMergernAcquisition,"5,121,000","1,714,000","1,920,000","1,063,000","424,000","4,137,000","8,531,000","20,816,000","18,556,000","15,972,000","14,825,000","15,179,000","7,035,000","6,669,000","5,385,000","2,323,000","3,789,000","5,913,000","5,792,000","8,512,000","14,017,000","9,684,000","9,234,000","9,315,000","11,210,000","3,910,000","4,333,000","804,000",
		ImpairmentOfCapitalAssets,,,"0",,,,"71,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,"0",,"650,000,000",,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,"0","0","28,143,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-17,701,000","398,000","-9,795,000","-283,000","-8,021,000","-454,000","483,000","-3,098,000","-6,013,000","-3,075,000","-628,000","859,000","28,119,000","3,113,000","2,930,000","1,038,000","-3,349,000","3,885,000","-1,646,000","3,933,000","-2,232,000","-11,339,000",,,,,,,
PretaxIncome,"175,427,000","50,243,000","30,174,000","40,834,000","54,176,000","-7,457,000","-55,665,000","10,598,000","-604,204,000","-84,842,000","-16,843,000","-21,522,000","47,390,000","6,546,000","14,470,000","2,758,000","-6,239,000","135,000","-7,076,000","-3,837,000","-16,385,000","-20,379,000","-4,752,000","-2,215,000","-1,208,000","8,480,000","7,405,000","9,671,000",
TaxProvision,"-4,430,000","-2,071,000","-5,199,000","-2,244,000","5,084,000","-2,557,000","-7,553,000","2,801,000","-5,875,000","-4,576,000","-5,489,000","-1,745,000","7,843,000","4,054,000","-213,000","-1,466,000","-2,646,000","-1,096,000","-29,873,000","-8,672,000","75,000","-379,000","-382,000","128,000","327,000","444,000","239,000","268,000",
EarningsFromEquityInterestNetOfTax,"2,248,000","544,000","553,000","604,000","547,000","398,000","440,000","-342,000",,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"179,656,000","52,394,000","35,610,000","43,080,000","48,572,000","-4,689,000","-47,197,000","7,034,000","-588,169,000","-79,056,000","-11,405,000","-19,470,000","38,246,000","1,013,000","12,346,000","2,075,000","-5,562,000","-870,000","20,539,000","2,939,000","-18,242,000","-21,788,000","-6,163,000","-4,144,000","-2,871,000","7,681,000","6,769,000","8,973,000",
	NetIncome,"180,828,000","52,730,000","35,825,000","43,366,000","48,907,000","-4,438,000","-46,969,000","7,265,000","-587,744,000","-78,853,000","-11,157,000","-19,420,000","38,717,000","2,442,000","14,349,000","4,131,000","-3,503,000","1,210,000","22,293,000","4,728,000","-16,460,000","-20,000,000","-4,370,000","-2,343,000","-1,535,000","8,036,000","7,166,000","9,403,000",
		NetIncomeIncludingNoncontrollingInterests,"182,105,000","52,858,000","35,926,000","43,682,000","49,639,000","-4,502,000","-47,672,000","7,455,000","-598,329,000","-80,266,000","-11,354,000","-19,777,000","39,547,000","2,492,000","14,683,000","4,224,000","-3,593,000","1,231,000","22,797,000","4,835,000","-16,460,000","-20,000,000","-4,370,000","-2,343,000","-1,535,000","8,036,000","7,166,000","9,403,000",
			NetIncomeContinuousOperations,"182,105,000","52,858,000","35,926,000","43,682,000","49,639,000","-4,502,000","-47,672,000","7,455,000","-598,329,000","-80,266,000","-11,354,000","-19,777,000","39,547,000","2,492,000","14,683,000","4,224,000","-3,593,000","1,231,000","22,797,000","4,835,000","-16,460,000","-20,000,000","-4,370,000","-2,343,000","-1,535,000","8,036,000","7,166,000","9,403,000",
		MinorityInterests,"-1,277,000","-128,000","-101,000","-316,000","-732,000","64,000","703,000","-190,000","10,585,000","1,413,000","197,000","357,000","-830,000","-50,000","-334,000","-93,000","90,000","-21,000","-504,000","-107,000",,,,,,,,,
	PreferredStockDividends,"12,000","5,000","2,000","3,000","2,000","3,000","3,000","2,000","1,000","3,000","0",,,"656,000","656,000","656,000","656,000","656,000","656,000","656,000","656,000","656,000","656,000","649,000","438,000",,,,
	OtherunderPreferredStockDividend,"1,160,000","331,000","213,000","283,000","333,000","248,000","225,000","229,000","424,000","200,000","248,000","50,000","471,000","773,000","1,347,000","1,400,000","1,403,000","1,424,000","1,098,000","1,133,000","1,126,000","1,132,000","1,137,000","1,152,000","898,000","355,000","397,000","430,000",
AverageDilutionEarnings,,"2,994,000","2,989,000",,,,,,,,,,,,"-2,755,000",,,,"0","-6,964,000",,,,,,,,,
DilutedNIAvailtoComStockholders,"182,650,000","55,388,000","35,610,000","43,080,000","48,572,000","-4,689,000","-47,197,000","7,034,000","-588,169,000","-79,056,000","-11,405,000","-19,470,000","38,246,000","1,013,000","11,842,000","2,075,000","-5,562,000","-870,000","27,503,000","-4,025,000","-18,242,000","-21,788,000","-6,163,000","-4,144,000","-2,871,000","7,681,000","6,769,000","8,973,000",
BasicEPS,,"0.22","0.15","0.18","0.21","-0.02","-0.2","0.04","-3.06","-0.41","-0.06","-0.1","0.21","0.01","0.07","0.01","-0.03","-0.005","0.12","0.02","-0.11","-0.14","-0.04","-0.03","-0.02","0.05","0.05","0.06","0"
DilutedEPS,,"0.21","0.15","0.17","0.2","-0.02","-0.2","0.04","-3.06","-0.41","-0.06","-0.1","0.2","0.01","0.05","0.01","-0.03","-0.01","0.12","-0.02","-0.11","-0.14","-0.04","-0.03","-0.02","0.05","0.05","0.06","0"
BasicAverageShares,,"235,046,000","234,719,000","233,513,000","231,801,000","231,469,000","231,262,000","198,054,000","192,479,000","192,236,000","192,140,000","191,940,000","182,971,000","182,219,000","179,337,000","175,396,000","175,011,000","174,892,000","174,833,000","174,818,000","169,655,000","155,184,000","155,137,000","153,878,000","150,913,000","149,918,000","149,841,000","149,834,000",
DilutedAverageShares,,"267,304,000","266,077,000","264,421,000","262,268,000","231,469,000","231,262,000","198,373,000","192,479,000","192,236,000","192,140,000","191,940,000","193,105,000","182,222,000","180,270,000","175,653,000","175,011,000","175,499,000","174,833,000","175,399,000","169,655,000","155,184,000","155,137,000","153,878,000","150,913,000","149,984,000","149,841,000","149,834,000",
TotalOperatingIncomeAsReported,,,,,,,,,,,,,,,,,,,,"71,014,000",,,,,,,,,
