name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,12/31/2017
TotalAssets,"954,457,000","814,658,000","854,226,000","397,113,000","440,364,000","488,251,000","531,588,000","572,030,000","618,928,000","421,913,000","449,730,000","477,251,000","496,044,000","308,359,000","318,699,000","236,060,000"
	CurrentAssets,"890,926,000","749,713,000","788,019,000","329,330,000","374,737,000","421,511,000","470,012,000","510,088,000","556,204,000","357,437,000","385,483,000","414,597,000","442,114,000","293,176,000","312,617,000","232,974,000"
		CashCashEquivalentsAndShortTermInvestments,"868,571,000","735,251,000","777,850,000","319,570,000","362,744,000","413,308,000","461,714,000","503,640,000","548,535,000","353,073,000","381,446,000","410,933,000","436,595,000","290,408,000","308,694,000","32,451,000"
			CashAndCashEquivalents,"454,620,000","329,152,000","516,532,000","125,713,000","110,703,000","49,969,000","84,979,000","92,501,000","160,917,000","89,641,000","86,974,000","69,208,000","60,954,000","65,470,000","41,939,000","32,451,000"
			OtherShortTermInvestments,"413,951,000","406,099,000","261,318,000","193,857,000","252,041,000","363,339,000","376,735,000","411,139,000","387,618,000","263,432,000","294,472,000","341,725,000","375,641,000","224,938,000","266,755,000",
		Receivables,"12,819,000","7,391,000","1,584,000",,,,,,,,,,,"0","0","200,238,000"
			AccountsReceivable,,,,,,,,,,,,,,"0","0","238,000"
			DuefromRelatedPartiesCurrent,"12,819,000","7,391,000","1,584,000",,,,,,,,,,,"0","0","200,000,000"
		PrepaidAssets,"9,536,000","7,071,000","8,585,000","9,760,000","11,993,000","8,203,000","8,298,000","6,448,000","7,669,000","4,364,000","4,037,000","3,664,000","5,519,000","2,768,000","3,923,000","285,000"
	TotalNonCurrentAssets,"63,531,000","64,945,000","66,207,000","67,783,000","65,627,000","66,740,000","61,576,000","61,942,000","62,724,000","64,476,000","64,247,000","62,654,000","53,930,000","15,183,000","6,082,000","3,086,000"
		NetPPE,"56,127,000","57,899,000","59,019,000","60,318,000","61,563,000","62,651,000","57,887,000","59,384,000","60,849,000","62,328,000","62,626,000","61,072,000","52,398,000","10,937,000","3,555,000","2,834,000"
			GrossPPE,"56,127,000","75,185,000","59,019,000","60,318,000","61,563,000","73,608,000","57,887,000","59,384,000","60,849,000","67,741,000","66,661,000","63,829,000","54,596,000","12,838,000","5,252,000","3,814,000"
				Properties,,"0",,,,"0",,,,"0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,,"4,624,000",,,,"3,986,000",,,,"3,585,000","3,523,000","3,247,000","669,000","580,000","430,000","174,000"
				OtherProperties,"56,127,000","44,612,000","59,019,000","60,318,000","61,563,000","44,080,000","57,887,000","59,384,000","60,849,000","38,934,000","37,875,000","36,791,000","35,570,000","4,599,000","4,211,000","3,527,000"
				ConstructionInProgress,,,,,,,,,,"0","39,000","56,000","18,147,000","7,449,000","401,000",
				Leases,,"25,949,000",,,,"25,542,000",,,,"25,222,000","25,224,000","23,735,000","210,000","210,000","210,000","113,000"
			AccumulatedDepreciation,,"-17,286,000",,,,"-10,957,000",,,,"-5,413,000","-4,035,000","-2,757,000","-2,198,000","-1,901,000","-1,697,000","-980,000"
		OtherNonCurrentAssets,"7,404,000","7,046,000","7,188,000","7,465,000","4,064,000","4,089,000","3,689,000","2,558,000","1,875,000","2,148,000","1,621,000","1,582,000","1,532,000","4,246,000","2,527,000","252,000"
TotalLiabilitiesNetMinorityInterest,"686,920,000","513,934,000","518,336,000","212,598,000","212,535,000","220,721,000","221,397,000","216,699,000","227,194,000","227,170,000","231,143,000","231,535,000","229,858,000","405,757,000","401,482,000","288,093,000"
	CurrentLiabilities,"142,878,000","139,555,000","132,815,000","74,393,000","64,062,000","68,088,000","71,087,000","65,856,000","71,775,000","61,970,000","58,718,000","67,102,000","55,834,000","47,948,000","41,029,000","27,403,000"
		PayablesAndAccruedExpenses,"39,412,000","29,293,000","30,345,000","41,216,000","33,664,000","29,402,000","37,755,000","26,438,000","33,063,000","19,510,000","18,944,000","18,176,000","10,914,000","9,470,000","5,539,000","7,121,000"
