name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalAssets,"5,928,453,000","5,504,234,000","5,060,415,000","4,566,108,000","3,756,608,000","3,587,582,000","3,154,286,000","2,867,595,000","2,682,180,000","2,487,067,000","2,149,786,000","1,952,664,000","1,769,463,000","1,665,085,000"
	CurrentAssets,"562,551,000","615,742,000","717,687,000","639,678,000","376,810,000","456,655,000","309,425,000","286,805,000","279,956,000","274,320,000","126,389,000","109,003,000","85,954,000","89,533,000"
		CashCashEquivalentsAndShortTermInvestments,"208,495,000","243,101,000","408,156,000","368,626,000","150,892,000","209,859,000","84,635,000","102,279,000","73,436,000","83,485,000","51,026,000","58,776,000","43,858,000","52,706,000"
			CashAndCashEquivalents,"208,495,000","243,101,000","408,156,000","368,626,000","150,892,000","209,859,000","84,635,000","102,279,000","73,436,000","83,485,000","51,026,000","58,776,000","43,858,000","52,706,000"
				CashFinancial,"208,495,000","243,101,000","408,156,000","368,626,000","150,892,000","209,859,000","84,635,000","102,279,000","73,436,000","83,485,000","51,026,000","58,776,000","43,858,000","52,706,000"
		Receivables,"145,275,000","139,181,000","95,354,000","77,990,000","63,235,000","56,509,000","46,114,000","37,136,000","35,420,000","31,559,000","28,963,000","26,867,000","20,843,000","10,033,000"
			AccountsReceivable,"21,267,000","18,584,000","25,440,000","17,886,000","11,802,000","10,243,000","11,799,000","12,504,000","10,039,000","10,672,000","10,383,000","11,150,000","7,363,000","6,312,000"
				GrossAccountsReceivable,"22,332,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,065,000",,,,,,,,,,,,,
			NotesReceivable,"67,608,000","56,074,000","45,596,000","36,981,000","29,897,000","24,888,000","20,961,000","18,538,000","16,117,000","14,740,000","12,658,000","11,186,000","10,327,000",
			OtherReceivables,"56,400,000","64,523,000","24,318,000","23,123,000","21,536,000","21,378,000","13,354,000","6,094,000","9,264,000","6,147,000","5,922,000","4,531,000","3,153,000","3,721,000"
		Inventory,"150,517,000","127,955,000","134,889,000","128,004,000","107,684,000","102,589,000","111,011,000","120,804,000","115,107,000","43,749,000","17,125,000","16,526,000","15,787,000",
			RawMaterials,"52,581,000",,"74,520,000","80,668,000","77,915,000",,"92,544,000","98,137,000","81,086,000",,,,,
