name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007
			OtherIntangibleAssets,"31,977,505","32,732,771","21,575,724","21,902,077","5,287,809","5,423,980","4,510,161","4,586,343","4,638,902","3,820,460","3,778,794","3,595,785","3,674,924","3,804,026","4,090,722","3,972,465","3,980,619","4,114,374","3,409,668","3,497,494","3,423,319","3,467,218","2,781,412","2,706,083","2,628,810","2,434,692","2,428,392","2,515,710","2,452,322","784,510","1,194,869","625,371","584,752","518,559","399,550","301,883","299,608","302,769","323,073","350,227","361,875","359,899","355,808","345,691","338,973","341,095","342,109","339,583","336,256",,"350,716","709,598","747,894","790,348","938,982","964,783","1,006,513","962,355"
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,400","13,784",,,,,,,,,,
			LongTermEquityInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,400","13,784",,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,"283,968","459,932","406,381","378,014","278,253","142,625","136,547","135,363","55,747","91,641","97,651","100,659","0","0","57,000","163,000",,,,"0","0","154,000","355,000","493,000","408,000","408,000","408,000","408,000","201,062","201,062","201,062","109,670",,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,"283,968","459,932","406,381","378,014","278,253","142,625","136,547","135,363","55,747","91,641","97,651","100,659","0","0","57,000","163,000",,,,,"0","154,000","355,000","493,000","408,000","408,000","408,000","408,000","201,062","201,062","201,062","109,670",,,,,,,,,,,,
		OtherNonCurrentAssets,"851,431","790,339","637,662","477,920","487,983","486,472","478,291","457,020","346,666",,"29,385","35,999","37,452",,,,,,"0",,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,"-1","1",,"1,249","1,248","1,249","33,988","64,039","35,251","48,812","52,862"
TotalLiabilitiesNetMinorityInterest,"96,020,869","76,552,436","45,996,488","34,940,804","35,319,305","30,456,963","29,770,371","28,773,446","26,708,768","16,708,225","17,347,341","17,656,557","16,075,351","9,929,943","13,532,213","12,291,397","14,551,885","15,192,581","15,425,182","15,490,783","11,821,266","11,501,573","9,711,658","9,045,907","10,541,638","11,184,544","10,428,192","9,347,781","8,744,616","5,124,353","6,103,610","3,717,681","2,751,202","2,131,019","1,555,516","2,277,956","1,917,461","2,400,767","1,284,381","974,354","1,203,351","1,404,034","1,079,416","595,471","500,491","679,836","863,498","819,248","943,814","995,224","1,359,089","1,866,312","1,880,426","2,037,450","2,798,373","2,817,655","2,756,620","2,388,255"
	CurrentLiabilities,"47,097,919","36,267,822","34,987,257","24,999,500","26,109,352","21,200,344","20,899,603","19,107,612","14,784,623","11,786,280","12,774,528","13,467,923","11,572,528","8,482,842","12,010,882","10,843,801","13,230,345","13,710,948","14,317,392","14,111,132","10,132,531","9,542,876","8,023,343","7,113,570","8,289,142","8,799,279","7,569,039","6,133,214","5,503,710","5,124,353","5,863,610","3,469,680","2,543,202","1,910,019","1,461,692","2,252,123","1,889,993","2,400,767","1,284,380","974,354","1,203,351","1,404,034","1,079,416","595,471","500,491","663,851","847,513","803,264","927,829","979,239","1,326,145","1,725,877","1,685,286","1,797,065","2,348,471","2,304,734","2,322,138","1,898,988"
		PayablesAndAccruedExpenses,"40,915,383","30,567,406","29,758,119","21,438,389","18,215,124","15,438,091","14,245,291","14,025,859","10,892,491","8,808,305","8,668,419","9,217,432","8,560,677","6,437,023","11,175,192","10,047,495","10,436,527","10,646,514","7,257,954","8,082,657","6,110,152","6,028,671","4,943,882","3,862,411","4,023,500","4,583,468","3,876,520","3,650,544","2,899,957","4,121,590","3,954,010","3,179,229","2,141,493","1,829,164","1,183,785","2,230,656","1,868,609","2,385,717","1,266,030","956,304","1,184,601","1,386,284","909,566","527,021","482,741","648,101","830,448","760,421","837,399","827,831","1,144,470","1,508,498","1,453,249","1,534,727","1,770,374","1,753,402","1,848,654","1,429,000"
			Payables,"36,833,892","25,174,805","27,007,788","19,154,867","16,596,092","13,171,448","12,194,902","12,795,703","9,344,453","7,440,965","7,667,642","8,569,518","7,916,438","5,242,786","11,175,192","10,047,495","10,436,527","10,646,514","7,257,954","8,082,657","6,110,152","6,028,671","4,943,882","3,862,411","4,023,500","4,583,468","3,876,520","3,650,544","2,899,957","4,121,590","3,954,010","3,179,229","2,141,493","1,829,164","1,183,785","2,230,656","1,868,609","2,385,717",,,,,,,,,,,,,,"1,508,498","1,453,249","1,534,727",,,,
