name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
MarketCap,"2,990,096,577","2,912,752,824","3,850,448,359","3,443,693,445","3,654,769,042","3,061,058,961","2,999,741,611","2,486,946,271","2,573,899,602","1,902,683,270","2,419,157,682","1,974,149,707","1,985,488,716","1,736,173,628","1,575,194,506","2,050,645,541","1,828,251,350","1,725,851,336","1,570,024,044","1,322,267,111","1,477,127,223","1,286,530,162","1,460,384,816"
EnterpriseValue,"3,283,792,577","2,949,344,824","3,850,455,359","3,538,294,445","3,893,539,042","3,243,661,961","3,265,559,611","2,896,779,271","3,037,504,602","2,271,630,270","2,781,307,682","2,338,563,707","2,456,114,716","2,088,657,628","1,923,027,506","2,447,159,541","2,353,077,350","2,142,182,336","1,960,629,044","1,772,240,111","2,034,883,223","1,620,065,162","2,254,028,816"
PeRatio,"17.617","16.916","17.576","13.982","21.572","32.289","32.959","43.09","27.611","16.075","21.667","22","21.35","17.322","15.842","20.169","19.26","18.772","26.853","30.326","39.243","27.871","45.227"
ForwardPeRatio,"15.129","15.601","22.422","21.978","22.883","23.81","24.45","21.692","45.455","17.271","19.121","16.611","17.153","15.129","12.854","17.036","16.051","15.291","16.611","14.793","16.667","15.576","17.452"
PegRatio,,,,,,,,,,,"3.824","3.321","3.433","3.025","2.57","3.408","3.208","3.823","4.15","3.699","4.168","3.892","5.814"
PsRatio,"1.428","1.411","1.86","1.665","2.079","1.924","1.952","1.692","1.585","1.159","1.49","1.247","1.225","1.059","0.964","1.268","1.165","1.104","1.02","0.864","0.943","0.707","0.939"
PbRatio,"2.793","2.793","3.383","3.066","3.478","3.111","3.12","2.769","2.906","2.072","2.583","2.131","2.159","1.955","1.78","2.333","2.141","2.118","1.937","1.657","1.921","1.748","5.679"
EnterprisesValueRevenueRatio,"1.511","4.866","9.155","6.783","6.231","5.584","7.766","5.998","10.125","5.558","7.552","5.606","5.314","4.816","5.601","6.606","4.921","4.849","5.58","5.103","4.755","3.736","6.69"
EnterprisesValueEBITDARatio,"11.654","25.779","-283.434","57.324","32.66","25.254","109.205","31.315","170.083","73.262","70.658","42.275","34.625","33.675","70.757","69.486","31.389","29.503","50.468","62.23","30.068","21.761","144.267"
