name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015
TotalRevenue,"1,978,468,000","508,894,000","517,920,000","490,552,000","461,102,000","425,323,000","437,647,000","417,315,000","256,862,000","255,821,000","270,192,000","272,340,000","266,125,000","255,008,000","257,404,000","218,924,000","140,333,000","134,751,000","445,942,000","0","0","0","0","0","0","0","0","0",
	OperatingRevenue,"1,978,468,000","508,894,000","517,920,000","490,552,000","461,102,000","425,323,000","437,647,000","417,315,000","256,862,000","255,821,000","270,192,000","272,340,000","266,125,000","255,008,000","257,404,000","218,924,000","140,333,000","134,751,000","445,942,000","0","0","0","0","0","0","0","0","0",
CostOfRevenue,"956,825,000","242,079,000","239,451,000","237,003,000","238,292,000","211,943,000","203,392,000","207,751,000","146,898,000","149,631,000","168,855,000","168,914,000","162,229,000","150,354,000","154,527,000","137,978,000","85,693,000","83,830,000",,,,,,,,,,"0",
GrossProfit,"1,021,643,000","266,815,000","278,469,000","253,549,000","222,810,000","213,380,000","234,255,000","209,564,000","109,964,000","106,190,000","101,337,000","103,426,000","103,896,000","104,654,000","102,877,000","80,946,000","54,640,000","50,921,000",,,,,,,,,,"0",
OperatingExpense,"626,096,000","168,505,000","159,993,000","153,714,000","144,728,000","132,821,000","139,821,000","127,934,000","67,134,000","78,318,000","61,347,000","70,813,000","73,501,000","75,538,000","96,043,000","75,023,000","47,730,000","44,805,000","171,600,772","1,027,322","871,490","331,416","146,166","137,376","127,551","277,474","99,601","10,889",
	SellingGeneralAndAdministration,"544,327,000","150,210,000","139,150,000","133,424,000","122,387,000","116,485,000","119,357,000","112,079,000","65,272,000","74,968,000","57,737,000","68,159,000","71,623,000","73,485,000","90,026,000","71,897,000","47,734,000","45,214,000","160,120,772","1,027,322","871,490","331,416","146,166","137,376","127,551","277,474","99,601","10,889",
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,"1,027,322","871,490","331,416","146,166","137,376","127,551","277,474","99,601","10,889",
			OtherGandA,,,,,,,,,,,,,,,,,,,,"1,027,322","871,490","331,416","146,166","137,376","127,551","277,474","99,601","10,889",
	DepreciationAmortizationDepletionIncomeStatement,"79,310,000","19,604,000","19,270,000","18,814,000","21,622,000","18,324,000","20,425,000","16,867,000","2,883,000","3,074,000","2,517,000","3,707,000","3,167,000","3,004,000","5,578,000","3,720,000","1,570,000","2,436,000",,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"79,310,000","19,604,000","19,270,000","18,814,000","21,622,000","18,324,000","20,425,000","16,867,000","2,883,000","3,074,000","2,517,000","3,707,000","3,167,000","3,004,000","5,578,000","3,720,000","1,570,000","2,436,000",,,,,,,,,,,
	OtherOperatingExpenses,"2,459,000","-1,309,000","1,573,000","1,476,000","719,000","-1,988,000","39,000","-1,012,000","-1,021,000","276,000","1,093,000","-1,053,000","-1,289,000","-951,000","439,000","-594,000","-1,574,000","-2,845,000",,,,,,,,,,,
