name,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,08/31/1992,08/31/1991
TotalAssets,"18,171,000,000","17,430,000,000","17,588,000,000","16,654,000,000","15,740,708,000","14,494,163,000","15,269,478,000","14,397,416,000","13,390,876,000","13,139,678,000","14,444,963,000","12,970,475,000","12,608,777,000","12,476,594,000","12,778,337,000","12,045,641,000","11,175,510,000","11,488,257,000","11,519,565,000","11,095,995,000","10,329,649,000","10,014,828,000","10,543,846,000","10,322,677,000","9,906,074,000","9,898,202,000","10,221,152,000","9,603,207,000","8,965,533,000","8,578,156,000","8,869,908,000","8,479,746,000","8,221,330,000","8,128,208,000","9,029,402,000","9,153,781,000","8,133,484,000","8,247,641,000","8,185,500,000","7,803,141,000","7,372,838,000","7,167,054,000","7,199,374,000","7,057,940,000","6,955,568,000","6,384,454,000","6,367,747,000","5,693,283,000","5,449,878,000","5,620,251,000","5,317,858,000","5,169,055,000","5,293,789,000","6,783,051,000","7,032,137,000","6,928,051,000","6,443,926,000","6,734,039,000","6,295,232,000","6,219,668,000","6,252,530,000","5,686,083,000","5,411,730,000","5,043,595,000","4,553,420,000","4,441,717,000","4,077,262,000","3,782,824,000","3,578,737,000","3,775,176,000","3,329,356,000","3,251,011,000","3,601,714,000","3,517,225,000","3,244,745,000","2,999,004,000","2,954,490,000","2,877,847,000","2,547,906,000","2,428,186,000","2,412,894,000","2,363,853,000","2,357,578,000","2,390,555,000","2,160,215,000","2,150,015,000","2,018,192,000","1,479,195,000","1,307,866,000","1,138,700,000","920,700,000","841,900,000","698,900,000","616,300,000","526,700,000","445,400,000","455,300,000","461,100,000","405,900,000","374,200,000","333,000,000","302,200,000","299,900,000","263,500,000","304,900,000","336,100,000","281,000,000","222,300,000","182,200,000","172,200,000","174,300,000","146,900,000","147,300,000","120,900,000","115,800,000","142,100,000","128,500,000","59,700,000","64,400,000"
	CurrentAssets,"12,472,000,000","11,867,000,000","11,812,000,000","10,877,000,000","10,259,514,000","9,143,653,000","9,847,192,000","9,134,885,000","8,266,292,000","7,977,839,000","9,252,231,000","8,345,085,000","7,974,369,000","7,906,057,000","8,220,739,000","7,549,923,000","6,731,987,000","7,036,175,000","6,922,128,000","6,626,683,000","5,893,361,000","5,636,521,000","6,083,416,000","5,848,381,000","5,532,726,000","5,565,223,000","6,317,174,000","5,866,309,000","5,502,641,000","5,342,182,000","5,737,357,000","5,359,017,000","5,157,158,000","4,962,679,000","5,608,695,000","5,820,245,000","5,808,189,000","5,897,273,000","5,946,076,000","5,639,328,000","5,335,037,000","5,113,350,000","5,317,006,000","5,135,360,000","5,076,540,000","4,625,047,000","4,654,018,000","4,057,967,000","3,858,030,000","4,014,836,000","3,676,826,000","3,514,419,000","3,672,066,000","4,281,925,000","4,139,137,000","4,089,189,000","3,650,792,000","4,021,079,000","3,666,293,000","3,593,478,000","3,681,416,000","3,921,960,000","3,678,965,000","3,367,574,000","3,153,351,000","3,043,139,000","2,685,935,000","2,448,799,000","2,384,828,000","2,579,471,000","2,182,675,000","2,132,967,000","2,467,034,000","2,374,387,000","2,093,947,000","1,847,721,000","1,793,030,000","1,726,724,000","1,588,344,000","1,541,207,000","1,496,396,000","1,420,441,000","1,446,798,000","1,596,223,000","1,373,570,000","1,401,022,000","1,387,270,000","936,825,000","827,517,000","702,500,000","587,900,000","523,800,000","404,300,000","358,400,000","290,400,000","258,400,000","272,400,000","296,100,000","266,000,000","255,300,000","239,900,000","223,300,000","227,300,000","190,100,000","230,900,000","264,200,000","218,200,000","169,100,000","134,600,000","125,900,000","129,200,000","108,000,000","108,400,000","82,500,000","76,900,000","102,400,000","96,700,000","39,100,000","46,400,000"
		CashCashEquivalentsAndShortTermInvestments,"1,070,000,000","1,093,000,000","1,229,000,000","1,567,000,000","1,240,729,000","838,099,000","1,107,573,000","1,393,557,000","763,337,000","696,745,000","719,842,000","1,163,343,000","694,086,000","749,057,000","804,409,000","1,257,949,000","677,492,000","940,796,000","746,258,000","1,189,919,000","743,931,000","755,098,000","747,415,000","912,059,000","886,991,000","883,218,000","1,130,344,000","913,963,000","962,794,000","966,414,000","921,504,000","1,000,249,000","1,322,266,000","675,129,000","769,223,000","1,011,373,000","1,351,726,000","1,061,655,000","1,030,034,000","1,217,256,000","742,129,000","707,350,000","861,904,000","888,611,000","911,145,000","630,154,000","744,329,000","600,349,000","794,137,000","852,067,000","876,272,000","768,915,000","774,936,000","579,882,000","772,923,000","860,069,000","531,369,000","664,456,000","663,625,000","558,358,000","554,687,000","651,292,000","773,563,000","854,879,000","918,622,000","875,620,000","796,071,000","681,042,000","779,776,000","619,836,000","621,322,000","596,164,000","900,687,000","748,680,000","699,748,000","514,425,000","497,351,000","538,259,000","640,735,000","658,691,000","643,344,000","492,383,000","430,652,000","457,458,000","146,125,000","131,067,000","337,602,000","38,999,000","56,612,000","48,200,000","140,800,000","158,500,000","18,100,000","13,000,000","23,100,000","43,300,000","55,700,000","43,200,000","45,500,000","56,700,000","65,200,000","72,400,000","73,300,000","28,000,000","4,300,000","3,400,000","5,500,000","6,100,000","4,400,000","4,200,000","1,800,000","500,000","500,000","1,300,000","1,300,000","3,100,000","500,000","500,000","500,000"
			CashAndCashEquivalents,"1,070,000,000","1,093,000,000","1,229,000,000","1,567,000,000","1,240,729,000","838,099,000","1,107,573,000","1,393,557,000","763,337,000","696,745,000","719,842,000","1,163,343,000","694,086,000","749,057,000","804,409,000","1,257,949,000","677,492,000","940,796,000","746,258,000","1,189,919,000","743,931,000","755,098,000","747,415,000","912,059,000","886,991,000","883,218,000","1,130,344,000","913,963,000","962,794,000","966,414,000","921,504,000","1,000,249,000","1,322,266,000","675,129,000","769,223,000","1,011,373,000","1,351,726,000","1,061,655,000","1,030,034,000","1,217,256,000","742,129,000","707,350,000","861,904,000","888,611,000","911,145,000","630,154,000","744,329,000","600,349,000","794,137,000","852,067,000","876,272,000","768,915,000","774,936,000","579,882,000","772,923,000","860,069,000","531,369,000","664,456,000","663,625,000","558,358,000","554,687,000","651,292,000","773,563,000","854,879,000","918,622,000","875,620,000","796,071,000","681,042,000","779,776,000","619,836,000","621,322,000","596,164,000","900,687,000","748,680,000","699,748,000","514,425,000","497,351,000","538,259,000","640,735,000","658,691,000","643,344,000","492,383,000","430,652,000","457,458,000","146,125,000","131,067,000","337,602,000","38,999,000","56,612,000","43,300,000","113,600,000","158,500,000","18,100,000","13,000,000","23,100,000","43,300,000","55,700,000","43,200,000","45,500,000","56,700,000","65,200,000","72,400,000","73,300,000","28,000,000","4,300,000","3,400,000","5,500,000","6,100,000","4,400,000","4,200,000","1,800,000","500,000","500,000","1,300,000","1,300,000","3,100,000","500,000","500,000","500,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,900,000","27,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"4,469,000,000","4,465,000,000","5,050,000,000","4,139,000,000","4,298,233,000","4,056,105,000","4,739,928,000","3,952,443,000","3,665,838,000","3,371,711,000","4,656,725,000","3,657,166,000","3,596,081,000","3,376,504,000","3,539,006,000","1,693,268,000","1,586,685,000","1,549,899,000","1,534,754,000","1,397,424,000","1,445,148,000","1,433,676,000","1,519,651,000","1,359,610,000","1,296,924,000","1,449,338,000","1,674,438,000","1,467,247,000","1,208,351,000","1,269,171,000","1,584,794,000","1,230,916,000","1,031,112,000","967,037,000","1,457,277,000","1,294,473,000","1,020,094,000","1,311,358,000","1,441,195,000","1,135,964,000","1,135,204,000","1,132,686,000","1,141,035,000","1,134,781,000","1,080,705,000","1,216,312,000","1,443,879,000","1,299,071,000","1,207,449,000","1,437,332,000","1,298,410,000","1,179,719,000","1,165,317,000","1,694,825,000","1,500,065,000","1,349,347,000","1,363,888,000","1,615,991,000","1,374,515,000","1,353,147,000","1,359,945,000","1,532,269,000","1,305,531,000","1,139,332,000","1,069,300,000","1,085,574,000","955,353,000","899,427,000","795,432,000","1,066,416,000","777,357,000","720,490,000","687,915,000","865,450,000","759,696,000","723,747,000","676,463,000","583,565,000","446,879,000","349,261,000","400,177,000","460,356,000","528,196,000","539,802,000","535,763,000","568,298,000","523,096,000","437,333,000","379,223,000","318,600,000","228,600,000","208,300,000","209,100,000","180,800,000","126,300,000","123,900,000","119,500,000","134,400,000","117,000,000","95,200,000","90,800,000","77,900,000","84,800,000","98,700,000","112,400,000","113,100,000","116,500,000","75,200,000","67,700,000","59,300,000","69,300,000","46,600,000","66,100,000","45,700,000","42,100,000","59,600,000","57,300,000","18,600,000","25,700,000"
			AccountsReceivable,"3,193,000,000","3,229,000,000","3,917,000,000","3,141,000,000","3,227,627,000","3,062,742,000","3,651,869,000","2,847,743,000","2,579,803,000","2,314,055,000","3,596,145,000","2,745,226,000","2,696,599,000","2,543,615,000","2,777,601,000","1,693,268,000","1,586,685,000","1,549,899,000","1,534,754,000","1,397,424,000","1,445,148,000","1,433,676,000","1,519,651,000","1,359,610,000","1,296,924,000","1,449,338,000","1,674,438,000","1,467,247,000","1,208,351,000","1,269,171,000","1,584,794,000","1,208,516,000","998,420,000","941,059,000","1,430,997,000","1,281,425,000","1,008,106,000","1,300,046,000","1,430,468,000","1,125,015,000","1,127,794,000","1,122,529,000","1,112,721,000","1,100,926,000","1,045,238,000","1,183,949,000","1,408,319,000","1,266,724,000","1,174,614,000","1,392,344,000","1,260,962,000","1,151,832,000","1,138,598,000","1,673,684,000","1,475,530,000","1,323,726,000","1,337,929,000","1,587,615,000","1,352,383,000","1,336,784,000","1,341,052,000","1,512,778,000","1,288,024,000","1,139,332,000","1,069,300,000","1,085,574,000","955,353,000","899,427,000","795,432,000","1,066,416,000","777,357,000","720,490,000","687,915,000","865,450,000","759,696,000","723,747,000","676,463,000","583,565,000","446,879,000","349,261,000","400,177,000","460,356,000","528,196,000","539,802,000","535,763,000","568,298,000","523,096,000","437,333,000","379,223,000","318,600,000","228,600,000","208,300,000","209,100,000","180,800,000","126,300,000","123,900,000","119,500,000","134,400,000","117,000,000","95,200,000","90,800,000","77,900,000","84,800,000","98,700,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,"3,254,566,000","3,089,658,000","3,676,348,000",,"2,612,042,000","2,344,246,000","3,626,488,000",,"2,713,550,000","2,558,071,000","2,792,002,000",,"1,597,769,000","1,563,874,000","1,548,541,000","1,411,524,000","1,459,415,000","1,446,311,000","1,532,525,000","1,370,710,000","1,308,398,000","1,460,750,000","1,685,879,000","1,478,947,000","1,219,118,000","1,278,011,000","1,588,861,000","1,210,516,000","1,014,198,000","945,142,000","1,432,872,000","1,284,125,000","1,008,455,000","1,300,694,000","1,431,134,000","1,128,252,000","1,130,644,000","1,125,573,000","1,115,716,000","1,105,714,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,"-26,939,000","-26,916,000","-24,479,000",,"-32,239,000","-30,191,000","-30,343,000",,"-16,951,000","-14,456,000","-14,401,000",,"-11,084,000","-13,975,000","-13,787,000","-14,100,000","-14,267,000","-12,635,000","-12,874,000","-11,100,000","-11,474,000","-11,412,000","-11,441,000","-11,700,000","-10,767,000","-8,840,000","-4,067,000","-2,000,000","-15,778,000","-4,083,000","-1,875,000","-2,700,000","-349,000","-648,000","-666,000","-3,237,000","-2,850,000","-3,044,000","-2,995,000","-4,788,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,400,000","32,692,000","25,978,000","26,280,000","13,048,000","11,988,000","11,312,000","10,727,000","10,949,000","7,410,000","10,157,000","28,314,000","33,855,000","35,467,000","32,363,000","35,560,000","32,347,000","32,835,000","44,988,000","37,448,000","27,887,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
