name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalAssets,"6,062,707,000","6,003,325,000","5,977,475,000","5,898,496,000","5,805,053,000","5,848,020,000","6,158,090,000","5,302,110,000","4,722,841,000","4,690,039,000","4,558,128,000","4,393,384,000","4,435,398,000","4,427,128,000","4,695,254,000","4,624,679,000","4,596,717,000","4,633,125,000","4,580,697,000","4,019,965,000","3,938,607,000","4,023,690,000","3,842,238,000","3,087,304,000","3,666,993,000","3,729,368,000","3,624,853,000","3,648,689,000","3,658,686,000","2,490,453,000","2,440,433,000","2,345,685,000","2,340,728,000","2,249,217,000","1,620,530,000","1,601,520,000","1,598,293,000","1,601,643,000","1,567,376,000","1,532,527,000","1,297,085,000","1,303,681,000","1,295,076,000","1,280,392,000","1,264,146,000","1,262,623,000","1,244,533,000","985,516,000","966,205,000","917,163,000","869,357,000","844,437,000","900,283,000","906,695,000","859,038,000","854,555,000","827,702,000","815,279,000","791,056,000","781,639,000","449,764,000","463,436,000","467,072,000","468,714,000","488,229,000","195,303,000","208,842,000","167,247,000","180,933,000","232,966,000","312,230,000","347,416,000","239,296,000","256,340,000","284,446,000","306,385,000","183,117,000","110,616,000","127,469,000","141,973,000","157,306,000","171,811,000","90,402,000","98,321,000","65,443,000","76,933,000","83,324,000","86,090,000","94,490,000","103,549,000","112,500,000","51,400,000","26,800,000"
	CurrentAssets,"2,394,024,000","2,274,385,000","2,311,570,000","2,357,837,000","2,288,766,000","2,342,219,000","2,738,979,000","2,647,566,000","2,116,249,000","1,942,143,000","1,859,359,000","1,806,768,000","1,916,855,000","2,056,215,000","2,407,853,000","2,280,067,000","2,241,110,000","2,207,144,000","2,050,029,000","1,458,820,000","1,352,788,000","1,421,791,000","1,666,571,000","1,105,946,000","992,790,000","1,089,639,000","1,175,589,000","1,213,929,000","1,522,728,000","1,425,629,000","1,077,819,000","1,220,227,000","1,246,410,000","1,137,418,000","713,479,000","720,920,000","723,024,000","743,462,000","719,386,000","681,534,000","513,390,000","469,802,000","487,024,000","514,111,000","503,830,000","504,260,000","554,189,000","521,908,000","500,431,000","467,727,000","520,267,000","506,981,000","713,575,000","737,696,000","697,013,000","701,814,000","683,728,000","644,297,000","641,234,000","640,932,000","320,645,000","334,224,000","339,366,000","344,807,000","378,759,000","68,941,000","82,188,000","39,336,000","53,599,000","85,277,000","140,687,000","181,587,000","208,825,000","225,269,000","254,206,000","275,052,000","154,795,000","81,072,000","91,370,000","105,555,000","123,426,000","136,783,000","50,642,000","63,586,000","35,861,000","44,541,000","51,414,000","53,532,000","61,552,000","66,422,000","76,400,000","21,100,000","5,500,000"
		CashCashEquivalentsAndShortTermInvestments,"1,056,238,000","1,013,875,000","1,079,476,000","1,123,397,000","1,087,491,000","1,065,386,000","1,505,673,000","1,380,372,000","858,396,000","753,807,000","720,793,000","731,103,000","894,854,000","1,084,308,000","1,443,376,000","1,363,073,000","1,382,795,000","1,395,968,000","1,257,099,000","727,776,000","678,055,000","789,677,000","1,034,848,000","503,287,000","456,853,000","592,619,000","618,330,000","681,553,000","1,008,689,000","945,192,000","666,373,000","836,618,000","887,481,000","784,723,000","379,651,000","400,561,000","401,882,000","450,738,000","426,455,000","402,586,000","232,979,000","195,092,000","224,374,000","258,920,000","252,581,000","274,112,000","351,967,000","337,673,000","323,642,000","300,677,000","363,344,000","346,391,000","551,869,000","559,792,000","562,969,000","575,657,000","574,762,000","585,594,000","586,686,000","587,710,000","273,307,000","288,847,000","293,900,000","305,900,000","347,689,000","47,792,000","65,913,000","26,685,000","29,759,000","48,815,000","86,551,000","128,796,000","191,198,000","206,357,000","241,889,000","266,360,000","148,578,000","73,978,000","86,468,000","100,558,000","114,798,000","131,097,000","43,905,000","59,885,000","29,766,000","40,201,000","47,505,000","49,412,000","55,674,000","62,986,000","72,200,000","17,500,000","3,900,000"
			CashAndCashEquivalents,"605,440,000","587,276,000","617,143,000","641,533,000","667,313,000","649,158,000","1,015,675,000","818,900,000","476,632,000","437,446,000","423,221,000","307,577,000","364,369,000","493,982,000","882,184,000","427,411,000","473,980,000","598,028,000","431,399,000","354,864,000","348,234,000","408,330,000","707,349,000","305,969,000","270,453,000","397,040,000","376,346,000","440,664,000","900,570,000","875,486,000","398,005,000","584,717,000","639,778,000","568,781,000","181,565,000","175,445,000","154,380,000","180,527,000","181,330,000","177,757,000","82,586,000","46,272,000","71,254,000","112,956,000","90,782,000","88,079,000","127,539,000","115,779,000","108,963,000","167,171,000","191,778,000","200,050,000","214,579,000","222,900,000","271,217,000","252,209,000","319,990,000","228,343,000","291,825,000","205,010,000","98,331,000","89,162,000","191,782,000","285,990,000","341,689,000","38,092,000","56,213,000","17,111,000","11,246,000","13,081,000","34,981,000","48,247,000","96,199,000","121,406,000","187,978,000","221,772,000","125,835,000","33,638,000","32,405,000","19,363,000","18,202,000","12,528,000","7,230,000","18,967,000","19,722,000","16,530,000","16,098,000","10,609,000","40,675,000","23,413,000","32,600,000","17,200,000","3,600,000"
				CashFinancial,"441,957,000","301,177,000","294,209,000","348,830,000",,"370,325,000",,,,"259,347,000","294,543,000","226,959,000","220,980,000","228,809,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"163,483,000","286,099,000","322,934,000","292,703,000",,"278,833,000",,,,"178,099,000","128,678,000","80,618,000","143,389,000","265,173,000",,,,,,,,,,,,,,,,"875,486,000",,"584,717,000","639,778,000","568,781,000","181,565,000","175,445,000","154,380,000","180,527,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"450,798,000","426,599,000","462,333,000","481,864,000","420,178,000","416,228,000","489,998,000","561,472,000","381,764,000","316,361,000","297,572,000","423,526,000","530,485,000","590,326,000","561,192,000","935,662,000","908,815,000","797,940,000","825,700,000","372,912,000","329,821,000","381,347,000","327,499,000","197,318,000","186,400,000","195,579,000","241,984,000","240,889,000","108,119,000","69,706,000","268,368,000","251,901,000","247,703,000","215,942,000","198,086,000","225,116,000","247,502,000","270,211,000","245,125,000","224,829,000","150,393,000","148,820,000","153,120,000","145,964,000","161,799,000","186,033,000","224,428,000","221,894,000","214,679,000","133,506,000","171,566,000","146,341,000","337,290,000","336,892,000","291,752,000","323,448,000","254,772,000","357,251,000","294,861,000","382,700,000","174,976,000","199,685,000","102,118,000","19,910,000","6,000,000","9,700,000","9,700,000","9,574,000","18,513,000","35,734,000","51,570,000","80,549,000","94,999,000","84,951,000","53,911,000","44,588,000","22,743,000","40,340,000","54,063,000","81,195,000","96,596,000","118,569,000","36,675,000","40,918,000","10,044,000","23,671,000","31,407,000","38,803,000","14,999,000","39,573,000","39,600,000","300,000","300,000"
		Receivables,"430,147,000","373,399,000","374,937,000","424,419,000","396,097,000","448,351,000","411,712,000","381,215,000","396,384,000","377,404,000","402,970,000","377,150,000","393,429,000","342,633,000","384,343,000","363,566,000","318,394,000","261,365,000","251,891,000","238,338,000","230,250,000","215,280,000","215,894,000","214,158,000","180,751,000","179,109,000","161,555,000","197,416,000","190,047,000","201,151,000","121,395,000","122,282,000","110,462,000","117,822,000","124,745,000","115,063,000","120,345,000","109,066,000","117,290,000","100,750,000","105,828,000","110,932,000","107,057,000","106,606,000","110,908,000","93,884,000","83,444,000","83,775,000","87,186,000","73,540,000","74,694,000","81,346,000","61,355,000","54,298,000","51,135,000","52,156,000","47,253,000","16,976,000","15,968,000","15,900,000","14,525,000","14,670,000","13,000,000","10,946,000","7,493,000","5,860,000","5,328,000","2,871,000","1,831,000","4,047,000","119,000","4,612,000",,,,,,,"2,332,000","2,135,000","5,888,000","3,096,000","4,851,000","2,231,000","754,000","2,934,000","2,960,000","3,018,000","5,006,000","2,466,000","400,000","1,500,000","900,000"
			AccountsReceivable,"430,147,000","373,399,000","374,937,000","424,419,000","396,097,000","448,351,000","411,712,000","381,215,000","396,384,000","377,404,000","402,970,000","377,150,000","393,429,000","342,633,000","384,343,000","363,566,000","318,394,000","261,365,000","251,891,000","238,338,000","230,250,000","215,280,000","215,894,000","214,158,000","180,751,000","164,959,000","148,949,000","186,083,000","175,738,000","144,472,000","121,395,000","122,282,000","110,462,000","117,822,000","124,745,000","115,063,000","120,345,000","109,066,000","117,290,000","100,750,000","105,828,000","104,839,000","107,057,000","106,606,000","106,198,000","86,576,000","78,734,000","77,682,000","82,606,000","73,540,000","68,378,000","72,576,000","61,355,000","54,298,000","51,135,000","52,156,000","47,253,000","16,976,000","15,968,000","15,900,000","14,525,000","14,670,000","13,000,000","10,946,000","7,493,000","5,860,000","5,328,000","2,871,000","1,831,000","4,047,000","119,000","4,612,000",,,,,,,"2,332,000","2,135,000","5,888,000","3,096,000","996,000","727,000","754,000",,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,"230,311,000","215,353,000","215,960,000","214,290,000","180,918,000","165,052,000","149,029,000","186,163,000","176,227,000","144,962,000","121,590,000","122,850,000","111,013,000","118,351,000","125,121,000","115,439,000","120,721,000","109,414,000","117,631,000","101,221,000",,"105,352,000","107,896,000","107,575,000","107,167,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
