name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,03/31/1999
TotalRevenue,"1,954,252,000","506,464,000","461,591,000","473,747,000","512,450,000","567,576,000","479,426,000","455,039,000","519,088,000","603,167,000","575,909,000","482,925,000","511,335,000","534,062,000","-919,408,000","918,657,000","907,125,000","907,649,000","835,999,000","787,817,000","705,474,000","676,619,000","644,609,000","621,613,000","623,705,000","610,326,000","1,035,081,000","654,610,000","636,992,000","520,605,000","468,822,000","419,532,000","400,643,000","424,943,000","1,132,694,000","417,084,000","451,348,000","426,655,000","412,767,000","440,317,000","449,538,000","394,961,000","355,169,000","379,935,000","364,558,000","365,023,000","321,755,000","326,502,000","335,704,000","347,151,000","296,833,000","289,439,000","292,136,000","283,914,000","290,034,000","300,674,000","305,472,000","40,726,000","38,241,000","40,384,000","38,957,000","41,414,000","44,725,000","38,076,000","38,953,000","42,552,000","37,812,000","38,772,000","37,455,000","38,904,000","39,255,000","39,771,000","42,845,000","44,638,000","40,875,000","43,723,000","39,079,000","34,043,219","47,831,798","32,198,442","30,616,208","30,033,175","27,156,108","26,898,615","34,079,476","43,116,196","42,915,309","23,956,402","29,658,717","24,250,227","1,948,250"
	OperatingRevenue,"1,935,809,000","502,144,000","454,835,000","469,763,000","509,067,000","562,792,000","475,767,000","449,964,000","515,330,000","598,246,000","560,346,000","482,925,000","511,335,000","534,062,000","-919,408,000","918,657,000","907,125,000","907,649,000","835,999,000","787,817,000","705,474,000","676,619,000","644,609,000","621,613,000","623,705,000","610,326,000","1,035,081,000","654,610,000","636,992,000","520,605,000","468,822,000","419,532,000","400,643,000","424,943,000","1,132,694,000","417,084,000","451,348,000","426,655,000","412,767,000","440,317,000","449,538,000","391,932,000","355,169,000","379,935,000","364,558,000","365,023,000","1,002,618,000","326,502,000","335,198,000","346,149,000","294,907,000","287,355,000","291,147,000","284,425,000","283,014,000","300,674,000","303,757,000","39,083,000","36,005,000","37,857,000","36,420,000","38,941,000","42,109,000","35,606,000","36,860,000","40,190,000","35,963,000","36,113,000","36,073,000","37,619,000","41,625,000","38,906,000","42,084,000","43,894,000","38,567,000","43,723,000","39,079,000","33,500,949","32,094,332","32,198,442","30,616,208","29,332,188","27,156,108","26,898,615","34,079,476","43,116,196","42,915,309","23,956,402","29,658,717","24,250,227","1,948,250"
CostOfRevenue,"1,284,387,000","274,611,000","451,370,000","273,512,000","284,735,000","326,091,000","272,870,000","257,173,000","296,957,000","364,026,000","287,673,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,"4,225,000",,,,,,,,,,,"20,648,000",,,,,,"1,349,684",,,,"11,228,622","-9,698,174","667,069","7,891,513","4,304,748",
GrossProfit,"669,865,000","231,853,000","10,221,000","200,235,000","227,715,000","241,485,000","206,556,000","197,866,000","222,131,000","239,141,000","199,483,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"440,317,000","449,538,000","394,961,000","355,169,000","379,935,000","364,558,000","365,023,000","321,755,000","326,502,000","335,704,000","347,151,000","296,833,000","289,439,000","292,136,000","283,914,000",,,,,,,,,,,"34,728,000",,,,,,,,,,,"23,075,000",,,,,,"28,683,491",,,,"31,887,574","52,613,483","23,289,333","21,767,204","19,945,479",
OperatingExpense,"707,903,000","156,724,000","195,849,000","185,940,000","166,852,000","140,351,000","186,625,000","137,509,000","137,223,000","167,889,000","199,934,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"426,947,000","437,510,000","368,491,000","335,658,000","377,663,000","336,310,000","336,089,000","291,018,000","296,332,000","314,587,000","358,180,000","280,815,000","278,908,000","257,009,000","252,562,000","271,369,000","262,922,000","266,320,000","26,918,000","68,663,000","41,195,000","38,911,000","37,622,000","35,253,000","34,972,000","33,580,000","39,141,000","25,641,000","36,062,000","35,738,000","36,801,000","24,286,000","30,353,000","24,430,000","27,077,000","81,155,000","3,600,000","22,747,000","24,663,088","26,950,168","24,149,496","21,725,872","22,713,373","31,497,537","29,731,209","32,509,282","34,080,038","74,107,384","36,319,998","30,881,541","24,778,895","2,486,758"
	SellingGeneralAndAdministration,"683,530,000","150,999,000","187,393,000","180,266,000","162,400,000","135,060,000","181,671,000","129,899,000","132,029,000","162,454,000","-459,105,000","369,076,000","385,288,000","348,954,000","-616,642,000","648,327,000","697,618,000","664,742,000","769,578,000","603,709,000","565,640,000","555,763,000","526,507,000","527,649,000","515,710,000","498,613,000","681,792,000","542,656,000","517,249,000","429,280,000","380,571,000","359,975,000","326,287,000","345,105,000","341,658,000","311,297,000","857,757,000","341,486,000","167,688,000","400,325,000","422,462,000","359,000,000","320,719,000","354,298,000","330,111,000","311,008,000","283,980,000","268,896,000","293,935,000","353,791,000","272,231,000","256,315,000","257,009,000","252,562,000","271,369,000","262,922,000","266,320,000","22,728,000","63,503,000","36,395,000","34,065,000","32,288,000","29,461,000","29,234,000","27,953,000","32,232,000","19,875,000","30,806,000","31,091,000","32,018,000","15,121,000","27,664,000","21,892,000","27,077,000","80,703,000","2,952,000","22,385,000","24,663,088","26,950,168","24,149,496","21,725,872","22,713,373","31,497,537","29,731,209","32,509,282","34,080,038","71,533,749","34,332,615","30,276,140","23,846,560","93,701"
		GeneralAndAdministrativeExpense,"642,032,000","140,061,000","175,037,000","170,680,000","153,784,000","127,572,000","174,780,000","123,956,000","125,395,000","143,755,000","-480,537,000","348,756,000","363,797,000","330,552,000","-592,381,000","617,477,000","664,718,000","634,893,000","736,175,000","576,881,000","536,251,000","532,378,000","502,380,000","505,036,000","490,196,000","473,015,000","655,200,000","519,286,000","490,486,000","408,804,000","361,844,000","343,245,000","308,032,000","327,080,000","324,044,000","291,458,000","834,518,000","321,171,000","163,948,000","372,497,000","393,116,000","333,874,000","294,457,000","328,252,000","303,736,000","284,727,000","259,553,000","247,149,000","272,792,000","332,987,000","252,279,000","237,799,000","240,183,000","233,883,000",,,,,,,,,,,"27,688,000",,,,,,,,,,,,,,,,,"21,064,228",,,,,,,,,"93,701"
			SalariesAndWages,"280,545,000","57,876,000","85,889,000","78,490,000","58,290,000","33,495,000","80,515,000","33,007,000","27,819,000","42,204,000","-787,226,000","318,874,000","333,823,000","300,141,000","-609,709,000","585,784,000","630,575,000","600,043,000","702,803,000","543,591,000","504,336,000","500,684,000","470,376,000","474,468,000","459,596,000","442,107,000","624,569,000","487,783,000","458,376,000","383,867,000","341,208,000","323,158,000","286,720,000","306,622,000","301,569,000","269,007,000","811,763,000","296,830,000","329,061,000","288,669,000","309,938,000","252,849,000","216,298,000","253,879,000","227,966,000","218,169,000","191,920,000","185,695,000","212,721,000","271,688,000","190,967,000","183,206,000","186,781,000","180,916,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"178,595,000","38,663,000","46,724,000","46,049,000","46,900,000","48,133,000","45,723,000","45,224,000","47,247,000","51,074,000","48,987,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,286,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"182,892,000","43,522,000","42,424,000","46,141,000","48,594,000","45,944,000","48,542,000","45,725,000","50,329,000","50,477,000","121,882,000","29,882,000","29,974,000","30,411,000","17,328,000","31,693,000","34,143,000","34,850,000","33,372,000","33,290,000","31,915,000","31,694,000","32,004,000","30,568,000","30,600,000","30,908,000","30,631,000","31,503,000","32,110,000","24,937,000","20,636,000","20,087,000","21,312,000","20,458,000","22,475,000","22,451,000","22,755,000","24,341,000","-165,113,000","83,828,000","83,178,000","81,025,000","78,159,000","74,373,000","75,770,000","37,272,000","67,633,000","61,454,000","60,071,000","61,299,000","61,312,000","54,593,000","53,402,000","52,967,000",,,,,,,,,,,"27,688,000",,,,,,,,,,,,,,,,,"21,064,228",,,,,,,,,"93,701"
