name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
TotalRevenue,"40,000,000","10,486,000","9,598,000","8,965,000","10,951,000","5,383,000","20,750,000","0","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"40,000,000","10,486,000","9,598,000","8,965,000","10,951,000","5,383,000","20,750,000","0","0","0","0","0","0","0","0","0","0","0","0","0"
CostOfRevenue,"4,252,000","1,831,000","1,461,000","550,000","410,000","93,000",,,,,,,,,,,,,,
GrossProfit,"35,748,000","8,655,000","8,137,000","8,415,000","10,541,000","5,290,000",,,,,,,,,,,,,,
OperatingExpense,"150,617,000","36,350,000","43,895,000","37,119,000","33,253,000","33,549,000","38,641,000","32,641,000","40,452,000","26,747,000","23,758,000","24,359,000","18,634,000","16,253,000","14,078,000","11,415,000","10,258,000","7,479,000","9,275,000","3,842,000"
	SellingGeneralAndAdministration,"56,039,000","13,438,000","15,138,000","13,988,000","13,475,000","11,970,000","14,630,000","11,636,000","10,393,000","8,125,000","6,931,000","4,699,000","4,140,000","3,742,000","3,037,000","2,684,000","1,965,000","1,275,000","2,650,000","766,000"
		GeneralAndAdministrativeExpense,,,,,,,"14,630,000","11,636,000","10,393,000","8,125,000","6,931,000","4,699,000","4,140,000","3,742,000","3,037,000","2,684,000","1,965,000","1,275,000","2,650,000","766,000"
			OtherGandA,,,,,,,"14,630,000","11,636,000","10,393,000","8,125,000","6,931,000","4,699,000","4,140,000","3,742,000","3,037,000","2,684,000","1,965,000","1,275,000","2,650,000","766,000"
	ResearchAndDevelopment,"94,578,000","22,912,000","28,757,000","23,131,000","19,778,000","21,579,000","24,011,000","21,005,000","30,059,000","18,622,000","16,827,000","19,660,000","14,494,000","12,511,000","11,041,000","8,731,000","8,293,000","6,204,000","6,625,000","3,076,000"
OperatingIncome,"-114,869,000","-27,695,000","-35,758,000","-28,704,000","-22,712,000","-28,259,000","-20,094,000","-32,641,000","-40,452,000","-26,747,000","-23,758,000","-24,359,000","-18,634,000","-16,253,000","-14,078,000","-11,415,000","-10,258,000","-7,479,000","-9,275,000","-3,842,000"
NetNonOperatingInterestIncomeExpense,"-1,887,000","-373,000","-1,135,000","-154,000","-225,000","-338,000","161,000","-191,000","59,000","568,000","622,000","437,000","598,000","319,000",,,"-47,000","-4,000",,
	InterestIncomeNonOperating,,,,,,,,,,,,,,"319,000",,,,,,
	InterestExpenseNonOperating,"1,887,000","373,000","1,135,000","154,000","225,000","338,000",,,,,,,,,,,,"4,000",,
	TotalOtherFinanceCost,"-1,976,000",,,,"225,000",,,"191,000","-59,000","-568,000","-622,000","-437,000","-598,000",,,,"47,000",,,
OtherIncomeExpense,,,"0",,,"62,010,000",,,,,,,,"319,000",,"-11,000",,,"21,000","15,000"
	SpecialIncomeCharges,"0","0","0","0","0","62,010,000",,,,,,,,,,,,,,
		GainOnSaleOfPPE,"0","0","0","0","0","62,010,000",,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,"0",,,"62,010,000",,,,,,,,"319,000",,"-11,000",,,"21,000","15,000"
