name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,09/30/1992
TotalRevenue,"155,829,000","40,787,000","39,441,000","37,472,000","38,129,000","40,280,000","46,273,000","38,173,000","28,481,000","46,410,000","46,463,000","47,119,000","46,266,000","35,856,000","43,587,000","41,776,000","41,472,000","41,810,000","41,729,000","41,246,000","42,468,000","42,622,000","42,141,000","40,842,000","39,996,000","38,604,000","37,393,000","34,943,000","32,387,000","31,480,000","30,755,000","29,541,000","29,227,000","29,438,000","28,593,000","25,825,000","25,681,000","25,663,000","24,512,000","23,789,000","23,090,000","22,640,000","22,298,000","21,429,000","21,180,000","20,254,000","19,979,000","18,517,000","18,187,000","17,865,000","17,465,000","17,328,000","17,385,000","17,716,000","16,660,000","16,999,000","17,851,000","17,847,000","18,022,000","18,246,000","19,793,000","18,729,000","18,375,000","18,131,000","18,792,000","18,179,000","14,974,000","18,178,000","16,996,000","22,871,000","16,326,000","17,143,000","16,717,000","16,960,000","15,326,000","16,191,000","15,904,000","16,090,000","16,758,000","17,732,000","17,240,000","17,473,000","16,696,000","17,057,000","18,081,000","18,278,000","20,371,000","21,536,000","22,717,000","22,506,000","19,762,000","22,800,000","23,000,000","22,200,000","19,091,000","18,500,000","30,600,000","21,400,000","19,734,000","19,200,000","18,100,000","16,400,000","15,230,000","14,300,000","12,900,000","12,300,000","10,200,000","9,300,000","8,500,000","7,500,000","7,900,000","7,800,000","6,400,000","5,500,000","4,300,000","4,000,000","4,100,000","3,400,000","1,100,000"
	OperatingRevenue,"155,829,000","40,787,000","39,441,000","37,472,000","38,129,000","40,280,000","46,273,000","38,173,000","28,481,000","46,410,000","46,463,000","47,119,000","46,266,000","35,856,000","43,587,000","41,776,000","41,472,000","41,810,000","41,729,000","41,246,000","42,468,000","42,622,000","42,141,000","40,842,000","39,996,000","38,604,000","37,393,000","34,943,000","32,387,000","31,480,000","30,755,000","29,541,000","29,227,000","29,438,000","28,593,000","25,825,000","25,681,000","25,663,000","24,512,000","23,789,000","23,090,000","22,640,000","22,298,000","21,429,000","21,180,000","20,254,000","19,979,000","18,517,000","18,187,000","17,865,000","17,465,000","17,328,000","17,385,000","17,716,000","4,865,000","16,999,000","17,851,000","17,847,000","18,022,000","18,246,000","19,793,000","18,729,000","18,892,000","18,131,000","18,792,000","18,179,000","14,974,000","18,178,000","16,996,000","22,871,000","16,326,000","17,143,000","16,717,000","16,960,000","17,296,000","16,191,000","15,904,000","16,090,000","16,758,000","17,732,000","17,240,000","17,401,000","16,691,000","16,778,000","17,981,000","18,278,000","20,371,000","21,536,000","22,717,000","22,506,000","21,100,000","22,800,000","23,000,000","22,200,000","22,200,000","18,500,000","30,600,000","21,400,000","20,600,000","19,200,000","18,100,000","16,400,000","15,200,000","14,300,000","12,900,000","12,300,000","10,200,000","9,300,000","8,500,000","7,500,000","7,900,000","7,800,000","6,400,000","5,500,000","4,300,000","4,000,000","4,100,000","3,400,000","1,100,000"
CostOfRevenue,"15,393,000","3,982,000","3,679,000","3,932,000","3,800,000","3,981,000","3,380,000","3,351,000","4,111,000","4,223,000","4,189,000","4,270,000","3,910,000","4,386,000","7,215,000","7,497,000","7,655,000","7,829,000","7,683,000","7,644,000","7,151,000","7,471,000","6,856,000","6,836,000","6,750,000","6,000,000","5,581,000","4,296,000","3,854,000","3,766,000","3,683,000","3,170,000","3,088,000","3,187,000","2,852,000","2,581,000","2,798,000","3,133,000",,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"140,436,000","36,805,000","35,762,000","33,540,000","34,329,000","36,299,000","42,893,000","34,822,000","24,370,000","42,187,000","42,274,000","42,849,000","42,356,000","31,470,000","36,372,000","34,279,000","33,817,000","33,981,000","34,046,000","33,602,000","35,317,000","35,151,000","35,285,000","34,006,000","33,246,000","32,604,000","31,812,000","30,647,000","28,533,000","27,714,000","27,072,000","26,371,000","26,139,000","26,251,000","25,741,000","23,244,000","22,883,000","22,530,000",,,,,,,,,,,,"17,865,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"61,476,000","15,600,000","16,183,000","14,848,000","14,845,000","14,901,000","15,053,000","14,578,000","14,377,000","14,770,000","14,371,000","14,663,000","14,540,000","4,661,000","14,208,000","14,432,000","13,946,000","14,249,000","13,600,000","13,567,000","13,689,000","14,061,000","14,069,000","13,662,000","13,142,000","13,018,000","12,420,000","11,135,000","11,358,000","10,278,000","9,891,000","9,249,000","9,006,000","9,247,000","11,091,000","8,815,000","8,993,000","9,554,000","8,606,000","8,092,000","7,802,000","7,619,000","7,501,000","7,122,000","7,266,000","6,960,000","7,038,000","6,204,000","6,138,000","6,894,000","6,037,000","5,662,000","5,831,000","5,586,000","2,655,000","6,295,000","6,397,000","5,528,000","5,501,000","5,505,000","5,629,000","5,159,000","5,241,000","5,831,000","4,937,000","4,864,000","-1,361,000","4,780,000","4,583,000","5,241,000","4,398,000","4,721,000","4,823,000","4,450,000","6,362,000","4,765,000","4,900,000","6,693,000","5,266,000","6,434,000","16,070,000","5,794,000","18,100,000","10,711,000","29,613,000","16,156,000","25,999,000","13,788,000","5,943,000","5,310,000","70,939,000","-5,200,000","-4,400,000","-4,500,000","32,960,000","-5,300,000","-4,600,000","-4,100,000","24,161,000","-3,300,000","-3,500,000","-3,200,000","19,689,000","-3,200,000","-2,500,000","-2,300,000","-1,700,000","-1,700,000","-1,500,000","-1,300,000","-4,300,000","-600,000","-1,100,000","-500,000","-1,500,000","-400,000","-400,000","-300,000","-300,000"
	SellingGeneralAndAdministration,"22,235,000","5,808,000","5,772,000","5,318,000","5,337,000","5,033,000","5,216,000","4,814,000","4,580,000","5,100,000","4,541,000","4,745,000","4,596,000","4,571,000","4,801,000","4,879,000","4,716,000","4,797,000","4,243,000","4,144,000","4,386,000","4,740,000","4,548,000","4,464,000","4,117,000","4,457,000","3,954,000","3,739,000","3,952,000","3,499,000","3,265,000","2,914,000","2,704,000","2,949,000","2,674,000","2,676,000","2,869,000","3,418,000","2,914,000","2,167,000","2,433,000","2,452,000","2,358,000","2,149,000","2,327,000","2,449,000","2,338,000","1,914,000","1,930,000","1,973,000","2,102,000","1,766,000","1,918,000","1,885,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000",,"1,100,000",,"200,000","200,000","200,000",
		GeneralAndAdministrativeExpense,"22,235,000","5,808,000","5,772,000","5,318,000","5,337,000","5,033,000","5,216,000","4,814,000","4,580,000","5,100,000","4,541,000","4,745,000","4,596,000","4,571,000","4,801,000","4,879,000","4,716,000","4,797,000","4,243,000","4,144,000","4,386,000","4,740,000","4,548,000","4,464,000","4,117,000","4,457,000","3,954,000","3,739,000","3,952,000","3,499,000","3,265,000","2,914,000","2,704,000","2,949,000","2,674,000","2,676,000","2,869,000","3,418,000",,,,,,,,,,,,,,,,"1,885,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000",,"1,100,000",,"200,000","200,000","200,000",
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000",,"1,100,000",,"200,000","200,000","200,000",
			OtherGandA,"22,235,000","5,808,000","5,772,000","5,318,000","5,337,000","5,033,000","5,216,000","4,814,000","4,580,000","5,100,000","4,541,000","4,745,000","4,596,000","4,571,000","4,801,000","4,879,000","4,716,000","4,797,000","4,243,000","4,144,000","4,386,000","4,740,000","4,548,000","4,464,000","4,117,000","4,457,000","3,954,000","3,739,000","3,952,000","3,499,000","3,265,000","2,914,000","2,704,000","2,949,000","2,674,000","2,676,000","2,869,000","3,418,000",,,,,,,,,,,,,,,,"1,885,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"37,857,000","9,438,000","9,449,000","9,462,000","9,508,000","9,877,000","9,839,000","9,766,000","9,797,000","9,669,000","9,817,000","9,932,000","9,860,000","9,607,000","9,396,000","9,447,000","9,268,000","9,444,000","9,424,000","9,519,000","9,308,000","9,359,000","9,309,000","9,155,000","8,907,000","8,561,000","8,310,000","7,365,000","6,977,000","6,779,000","6,594,000","6,335,000","6,302,000","6,298,000","6,237,000","6,139,000","6,124,000","6,136,000","5,692,000","5,925,000","5,369,000","5,167,000","5,141,000","4,974,000","4,943,000","4,521,000","4,162,000","4,073,000","4,014,000","3,860,000","3,733,000","3,694,000","3,694,000","3,701,000","3,793,000","3,745,000","3,730,000","3,692,000","3,571,000","3,618,000","3,575,000","3,541,000","3,504,000","3,521,000","3,431,000","3,485,000","2,772,000","3,506,000","3,317,000","3,253,000","3,228,000","3,243,000","3,250,000","3,175,000","2,884,000","3,190,000","3,255,000","3,232,000","3,295,000","3,535,000","3,671,000","3,713,000","3,244,000","3,507,000","3,376,000","3,739,000","3,774,000","3,799,000","3,838,000","3,848,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
