name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007
OperatingCashFlow,"50,894,208","267,103,491","-177,350,491","-87,812,449","48,953,979","11,728,321","35,038,357","26,505,846","62,517,145","-147,298,642","-71,322,809","65,614,125","-25,484,265","-82,622,965","-38,630,681","-106,741,519","-22,460,888","133,754,823","62,388,387","-22,928,967","110,998,054","89,520,966","-108,341,406","123,499,229","24,351,857","10,715,649","-859,872","-38,432,098","46,983,280","56,301,936","-61,836,410","-124,087,387","84,791,048","-29,184,163","-104,054,503","29,179,605","74,234,689","-27,322,170","-35,767,998","-41,063,572","-30,227,272","-75,756,284","31,707,490","-101,997,301","18,655,813","-27,209,126","-27,261,902","-25,476,645","-22,725,787","-33,764,402","-45,083,996","-32,516,964","-23,908,628","4,061,234","10,008,844","6,375,470","-45,184,537","-98,895,657","-253,043,815","-35,718,834","144,680,160"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-41,063,572","-30,227,272","-75,756,284","31,707,490","-101,997,301","18,655,813","-27,209,126","-27,261,902","-25,476,645","-22,725,787","-33,764,402","-45,083,996","-32,516,964","-23,908,628","4,061,234","10,008,844","6,375,470","-45,184,537","-98,895,657","-253,043,815","-35,718,834","144,680,160"
		NetIncomeFromContinuingOperations,"85,656,905","3,158,303","25,510,697","25,108,022","31,880,014","38,495,118","71,133,751","9,506,511","15,613,929","-60,292,703","19,202,510","8,264,263","5,628,851","-4,746,497","6,778,189","12,472,908","16,910,147","6,035,010","12,295,397","7,423,640","18,779,065","11,459,669","24,049,127","27,709,378","27,832,874","3,949,637","-40,755,183","1,385,391","4,935,950","7,378,701","-23,945,694","-1,101,938","31,949,311","40,681,151","39,454,953","22,478,599","13,785,538","26,972,329","28,541,186","17,689,735","3,419,732","26,398,109","15,845,524","-31,164,151","2,318,415","13,586,987","25,522,223","6,630,954","4,259,433","-3,031,143","8,676,247","26,179,534","-819,771","42,198,990","-31,756,724","-11,042,074","15,204,464","-33,328,673","-11,536,656","-14,521,659","-1,944,046"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-63,394,529","-36,103,456","-54,626,957","31,239,072","-97,641,281","-27,140,577","-47,536,060","-19,666,830","-41,782,762","-34,636,451","-60,569,299","-18,228,185","-43,458,780","-1,356,225","-6,910,970","1,502,782","8,066,079",,,"210,891","280,244,201","-44,226,392"
			GainLossOnInvestmentSecurities,"-16,811,696","234,837,525","-182,590,525","-103,002,727","33,944,357","-39,536,161","-28,437,165","10,014,668","50,196,303","-19,818,039","-151,557,389","63,428,940","-25,707,957","-53,301,853","-62,868,512","-105,795,974","-75,322,351","156,758,483","55,742,242","-45,478,647","103,678,893","146,274,116","-174,033,497","99,795,163","2,645,886","23,286,250","35,337,588","3,090,392","9,450,378","45,349,139","-36,204,605","-120,849,463","63,044,260","-45,881,289","-105,506,925","-26,626,991","48,346,163","-45,801,229","-67,923,591","-73,410,821","-36,103,456","-100,697,665","77,309,780","-39,000,058","-228,871,187","51,285,654","83,242,066","-231,394,658","59,224,990","6,682,133","16,808,942","-49,863,378","-32,660,067","-14,493,255","-803,896","71,900,861",,,"210,891",,
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,803,238",
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,803,238",
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,308,930",,,"45,369,623",,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,776,449",,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-15,624,284","-1,402,193","-5,950,807","-4,327,127","-3,943,980","-4,429,829","-3,582,348","6,673,902","-4,148,099","-3,944,860","-4,615,214","-3,665,321","-4,525,135","-3,471,882","-2,235,579","-2,174,878","-2,568,919","-3,645,902","-3,570,661","-3,707,252","-6,129,387","-9,060,505","-3,684,559","-5,820,024","-5,173,795","-2,831,269","-5,924,081","-7,579,313","-3,942,125","-5,613,422","-3,076,224","-5,828,377","-3,426,327","-5,263,768","-4,470,444","-3,773,689","-4,065,770","-4,240,882","-5,590,397","-12,710,379","-1,941,185","8,205,592","-12,977,138","-22,037,668","19,827,575","-2,146,941","-13,272,550","462,975","2,365,197","5,865,987","-19,314,154","18,052,163","-19,082,153","-42,703,255","36,112,968","-45,045,866","-12,911,463","38,899,613","15,337,789","-15,876","-1,700"
		ChangeInWorkingCapital,"-2,326,717","30,509,856","-14,319,856","-5,590,617","-12,926,412","17,199,193","-4,075,881","310,765","855,012","-63,243,040","65,647,284","-2,413,757","-880,024","-21,102,733","19,695,221","-11,243,575","38,520,235","-25,392,768","-2,078,591","18,833,292","-5,330,517","-59,152,314","45,327,523","1,814,712","-953,108","-13,688,969","10,481,804","-35,328,568","36,539,077","9,187,518","1,390,113","3,692,391","-6,776,196","-18,720,257","-33,532,087","37,101,686","16,168,758","-4,252,388","9,204,804","2,246,008","-7,069,882","-19,143,624","-2,399,968","-22,171,218","36,026,194","8,886,888","-19,844,745","2,674,084","5,286,034","23,970,053","-16,217,904","14,307,522","-2,650,479","11,476,469","4,149,818","3,858,561","88,538,596","-104,255,706","-257,055,839","-5,224,258","185,733,558"
			ChangeInReceivables,"554,245","27,024,068","-13,392,068","-12,869,974","-207,093","-157,687","188,999","-1,168,537","1,641,243","-816,933","171,335","993,203","-282,404","-1,430,774","2,100,400","360,115","25,135,345","-25,342,614","-1,852,834","14,471,288","1,875,032","-9,503,973","-5,716,465","363,939","10,464","-403,262","586,198","6,261,167","-1,135,881","-120,990","1,109,032","297,033","-2,502,216","-2,812,486","2,209,037","2,280,789","1,445,800","-3,806,219","4,113,599","32,542,866","-33,157,032","-5,792,019","14,596,322","-17,738,937","5,318,603","-4,219,867","35,711,868","-32,162,775","2,059,648","-7,205,723","2,505,043","-2,113,360","582,732","-904,163","215,927","3,034,319","1,046,878","-806,938","253,897","12,087,339","-9,450,317"
			ChangeInPrepaidAssets,"377,030","0","0","0","376,932","-359","-543","-1","-28,371","-36,863","-371,909","-288,860","-102,389","-118,849","767,691","658,524","706,426","694,364","1,529,740","641,008","-2,875,182","-296,390","636,507","949,448","261,154","550,415","4,414,695",,,,,,,,"-845,805","415,419","-801,856","190,266","364,301","265,556","-491,845","637,400","55,564","312,538","-65,967","247,156","255,290","451,830","-863,078","157,037","163,284",,,"126,606","130,375","157,520","-30,008","-51,265","69,857","45,143",
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-30,562,414","15,435,202","15,611,682","-16,266,302","-33,347,828","40,878,288","12,806,158","-52,188,900","34,501,983","-4,888,795","24,131,628","-19,009,864","16,257,506","-4,737,920","7,867,328","3,524,983","5,723,227","-269,105,293","260,033","-420,162","-8,764,768","194,865,373"
