name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
TotalAssets,"3,203,356,000","3,294,271,000","3,218,602,000","3,246,753,000","3,285,324,000","3,362,107,000","3,367,598,000","3,433,575,000","3,766,601,000","3,592,683,000","3,468,947,000","3,511,726,000","3,552,547,000","2,464,774,000","2,350,794,000","2,389,866,000","2,454,268,000","2,572,907,000","2,472,954,000","2,480,921,000","2,510,976,000","2,642,279,000","2,660,024,000","2,784,379,000","2,885,454,000","3,032,569,000","3,093,187,000","3,144,735,000","3,198,644,000","3,344,286,000","3,234,312,000","3,234,079,000","3,208,790,000","3,274,174,000","2,998,127,000","2,980,390,000","2,954,393,000","3,016,553,000","2,898,625,000","3,000,822,000","3,037,222,000","3,353,936,000"
	CurrentAssets,"271,287,000","352,792,000","240,659,000","247,063,000","272,989,000","323,854,000","298,195,000","327,583,000","572,446,000","340,468,000","211,583,000","233,899,000","249,824,000","335,483,000","228,454,000","248,064,000","271,291,000","360,209,000","258,710,000","253,154,000","241,300,000","390,519,000","250,354,000","296,148,000","300,676,000","418,644,000","440,796,000","446,481,000","484,335,000","600,551,000","451,459,000","427,914,000","431,264,000","484,031,000","407,380,000","439,943,000","427,724,000","487,812,000","370,779,000","492,842,000","525,983,000","708,279,000"
		CashCashEquivalentsAndShortTermInvestments,"97,795,000","87,585,000","76,337,000","101,285,000","136,658,000","109,980,000","160,032,000","181,432,000","403,395,000","67,145,000","51,408,000","64,653,000","82,766,000","71,823,000","78,615,000","81,694,000","105,840,000","128,263,000","98,697,000","103,474,000","98,383,000","127,176,000","91,474,000","102,074,000","128,834,000","132,337,000","135,590,000","132,772,000","135,648,000","165,744,000","144,671,000","155,843,000","172,604,000","209,871,000","183,658,000","222,441,000","217,469,000","261,690,000","168,275,000","279,954,000","335,059,000","482,084,000"
			CashAndCashEquivalents,"97,795,000","87,585,000","76,337,000","101,285,000","136,658,000","109,980,000","160,032,000","181,432,000","403,395,000","67,145,000","51,408,000","64,653,000","82,766,000","71,823,000","78,615,000","81,694,000","105,840,000","128,263,000","98,697,000","103,474,000","98,383,000","127,176,000","91,474,000","102,074,000","128,834,000","132,337,000","135,590,000","132,772,000","135,648,000","165,744,000","144,671,000","155,843,000","172,604,000","209,871,000","183,658,000","222,441,000","217,469,000","261,690,000","168,275,000","279,954,000","335,059,000","482,084,000"
		Receivables,"45,967,000","123,095,000","34,492,000","39,654,000","31,340,000","103,483,000","37,358,000","33,894,000","40,107,000","141,112,000","44,858,000","45,701,000","39,698,000","122,262,000","35,123,000","46,175,000","39,258,000","110,669,000","51,884,000","48,869,000","46,857,000","134,945,000","46,327,000","54,788,000","52,219,000","148,543,000","55,252,000","63,559,000","63,048,000","135,677,000","59,677,000","64,435,000",,"57,698,000",,,,"47,976,000",,,"39,147,000","62,833,000"
			AccountsReceivable,"45,967,000","123,095,000","34,492,000","39,654,000","31,340,000","103,483,000","37,358,000","33,894,000","40,107,000","141,112,000","44,858,000","45,701,000","39,698,000","122,262,000","35,123,000","46,175,000","39,258,000","110,669,000","51,884,000","48,869,000","46,857,000","134,945,000","46,327,000","54,788,000","52,219,000","148,543,000","55,252,000","63,559,000","63,048,000","135,677,000","59,677,000","64,435,000",,"57,698,000",,,,"47,976,000",,,"39,147,000","62,833,000"
				GrossAccountsReceivable,,"127,145,000",,"43,643,000","35,337,000","107,578,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-4,050,000",,"-3,989,000","-3,997,000","-4,095,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"68,803,000","79,112,000","72,433,000","59,004,000","53,905,000","61,928,000","58,844,000","63,563,000","68,087,000","86,861,000","73,378,000","69,238,000","73,149,000","72,812,000","48,515,000","48,641,000","50,182,000","51,264,000","51,017,000","52,633,000","52,262,000","65,231,000","66,514,000","67,682,000","74,355,000","80,704,000","79,562,000","72,068,000","73,246,000","80,817,000","64,748,000","65,337,000","66,799,000","80,613,000","70,717,000","64,977,000","67,838,000","78,181,000","82,431,000","74,131,000","68,394,000","69,223,000"
		PrepaidAssets,"21,431,000","21,194,000","22,944,000","22,668,000","21,081,000","12,148,000","18,837,000","21,729,000","27,716,000","20,218,000","23,446,000","21,213,000","24,631,000","38,117,000","43,150,000","43,105,000","46,113,000","40,688,000","36,481,000","26,539,000","20,669,000","35,298,000","26,787,000","25,568,000","24,548,000","30,373,000","24,271,000","26,856,000","44,755,000","30,260,000","45,095,000","31,191,000",,"28,287,000",,,,"23,186,000",,,"32,552,000","18,113,000"
