name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
OperatingCashFlow,"134,086,000","28,033,000","33,767,000","39,217,000","33,069,000","26,155,000","23,681,000","31,996,000","23,215,000","22,158,000","26,197,000","24,546,000","24,168,000","19,777,000","20,593,000","21,358,000","20,957,000","14,691,000","15,847,000","20,023,000","17,545,000","16,083,000","12,087,000","16,098,000","12,489,000","8,567,000","10,329,000","13,299,000","12,723,000","5,717,000","6,244,000","10,684,000","6,575,000","5,818,000","3,777,000","4,467,000","3,344,000","1,907,000","2,636,000","3,858,000","2,519,000","736,000","1,603,000","2,059,000","-1,038,000","-475,000","283,000","-1,447,000","-457,000","-591,000"
	CashFlowFromContinuingOperatingActivities,"134,086,000","28,033,000","33,767,000","39,217,000","33,069,000","26,155,000","23,681,000","31,996,000","23,215,000","22,158,000","26,197,000","24,546,000","24,168,000","19,777,000","20,593,000","21,358,000","20,957,000","14,691,000","15,847,000","20,023,000","17,545,000","16,083,000","12,087,000","16,098,000","12,489,000","8,567,000","10,329,000","13,299,000","12,723,000","5,717,000","6,244,000","10,684,000","6,575,000","5,818,000","3,777,000","4,467,000","3,344,000","1,907,000","2,636,000","3,858,000","2,519,000","736,000","1,603,000","2,059,000","-1,038,000","-475,000","283,000","-1,447,000","-457,000","-591,000"
		NetIncomeFromContinuingOperations,"90,659,000","19,662,000","32,259,000","21,360,000","17,378,000","16,257,000","13,513,000","22,722,000","30,704,000","12,856,000","14,821,000","14,784,000","10,379,000","15,532,000","22,972,000","10,123,000","20,137,000","10,057,000","10,836,000","20,933,000","15,527,000","5,799,000","1,832,000","3,070,000","2,783,000","7,433,000","560,000","4,214,000","10,672,000","-845,000","2,774,000","3,438,000","2,721,000","1,785,000","3,701,000","1,324,000","923,000","794,000",,,,,,,,"-1,306,000","-598,000","-2,704,000","-1,331,000","-757,000"
		OperatingGainsLosses,,,"-13,442,000",,,,"0","-9,016,000",,,"-2,955,000","-1,782,000","0","-4,465,000","-13,624,000","0","-11,703,000","-3,283,000","-5,105,000","-15,449,000",,,"0","-1,653,000","0","-5,248,000","-4,248,000","0",,,,,,,,,,,"-998,000","-959,000","-1,188,000","-892,000","-320,000","-327,000","-497,000","-310,000","-212,000","0",,
			GainLossOnInvestmentSecurities,,,"-13,442,000",,,,"0","-9,016,000",,,"-3,144,000","-1,782,000","0","-4,465,000","-13,624,000","0","-11,703,000","-3,283,000","-5,105,000","-15,449,000",,,"0","-1,892,000","0","-5,248,000","-4,248,000","0",,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"44,939,000","11,871,000","11,138,000","11,590,000","10,340,000","9,933,000","9,826,000","10,818,000","10,100,000","9,711,000","10,320,000","9,838,000","9,630,000","9,545,000","9,234,000","9,154,000","8,876,000","9,858,000","9,375,000","8,888,000","8,598,000","8,848,000","8,839,000","8,554,000","7,750,000","7,918,000","11,726,000","7,737,000","7,593,000","7,045,000","4,806,000","4,625,000","4,502,000","4,138,000","3,496,000","3,062,000","2,439,000","2,620,000","3,035,000","2,585,000","1,997,000","1,915,000","1,636,000","1,515,000","1,179,000","1,075,000","996,000","313,000","222,000","20,000"
			DepreciationAndAmortization,"44,939,000","11,871,000","11,138,000","11,590,000","10,340,000","9,933,000","9,826,000","10,818,000","10,100,000","9,711,000","10,320,000","9,838,000","9,630,000","9,545,000","9,234,000","9,154,000","8,876,000","9,858,000","9,375,000","8,888,000","8,598,000","8,848,000","8,839,000","8,554,000","7,750,000","7,918,000","11,726,000","7,737,000","7,593,000","7,045,000","4,806,000","4,625,000","4,502,000","4,138,000","3,496,000","3,062,000","2,439,000","2,620,000","3,035,000","2,585,000","1,997,000","1,915,000","1,636,000","1,515,000","1,179,000","1,075,000","996,000","313,000","222,000","20,000"
				Depreciation,"54,293,000","14,982,000","13,707,000","13,636,000","11,968,000","11,376,000","11,192,000","12,124,000","11,459,000","11,100,000","11,847,000","11,105,000","10,648,000","10,415,000","10,250,000","10,057,000","9,774,000","10,735,000","10,015,000","9,595,000","9,076,000","9,184,000","9,185,000","8,872,000","8,080,000","8,262,000","12,065,000","8,106,000","8,229,000","7,626,000","5,123,000","4,918,000","4,763,000","4,366,000","3,685,000","3,264,000","2,795,000","2,737,000","2,908,000","2,482,000","1,918,000","1,825,000","1,521,000","1,377,000","1,042,000","959,000","836,000","242,000",,
				AmortizationCashFlow,"-9,354,000","-3,111,000","-2,569,000","-2,046,000","-1,628,000","-1,443,000","-1,366,000","-1,306,000","-1,359,000","-1,389,000","-1,527,000","-1,267,000","-1,018,000","-870,000","-1,016,000","-903,000","-898,000","-877,000","-640,000","-707,000","-478,000","-336,000","-346,000","-318,000","-330,000","-344,000","-339,000","-369,000","-636,000","-581,000","-317,000","-293,000","-261,000","-228,000","-189,000","-202,000","-356,000","-117,000","127,000","103,000","79,000","90,000","115,000","138,000","137,000","116,000","160,000","71,000",,
					AmortizationOfIntangibles,"-9,354,000","-3,111,000","-2,569,000","-2,046,000","-1,628,000","-1,443,000","-1,366,000","-1,306,000","-1,359,000","-1,389,000","-1,527,000","-1,267,000","-1,018,000","-870,000","-1,016,000","-903,000","-898,000","-877,000","-640,000","-707,000","-478,000","-336,000","-346,000","-318,000","-330,000","-344,000","-339,000","-369,000","-636,000","-581,000","-317,000","-293,000","-261,000","-228,000","-189,000","-202,000","-356,000","-117,000","127,000","103,000","79,000","90,000","115,000","138,000","137,000","116,000","160,000","71,000",,
