name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
TotalRevenue,"209,689,000","50,918,000","52,820,000","53,390,000","52,561,000","53,097,000","51,707,000","48,842,000","45,452,000","43,811,000","39,161,000","40,649,000","40,534,000","42,314,000","42,658,000","43,362,000","43,949,000","30,605,000","30,098,000","29,904,000","29,750,000","28,460,000","29,062,000","26,650,000","27,438,000","27,077,000","26,348,000","24,849,000","22,462,000","23,691,000","21,291,000","21,105,000","20,617,000","20,866,000","20,404,000","20,057,000","18,875,000","27,416,000","18,279,000","18,075,000","19,199,000","17,873,000","16,588,000","18,665,000","21,571,000","19,546,000","16,646,000","15,176,000","15,529,000","15,276,000","14,907,000","13,773,000","13,777,000","13,494,000","14,405,000","13,551,000","12,191,000","12,281,000","12,332,000","12,084,000","11,633,000","11,737,000","11,956,000","12,256,000","13,271,000","14,221,000","13,105,000","13,406,000","21,350,000","13,806,000","13,068,000","13,298,000","12,771,000","12,586,000","11,821,000"
	OperatingRevenue,"209,689,000","50,918,000","52,820,000","53,390,000","52,561,000","53,097,000","51,707,000","48,842,000","45,452,000","43,811,000","39,161,000","40,649,000","40,534,000","42,314,000","42,658,000","43,362,000","43,949,000","30,605,000","30,098,000","29,904,000","29,750,000","28,460,000","29,062,000","26,650,000","27,438,000","27,077,000","26,348,000","24,849,000","22,462,000","23,691,000","21,291,000","21,105,000","20,617,000","20,866,000","20,404,000","20,057,000","18,875,000","27,416,000","18,279,000","18,075,000","19,199,000","17,873,000","16,588,000","18,665,000","21,571,000","19,546,000","16,646,000","15,176,000","15,529,000","15,276,000","14,907,000","13,773,000","13,777,000","13,494,000","14,405,000","13,551,000","12,191,000","12,281,000","12,332,000","12,084,000","11,633,000","11,737,000","11,956,000","12,256,000","13,271,000","14,221,000","13,105,000","13,406,000","21,350,000","13,806,000","13,068,000","13,298,000","12,771,000","12,586,000","11,821,000"
PretaxIncome,"102,288,000","24,215,000","25,570,000","26,987,000","25,516,000","22,155,000","22,562,000","14,263,000","18,387,000","9,479,000","14,199,000","15,187,000","11,125,000","15,722,000","14,417,000","14,805,000","11,975,000","7,639,000","6,398,000","7,988,000","6,511,000","5,617,000","8,434,000","6,861,000","7,714,000","5,835,000","5,230,000","3,826,000","-6,693,000","4,538,000","3,039,000","3,476,000","4,039,000","2,471,000","4,288,000","3,607,000","2,531,000","2,067,000","1,695,000","2,463,000","1,859,000","2,034,000","642,000","3,319,000","5,802,000","3,686,000","368,000","2,281,000","3,558,000","3,188,000","3,131,000","1,898,000","1,980,000","2,332,000","3,743,000","2,933,000","1,782,000","2,211,000","2,233,000","1,629,000","183,000","334,000","636,000","1,002,000","2,333,000","2,696,000","2,903,000","3,953,000","11,794,000","5,105,000","4,335,000","5,358,000","5,445,000","5,276,000","4,728,000"
TaxProvision,"27,628,000","6,522,000","6,801,000","7,272,000","7,033,000","5,732,000","5,614,000","2,884,000","4,698,000","225,000","3,547,000","3,817,000","2,314,000","4,305,000","3,649,000","3,659,000","4,257,000","2,262,000","5,129,000","2,756,000","2,107,000","1,549,000","2,970,000","2,194,000","2,833,000","1,667,000","1,433,000","850,000","-3,352,000","660,000","870,000","553,000","1,210,000","685,000","1,301,000","1,021,000","606,000","323,000","518,000","803,000","661,000","642,000","172,000","1,301,000","1,969,000","998,000","373,000","946,000","1,546,000","1,324,000","1,290,000","803,000","867,000","1,028,000","1,505,000","1,197,000","957,000","-462,000","857,000","599,000","-36,000","92,000","89,000","76,000","461,000","250,000","577,000","989,000","3,710,000","1,279,000","1,143,000","1,562,000","1,786,000","1,583,000","1,418,000"
NetIncomeCommonStockholders,"74,660,000","17,693,000","18,769,000","19,715,000","18,483,000","16,423,000","16,948,000","11,379,000","13,689,000","9,254,000","10,652,000","11,370,000","8,811,000","11,417,000","10,768,000","11,146,000","7,718,000","5,377,000","1,269,000","5,232,000","4,404,000","4,068,000","5,464,000","4,667,000","4,881,000","4,168,000","3,797,000","2,976,000","-3,341,000","3,878,000","2,169,000","2,923,000","2,829,000","1,786,000","2,987,000","2,586,000","1,925,000","1,744,000","1,177,000","1,660,000","1,198,000","1,392,000","470,000","2,018,000","3,833,000","2,688,000","-5,000","1,335,000","2,012,000","1,864,000","1,841,000","1,095,000","1,113,000","1,304,000","2,238,000","1,736,000","825,000","2,673,000","1,376,000","1,030,000","219,000","242,000","547,000","926,000","1,872,000","2,446,000","2,326,000","2,964,000","8,084,000","3,826,000","3,192,000","3,796,000","3,659,000","3,693,000","3,310,000"
	NetIncome,"74,660,000","17,693,000","18,769,000","19,715,000","18,483,000","16,423,000","16,948,000","11,379,000","13,689,000","9,254,000","10,652,000","11,370,000","8,811,000","11,417,000","10,768,000","11,146,000","7,718,000","5,377,000","1,269,000","5,232,000","4,404,000","4,068,000","5,464,000","4,667,000","4,881,000","4,168,000","3,797,000","2,976,000","-3,341,000","3,878,000","2,169,000","2,923,000","2,829,000","1,786,000","2,987,000","2,586,000","1,925,000","1,744,000","1,177,000","1,660,000","1,198,000","1,392,000","470,000","2,018,000","3,833,000","2,688,000","-5,000","1,335,000","2,012,000","1,864,000","1,841,000","1,095,000","1,113,000","1,304,000","2,238,000","1,736,000","825,000","2,673,000","1,376,000","1,030,000","219,000","242,000","547,000","926,000","1,872,000","2,446,000","2,326,000","2,964,000","8,084,000","3,826,000","3,192,000","3,796,000","3,659,000","3,693,000","3,310,000"
		NetIncomeIncludingNoncontrollingInterests,"74,660,000","17,693,000","18,769,000","19,715,000","18,483,000","16,423,000","16,948,000","11,379,000","13,689,000","9,254,000","10,652,000","11,370,000","8,811,000","11,417,000","10,768,000","11,146,000","7,718,000","5,377,000","1,269,000","5,232,000","4,404,000","4,068,000","5,464,000","4,667,000","4,881,000","4,168,000","3,797,000","2,976,000","-3,341,000","3,878,000","2,169,000","2,923,000","2,829,000","1,786,000","2,987,000","2,586,000","1,925,000","1,744,000","1,177,000","1,660,000","1,198,000","1,392,000","470,000","2,018,000","3,833,000","2,688,000","-5,000","1,335,000","2,012,000","1,864,000","1,841,000","1,095,000","1,113,000","1,304,000","2,238,000","1,736,000","825,000","2,673,000","1,376,000","1,030,000","219,000","242,000","547,000","926,000","1,872,000","2,446,000","2,326,000","2,964,000","8,084,000","3,826,000","3,192,000","3,796,000","3,659,000","3,693,000","3,310,000"
			NetIncomeContinuousOperations,"74,660,000","17,693,000","18,769,000","19,715,000","18,483,000","16,423,000","16,948,000","11,379,000","13,689,000","9,254,000","10,652,000","11,370,000","8,811,000","11,417,000","10,768,000","11,146,000","7,718,000","5,377,000","1,269,000","5,232,000","4,404,000","4,068,000","5,464,000","4,667,000","4,881,000","4,168,000","3,797,000","2,976,000","-3,341,000","3,878,000","2,169,000","2,923,000","2,829,000","1,786,000","2,987,000","2,586,000","1,925,000","1,744,000","1,177,000","1,660,000","1,198,000","1,392,000","470,000","2,018,000","3,833,000","2,688,000","-5,000","1,335,000","2,012,000","1,864,000","1,841,000","1,095,000","1,113,000","1,304,000","2,238,000","1,736,000","825,000","2,673,000","1,376,000","1,030,000","219,000","242,000","547,000","926,000","1,872,000","2,446,000","2,326,000","2,964,000","8,084,000","3,826,000","3,192,000","3,796,000","3,659,000","3,693,000","3,310,000"
DilutedNIAvailtoComStockholders,"74,660,000","17,693,000","18,769,000","19,715,000","18,483,000","16,423,000","16,948,000","11,379,000","13,689,000","9,254,000","10,652,000","11,370,000","8,811,000","11,417,000","10,768,000","11,146,000","7,718,000","5,377,000","1,269,000","5,232,000","4,404,000","4,068,000","5,464,000","4,667,000","4,881,000","4,168,000","3,797,000","2,976,000","-3,341,000","3,878,000","2,169,000","2,923,000","2,829,000","1,786,000","2,987,000","2,586,000","1,925,000","1,744,000","1,177,000","1,660,000","1,198,000","1,392,000","470,000","2,018,000","3,833,000","2,688,000","-5,000","1,335,000","2,012,000","1,864,000","1,841,000","1,095,000","1,113,000","1,304,000","2,238,000","1,736,000","825,000","2,673,000","1,376,000","1,030,000","219,000","242,000","547,000","926,000","1,872,000","2,446,000","2,326,000","2,964,000","8,084,000","3,826,000","3,192,000","3,796,000","3,659,000","3,693,000","3,310,000"
BasicEPS,,"0.25","0.26","0.26","0.24","0.2","0.2","0.13","0.17","0.11","0.13","0.13","0.1","0.13","0.12","0.12","0.08","0.07","0.02","0.07","0.05","0.05","0.06","0.05","0.05","0.05","0.04","0.03","-0.04","0.043","0.022","0.029","0.029","0.022","0.036","0.029","0.022","0.022","0.014","0.022","0.014","0.014","0.007","0.022",,"0.029","0","0.014",,"0.022","0.022","0.014",,"0.014","0.022","0.022",,"0.029","0.014","0.007",,"0","0.007","0.007",,"0.022","0.022","0.029",,"0.036","0.032","0.054",,"0.053","0.047"
