name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,12/31/2013
TotalAssets,"4,767,765,000","4,919,567,000","5,071,039,000","4,995,463,000","3,873,314,000","3,430,485,000","913,172,000","969,875,000","790,888,000","781,601,000","790,387,000","502,902,000","476,499,000","282,959,000","284,400,000","239,076,000","208,388,000","211,078,000","213,238,000","139,208,000","152,622,000","130,651,000","101,698,000","121,193,000","139,026,000","156,676,000","175,672,000","194,844,000","218,215,000","128,778,000","73,147,000","53,103,000"
	CurrentAssets,"1,030,605,000","1,178,805,000","1,365,564,000","1,644,003,000","779,735,000","453,932,000","415,104,000","471,122,000","357,427,000","442,398,000","508,529,000","287,919,000","321,485,000","165,439,000","167,326,000","122,513,000","89,215,000","86,681,000","90,947,000","86,206,000","107,395,000","101,800,000","74,964,000","96,751,000","114,718,000","131,310,000","150,519,000","174,075,000","188,222,000","109,643,000","60,531,000","43,806,000"
		CashCashEquivalentsAndShortTermInvestments,"874,712,000","1,045,371,000","1,242,099,000","1,530,218,000","671,598,000","353,980,000","361,284,000","422,136,000","294,608,000","391,825,000","467,312,000","247,800,000","281,216,000","125,885,000","129,179,000","85,144,000","54,969,000","64,660,000","76,907,000","75,372,000","96,781,000","92,623,000","66,748,000","85,286,000","103,865,000","127,018,000","147,252,000","170,926,000","184,333,000","107,027,000","59,138,000","43,070,000"
			CashAndCashEquivalents,"325,331,000","923,250,000","921,634,000","1,107,745,000","194,218,000","124,794,000","106,436,000","168,203,000","90,220,000","151,389,000","467,012,000","247,000,000","252,502,000","112,158,000","101,419,000","48,568,000","18,443,000","12,053,000","33,858,000","27,673,000","43,439,000","66,825,000","37,745,000","31,587,000","27,314,000","73,238,000","48,999,000","47,518,000","68,264,000","107,027,000","59,138,000","43,070,000"
			OtherShortTermInvestments,"549,381,000","122,121,000","320,465,000","422,473,000","477,380,000","229,186,000","254,848,000","253,933,000","204,388,000","240,436,000","300,000","800,000","28,714,000","13,727,000","27,760,000","36,576,000","36,526,000","52,607,000","43,049,000","47,699,000","53,342,000","25,798,000","29,003,000","53,699,000","76,551,000","53,780,000","98,253,000","123,408,000","116,069,000",,,
		Receivables,"80,399,000","66,227,000","58,431,000","55,714,000","45,592,000","47,722,000","27,328,000","27,905,000","37,734,000","32,541,000","26,740,000","23,143,000","23,700,000","26,296,000","25,488,000","25,058,000","21,490,000","10,422,000","6,142,000","2,556,000","2,032,000",,,,,,,,,,,
			AccountsReceivable,"80,399,000","66,227,000","58,431,000","55,714,000","45,592,000","47,722,000","27,328,000","27,905,000","37,734,000","32,541,000","26,740,000","23,143,000","23,700,000","26,296,000","25,488,000","25,058,000","21,490,000","10,422,000","6,142,000","2,556,000","2,032,000",,,,,,,,,,,
		Inventory,"43,457,000","33,516,000","30,633,000","29,982,000","30,656,000","32,030,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			RawMaterials,"36,164,000","27,178,000","26,318,000","23,381,000","20,976,000","21,324,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"6,446,000","5,342,000","3,215,000","5,752,000","7,743,000","8,847,000",,,,,,,,,,,,,,,,,,,,,,,,,,
