name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
			DepreciationIncomeStatement,"1,959,000","435,000","521,000","545,000","458,000","444,000","706,000","437,000","453,000","461,000","439,000","361,000","323,000","269,000","217,000","137,000","133,000","120,000","346,000","130,000",,"113,000","170,000","171,000","167,000","149,000","121,000","116,000","111,000","104,000",,,"247,000","237,000",,
			Amortization,"40,664,000","10,616,000","10,009,000","10,219,000","9,820,000","9,299,000","8,788,000","8,680,000","8,584,000","8,810,000","8,015,000","6,066,000","5,421,000","4,990,000","4,466,000","3,469,000","3,720,000","2,010,000","2,041,000","1,518,000",,"1,051,000","851,000","1,151,000","1,309,000","1,323,000","1,207,000","1,014,000","952,000","910,000",,,"819,000","818,000",,
				AmortizationOfIntangiblesIncomeStatement,"40,664,000","10,616,000","10,009,000","10,219,000","9,820,000","9,299,000","8,788,000","8,680,000","8,584,000","8,810,000","8,015,000","6,066,000","5,421,000","4,990,000","4,466,000","3,469,000","3,720,000","2,010,000","2,041,000","1,518,000",,"1,051,000","851,000","1,151,000","1,309,000","1,323,000","1,207,000","1,014,000","952,000","910,000",,,"819,000","818,000",,
	OtherTaxes,"-976,000",,,,,,,"-433,000","-194,000","-302,000","-47,000","-133,000","-85,000","-86,000","-2,000","-99,000","-203,000","-102,000","-118,000","-195,000","-112,000","-117,000","-173,000","-115,000","-116,000","-109,000","-112,000","-115,000","-122,000","-121,000","-682,000","-138,000","-138,000","-136,000","-143,000","-144,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,"-86,000",,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"-9,865,000","-4,364,000","185,000","-2,057,000","-3,629,000","-7,942,000","3,697,000","893,000","-1,163,000","-165,000","2,702,000","3,759,000","3,732,000","5,158,000","5,198,000","2,844,000","2,449,000","2,643,000","2,334,000","2,072,000","-525,000","75,000","138,000","-262,000","-1,084,000","-1,733,000","-1,405,000","-1,633,000","-2,148,000","-2,582,000","-2,013,000","-1,562,000","-965,000","-11,619,000","-1,262,000","-757,000"
NetNonOperatingInterestIncomeExpense,"-31,601,000","-7,762,000","-7,926,000","-7,971,000","-7,942,000","-7,787,000","-7,935,000","-8,078,000","-7,873,000","-7,643,000","-6,434,000","-5,517,000","-5,246,000","-5,116,000","-4,518,000","-3,118,000","-3,143,000","-2,494,000","-2,210,000","-2,277,000","-1,160,000","-935,000","-849,000","-709,000","-662,000","-561,000","-473,000","-462,000","-576,000","-347,000","-720,000","-397,000","-419,000","-415,000","-1,816,000","-434,000"
	InterestExpenseNonOperating,"31,601,000","7,762,000","7,926,000","7,971,000","7,942,000","7,787,000","7,935,000","8,078,000","7,873,000","7,643,000","6,434,000","5,517,000","5,246,000","5,116,000","4,518,000","3,118,000","3,143,000","2,494,000","2,210,000","2,277,000","1,160,000","935,000","849,000","709,000","662,000","561,000","473,000","462,000","576,000","347,000","720,000","397,000","419,000","415,000","1,816,000","434,000"
	TotalOtherFinanceCost,,,,,,,,,,,"6,434,000","5,517,000","5,246,000","5,116,000","4,518,000","3,118,000","3,143,000","2,494,000","2,210,000","2,277,000","1,160,000","935,000","849,000","709,000","662,000","561,000","473,000","462,000","576,000","347,000","720,000","397,000","419,000","415,000","1,816,000","434,000"
OtherIncomeExpense,"-22,969,000","-10,831,000","-1,870,000","-4,335,000","-5,933,000","-9,349,000","-1,854,000","-2,976,000","-5,796,000","-16,560,000","-16,772,000","-10,002,000","-9,956,000","-8,484,000","-10,805,000","-3,241,000","-3,664,000","-2,799,000","-4,175,000","-2,895,000","-3,930,000","-3,803,000","-301,000","-1,111,000","-1,673,000","-3,176,000","-1,531,000","-39,000","-372,000","-1,057,000","-1,148,000","-48,000","-713,000","-176,000","-1,464,000","27,000"
