name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007
OperatingCashFlow,"-12,600,000","-58,900,000","54,400,000","-18,400,000","10,300,000","-76,600,000","-7,200,000","60,400,000","-29,200,000","-36,600,000","20,000,000","-7,600,000","-6,800,000","-25,100,000","1,300,000","32,100,000","10,900,000","48,800,000","-56,600,000","61,400,000","57,000,000","11,200,000","24,500,000","67,900,000","19,400,000","-8,900,000","64,000,000","76,900,000","53,900,000","-16,600,000","12,400,000","20,600,000","102,000,000","-36,900,000","48,386,000","6,770,000","3,709,000","-27,565,000","3,932,000","-7,066,000","21,799,000","-11,898,000","8,458,000","-1,593,000","-829,000","-12,047,000","3,124,000","7,134,000","-4,800,000","-3,301,000","-24,398,219","-313,528","-309,436","-204,817","-393,705","-591,309","-1,321,803","-657,321","-49,953","2,029,077"
	CashFlowFromContinuingOperatingActivities,"-12,600,000","-58,900,000","54,400,000","-18,400,000","10,300,000","-76,600,000","-7,200,000","60,400,000","-29,200,000","-36,600,000","20,000,000","-7,600,000","-6,800,000","-25,100,000","1,300,000","32,100,000","10,900,000","48,800,000","-56,600,000","61,400,000","57,000,000","11,200,000","24,500,000","67,900,000","19,400,000","-8,900,000","64,000,000","76,900,000","53,900,000","-16,600,000","12,400,000","20,600,000","102,000,000","-36,900,000","48,386,000","6,770,000","3,709,000","-27,565,000","3,932,000","-7,066,000","21,799,000","-11,898,000","8,458,000","-1,593,000","-829,000","-12,047,000","3,124,000","7,134,000","-4,800,000","-3,301,000","-24,398,219","-313,528","-309,436","-204,817","-393,705","-591,309","-1,321,803","-657,321","-49,953","2,029,077"
		NetIncomeFromContinuingOperations,"378,000,000","40,000,000","44,300,000","72,500,000","221,200,000","-1,600,000","172,500,000","-19,700,000","-39,100,000","-5,900,000","158,900,000","19,400,000","141,200,000","1,600,000","32,900,000","12,900,000","167,300,000","-1,000,000","105,400,000","9,800,000","21,900,000","900,000","45,200,000","13,100,000","-2,300,000","20,500,000","28,300,000","5,100,000","29,900,000","-4,300,000","-20,500,000","-3,000,000","63,700,000","49,900,000","20,511,000","-2,685,000","-1,331,000","-2,595,000","10,496,000","-4,142,000","-997,000","1,482,000","9,764,000","-4,878,000","514,000","2,078,000",,,,,"-8,634,136","-765,480","-110,409","-146,975","-35,181","278,211","443,724","824,461","616,411","-1,884,596"
		OperatingGainsLosses,"-759,100,000","-99,500,000","-127,100,000","-153,000,000","-379,500,000","-90,400,000","-325,600,000","-19,000,000","-17,900,000","-55,500,000","-231,700,000","-91,600,000","-217,400,000","-75,400,000","-126,600,000","-66,800,000","-258,700,000","-54,800,000","-176,200,000","-35,800,000","-76,100,000","-27,800,000","-117,500,000","-56,400,000","-36,500,000","-60,600,000","-83,900,000","-14,900,000","-56,000,000","-18,600,000","-9,500,000","-13,000,000","-33,600,000","-4,400,000","-8,815,000","-10,380,000","-12,886,000","-419,000","-31,189,000","18,823,000","-5,108,000","-8,235,000","-5,613,000","578,000","-8,899,000","-5,276,000",,,,,"-25,412,526","-22,291","-26,448","-23,735",,"-951,016",,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,"-211,200,000","-34,800,000","-68,800,000","-40,100,000","-238,100,000","-29,100,000","-151,300,000","-31,700,000","-69,400,000","-5,600,000","-58,300,000","-21,500,000","-19,200,000","-38,900,000","-27,700,000","-2,200,000","-34,600,000","-6,200,000","-3,300,000",,"-2,300,000","-1,600,000","30,000","-1,001,000","-966,000","-763,000","-41,000","0","0","212,000","-335,000","0",,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-352,100,000","-9,400,000","3,100,000","-16,100,000","-329,700,000","-74,600,000","-291,500,000","-5,100,000","-700,000","-46,100,000","-184,700,000","-8,600,000","-212,300,000","-34,600,000","-68,400,000","-42,800,000","-247,800,000","-28,800,000","-156,000,000","-22,900,000","-62,700,000","-5,300,000","-58,600,000","-21,400,000","-24,900,000","-39,500,000","-28,100,000","3,400,000","-36,800,000","-5,800,000","-1,000,000","-500,000","-2,300,000","-1,600,000","30,000","-1,001,000","-966,000","-763,000",,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-476,000,000","-105,400,000","-175,100,000","-143,100,000","-52,400,000","-18,400,000","-36,000,000","-14,900,000","-19,200,000","-10,900,000","-48,100,000","-84,000,000","-5,900,000","-41,700,000","-17,800,000","-24,000,000","-10,900,000","-26,000,000","-20,200,000","-12,900,000","-13,400,000","-22,500,000","-58,900,000","-35,000,000","-11,600,000","-21,100,000","-55,800,000","-18,300,000","-19,200,000","-12,800,000","-8,500,000","-12,500,000","-31,300,000","-2,800,000","-8,845,000","-9,379,000","-11,920,000","344,000","-26,795,000","18,823,000","-5,108,000","-8,447,000","-5,278,000","578,000","-8,899,000","-5,256,000",,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"69,000,000","15,300,000","44,900,000","6,200,000","2,600,000","2,600,000","1,900,000","1,000,000","2,000,000","1,500,000","1,100,000","1,000,000","800,000","900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"163,700,000","42,100,000","39,300,000","39,700,000","42,600,000","51,500,000","42,800,000","43,200,000","41,600,000","41,800,000","45,300,000","46,100,000","44,500,000","47,100,000","44,500,000","48,600,000","47,300,000","51,100,000","45,100,000","55,400,000","52,100,000","49,700,000","50,900,000","50,000,000","49,000,000","48,300,000","46,800,000","44,900,000","38,000,000","36,600,000","37,200,000","34,700,000","25,300,000","7,300,000","5,397,000","4,531,000","4,415,000","3,057,000","2,034,000","989,000","977,000","937,000","997,000","931,000","463,000","434,000",,,,,,,,,,,,,,
			DepreciationAndAmortization,"163,700,000","42,100,000","39,300,000","39,700,000","42,600,000","51,500,000","42,800,000","43,200,000","41,600,000","41,800,000","45,300,000","46,100,000","44,500,000","47,100,000","44,500,000","48,600,000","47,300,000","51,100,000","45,100,000","55,400,000","52,100,000","49,700,000","50,900,000","50,000,000","49,000,000","48,300,000","46,800,000","44,900,000","38,000,000","36,600,000","37,200,000","34,700,000","25,300,000","7,300,000","5,397,000","4,531,000","4,415,000","3,057,000","2,034,000","989,000","977,000","937,000","997,000","931,000","463,000","434,000",,,,,,,,,,,,,,
