name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
TotalAssets,"2,608,042,000","2,582,215,000","2,348,130,000","2,359,139,000","2,343,352,000","2,371,857,000","2,448,995,000","2,523,455,000","2,398,027,000","2,353,093,000","2,358,819,000","2,373,653,000","2,367,191,000","2,326,681,000","2,355,996,000","2,811,417,000","2,847,058,000","2,848,345,000","2,853,472,000","2,844,931,000","2,836,885,000","2,832,543,000","2,880,967,000","2,902,537,000","2,912,983,000","2,982,136,000","983,622,000","966,131,000","946,720,000","956,009,000","931,287,000","911,767,000","890,377,000","890,703,000","884,711,000","897,282,000","884,922,000","889,875,000","891,930,000","885,790,000","886,991,000","881,347,000","811,835,000","819,920,000","808,542,000","776,976,000","820,361,000","823,113,000","835,265,000","830,543,000","847,361,000","837,855,000","842,995,000","848,931,000","832,934,000","829,580,000","814,586,000","663,851,000","644,862,000","633,497,000","632,528,000","547,827,000","535,297,000","530,708,000","516,812,000","512,911,000","506,953,000","495,056,000","483,167,000","479,938,000","467,527,000","461,870,000","452,734,000","438,243,000","428,960,000","413,902,000","311,761,000","312,251,000","306,696,000","285,697,000","283,108,000","283,520,000","287,377,000","238,427,000","184,407,000","181,647,000","192,886,000"
	CurrentAssets,"494,790,000","452,982,000","442,567,000","434,243,000","409,237,000","412,937,000","498,653,000","579,502,000","460,822,000","415,395,000","453,071,000","445,786,000","437,190,000","416,250,000","428,667,000","874,479,000","528,761,000","531,909,000","528,300,000","524,093,000","528,126,000","517,307,000","525,139,000","533,893,000","534,406,000","574,604,000","364,261,000","355,406,000","336,314,000","350,683,000","326,935,000","311,136,000","284,761,000","282,533,000","275,433,000","288,421,000","271,746,000","268,133,000","261,692,000","253,793,000","252,948,000","264,956,000","253,031,000","251,072,000","250,045,000","211,509,000","257,480,000","263,756,000","268,456,000","253,170,000","247,819,000","236,163,000","238,772,000","235,571,000","218,414,000","216,190,000","208,839,000","181,224,000","238,086,000","230,153,000","326,274,000","241,326,000","227,440,000","216,829,000","200,821,000","196,003,000","186,969,000","170,829,000","161,266,000","162,479,000","154,656,000","155,076,000","151,552,000","194,364,000","184,628,000","168,923,000","69,363,000","68,552,000","64,619,000","93,981,000","91,781,000","94,875,000","96,128,000","45,757,000","34,650,000","29,941,000","38,364,000"
		CashCashEquivalentsAndShortTermInvestments,"25,668,000","17,885,000","25,472,000","30,581,000","28,402,000","49,206,000","99,943,000","206,244,000","37,259,000","13,535,000","14,719,000","15,922,000","13,538,000","25,569,000","22,881,000","18,856,000","29,488,000","44,096,000","43,637,000","46,533,000","54,881,000","52,116,000","44,995,000","36,590,000","54,123,000","82,478,000","68,594,000","72,338,000","67,019,000","76,824,000","61,582,000","51,193,000","38,325,000","35,465,000","4,973,000","10,184,000","10,144,000","20,284,000","10,843,000","11,133,000","9,534,000","36,508,000","41,627,000","36,942,000","51,678,000","22,883,000","42,996,000","45,657,000","56,317,000","37,864,000","29,545,000","19,003,000","15,098,000","22,063,000","20,015,000","21,569,000","20,762,000","40,490,000","115,753,000","120,799,000","225,742,000","142,563,000","128,218,000","115,819,000","104,906,000","112,149,000","102,078,000","88,143,000","85,736,000","92,232,000","83,865,000","82,921,000","81,902,000","131,045,000","122,203,000","102,465,000","2,203,000","4,608,000","3,325,000","40,302,000","37,551,000","43,272,000","43,641,000","862,000","253,000","16,000","3,220,000"
			CashAndCashEquivalents,"25,668,000","17,885,000","25,472,000","30,581,000","28,402,000","49,206,000","99,943,000","206,244,000","37,259,000","13,535,000","14,719,000","15,922,000","13,538,000","25,569,000","22,881,000","18,856,000","29,488,000","44,096,000","43,637,000","46,533,000","54,881,000","52,116,000","44,995,000","36,590,000","54,123,000","82,478,000","68,594,000","72,338,000","67,019,000","76,824,000","61,582,000","51,193,000","38,325,000","35,465,000","4,973,000","10,184,000","10,144,000","20,284,000","10,843,000","11,133,000","9,534,000","36,508,000","41,627,000","36,942,000","51,678,000","22,883,000","42,996,000","45,657,000","56,317,000","37,864,000","29,545,000","19,003,000","15,098,000","22,063,000","20,015,000","20,011,000","14,307,000","33,473,000","95,979,000","81,509,000","147,128,000","71,147,000","55,792,000","44,180,000","38,888,000","46,403,000","39,316,000","83,036,000","78,860,000","89,473,000","77,801,000","79,851,000","74,253,000","119,486,000","112,756,000","99,474,000","2,203,000","4,608,000","3,325,000","40,302,000","37,551,000","43,272,000","43,641,000","862,000","253,000","16,000","3,220,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"1,558,000","6,455,000","7,017,000","19,774,000","39,290,000","78,614,000","71,416,000","72,426,000","71,639,000","66,018,000","65,746,000","62,762,000","5,107,000","6,876,000","2,759,000","6,064,000","3,070,000","7,649,000","11,559,000","9,447,000","2,991,000",,,,,,,,,,,
		Receivables,"268,066,000","251,788,000","249,508,000","237,806,000","212,973,000","198,512,000","197,315,000","185,140,000","238,667,000","216,752,000","216,671,000","217,732,000","216,756,000","185,501,000","200,147,000","206,991,000","242,712,000","242,493,000","221,524,000","220,631,000","221,289,000","218,014,000","194,666,000","198,666,000","194,662,000","219,072,000","111,725,000","124,469,000","114,538,000","126,669,000","121,615,000","124,562,000","117,221,000","115,985,000","131,532,000","138,597,000","124,566,000","120,923,000","124,803,000","114,135,000","116,587,000","103,238,000","82,829,000","90,453,000","81,964,000","73,710,000","80,066,000","87,480,000","81,568,000","81,488,000","76,637,000","86,533,000","91,977,000","86,364,000","86,207,000","87,394,000","83,748,000","57,339,000","44,108,000","34,980,000","38,505,000","32,854,000","35,856,000","40,854,000","39,857,000","29,997,000","34,600,000","35,515,000","29,672,000","24,288,000","28,777,000","29,929,000","27,491,000","23,726,000","26,997,000","26,725,000","26,769,000","19,310,000","22,303,000","18,834,000","17,616,000","17,373,000","21,658,000","17,174,000","15,377,000","12,977,000","15,757,000"
			AccountsReceivable,"198,041,000","182,310,000","177,488,000","175,533,000","165,826,000","156,207,000","151,201,000","147,751,000","199,785,000","191,985,000","216,671,000","217,732,000","216,756,000","185,501,000","200,147,000","206,890,000","242,218,000","242,456,000","221,520,000","212,607,000","213,610,000","204,626,000","191,409,000","192,121,000","183,563,000","207,342,000","108,278,000","122,101,000","110,429,000","124,953,000","121,615,000","124,562,000","117,221,000","113,679,000","130,966,000","138,597,000","124,566,000","120,923,000","124,803,000","114,135,000","116,374,000","101,946,000","82,829,000","90,453,000","81,964,000","70,947,000","80,066,000","87,480,000","81,568,000","81,488,000","76,637,000","86,533,000","91,977,000","86,364,000","84,806,000","84,345,000","79,499,000","56,962,000","44,108,000","34,980,000","38,505,000","31,285,000","35,856,000","40,854,000","39,857,000","29,997,000","34,600,000","35,515,000","29,672,000","24,288,000","28,777,000","29,354,000","27,491,000","23,726,000","26,997,000","26,725,000","26,769,000","19,310,000","22,303,000","18,834,000","17,616,000","17,373,000","21,658,000","17,174,000","15,377,000",,
				GrossAccountsReceivable,"198,141,000","182,410,000","177,588,000","175,733,000","166,026,000","156,407,000","151,401,000","149,951,000","201,985,000","194,385,000","216,971,000","218,332,000","217,356,000","186,101,000","200,747,000","207,390,000","242,918,000","243,256,000","222,520,000","213,307,000","214,610,000","205,326,000","192,509,000","193,121,000","184,563,000","208,342,000","109,578,000","123,401,000","111,929,000","126,353,000","123,215,000","126,262,000","119,221,000","115,679,000","132,966,000","140,797,000","126,666,000","123,323,000",,"116,135,000",,"103,846,000","85,129,000","92,353,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-100,000","-100,000","-100,000","-200,000","-200,000","-200,000","-200,000","-2,200,000","-2,200,000","-2,400,000","-300,000","-600,000","-600,000","-600,000","-600,000","-500,000","-700,000","-800,000","-1,000,000","-700,000","-1,000,000","-700,000","-1,100,000","-1,000,000","-1,000,000","-1,000,000","-1,300,000","-1,300,000","-1,500,000","-1,400,000","-1,600,000","-1,700,000","-2,000,000","-2,000,000","-2,000,000","-2,200,000","-2,100,000","-2,400,000",,"-2,000,000",,"-1,900,000","-2,300,000","-1,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,682,000","4,735,000","12,580,000","5,449,000","2,461,000","2,087,000","6,521,000",,,,,,,,,"101,000","494,000","37,000","4,000","8,024,000","7,679,000","13,388,000","3,257,000","6,545,000","11,099,000","11,730,000","3,447,000","2,368,000","4,109,000","1,716,000","0","0","0","2,306,000","566,000",,,"0","0","0","213,000","1,292,000","0","0","0","2,763,000",,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
