name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
MarketCap,"1,800,447,472","1,997,972,948","1,950,848,418","1,867,178,523","1,992,848,894","1,963,909,056","1,941,337,154","608,338,581","655,718,568","498,152,184","859,011,270","810,389,013","792,750,607","827,088,616","739,383,747","891,548,366","822,792,294","768,155,374","890,098,149","915,308,032","902,860,309","895,486,247","854,520,690","790,716,311","725,885,615","711,614,848","689,830,758","668,162,322","858,213,777","730,974,083"
PeRatio,"10.512","10.376","4.094","3.584","3.603","5.929","61.677",,,"13.7","32.738","22.077","20.926","15.328","11.006","13.442","15.284","14.945","19.628","17.554","16.438","22","24","30.236","19.408","14.627","14.011","14.217","20.166","19.798"
ForwardPeRatio,,,,,"10.627","10.482","10.363","8.137","8.842","6.321","10.905","10.05","9.579","10.267","8.834","10.661","10.235","9.569",,,,,,,"9.294","9.116","8.834","8.562",,
PsRatio,"11.552","11.724","6.873","5.701","5.227","7.113","51.706",,,"11.483","25.372","18.403","17.426","13.291","9.814","12.036","13.395","13.168","16.867","15.404","14.37","18.721","19.277","22.678","15.932","12.689","12.312","12.564","17.758","17.31"
PbRatio,"1.118","1.238","1.204","1.144","1.226","1.216","3.099","0.995","1.102","0.737","1.254","1.169","1.141","1.165","1.015","1.227","1.132","1.058","1.217","1.253","1.361","1.346","1.266","1.183","1.071","1.033","0.981","0.946","1.248","1.272"
