name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018
TotalAssets,"507,436,000","530,297,000","529,200,000","529,809,000","519,324,000","506,976,000","480,110,000","469,246,000","458,987,000","447,750,000","363,028,000","356,665,000","98,151,000"
	CurrentAssets,"81,512,000","75,841,000","74,959,000","73,478,000","71,699,000","59,599,000","53,451,000","52,430,000","46,007,000","38,683,000","33,901,000","32,208,000","29,123,000"
		CashCashEquivalentsAndShortTermInvestments,"3,627,000","5,190,000","3,707,000","2,879,000","5,605,000","43,000","8,320,000","12,129,000","4,832,000","402,000","47,000","43,000","41,000"
			CashAndCashEquivalents,"3,627,000","5,190,000","3,707,000","2,879,000","5,605,000","43,000","8,320,000","12,129,000","4,832,000","402,000","47,000","43,000","41,000"
				CashFinancial,"3,627,000","5,190,000","3,707,000","2,879,000","5,605,000","43,000","8,320,000","12,129,000","4,832,000","402,000","47,000","43,000","41,000"
		Receivables,"56,918,000","53,940,000","53,402,000","52,136,000","50,756,000","47,221,000","35,865,000","33,858,000","35,548,000","32,183,000","30,249,000","27,704,000","24,469,000"
			AccountsReceivable,"56,918,000","53,940,000","53,402,000","52,136,000","50,756,000","47,221,000","35,865,000","33,858,000","35,548,000","32,183,000","30,249,000","27,704,000","24,469,000"
				GrossAccountsReceivable,"57,786,000","54,842,000","54,335,000","53,050,000","51,617,000","47,864,000","36,424,000","34,374,000","36,203,000","32,860,000","31,294,000","28,639,000",
				AllowanceForDoubtfulAccountsReceivable,"-868,000","-902,000","-933,000","-914,000","-861,000","-643,000","-559,000","-516,000","-655,000","-677,000","-1,045,000","-935,000",
		PrepaidAssets,"20,967,000","16,711,000","17,850,000","18,463,000","15,338,000","12,335,000","9,266,000","6,443,000","5,627,000","6,098,000","3,605,000","4,461,000","4,613,000"
	TotalNonCurrentAssets,"425,924,000","454,456,000","454,241,000","456,331,000","447,625,000","447,377,000","426,659,000","416,816,000","412,980,000","409,067,000","329,127,000","324,457,000","69,028,000"
		NetPPE,"290,418,000","317,785,000","318,194,000","321,400,000","323,292,000","326,534,000","328,677,000","330,846,000","331,030,000","330,972,000","252,820,000","251,106,000","10,458,000"
			GrossPPE,"310,019,000","336,271,000","337,457,000","339,475,000","340,201,000","342,240,000","343,763,000","344,722,000","343,842,000","342,756,000","263,920,000","261,356,000","10,458,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0",
				MachineryFurnitureEquipment,"1,189,000","1,199,000","1,199,000","1,183,000","1,186,000","1,186,000","1,058,000","1,004,000","944,000","877,000","919,000","875,000",
				OtherProperties,"296,323,000","323,412,000","324,414,000","327,201,000","328,841,000","331,070,000","333,487,000","334,535,000","334,622,000","335,258,000","257,142,000","255,079,000","10,458,000"
