name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"2,136,143,000","788,732,000","640,679,000","374,905,000","331,827,000","329,241,000","215,606,000","193,968,000","216,779,000","210,064,000","215,096,000","209,200,000","202,757,000","195,171,000","200,907,000","200,717,000","204,572,000","210,288,000","219,674,000","228,488,000","209,313,000","207,573,000","222,523,000","214,988,000","199,443,000","196,583,000","193,148,000","195,692,000","192,617,000","185,964,000","188,134,000","188,944,000","122,656,000","118,091,000","109,178,716","108,048,000","110,768,000","110,316,000","60,568,146","129,123,000","126,272,000","126,672,000","124,729,224","131,169,000","126,042,000","122,046,000","113,676,524","115,687,000","117,837,000","121,361,000","124,139,482","129,635,000","149,046,000","175,417,000","205,910,671","178,134,000","170,951,000","179,251,000","181,716,469","185,124,000","175,339,000","176,093,000","175,744,931","162,876,000","156,697,000","159,834,000","165,785,586","162,571,000","159,000,000","158,036,000","149,123,876","165,070,000","167,305,000","172,612,000","175,625,644","184,389,000","165,912,000","161,003,000","171,458,915","157,656,000","155,977,000","154,861,000","144,309,570","133,486,000","111,353,243","111,353,243"
	OperatingRevenue,"2,136,143,000","788,732,000","640,679,000","374,905,000","331,827,000","329,241,000","215,606,000","193,968,000","216,779,000","210,064,000","215,096,000","209,200,000","202,757,000","195,171,000","200,907,000","200,717,000","204,572,000","210,288,000","219,674,000","228,488,000","209,313,000","207,573,000","222,523,000","214,988,000","199,443,000","196,583,000","193,148,000","195,692,000","192,617,000","185,964,000","188,134,000","188,944,000","122,656,000","118,091,000","109,178,716","108,048,000","110,768,000","110,316,000","60,568,146","129,123,000","126,272,000","126,672,000","124,729,224","131,169,000","126,042,000","122,046,000","113,676,524","115,687,000","117,837,000","121,361,000","124,139,482","129,635,000","149,046,000","175,417,000","205,910,671","178,134,000","170,951,000","179,251,000","181,716,469","185,124,000","175,339,000","176,093,000","175,744,931","162,876,000","156,697,000","159,834,000","165,785,586","162,571,000","159,000,000","158,036,000","149,123,876","165,070,000","167,305,000","172,612,000","175,625,644","184,389,000","165,912,000","161,003,000","171,458,915","157,656,000","155,977,000","154,861,000","144,309,570","133,486,000","111,353,243","111,353,243"
CostOfRevenue,"1,657,815,000","613,938,000","493,529,000","291,111,000","259,237,000","257,776,000","161,214,000","145,965,000","166,045,000","160,461,000","161,935,000","158,194,000","151,169,000","146,917,000","150,348,000","149,155,000","150,883,000","156,535,000","161,371,000","168,008,000","152,785,000","154,298,000","164,890,000","156,778,000","144,597,000","145,537,000","142,669,000","144,206,000","144,254,000","138,927,000","140,493,000","141,667,000","90,220,000","87,641,000","80,616,878","79,864,000","82,930,000","81,440,000","46,225,041","97,352,000","94,405,000","93,068,000","90,115,323","95,426,000","91,433,000","89,070,000","81,079,100","83,258,000","84,185,000","87,728,000","87,966,313","94,281,000","108,251,000","130,358,000","151,578,776","130,696,000","125,311,000","134,074,000","135,002,163","139,266,000","133,736,000","135,604,000","134,484,737","125,083,000","120,455,000","122,445,000","127,270,978","124,662,000","127,714,000","123,456,000","123,325,451","126,614,000","127,195,000","132,436,000","134,038,631","139,512,000","124,928,000","121,481,000","128,168,635","117,376,000","115,849,000","117,156,000","108,165,086","99,387,000",,
GrossProfit,"478,328,000","174,794,000","147,150,000","83,794,000","72,590,000","71,465,000","54,392,000","48,003,000","50,734,000","49,603,000","53,161,000","51,006,000","51,588,000","48,254,000","50,559,000","51,562,000","53,689,000","53,753,000","58,303,000","60,480,000","56,528,000","53,275,000","57,633,000","58,210,000","54,846,000","51,046,000","50,479,000","51,486,000","48,363,000","47,037,000","47,641,000","47,277,000","32,436,000","30,450,000","28,561,838","28,184,000","27,838,000","28,876,000","14,343,105","31,771,000","31,867,000","33,604,000","34,613,901","35,743,000","34,609,000","32,976,000","32,597,424","32,429,000","33,652,000","33,633,000","36,173,169","35,354,000","40,795,000","45,059,000","54,331,895","47,438,000","45,640,000","45,177,000","46,714,306","45,858,000","41,603,000","40,489,000","41,260,194","37,793,000","36,242,000","37,389,000","38,514,608","37,909,000","31,286,000","34,580,000","25,798,425","38,456,000","40,110,000","40,176,000","41,587,013","44,877,000","40,984,000","39,522,000","43,290,280","40,280,000","40,128,000","37,705,000","36,144,484","34,099,000",,
OperatingExpense,"256,096,000","79,532,000","68,494,000","55,527,000","52,543,000","48,580,000","47,069,000","44,051,000","46,183,000","49,177,000","50,199,000","47,314,000","49,501,000","49,020,000","48,242,000","46,978,000","48,247,000","48,543,000","49,102,000","50,195,000","48,885,000","49,427,000","48,503,000","48,014,000","47,140,000","45,345,000","42,208,000","41,162,000","42,863,000","43,108,000","43,603,000","42,874,000","30,768,000","31,214,000","28,488,614","26,946,000","28,209,000","28,653,000","17,677,088","31,865,000","33,401,000","33,642,000","31,890,967","31,588,000","32,007,000","31,915,000","30,176,899","29,490,000","30,295,000","31,210,000","32,164,606","31,594,000","36,298,000","37,897,000","286,831,506","36,180,000","34,543,000","35,108,000","34,699,262","33,478,000","32,299,000","32,169,000","28,729,751","37,350,000","28,705,000","29,723,000","28,582,790","28,392,000","28,170,000","27,412,000","16,998,244","29,138,000","30,835,000","31,006,000","30,740,207","32,206,000","29,215,000","26,828,000","27,183,267","25,213,000","25,374,000","24,524,000","23,600,734","22,771,000",,
	SellingGeneralAndAdministration,"245,778,000","76,813,000","65,774,000","52,847,000","50,344,000","46,327,000","44,870,000","40,804,000","42,254,000","45,881,000","45,572,000","44,407,000","45,944,000","46,036,000","45,226,000","44,086,000","45,284,000","45,634,000","46,253,000","47,346,000","46,600,000","47,236,000","46,290,000","45,922,000","44,675,000","42,933,000","39,991,000","39,227,000","40,891,000","41,166,000","41,538,000","40,858,000","29,167,000","29,455,000","26,944,849","25,504,000","26,603,000","27,065,000","17,968,687","29,586,000","30,742,000","31,120,000","29,131,077","29,061,000","29,475,000","28,871,000","27,146,689","26,630,000","27,322,000","27,885,000","28,837,550","28,858,000","32,803,000","34,664,000","39,315,997","33,678,000","32,123,000","32,649,000","32,058,759","31,486,000","30,403,000","30,303,000","28,830,463","26,790,000","26,966,000","28,045,000","26,619,648","26,830,000","26,599,000","25,926,000","15,227,678","27,588,000","28,956,000","28,721,000","29,514,105","29,985,000","26,383,000","25,013,000","26,205,275","23,426,000","23,849,000","22,051,000","19,035,099","18,258,000",,
	DepreciationAmortizationDepletionIncomeStatement,"10,318,000","2,719,000","2,720,000","2,680,000","2,199,000","2,253,000","2,199,000","3,247,000","3,929,000","3,296,000","4,627,000","2,907,000","3,557,000","2,984,000","3,016,000","2,892,000","2,963,000","2,909,000","2,849,000","2,849,000","2,285,000","2,191,000","2,213,000","2,092,000","2,465,000","2,412,000","2,217,000","1,935,000","1,972,000","1,942,000","2,065,000","2,016,000","1,601,000","1,759,000","1,543,765","1,442,000","1,606,000","1,588,000","356,401","2,023,000","2,378,000","2,411,000","2,416,085","2,381,000","2,681,000","2,806,000","2,851,415","2,745,000","3,184,000","3,114,000","3,100,056","3,039,000","3,324,000","3,328,000","3,421,509","2,502,000","2,420,000","2,459,000","2,640,849","1,992,000","1,875,000","1,853,000","1,868,446","1,733,000","1,739,000","1,678,000","1,963,142","1,562,000","1,571,000","1,486,000","1,770,566","1,550,000","1,879,000","2,285,000","2,185,929","2,221,000","1,856,000","1,815,000","1,858,956","1,787,000","1,525,000","1,465,000","4,565,635","4,513,000",,
		DepreciationAndAmortizationInIncomeStatement,"10,318,000","2,719,000","2,720,000","2,680,000","2,199,000","2,253,000","2,199,000","3,247,000","3,929,000","3,296,000","4,627,000","2,907,000","3,557,000","2,984,000","3,016,000","2,892,000","2,963,000","2,909,000","2,849,000","2,849,000","2,285,000","2,191,000","2,213,000","2,092,000","2,465,000","2,412,000","2,217,000","1,935,000","1,972,000","1,942,000","2,065,000","2,016,000","1,601,000","1,759,000","1,543,765","1,442,000","1,606,000","1,588,000","356,401","2,023,000","2,378,000","2,411,000","2,416,085","2,381,000","2,681,000","2,806,000","2,851,415","2,745,000","3,184,000","3,114,000","3,100,056","3,039,000","3,324,000","3,328,000","3,421,509","2,502,000","2,420,000","2,459,000","2,640,849","1,992,000","1,875,000","1,853,000","1,868,446","1,733,000","1,739,000","1,678,000","1,963,142","1,562,000","1,571,000","1,486,000","1,770,566","1,550,000","1,879,000","2,285,000","2,185,929","2,221,000","1,856,000","1,815,000","1,858,956","1,787,000","1,525,000","1,465,000","4,565,635","4,513,000",,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,"1,109,000","995,000","1,059,000","1,005,000","954,000","953,000","989,000","960,000","1,070,000","1,005,000","817,000","974,000","933,688","890,000","1,040,000","1,022,000","532,845","1,220,000","1,559,000","1,593,000","1,597,677","1,548,000","1,804,000","1,841,000","1,887,548","1,782,000","2,221,000","2,153,000","2,128,088","2,034,000","2,306,000","2,305,000","2,284,712","1,789,000","1,777,000","1,786,000","1,950,538","1,370,000","1,505,000","1,484,000","1,428,441","1,315,000","1,383,000","1,322,000","1,607,513","1,206,000","1,215,000","1,130,000","1,170,984","1,024,000","1,352,000","1,593,000","1,193,591","1,230,000","1,038,000","1,068,000","1,047,004","1,006,000","740,000","695,000","789,089","627,000",,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,"1,104,000","1,097,000","1,406,000","1,407,000","1,263,000","982,000","983,000","982,000","995,000","1,011,000","784,000","785,000","610,077","552,000","566,000","566,000","-176,444","803,000","819,000","818,000","818,408","833,000","877,000","965,000","963,867","963,000","963,000","961,000","971,968","1,005,000","1,018,000","1,023,000","1,136,797","713,000","643,000","673,000","690,311","622,000","370,000","369,000","440,005","418,000","356,000","356,000","355,629","356,000","356,000","356,000","599,582","526,000","527,000","692,000","992,338","991,000","818,000","747,000","811,952","781,000","785,000","770,000","3,776,546","3,886,000",,
