name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010
OperatingCashFlow,"-43,638,000","-55,320,000","-26,877,000","32,063,000","6,496,000","-26,474,000","-13,870,000","6,735,000","-6,453,000","-29,155,000","-4,492,000","-14,121,000","-19,109,000","-20,492,000","-3,565,000","-3,899,000","-2,760,000","-14,734,000","-854,000","5,639,000","5,394,000","-2,776,000","-6,763,000","4,744,000","3,990,000","-3,567,000","-2,549,000","1,429,000","7,899,433","-7,333,433","-9,094,447","-15,499,915","-11,449,715","-9,805,673","-8,146,726","-2,655,460","-2,208,398","-4,578,584","0","0","-9","18","-18","-25","-24","-580","-91","0","-18"
	CashFlowFromContinuingOperatingActivities,"-43,638,000","-55,320,000","-26,877,000","32,063,000","6,496,000","-26,474,000","-13,870,000","6,735,000","-6,453,000","-29,155,000","-4,492,000","-14,121,000","-19,109,000","-20,492,000","-3,565,000","-3,899,000","-2,760,000","-14,734,000","-854,000","5,639,000","5,394,000","-2,776,000","-6,763,000","4,744,000","3,990,000","-3,567,000","-2,549,000","1,429,000","7,899,433","-7,333,433","-9,094,447","-15,499,915","-11,449,715","-9,805,673","-8,146,726","-2,655,460","-2,208,398","-4,578,584","0","0","-9","18","-18","-25","-24","-580","-91","0","-18"
		NetIncomeFromContinuingOperations,"-202,195,000","-75,971,000","-51,573,000","-35,639,000","-39,012,000","-53,867,000","-121,622,000","-22,549,000","-26,068,000","808,000","-30,259,000","-36,490,000","-38,701,000","-40,977,000","-7,455,000","-54,516,000","-22,329,000","-18,378,000","-17,618,000","-17,794,000","-13,229,000","-11,090,000","-8,603,000","-37,113,000","-13,403,000","11,216,000","-2,469,000","105,578,000","-25,526,989","39,654,989","-29,238,783","-19,556,300","8,482,947","-70,625,726","-13,134,273","-10,897,801","-5,048,513","-4,742,922","-3,661","-3,500","-3,509","-4,258","-3,518","-3,525","-3,524","-4,080","-5,672","-6,626","-6,644"
		OperatingGainsLosses,,"7,578,000",,,,"788,000","-1,051,000","339,000",,,"-427,000","525,000",,,"194,000","17,098,000",,,"-4,437,000","7,827,000","1,280,000","-1,260,000","-11,651,000","15,327,000","9,063,000","-14,340,000","-3,587,000","-165,332,000","29,418,408","36,445,592","7,704,354","-6,528,087","-33,348,763","53,609,138","1,586,509","5,743,317","-56,041","2,451,659",,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,"62,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,"788,000","-1,051,000","339,000",,,"-427,000","525,000",,,"194,000","56,000",,,"-7,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,"-4,430,000","8,901,000","1,280,000","-1,260,000","-6,501,000","10,115,000","9,063,000","-14,340,000","-2,873,000","-29,591,000","29,418,408","36,645,592","7,704,354","-6,528,087","-33,348,763","53,609,138","1,586,509","5,743,317","-56,041","2,451,659",,,,,,,,,,,
		DepreciationAmortizationDepletion,"27,635,000","7,092,000","6,050,000","7,873,000","6,620,000","6,074,000","6,633,000","6,439,000","5,851,000","5,656,000","5,290,000","5,376,000","4,841,000","4,901,000","4,879,000","4,798,000","4,643,000","4,348,000","4,468,000","4,615,000","4,437,000","4,284,000","4,182,000","4,095,000","3,967,000","3,891,000","3,975,000","3,881,000","3,757,253","1,778,747","1,858,229","1,850,203","1,565,419","127,187","56,865","53,821","53,139","52,168",,,,,,,,,,,
			DepreciationAndAmortization,"27,635,000","7,092,000","6,050,000","7,873,000","6,620,000","6,074,000","6,633,000","6,439,000","5,851,000","5,656,000","5,290,000","5,376,000","4,841,000","4,901,000","4,879,000","4,798,000","4,643,000","4,348,000","4,468,000","4,615,000","4,437,000","4,284,000","4,182,000","4,095,000","3,967,000","3,891,000","3,975,000","3,881,000","3,757,253","1,778,747","1,858,229","1,850,203","1,565,419","127,187","56,865","53,821","53,139","52,168",,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,"0","0","0","0","1,386,000","-2,391,000","-3,356,000","-2,064,000","-11,662,000","1,287,000","-7,216,000","-5,070,000","-3,782,000","28,230,000","151","-40,021,151",,,,,,,,,,,,,,,,,,,
