name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"191,261,000","189,942,000","186,935,000","181,708,000","173,824,000","171,374,000","177,593,000","77,937,000","67,422,000","61,948,000"
	CurrentAssets,"134,062,000","141,208,000","140,652,000","141,474,000","136,904,000","137,256,000","145,901,000","46,231,000","36,918,000","34,650,000"
		CashCashEquivalentsAndShortTermInvestments,"91,825,000","99,587,000","97,649,000","106,337,000","102,888,000","97,901,000","112,619,000","17,094,000","1,711,000","1,274,000"
			CashAndCashEquivalents,"24,774,000","30,966,000","27,844,000","37,349,000","35,101,000","29,544,000","112,619,000","17,094,000","1,711,000","1,274,000"
			OtherShortTermInvestments,"67,051,000","68,621,000","69,805,000","68,988,000","67,787,000","68,357,000",,,,
		Receivables,"25,789,000","27,137,000","23,641,000","19,505,000","20,264,000","22,488,000","17,873,000","16,016,000","20,379,000","17,723,000"
			AccountsReceivable,"25,789,000","26,938,000","22,302,000","18,137,000","18,262,000","20,934,000","17,551,000","16,016,000","19,177,000","16,108,000"
				GrossAccountsReceivable,"26,126,000","27,207,000","22,563,000","18,266,000","18,413,000","21,130,000","17,792,000","16,170,000","19,365,000","16,412,000"
				AllowanceForDoubtfulAccountsReceivable,"-337,000","-269,000","-261,000","-129,000","-151,000","-196,000","-241,000","-154,000","-188,000","-304,000"
			TaxesReceivable,,"199,000","1,339,000","1,368,000","2,002,000","1,554,000","322,000","0","1,202,000","1,615,000"
		Inventory,"13,336,000","10,945,000","14,578,000","13,719,000","11,280,000","12,902,000","11,728,000","9,922,000","12,148,000","12,947,000"
			RawMaterials,"3,434,000","2,166,000","1,962,000","1,673,000","1,201,000","1,997,000","1,626,000","1,575,000","1,650,000","1,949,000"
			FinishedGoods,"9,653,000","7,781,000","11,306,000","10,818,000","9,044,000","9,754,000","9,021,000","7,614,000","9,887,000","10,438,000"
			OtherInventories,"649,000","998,000","1,310,000","1,228,000","1,035,000","1,151,000","1,081,000","733,000","611,000","749,000"
			InventoriesAdjustmentsAllowances,"-400,000",,,,,,,,,"-189,000"
		PrepaidAssets,"3,112,000","3,539,000","4,784,000","1,913,000","2,472,000","3,965,000","3,681,000","3,199,000","2,680,000","2,706,000"
	TotalNonCurrentAssets,"57,199,000","48,734,000","46,283,000","40,234,000","36,920,000","34,118,000","31,692,000","31,706,000","30,504,000","27,298,000"
		NetPPE,"50,210,000","44,608,000","42,169,000","36,330,000","32,920,000","30,118,000","27,692,000","26,823,000","25,630,000","22,458,000"
