name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
TotalAssets,"3,465,879,000","3,298,795,000","3,053,687,000","2,948,674,000","2,662,717,000","2,488,802,000","2,451,739,000","2,247,242,000","2,305,446,000","1,975,447,000","1,805,478,000","1,643,303,000","1,580,530,000","1,380,900,000","1,354,960,000","1,312,409,000","986,593,000","942,220,000"
	CurrentAssets,"329,414,000","332,673,000","344,283,000","445,946,000","290,143,000","248,446,000","356,738,000","268,870,000","356,849,000","155,388,000","129,676,000","82,737,000","152,653,000","55,711,000","104,390,000","160,483,000","23,763,000","27,973,000"
		CashCashEquivalentsAndShortTermInvestments,"14,255,000","59,758,000","27,509,000","126,465,000","42,842,000","26,602,000","183,765,000","100,839,000","192,616,000","8,304,000","23,446,000","7,816,000","109,113,000","4,236,000","73,271,000","131,387,000","1,842,000","7,250,000"
			CashAndCashEquivalents,"14,255,000","59,758,000","27,509,000","126,465,000","42,842,000","26,602,000","183,765,000","100,839,000","192,616,000","8,304,000","23,446,000","7,816,000","109,113,000","4,236,000","73,271,000","131,387,000","1,842,000","7,250,000"
		Receivables,"315,159,000","272,915,000","316,774,000","316,269,000","245,327,000","215,456,000","167,369,000","132,294,000","128,604,000","118,110,000","85,097,000","50,269,000","28,558,000","31,760,000","24,262,000","15,337,000","7,148,000","5,498,000"
			AccountsReceivable,"91,991,000","83,628,000","79,657,000","78,621,000","69,302,000","63,236,000","66,454,000","31,287,000","29,117,000","25,926,000","22,592,000","19,610,000","16,615,000","14,255,000","11,213,000","9,015,000","7,148,000","5,498,000"
			LoansReceivable,"223,168,000","189,287,000","237,117,000","237,648,000","176,025,000","152,220,000","100,915,000","101,007,000","99,487,000","92,184,000","62,505,000","30,659,000","11,943,000","17,505,000","13,049,000","6,322,000",,
			OtherReceivables,,,,,,"25,406,000","31,207,000",,,,,,,,,,,
		Inventory,,,,,,,,,,"1,211,000",,"2,474,000","3,765,000","0","1,407,000","7,195,000","5,885,000","4,173,000"
			FinishedGoods,,,,,,,,,,"1,211,000",,"2,474,000","3,765,000","0","1,407,000","7,195,000","5,885,000","4,173,000"
		PrepaidAssets,,,,,,,"31,207,000","27,072,000","14,173,000","15,959,000","18,357,000","14,524,000","10,072,000","7,712,000","6,048,000","5,115,000","5,444,000","3,045,000"
		RestrictedCash,,"0","0","3,212,000","1,974,000","6,388,000","5,604,000","8,665,000","21,456,000","13,015,000","2,776,000","10,128,000","4,910,000","12,003,000","809,000","8,644,000","9,329,000","12,180,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,"3,765,000","0","1,407,000","7,195,000","5,885,000","4,173,000"
	TotalNonCurrentAssets,"3,136,465,000","2,966,122,000","2,709,404,000","2,502,728,000","2,372,574,000","2,240,356,000","2,095,001,000","1,978,372,000","1,948,597,000","1,820,059,000","1,675,802,000","1,560,566,000","1,427,877,000","1,325,189,000","1,250,570,000","1,151,926,000","962,830,000","914,247,000"
		GoodwillAndOtherIntangibleAssets,"88,137,000","87,959,000","87,167,000","85,276,000","83,030,000","80,271,000","78,482,000","79,177,000","80,592,000","78,922,000","74,973,000","58,107,000","69,132,000","66,421,000","64,542,000","64,315,000","63,761,000","62,453,000"
