name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalAssets,"5,515,056,000","5,218,020,000","5,200,945,000","5,202,996,000","5,269,260,000","4,908,743,000","5,152,642,000","5,296,304,000","5,826,301,000","5,892,870,000","5,862,961,000","5,824,634,000","5,119,061,000","4,526,790,000","4,302,153,000","4,122,589,000","3,841,899,000","3,355,385,000","3,042,682,000","2,586,662,000","2,863,902,000","2,665,583,000"
TotalLiabilitiesNetMinorityInterest,"4,047,148,000","3,753,314,000","3,755,478,000","3,765,805,000","3,992,032,000","3,641,843,000","3,864,793,000","3,828,251,000","4,594,888,000","4,388,916,000","4,396,666,000","4,359,877,000","3,675,512,000","3,199,620,000","2,973,267,000","2,930,676,000","2,649,286,000","2,154,054,000","1,834,884,000","1,582,690,000","1,889,787,000","1,694,894,000"
TotalEquityGrossMinorityInterest,"1,467,908,000","1,464,706,000","1,445,467,000","1,437,191,000","1,277,228,000","1,266,900,000","1,287,849,000","1,468,053,000","1,231,413,000","1,503,954,000","1,466,295,000","1,464,757,000","1,443,549,000","1,327,170,000","1,328,886,000","1,191,913,000","1,192,613,000","1,201,331,000","1,207,798,000","1,003,972,000","974,115,000","970,689,000"
	StockholdersEquity,"1,467,908,000","1,464,706,000","1,445,467,000","1,437,191,000","1,277,228,000","1,266,900,000","1,287,849,000","1,468,053,000","1,231,413,000","1,503,954,000","1,466,295,000","1,464,757,000","1,443,549,000","1,327,170,000","1,328,886,000","1,191,913,000","1,192,613,000","1,201,331,000","1,207,798,000","1,003,972,000","974,115,000","970,689,000"
		CapitalStock,"85,000","85,000","85,000","85,000","77,000","77,000","77,000","196,909,000","77,000","76,000","74,000","74,000","74,000","68,000","68,000","61,000","61,000","61,000","61,000","41,000","40,000","40,000"
			PreferredStock,"8,000","8,000","8,000","8,000","0","199,551,000","198,152,000","196,832,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
			CommonStock,"77,000","77,000","77,000","77,000","77,000","77,000","77,000","77,000","77,000","76,000","74,000","74,000","74,000","68,000","68,000","61,000","61,000","61,000","61,000","41,000","40,000","40,000"
		AdditionalPaidInCapital,"1,713,152,000","1,711,886,000","1,710,222,000","1,708,972,000","1,559,685,000","1,559,681,000","1,559,522,000","1,559,684,000","1,545,024,000","1,530,935,000","1,493,091,000","1,492,670,000","1,474,554,000","1,355,002,000","1,355,037,000","1,216,352,000","1,216,155,000","1,216,112,000","1,216,725,000","1,004,466,000","979,467,000","979,467,000"
		RetainedEarnings,"-245,329,000","-247,265,000","-264,840,000","-271,866,000","-282,534,000","-292,858,000","-271,750,000","-288,540,000","-313,765,000","-28,108,000","-28,177,000","-29,220,000","-29,200,000","-25,915,000","-25,070,000","-22,828,000","-23,355,000","-14,808,000","-8,968,000","-3,073,000","-7,874,000","-10,068,000"
		GainsLossesNotAffectingRetainedEarnings,,,,,,"0","0","0","77,000","1,051,000","1,307,000","1,233,000","-1,879,000","-1,985,000","-1,149,000","-1,672,000","-248,000","-34,000","-20,000","2,538,000","2,482,000","1,250,000"
