name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000
FinancingCashFlow,"-504,053,000","-216,355,000","-86,894,000","-107,092,000","-93,712,000","-77,155,000","-55,968,000","-170,816,000","65,739,000","39,642,000","2,634,000","-44,017,000","-15,327,000","-77,184,000","-72,309,000","30,934,000","227,330,000","30,604,000","118,856,000","-57,055,000","199,817,000","101,834,000","-23,888,000","-47,195,000","32,108,000","-36,500,000","101,039,000","-285,973,000","156,774,000","-52,333,000","-44,336,000","-60,494,000","-43,638,000","400,489,000","-41,199,000","73,953,000","64,015,000","100,264,000","247,172,000","130,128,000","121,476,000","13,216,000","219,652,000","104,832,000","-59,183,000","-16,003,000","-11,164,000","-107,587,000","-13,336,000","-11,334,000","39,972,000","-10,182,000","-10,519,000","-16,744,000","64,514,000","144,013,000","38,657,000","93,637,000","17,697,000","24,519,000","64,375,000","-3,277,000","-903,000","-146,970,000","-16,995,000","-14,326,000","-19,925,000","-15,716,000","-26,198,000","-11,549,000","-7,112,000","-4,725,000","-4,604,000","8,068,000","-18,292,000","-17,071,000","-11,314,000","-41,433,000","-26,061,000","-19,504,000","-2,762,000","-2,028,000","-9,278,000","-55,997,000","195,688,000"
	CashFlowFromContinuingFinancingActivities,"-504,053,000","-216,355,000","-86,894,000","-107,092,000","-93,712,000","-77,155,000","-55,968,000","-170,816,000","65,739,000","39,642,000","2,634,000","-44,017,000","-15,327,000","-77,184,000","-72,309,000","30,934,000","227,330,000","30,604,000","118,856,000","-57,055,000","199,817,000","101,834,000","-23,888,000","-47,195,000","32,108,000","-36,500,000","101,039,000","-285,973,000","156,774,000","-52,333,000","-44,336,000","-60,494,000","-43,638,000","400,489,000","-41,199,000","73,953,000","64,015,000","100,264,000","247,172,000","130,128,000","121,476,000","13,216,000","219,652,000","104,832,000","-59,183,000","-16,003,000","-11,164,000","-107,587,000","-13,336,000","-11,334,000","39,972,000","-10,182,000","-10,519,000","-16,744,000","64,514,000","144,013,000","38,657,000","93,637,000","17,697,000","24,519,000","64,375,000","-3,277,000","-903,000","-146,970,000","-16,995,000","-14,326,000","-19,925,000","-15,716,000","-26,198,000","-11,549,000","-7,112,000","-4,725,000","-4,604,000","8,068,000","-18,292,000","-17,071,000","-11,314,000","-41,433,000","-26,061,000","-19,504,000","-2,762,000","-2,028,000","-9,278,000","-55,997,000","195,688,000"
		NetIssuancePaymentsOfDebt,"-376,551,000","-108,466,000","-82,747,000","-99,855,000","-85,483,000","-61,792,000","-59,640,000","-173,934,000","76,202,000","45,356,000","737,000","-39,051,000","-19,184,000","-71,184,000","-73,139,000","29,884,000","227,327,000","37,538,000","118,902,000","-47,351,000","239,023,000","102,901,000","-24,608,000","-44,635,000","29,458,000","-35,876,000","107,057,000","-269,451,000","176,295,000","-50,845,000","-49,001,000","-51,528,000","-49,334,000","420,865,000","-41,075,000","72,225,000","111,890,000","154,273,000","256,537,000","144,995,000","130,018,000","17,383,000","224,672,000","106,442,000","-60,438,000","-12,997,000","-11,795,000","-109,967,000","-10,952,000","-10,760,000","-73,434,000","-10,400,000","-10,211,000","-15,982,000","41,540,000","145,358,000","36,151,000","53,583,000","24,726,000","-6,634,000","-11,904,000","-6,938,000","182,286,000","-146,933,000","-19,823,000","-15,780,000","-21,884,000","-13,701,000","-26,025,000","-11,549,000","-10,176,000","-21,814,000","-4,604,000","8,068,000","-18,292,000","-17,071,000","-11,314,000","-41,456,000",,,"-42,345,000","-12,916,000","-9,458,000","-54,616,000","-9,224,000"
			NetLongTermDebtIssuance,"-376,551,000","-108,466,000","-82,747,000","-99,855,000","-85,483,000","-61,792,000","-59,640,000","1,066,000","76,202,000","-29,644,000","-49,263,000","-39,051,000","-69,184,000","-71,184,000","1,861,000","29,884,000","227,327,000","-37,462,000","118,902,000","-47,351,000","389,023,000","-47,099,000","-24,608,000","-44,635,000","29,458,000","-35,876,000","107,057,000","-269,451,000","176,295,000","-50,845,000","-49,001,000","-51,528,000","-49,334,000","420,865,000","-41,075,000","72,225,000","111,890,000","154,273,000","256,537,000","144,995,000","130,018,000","17,383,000","224,672,000","106,442,000","-60,438,000","-12,997,000","-11,795,000","-109,967,000","-10,952,000","-10,760,000","-73,434,000","-10,400,000","-10,211,000","-15,982,000","41,540,000","145,358,000","36,151,000","53,583,000","24,726,000","-6,634,000","-11,904,000","-6,938,000","182,286,000","-146,933,000","-19,823,000","-15,780,000","-21,884,000","-13,701,000","-26,025,000","-11,549,000","-10,176,000","-21,814,000","-4,604,000","8,068,000","-18,292,000","-17,071,000","-11,314,000","-41,456,000",,,"-42,345,000","-12,916,000","-9,458,000","-54,616,000","-9,224,000"
				LongTermDebtIssuance,"196,556,000","0","188,769,000","0","7,787,000","16,161,000","16,314,000","79,901,000","157,518,000","164,000,000","22,269,000","74,000,000","0","19,723,000","71,154,000","95,412,000","285,702,000","19,357,000","172,703,000","12,540,000","435,325,000","0","18,702,000","0","70,000,000","14,790,000","343,533,000","0","224,500,000","0","0","0","0","572,552,000","0","198,676,000","285,960,000","224,848,000","571,932,000","311,407,000","292,526,000","35,695,000","240,000,000",,,,"-1,000",,,,"0","0","0","0","54,699,000","154,700,000","44,671,000","62,588,000",,,,,"0","0","0","0","0","0","0","10,000,000","0","0","0","18,000,000","0","0","0","0",,,,,,,
				LongTermDebtPayments,"-573,107,000","-108,466,000","-271,516,000","-99,855,000","-93,270,000","-77,953,000","-75,954,000","-78,835,000","-81,316,000","-193,644,000","-71,532,000","-113,051,000","-69,184,000","-90,907,000","-69,293,000","-65,528,000","-58,375,000","-56,819,000","-53,801,000","-59,891,000","-46,302,000","-47,099,000","-43,310,000","-44,635,000","-40,542,000","-50,666,000","-236,476,000","-269,451,000","-48,205,000","-50,845,000","-49,001,000","-51,528,000","-49,334,000","-151,687,000","-41,075,000","-126,451,000","-174,070,000","-70,575,000","-315,395,000","-166,412,000","-162,508,000","-18,312,000","-15,328,000","-13,808,000","-60,438,000","-12,997,000","-11,794,000","-130,604,000","-10,952,000","-10,760,000","-73,434,000","-10,400,000","-10,211,000","-15,982,000","-13,159,000","-9,342,000","-8,520,000","-9,005,000","24,726,000","-6,634,000","-11,904,000","-6,938,000","182,286,000","-146,933,000","-19,823,000","-15,780,000","-21,884,000","-13,701,000","-26,025,000","-21,549,000","-10,176,000","-21,814,000","-4,604,000","-9,932,000","-18,292,000","-17,071,000","-11,314,000","-41,456,000",,,"-42,345,000","-12,916,000","-9,458,000","-54,616,000","-9,224,000"
			NetShortTermDebtIssuance,,,"0","0","0","0","0","-175,000,000","0","75,000,000","50,000,000","0","50,000,000","0","-75,000,000","0","0","75,000,000","0","0","-150,000,000","150,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
				ShortTermDebtIssuance,,,"0","0","0","0","0","0","0","75,000,000","50,000,000","0","50,000,000","0","0","0","60,000,000","75,000,000","0","0","0","150,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,"0",,,,"0",,,,,"0",,,"-75,000,000","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-112,275,000","-112,053,000","-134,000","-6,000","-82,000","-7,350,000","-103,000","-75,000","-6,000","-3,834,000","-34,000","-109,000","-38,000","-9,189,000","0","-450,000","-101,000","-10,218,000","-306,000","-671,000","-206,000","-9,430,000","-204,000","-6,816,000","-143,000","-4,112,000","-129,000","-20,079,000","-196,000","-6,118,000","-17,000","-15,102,000","-1,957,000","-2,420,000","-30,000","8,307,000","-35,020,000","-54,233,000","-33,000","-69,000","-61,000","-3,188,000","-53,000","-72,000","-64,000","-9,062,000","-77,000","-64,000","-3,392,000","-2,321,000","112,580,000","-16,000","-96,000","-230,000","21,373,000","-78,000","-1,510,000","39,707,000","24,357,000","-215,000","75,586,000","2,791,000","4,138,000","-1,519,000","1,516,000","1,454,000","1,867,000","-2,015,000",,,,,,,"0","0","0","23,000","-9,000","874,000","-871,000","103,000","422,000","407,000","487,000"
