name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"491,930,000","130,197,000","123,801,000","118,327,000","119,605,000","107,891,000","102,125,000","94,804,000","91,603,000","78,088,000","79,073,000","75,175,000","70,959,000","66,402,000","65,724,000","64,213,000","61,660,000","58,241,000","57,390,000","56,493,000","54,074,000","50,919,000","56,117,000","54,518,000","56,679,000","55,464,000","59,151,000","60,757,000","59,334,000","59,770,000","58,229,000","52,787,000","51,087,000","47,828,000","46,888,000","45,192,000","43,229,000","42,496,000","42,475,000","39,670,000","38,505,000","36,759,000","36,508,000","34,347,000","31,851,000","30,382,000","29,935,000","28,221,000","26,398,000","25,308,000","24,768,000","22,262,000","20,541,000","19,919,000","19,607,000","19,375,000","18,588,000","17,085,000","16,775,000","12,823,000","11,661,000","10,969,000","10,347,000","8,881,000","7,416,000","6,877,000","6,317,000","5,724,000","5,283,000","4,954,000","4,596,000","4,381,000","4,342,000","4,073,000","3,526,000","3,142,000","2,826,000","2,529,000","2,374,000","2,161,000","1,873,000","1,826,000","1,789,000","1,734,000","1,915,000","2,368,000","2,330,000","1,849,000","1,326,000","774,000"
	OperatingRevenue,"491,930,000","130,197,000","123,801,000","118,327,000","119,605,000","107,891,000","102,125,000","94,804,000","91,603,000","78,088,000","79,073,000","75,175,000","70,959,000","66,402,000","65,724,000","64,213,000","61,660,000","58,241,000","57,390,000","56,493,000","54,074,000","50,919,000","56,117,000","54,518,000","56,679,000","55,464,000","59,151,000","60,757,000","59,334,000","59,770,000","58,229,000","52,787,000","51,087,000","47,828,000","46,888,000","45,192,000","43,229,000","42,496,000","42,475,000","39,670,000","38,505,000","36,759,000","36,508,000","34,347,000","31,851,000","30,382,000","29,935,000","28,221,000","26,398,000","25,308,000","24,768,000","22,262,000","20,541,000","19,919,000","19,607,000","19,375,000","18,588,000","17,085,000","16,775,000","12,823,000","11,661,000","10,969,000","10,347,000","8,881,000","7,416,000","6,877,000","6,317,000","5,724,000","5,283,000","4,954,000","4,596,000","4,381,000","4,342,000","4,073,000","3,526,000","3,142,000","2,826,000","2,529,000","2,374,000","2,161,000","1,873,000","1,826,000","1,789,000","1,734,000","1,915,000","2,368,000","2,330,000","1,849,000","1,326,000","774,000"
CostOfRevenue,"172,928,000","49,567,000","44,503,000","38,795,000","40,063,000","33,519,000","28,050,000","27,692,000","27,707,000","22,820,000","22,060,000","20,120,000","18,049,000","18,649,000","16,800,000","15,689,000","16,036,000","13,954,000","14,749,000","14,541,000","15,134,000","13,781,000","14,951,000","14,837,000","17,508,000","15,864,000","19,232,000","16,937,000","17,887,000","16,254,000","14,503,000","13,304,000","13,161,000","11,735,000","11,213,000","10,597,000","10,612,000","10,134,000","10,129,000","9,036,000","8,492,000","7,923,000","8,047,000","8,368,000","8,685,000","8,095,000","8,235,000","7,595,000","7,178,000","6,632,000","6,069,000","5,495,000","5,228,000","4,285,000","4,961,000","5,226,000","5,234,000","4,886,000","4,335,000","3,305,000","3,105,000","2,789,000","2,375,000","2,142,000","1,642,000","1,462,000","1,300,000","1,114,000","1,019,000","863,000","772,000","730,000","694,000","693,000","520,000","501,000","514,000","493,000","468,000","480,000","318,000","338,000","328,000","1,586,000","2,144,000","2,682,000","1,707,000","1,432,000","1,548,000","950,000"
GrossProfit,"319,002,000","80,630,000","79,298,000","79,532,000","79,542,000","74,372,000","74,075,000","67,112,000","63,896,000","55,268,000","57,013,000","55,055,000","52,910,000","47,753,000","48,924,000","48,524,000","45,624,000","44,287,000","42,641,000","41,952,000","38,940,000","37,138,000","41,166,000","39,681,000","39,171,000","39,600,000","39,919,000","43,820,000","41,447,000","43,516,000","43,726,000","39,483,000","37,926,000","36,093,000","35,675,000","34,595,000","32,617,000","32,362,000","32,346,000","30,634,000","30,013,000","28,836,000","28,461,000","25,979,000","23,166,000","22,287,000","21,700,000","20,626,000","19,220,000","18,676,000","18,699,000","16,767,000","15,313,000","15,634,000","14,646,000","14,149,000","13,354,000","12,199,000","12,440,000","9,518,000","8,556,000","8,180,000","7,972,000","6,739,000","5,774,000","5,415,000","5,017,000","4,610,000","4,264,000","4,091,000","3,824,000","3,651,000","3,648,000","3,380,000","3,006,000","2,641,000","2,312,000","2,036,000","1,906,000","1,681,000","1,555,000","1,488,000","1,461,000","148,000","-229,000","-314,000","623,000","417,000","-222,000","-176,000"
OperatingExpense,"463,124,000","145,780,000","124,450,000","100,267,000","92,627,000","85,269,000","80,961,000","75,813,000","78,342,000","85,270,000","81,400,000","76,756,000","73,726,000","65,837,000","54,502,000","52,628,000","51,534,000","47,930,000","48,257,000","42,197,000","43,625,000","41,822,000","46,687,000","42,644,000","44,985,000","42,343,000","42,114,000","41,921,000","46,140,000","45,571,000","46,070,000","39,884,000","39,407,000","37,035,000","36,262,000","35,896,000","34,605,000","32,961,000","29,906,000","28,045,000","29,589,000","23,948,000","22,386,000","20,873,000","19,792,000","17,208,000","17,603,000","16,490,000","16,618,000","15,171,000","14,079,000","13,074,000","13,475,000","12,998,000","37,065,000","13,674,000","13,792,000","12,443,000","11,899,000","8,241,000","7,855,000","7,484,000","7,366,000","6,682,000","5,543,000","5,259,000","4,048,000","3,644,000","3,706,000","3,666,000","3,546,000","3,268,000","2,923,000","2,693,000","2,741,000","2,641,000","2,314,000","2,124,000","1,985,000","1,735,000","1,640,000","1,633,000","2,686,000","4,733,000","4,215,000","8,098,000","9,449,000","10,284,000","8,422,000","6,732,000"
	SellingGeneralAndAdministration,"301,063,000","143,939,000","-34,908,000","99,779,000","92,253,000","84,894,000","80,302,000","75,402,000","77,938,000","84,865,000","80,952,000","76,309,000","73,288,000","65,376,000","54,104,000","52,204,000","51,110,000","47,506,000","47,829,000","41,727,000","43,155,000","41,350,000","45,756,000","41,631,000","43,968,000","41,419,000","40,924,000","40,728,000","44,962,000","44,258,000","45,252,000","39,477,000","39,201,000","36,845,000","36,063,000","35,672,000","34,381,000","32,737,000","51,667,000","20,029,000","22,359,000","17,214,000","16,745,000","15,596,000","14,765,000","12,820,000","13,336,000","12,467,000","12,627,000","11,482,000","10,834,000","9,847,000","10,065,000","10,025,000","10,268,000","10,023,000","9,898,000","8,978,000","8,509,000","5,830,000","5,569,000","5,422,000","5,112,000","4,854,000","4,293,000","4,147,000","3,144,000","2,749,000","2,786,000","2,756,000","2,787,000","2,549,000","2,228,000","2,075,000","2,016,000","1,969,000","1,642,000","1,540,000","1,350,000","1,307,000","1,359,000","1,337,000","2,001,000","2,597,000","2,472,000","4,432,000","6,015,000","7,288,000","5,780,000","4,725,000"
		GeneralAndAdministrativeExpense,"114,463,000","85,807,000","-83,902,000","58,927,000","53,631,000","47,941,000","40,602,000","42,627,000","43,320,000","42,185,000","38,291,000","34,535,000","33,945,000","32,340,000","27,031,000","25,456,000","25,718,000","23,375,000","23,619,000","20,124,000","19,763,000","19,650,000","24,058,000","19,564,000","20,880,000","18,743,000","18,158,000","17,442,000","20,580,000","19,964,000","21,448,000","18,499,000","19,124,000","18,450,000","19,693,000","19,531,000","18,882,000","18,259,000","38,873,000","7,316,000","9,342,000","6,125,000","6,007,000","5,689,000","5,386,000","3,960,000","4,932,000","4,178,000","4,175,000","3,792,000","3,426,000","3,312,000","3,157,000","3,521,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,464,000",,,,,,
			OtherGandA,"98,976,000","85,807,000","-99,389,000","58,927,000","53,631,000","47,941,000","24,830,000","42,627,000","43,320,000","42,185,000","38,291,000","34,535,000","33,945,000","32,340,000","27,031,000","25,456,000","25,718,000","23,375,000","23,619,000","20,124,000","19,763,000","19,650,000","24,058,000","19,564,000","20,880,000","18,743,000","18,158,000","17,442,000","20,580,000","19,964,000","21,448,000","18,499,000","19,124,000","18,450,000","19,693,000","19,531,000","18,882,000","18,259,000","38,873,000","7,316,000","9,342,000","6,125,000","6,007,000","5,689,000","5,386,000","3,960,000","4,932,000","4,178,000","4,175,000","3,792,000","3,426,000","3,312,000","3,157,000","3,521,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,464,000",,,,,,
		SellingAndMarketingExpense,"186,600,000","58,132,000","48,994,000","40,852,000","38,622,000","36,953,000","39,700,000","32,775,000","34,618,000","42,680,000","42,661,000","41,774,000","39,343,000","33,036,000","27,073,000","26,748,000","25,392,000","24,131,000","24,210,000","21,603,000","23,392,000","21,700,000","21,698,000","22,067,000","23,088,000","22,676,000","22,766,000","23,286,000","24,382,000","24,294,000","23,804,000","20,978,000","20,077,000","18,395,000","16,370,000","16,141,000","15,499,000","14,478,000","12,794,000","12,713,000","13,017,000","11,089,000","10,738,000","9,907,000","9,379,000","8,860,000","8,404,000","8,289,000","8,452,000","7,690,000","7,408,000","6,535,000","6,908,000","6,504,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,133,000",,,,,,
	ResearchAndDevelopment,,"56,072,000","45,675,000",,"37,526,000","33,455,000","27,997,000","27,736,000","26,967,000","25,716,000","23,213,000","20,577,000","20,182,000","18,173,000","14,752,000","13,484,000","14,219,000","13,252,000","11,023,000","9,726,000","9,326,000","9,958,000","10,770,000","9,495,000","10,719,000","9,214,000","9,498,000","9,567,000","10,109,000","9,800,000","9,330,000","9,712,000","9,336,000","8,951,000","9,306,000","10,023,000","9,047,000","8,021,000","8,170,000","8,005,000","7,219,000","6,657,000","5,564,000","5,266,000","5,016,000","4,377,000","4,257,000","3,940,000","3,908,000","3,606,000","3,162,000","3,109,000","3,138,000","2,701,000","3,023,000","3,299,000","3,503,000","3,074,000","2,999,000","2,169,000","2,044,000","1,820,000","1,782,000","1,381,000","1,018,000","880,000","672,000","663,000","688,000","675,000","530,000","515,000","516,000","439,000","471,000","419,000","419,000","331,000","403,000","303,000","281,000","296,000","509,000","865,000","883,000","1,252,000","2,079,000","2,212,000","2,151,000","1,767,000"
