name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,12/31/2006
TotalAssets,"324,383,000","344,330,000","334,701,000","342,420,000","436,422,000","441,304,000","436,783,000","456,846,000","606,878,000","586,505,000","484,266,000","477,669,000","479,655,000","471,155,000","483,205,000","477,411,000","478,031,000","425,563,000","437,571,000","427,589,000","426,997,000","529,043,000","513,034,000","495,538,000","495,202,000","489,109,000","445,771,000","460,741,000","467,453,000","461,488,000","435,973,000","421,603,000","419,609,000","414,447,000","414,298,000","410,547,000","405,328,000","355,237,000","409,713,000","391,219,000","392,657,000","385,244,000","371,734,000","360,539,000","340,780,000","343,156,000","315,200,000","306,676,000","296,294,000","246,007,000","254,102,000","241,922,000","239,840,000","238,126,000","241,493,000","230,076,000","228,227,000","216,113,000","213,887,000","205,349,000","203,059,000"
	CurrentAssets,"237,829,000","255,833,000","244,555,000","249,863,000","340,093,000","342,605,000","335,859,000","354,468,000","502,711,000","480,889,000","376,990,000","368,528,000","369,534,000","362,330,000","373,726,000","366,952,000","365,131,000","310,358,000","320,331,000","308,203,000","305,369,000","405,282,000","388,380,000","369,081,000","367,666,000","359,824,000","315,140,000","329,196,000","336,906,000","331,465,000","304,971,000","289,397,000","287,954,000","283,288,000","285,705,000","269,200,000","264,694,000","213,936,000","268,321,000","249,793,000","250,532,000","242,525,000","230,599,000","220,675,000","206,648,000","215,654,000","191,058,000","184,205,000","173,559,000","123,586,000","131,616,000","122,812,000","122,642,000","128,336,000","133,240,000","122,138,000","123,236,000","113,188,000","113,371,000","108,921,000","113,993,000"
		CashCashEquivalentsAndShortTermInvestments,"163,735,000","184,711,000","161,951,000","143,832,000","244,152,000","262,526,000","243,647,000","249,918,000","307,746,000","316,951,000","311,528,000","303,431,000","290,480,000","294,860,000","302,450,000","291,485,000","232,572,000","235,326,000","236,833,000","231,738,000","211,521,000","305,418,000","293,382,000","265,664,000","224,515,000","228,716,000","247,434,000","228,302,000","242,825,000","211,799,000","194,878,000","179,860,000","211,574,000","190,734,000","201,359,000","185,711,000","158,563,000","146,505,000","196,400,000","178,968,000","157,080,000","146,039,000","158,826,000","147,281,000","131,377,000","119,257,000","130,291,000","128,403,000","117,650,000","72,323,000","75,934,000","68,028,000","70,512,000","73,866,000","27,427,000","1,584,000","71,412,000","69,741,000","68,894,000","62,920,000","63,129,000"
			CashAndCashEquivalents,"120,984,000","137,521,000","116,787,000","97,594,000","193,979,000","198,122,000","180,171,000","187,823,000","248,102,000","243,331,000","235,945,000","222,871,000","206,021,000","214,972,000","199,348,000","199,921,000","135,393,000","114,627,000","113,245,000","111,010,000","94,686,000","199,272,000","182,373,000","173,600,000","148,312,000","154,049,000","176,547,000","142,359,000","160,444,000","124,079,000","88,632,000","84,552,000","101,304,000","86,463,000","97,442,000","87,145,000","62,211,000","58,737,000","114,593,000","112,031,000","88,886,000","89,745,000","102,556,000","94,525,000","79,363,000","91,057,000","103,535,000","115,884,000","104,595,000","65,512,000","73,134,000","56,191,000","57,274,000","27,455,000","27,427,000","1,584,000","34,309,000","54,655,000","54,063,000","62,920,000","63,129,000"
			OtherShortTermInvestments,"42,751,000","47,190,000","45,164,000","46,238,000","50,173,000","64,404,000","63,476,000","62,095,000","59,644,000","73,620,000","75,583,000","80,560,000","84,459,000","79,888,000","103,102,000","91,564,000","97,179,000","120,699,000","123,588,000","120,728,000","116,835,000","106,146,000","111,009,000","92,064,000","76,203,000","74,667,000","70,887,000","85,943,000","82,381,000","87,720,000","106,246,000","95,308,000","110,270,000","104,271,000","103,917,000","98,566,000","96,352,000","87,768,000","81,807,000","66,937,000","68,194,000","56,294,000","56,270,000","52,756,000","52,014,000","28,200,000","26,756,000","12,519,000","13,055,000","6,811,000","2,800,000","11,837,000","13,238,000","46,411,000",,,"37,103,000","15,086,000","14,831,000",,"0"
		Receivables,"27,793,000","39,134,000","36,328,000","48,221,000","44,847,000","40,481,000","61,036,000","56,977,000","150,131,000","122,928,000","21,209,000","27,193,000","23,256,000","24,996,000","21,968,000","26,047,000","70,225,000","29,075,000","37,806,000","37,950,000","39,586,000","45,252,000","45,316,000","41,576,000","69,661,000","60,443,000","29,081,000","42,511,000","26,339,000","71,024,000","44,811,000","39,483,000","30,990,000","47,981,000","34,288,000","29,025,000","32,388,000","22,782,000","20,833,000","26,571,000","22,117,000","35,677,000","25,847,000","30,498,000","27,074,000","35,684,000","28,371,000","24,274,000","24,732,000","22,671,000","23,158,000","24,522,000","18,919,000","20,840,000","21,505,000","23,192,000","20,960,000","17,514,000","17,349,000","22,191,000","23,903,000"
			AccountsReceivable,"12,498,000","29,374,000","13,876,000","31,354,000","16,677,000","22,813,000","13,342,000","259,000","19,883,000","17,571,000","20,842,000","21,671,000","17,738,000","18,138,000","21,489,000","22,566,000","22,654,000","22,138,000","22,844,000","21,704,000","22,484,000","19,249,000","18,608,000","18,823,000","18,679,000","15,434,000","19,800,000","24,782,000","16,495,000","22,354,000","33,615,000","23,722,000","21,498,000","33,249,000","34,288,000","29,025,000","32,388,000","22,782,000","20,833,000","26,571,000","22,117,000","35,677,000","25,847,000","30,498,000","27,074,000","35,165,000","26,850,000","23,474,000","24,732,000","21,759,000","23,158,000","21,814,000","18,919,000","20,048,000","20,379,000","22,888,000","20,960,000","17,514,000","17,349,000","21,338,000","23,903,000"
				GrossAccountsReceivable,"12,553,000","37,606,000","13,931,000","43,514,000","16,789,000","31,113,000","13,385,000","312,000","19,916,000","17,571,000","20,842,000","21,671,000","17,738,000","18,138,000","21,489,000","22,566,000","22,654,000","22,138,000","22,844,000","21,704,000","22,484,000","19,249,000","18,608,000","18,823,000","18,679,000","15,434,000","19,800,000","24,782,000","16,495,000","22,354,000","33,661,000","23,722,000","21,498,000","33,249,000","34,288,000","29,025,000","32,388,000","22,782,000","20,833,000","26,571,000",,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-55,000","-8,232,000","-55,000","-12,160,000","-112,000","-8,300,000","-43,000","-53,000","-33,000",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-46,000","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"15,295,000","9,760,000","22,452,000","16,867,000","28,170,000","17,668,000","47,694,000","56,718,000","130,248,000","105,357,000","367,000","5,522,000","5,518,000","6,858,000","479,000","3,481,000","47,571,000","6,937,000","14,962,000","16,246,000","17,102,000","26,003,000","26,708,000","22,753,000","50,982,000","45,009,000","9,281,000","17,729,000","9,844,000","48,670,000","11,196,000","15,761,000","9,492,000","14,732,000",,,,,,,,"0","0","0","0","519,000","1,521,000","800,000","0","912,000","0","2,708,000","0","792,000",,,,,,"853,000",
