name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
TotalAssets,"5,204,341,000","5,250,484,000","5,191,715,000","4,687,665,000","4,520,068,000","1,813,472,000","1,548,826,000","739,309,000","661,838,598","546,121,693","256,626,898","255,865,717","255,230,964","254,124,282","253,147,373","252,346,678","251,634,961"
	CurrentAssets,"614,988,000","670,058,000","823,438,000","590,869,000","503,502,000","363,251,000","484,385,000","263,641,000","194,541,663","181,414,824","746,630","1,001,651","906,954","1,105,103","1,086,753","1,276,452","1,270,052"
		CashCashEquivalentsAndShortTermInvestments,"119,428,000","149,627,000","336,654,000","178,189,000","132,137,000","99,962,000","272,318,000","110,587,000","48,163,701","76,878,134","622,162","878,071","744,766","947,098","846,716","988,718","1,070,677"
			CashAndCashEquivalents,"119,428,000","149,627,000","336,654,000","178,189,000","132,137,000","99,962,000","272,318,000","110,587,000","48,163,701","76,878,134","622,162","878,071","744,766","947,098","846,716","988,718","1,070,677"
				CashFinancial,,"149,613,000",,,,"94,360,000",,,,"22,863,543",,,,"947,098","846,716","988,718","1,070,677"
				CashEquivalents,,"14,000",,,,"5,602,000",,,,"54,014,591",,,,,,,
		Receivables,"369,898,000","359,896,000","347,515,000","302,127,000","260,761,000","171,065,000","147,335,000","119,243,000","118,650,575","78,619,230",,,,,,,
			AccountsReceivable,"369,898,000","359,896,000","347,515,000","302,127,000","260,761,000","171,065,000","147,335,000","119,243,000","118,650,575","78,619,230",,,,,,,
				GrossAccountsReceivable,,,,,,,,,,"30,847,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"-3,877,000",,,,,,,
		Inventory,"99,636,000","123,095,000","99,881,000","81,507,000","75,487,000","58,783,000","46,477,000","24,444,000","17,967,948","13,239,037",,,,,,,
		PrepaidAssets,"26,026,000","37,440,000","39,388,000","29,046,000","35,117,000","33,441,000","18,255,000","9,367,000","9,759,439","12,678,423","124,468","123,580","162,188","158,005","240,037","287,734","199,375"
	TotalNonCurrentAssets,"4,589,353,000","4,580,426,000","4,368,277,000","4,096,796,000","4,016,566,000","1,450,221,000","1,064,441,000","475,668,000","467,296,935","364,706,869","255,880,268","254,864,066","254,324,010","253,019,179","252,060,620","251,070,226","250,364,909"
		NetPPE,"566,856,000","546,337,000","490,248,000","309,071,000","298,537,000","110,468,000","101,656,000","83,216,000","87,300,924","63,559,080",,,,,,,
			GrossPPE,"855,550,000","767,941,000","666,325,000","443,758,000","400,361,000","192,417,000","183,807,000","158,621,000","157,685,556","132,006,461",,,,,,,
				Properties,,,,,,,,,,"0",,,,,,,
				MachineryFurnitureEquipment,"33,424,000","36,213,000","27,012,000","21,666,000","19,997,000","8,211,000","7,150,000","7,112,000","6,916,895","4,461,041",,,,,,,
				OtherProperties,"822,126,000","731,728,000","639,313,000","422,092,000","380,364,000","184,206,000","176,657,000","151,509,000","150,768,661","127,545,420",,,,,,,
				ConstructionInProgress,,,,,,,,,,"567,000",,,,,,,
				Leases,,,,,,,,,,"848,000",,,,,,,
			AccumulatedDepreciation,"-288,694,000","-221,604,000","-176,077,000","-134,687,000","-101,824,000","-81,949,000","-82,151,000","-75,405,000","-70,384,632","-68,447,381",,,,,,,
		GoodwillAndOtherIntangibleAssets,"3,707,436,000","3,714,798,000","3,572,177,000","3,464,830,000","3,387,315,000","1,114,871,000","905,205,000","342,851,000","340,806,853","266,790,518",,,,,,,
