name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"2,236,204,000","631,947,000","581,581,000","518,821,000","503,855,000","521,219,000","453,140,000","443,125,000","388,467,000","539,923,000","604,329,000","621,697,000","634,785,000","620,009,000","689,296,000","745,278,000","752,388,000","725,808,000","720,049,000","486,114,000","406,723,000","415,491,000","428,053,000","460,050,000","445,976,000","378,414,000","491,011,000","572,334,000","656,327,000","526,857,000","847,282,000","964,114,000","1,015,049,000","1,019,719,000","514,141,000","1,259,818,000","1,213,657,000","1,147,214,000","1,272,112,000","942,334,000","922,668,000","932,943,000","806,881,000","830,200,000","762,790,000","689,798,000","602,243,000","576,012,000","456,538,000","466,531,000","436,274,000","403,389,000","342,204,000","253,493,000","378,040,000","636,919,000","640,540,000","486,185,000","460,803,000","354,270,000","201,016,000","183,564,000","191,873,000","229,551,000","233,343,000","263,602,000","264,418,000","300,577,000","257,144,000","256,600,000","245,388,000","250,736,000","232,107,000","198,912,000","-62,965,000","239,031,000","219,949,000","261,882,000","215,448,000","216,350,000","240,769,000","239,239,000","667,379,000","821,647,000","920,879,000","930,293,000","1,034,783,000","1,093,032,000","1,194,896,000","1,001,843,000","670,100,000","593,800,000","513,400,000","383,700,000","495,000,000","526,400,000","561,800,000","650,300,000","691,000,000","844,800,000","890,700,000","946,500,000","93,000,000","93,000,000","93,000,000","93,000,000"
	OperatingRevenue,"2,236,204,000","631,947,000","581,581,000","518,821,000","503,855,000","521,219,000","453,140,000","443,125,000","388,467,000","539,923,000","604,329,000","621,697,000","634,785,000","620,009,000","689,296,000","745,278,000","752,388,000","725,808,000","720,049,000","486,114,000","406,723,000","415,491,000","428,053,000","460,050,000","445,976,000","378,414,000","491,011,000","572,334,000","656,327,000","526,857,000","847,282,000","964,114,000","1,015,049,000","1,019,719,000","514,141,000","1,259,818,000","1,213,657,000","1,147,214,000","1,272,112,000","942,334,000","922,668,000","932,943,000","806,881,000","830,200,000","762,790,000","689,798,000","602,243,000","576,012,000","456,538,000","466,531,000","436,274,000","403,389,000","342,204,000","253,493,000","378,040,000","636,919,000","640,540,000","486,185,000","460,803,000","354,270,000","201,016,000","183,564,000","191,873,000","229,551,000","233,343,000","263,602,000","264,418,000","300,577,000","257,144,000","256,600,000","245,388,000","250,736,000","232,107,000","198,912,000","-62,965,000","239,031,000","219,949,000","261,882,000","215,448,000","216,350,000","240,769,000","239,239,000","667,379,000","821,647,000","920,879,000","930,293,000","1,034,783,000","1,093,032,000","1,194,896,000","1,001,843,000","670,100,000","593,800,000","513,400,000","383,700,000","495,000,000","526,400,000","561,800,000","650,300,000","691,000,000","844,800,000","890,700,000","946,500,000","93,000,000","93,000,000","93,000,000","93,000,000"
CostOfRevenue,"2,072,217,000","565,154,000","571,696,000","469,956,000","465,411,000","481,532,000","450,965,000","424,690,000","363,779,000","471,388,000","520,800,000","553,911,000","534,425,000","546,294,000","580,310,000","678,284,000","677,959,000","655,053,000","642,571,000","423,605,000","362,622,000","352,918,000","373,732,000","393,659,000","386,705,000","306,345,000","422,998,000","500,737,000","612,115,000","488,817,000","806,437,000","915,081,000","969,096,000","972,307,000","480,146,000","1,223,125,000","1,168,693,000","1,105,319,000","1,274,901,000","888,003,000","869,202,000","881,842,000","763,600,000","777,957,000","713,977,000","655,020,000","565,364,000","541,762,000","417,894,000","436,713,000","404,274,000","369,082,000","308,616,000","222,517,000","343,997,000","596,257,000","603,545,000","459,095,000","433,025,000","334,131,000","194,697,000","176,744,000","185,594,000","221,206,000","224,707,000","255,685,000","257,789,000","295,959,000","252,129,000","251,744,000","240,518,000","245,642,000","227,063,000","194,813,000","-63,437,000","236,877,000","214,090,000","256,627,000","208,761,000","211,582,000","234,547,000","233,801,000","664,240,000","815,386,000","915,088,000","925,668,000","1,030,366,000","1,086,128,000","1,189,854,000","997,544,000","664,700,000","588,400,000","507,100,000","378,300,000","487,600,000","518,000,000","555,800,000","643,900,000","685,300,000","838,800,000","885,700,000","939,400,000",,,,
GrossProfit,"163,987,000","66,793,000","9,885,000","48,865,000","38,444,000","39,687,000","2,175,000","18,435,000","24,688,000","68,535,000","83,529,000","67,786,000","100,360,000","73,715,000","108,986,000","66,994,000","74,429,000","70,755,000","77,478,000","62,509,000","44,101,000","62,573,000","54,321,000","66,391,000","59,271,000","72,069,000","68,013,000","71,597,000","44,212,000","38,040,000","40,845,000","49,033,000","45,953,000","47,412,000","33,995,000","36,693,000","44,964,000","41,895,000","-2,789,000","54,331,000","53,466,000","51,101,000","43,281,000","52,243,000","48,813,000","34,778,000","36,879,000","34,250,000","38,644,000","29,818,000","32,000,000","34,307,000","33,588,000","30,976,000","34,043,000","40,662,000","36,995,000","27,090,000","27,778,000","20,139,000","6,319,000","6,820,000","6,279,000","8,345,000","8,636,000","7,917,000","6,629,000","4,618,000","5,015,000","4,856,000","4,870,000","5,094,000","5,044,000","4,099,000","472,000","2,154,000","5,859,000","5,255,000","6,687,000","4,768,000","6,222,000","5,438,000","3,139,000","6,261,000","5,791,000","4,625,000","4,417,000","6,904,000","5,042,000","4,299,000","5,400,000","5,400,000","6,300,000","5,400,000","7,400,000","8,400,000","6,000,000","6,400,000","5,700,000","6,000,000","5,000,000","7,100,000",,,,
OperatingExpense,"64,641,000","15,122,000","22,241,000","14,371,000","12,907,000","11,666,000","11,062,000","11,072,000","25,413,000","9,373,000","12,590,000","14,999,000","13,412,000","11,686,000","17,486,000","24,209,000","13,529,000","11,674,000","27,698,000","19,409,000","9,338,000","9,976,000","10,909,000","11,212,000","11,283,000","12,221,000","10,143,000","26,799,000","14,832,000","13,221,000","10,221,000","13,765,000","14,696,000","12,010,000","11,634,000","12,095,000","11,314,000","11,747,000","-32,962,000","25,213,000","25,324,000","24,627,000","28,224,000","23,611,000","22,882,000","21,946,000","102,771,000","24,067,000","20,345,000","19,780,000","28,749,000","25,951,000","25,840,000","23,955,000","22,324,000","27,281,000","25,963,000","25,331,000","40,457,000","13,096,000","7,638,000","5,240,000","5,110,000","6,657,000","5,279,000","5,547,000","5,149,000","4,727,000","4,009,000","2,368,000","5,613,000","5,250,000","3,556,000","4,881,000","2,317,000","3,211,000","3,811,000","3,834,000","4,940,000","3,472,000","3,679,000","3,511,000","51,473,000","4,832,000","4,869,000","4,624,000","4,684,000","4,833,000","4,755,000","4,702,000","4,800,000","4,800,000","5,100,000","4,700,000","5,000,000","5,100,000","4,800,000","4,300,000","3,800,000","3,600,000","3,800,000","3,700,000",,,,
	SellingGeneralAndAdministration,"64,641,000","15,122,000","22,241,000","14,371,000","12,907,000","11,666,000","11,062,000","11,072,000","25,413,000","9,373,000","12,590,000","14,999,000","13,412,000","11,686,000","17,486,000","24,209,000","13,529,000","11,674,000","27,698,000","19,409,000","9,338,000","9,976,000","10,909,000","11,212,000","11,283,000","12,221,000","10,143,000","26,799,000","14,832,000","13,221,000","10,221,000","13,765,000","14,696,000","12,010,000","11,634,000","12,095,000","11,314,000","11,747,000","12,485,000","10,375,000","9,967,000","9,592,000","9,134,000","8,905,000","8,380,000","8,054,000","89,728,000","10,583,000","6,801,000","6,294,000","13,225,000","10,128,000","8,306,000","8,754,000","2,571,000","9,239,000","9,166,000","8,524,000","12,268,000","4,724,000","5,600,000","3,328,000","3,125,000","4,539,000","3,249,000","3,733,000","3,120,000","3,210,000","2,468,000","858,000","6,005,000","2,639,000","2,022,000","3,164,000","1,966,000","1,994,000","2,445,000","2,363,000","1,937,000","2,060,000","2,204,000","2,088,000","2,996,000","2,969,000","2,999,000","2,727,000","2,781,000","2,785,000","2,720,000","2,656,000","2,800,000","2,700,000","3,000,000","3,000,000","2,900,000","3,100,000","2,800,000","2,700,000","2,200,000","2,000,000","2,200,000","2,100,000",,,,
		GeneralAndAdministrativeExpense,"64,641,000","15,122,000","22,241,000","14,371,000","12,907,000","11,666,000","11,062,000","11,072,000","25,413,000","9,373,000","12,590,000","14,999,000","13,412,000","11,686,000","17,486,000","24,209,000","13,529,000","11,674,000","27,698,000","19,409,000","9,338,000","9,976,000","10,909,000","11,212,000","11,283,000","12,221,000","10,143,000","26,799,000","14,832,000","13,221,000","10,221,000","13,765,000","14,696,000","12,010,000","11,634,000","12,095,000","11,314,000","11,747,000","12,485,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"5,267,000","1,599,000","2,043,000","743,000","882,000","1,080,000","-33,000","143,000","955,000","-2,485,000","940,000","1,114,000","964,000","930,000","-826,000","1,553,000","1,442,000","176,000","58,000","-1,875,000","-1,139,000","684,000","657,000","1,239,000","2,911,000","-232,000","-418,000","1,431,000","1,323,000","2,228,000","-946,000","1,272,000","2,239,000","2,546,000","1,992,000","1,646,000","1,976,000","3,566,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"59,374,000","13,523,000","20,198,000","13,628,000","12,025,000","10,586,000","11,095,000","10,929,000","24,458,000","11,858,000","11,650,000","13,885,000","12,448,000","10,756,000","18,312,000","22,656,000","12,087,000","11,498,000","27,640,000","21,284,000","10,477,000","9,292,000","10,252,000","9,973,000","8,372,000","12,453,000","10,561,000","25,368,000","13,509,000","10,993,000","11,167,000","12,493,000","12,457,000","9,464,000","9,642,000","10,449,000","9,338,000","8,181,000","12,485,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,838,000","15,357,000","15,035,000","19,177,000","14,593,000","14,253,000","13,903,000","13,068,000","13,477,000","13,606,000","13,406,000","15,223,000","15,806,000","16,133,000","15,419,000","19,760,000","18,100,000","16,721,000","16,789,000","26,401,000","8,372,000","2,046,000","1,928,000","1,963,000","2,107,000","2,029,000","1,864,000","2,026,000","1,601,000","1,568,000","1,526,000","1,525,000","2,599,000","1,627,000","1,547,000","397,000","1,360,000","1,369,000","1,515,000","1,503,000","1,412,000","1,475,000","1,423,000","1,916,000","1,863,000","1,870,000","1,897,000","1,903,000","2,048,000","2,035,000","2,046,000","2,000,000","2,100,000","2,100,000","1,700,000","2,100,000","2,000,000","2,000,000","1,600,000","1,600,000",,"1,600,000","1,600,000",,,,
