name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015,06/30/2015,03/31/2015
TotalRevenue,"575,000,000","23,000,000","102,000,000","234,000,000","216,000,000","16,000,000","35,000,000","110,000,000","11,000,000","22,000,000","34,000,000","212,000,000","208,000,000","22,000,000","32,000,000","200,000,000","182,000,000","28,000,000","20,000,000","185,000,000","176,000,000","5,000,000","18,000,000","109,000,000","131,000,000","4,000,000",,,
	OperatingRevenue,"568,000,000","0","568,000,000","0","0","16,000,000","178,000,000","0","11,000,000","22,000,000","476,000,000","0","0","22,000,000","32,000,000","200,000,000","182,000,000","28,000,000","20,000,000","185,000,000","176,000,000","5,000,000","18,000,000","109,000,000","131,000,000","4,000,000",,,
OperatingExpense,"555,000,000","63,000,000","103,000,000","204,000,000","185,000,000","56,000,000","70,000,000","126,000,000","44,000,000","66,000,000","79,000,000","191,000,000","174,000,000","71,000,000","60,000,000","155,000,000","147,000,000","79,000,000","88,000,000","194,000,000","179,000,000","38,000,000","34,000,000","108,000,000","134,000,000","47,000,000",,,
	SellingGeneralAndAdministration,"100,000,000","22,000,000","26,000,000","28,000,000","24,000,000","21,000,000","28,000,000","17,000,000",,"22,000,000","27,000,000","26,000,000","24,000,000","30,000,000","32,000,000","33,000,000","30,000,000","23,000,000","42,000,000","61,000,000","29,000,000","19,000,000","16,000,000","18,000,000","19,000,000","14,000,000",,,
	DepreciationAmortizationDepletionIncomeStatement,"75,000,000","18,000,000","16,000,000","22,000,000","19,000,000","15,000,000","15,000,000","19,000,000","20,000,000","15,000,000","17,000,000","20,000,000","21,000,000","13,000,000","14,000,000","23,000,000","23,000,000","16,000,000","17,000,000","24,000,000","24,000,000","2,000,000","2,000,000","12,000,000","13,000,000","5,000,000",,,
		DepreciationAndAmortizationInIncomeStatement,"75,000,000","18,000,000","16,000,000","22,000,000","19,000,000","15,000,000","15,000,000","19,000,000","20,000,000","15,000,000","17,000,000","20,000,000","21,000,000","13,000,000","14,000,000","23,000,000","23,000,000","16,000,000","17,000,000","24,000,000","24,000,000","2,000,000","2,000,000","12,000,000","13,000,000","5,000,000",,,
	OtherOperatingExpenses,"380,000,000","23,000,000","61,000,000","154,000,000","142,000,000","20,000,000","27,000,000","90,000,000","24,000,000","29,000,000","35,000,000","145,000,000","129,000,000","28,000,000","14,000,000","99,000,000","94,000,000","40,000,000","29,000,000","109,000,000","126,000,000","17,000,000","16,000,000","78,000,000","102,000,000","28,000,000",,,
OperatingIncome,"20,000,000","-40,000,000","-1,000,000","30,000,000","31,000,000","-40,000,000","-35,000,000","-16,000,000","-33,000,000","-44,000,000","-45,000,000","21,000,000","34,000,000","-49,000,000","-28,000,000","45,000,000","35,000,000","-51,000,000","-68,000,000","-9,000,000","-3,000,000","-33,000,000","-16,000,000","1,000,000","-3,000,000","-43,000,000",,,
NetNonOperatingInterestIncomeExpense,"-24,000,000","-6,000,000","-6,000,000","-6,000,000","-6,000,000","-6,000,000","-7,000,000","-6,000,000","-6,000,000","-7,000,000","-7,000,000","-6,000,000","-7,000,000","-7,000,000","-7,000,000","-6,000,000","-7,000,000","-6,000,000","-6,000,000","-7,000,000","-2,000,000",,,,,,,,
	InterestExpenseNonOperating,"24,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","7,000,000","6,000,000","6,000,000","7,000,000","7,000,000","6,000,000","7,000,000","7,000,000","7,000,000","6,000,000","7,000,000","6,000,000","6,000,000","7,000,000","2,000,000",,,,,,,,
