name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,03/31/2017,03/31/2016
TotalRevenue,"2,394,000,000","605,000,000","609,000,000","630,000,000","550,000,000","271,000,000","267,000,000","245,000,000","194,000,000","544,000,000","430,000,000","368,000,000"
	OperatingRevenue,"2,326,000,000","588,000,000","592,000,000","610,000,000","536,000,000","262,000,000","257,000,000","237,000,000","185,000,000","528,000,000","430,000,000","368,000,000"
CostOfRevenue,"2,464,000,000","667,000,000","625,000,000","602,000,000","570,000,000","465,000,000","423,000,000","393,000,000","239,000,000","585,000,000","228,000,000","180,000,000"
GrossProfit,"-70,000,000","-62,000,000","-16,000,000","28,000,000","-20,000,000","-194,000,000","-156,000,000","-148,000,000","-45,000,000","-41,000,000","202,000,000","188,000,000"
OperatingExpense,"97,000,000","80,000,000","70,000,000","-15,000,000","-38,000,000","-102,000,000","28,000,000","-67,000,000","-51,000,000","65,000,000","204,000,000","138,000,000"
	SellingGeneralAndAdministration,"124,000,000","32,000,000","29,000,000","33,000,000","30,000,000","17,000,000","16,000,000","17,000,000","15,000,000","30,000,000","152,000,000","88,000,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,"133,000,000","71,000,000"
			SalariesAndWages,,,,,,,,,,,"133,000,000","71,000,000"
		SellingAndMarketingExpense,"124,000,000","32,000,000","29,000,000","33,000,000","30,000,000","17,000,000","16,000,000","17,000,000","15,000,000","30,000,000","19,000,000","17,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,"13,000,000","18,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,"13,000,000","18,000,000"
	OtherOperatingExpenses,"-27,000,000","48,000,000","41,000,000","-48,000,000","-68,000,000","-119,000,000","12,000,000","-84,000,000","-66,000,000","35,000,000","39,000,000","32,000,000"
OperatingIncome,"-167,000,000","-142,000,000","-86,000,000","43,000,000","18,000,000","-92,000,000","-184,000,000","-81,000,000","6,000,000","-106,000,000","-2,000,000","50,000,000"
NetNonOperatingInterestIncomeExpense,"-14,000,000","-8,000,000","0","-2,000,000","-4,000,000","-21,000,000","-9,000,000","-1,000,000","0","3,000,000","0","-1,000,000"
	InterestIncomeNonOperating,"2,000,000","0","1,000,000","1,000,000","0","0","1,000,000","0","1,000,000","3,000,000","1,000,000","0"
	InterestExpenseNonOperating,"16,000,000","8,000,000","1,000,000","3,000,000","4,000,000","21,000,000","10,000,000","1,000,000","1,000,000","0","1,000,000","1,000,000"
OtherIncomeExpense,,"-11,000,000",,,,,,,,,,
	SpecialIncomeCharges,,"-11,000,000",,,,,,,,,"0","0"
		RestructuringAndMergernAcquisition,,"11,000,000",,,,,,,,,,
PretaxIncome,"-192,000,000","-161,000,000","-86,000,000","41,000,000","14,000,000","-113,000,000","-193,000,000","-82,000,000","6,000,000","-103,000,000","-2,000,000","49,000,000"
TaxProvision,"-60,000,000","-40,000,000","-33,000,000","18,000,000","-5,000,000","-22,000,000","-66,000,000","-31,000,000","-11,000,000","-39,000,000","-2,000,000","19,000,000"
NetIncomeCommonStockholders,"-132,000,000","-121,000,000","-53,000,000","22,000,000","18,000,000","-91,000,000","-127,000,000","-51,000,000","16,000,000","-64,000,000","0","30,000,000"
	NetIncome,"-132,000,000","-121,000,000","-53,000,000","23,000,000","19,000,000","-91,000,000","-127,000,000","-51,000,000","17,000,000","-64,000,000","0","30,000,000"
		NetIncomeIncludingNoncontrollingInterests,"-132,000,000","-121,000,000","-53,000,000","23,000,000","19,000,000","-91,000,000","-127,000,000","-51,000,000","17,000,000","-64,000,000","0","30,000,000"
			NetIncomeContinuousOperations,"-132,000,000","-121,000,000","-53,000,000","23,000,000","19,000,000","-91,000,000","-127,000,000","-51,000,000","17,000,000","-64,000,000","0","30,000,000"
	OtherunderPreferredStockDividend,,,,"1,000,000","1,000,000","0",,"0","1,000,000","0",,
DilutedNIAvailtoComStockholders,"-132,000,000","-121,000,000","-53,000,000","22,000,000","18,000,000","-91,000,000","-127,000,000","-51,000,000","16,000,000","-64,000,000","0","30,000,000"
BasicEPS,,"-0.56","-0.25","0.1","0.08","-0.423",,"-0.238","0.075","-0.299","0","0.14"
DilutedEPS,,"-0.56","-0.25","0.1","0.08","-0.423",,"-0.238","0.075","-0.299","0","0.14"
BasicAverageShares,,"217,000,000","216,000,000","215,452,632","214,337,723","215,078,219",,"214,260,410","214,260,410","214,260,410","214,260,410","214,260,410"
DilutedAverageShares,,"217,000,000","216,000,000","218,254,923","215,886,510","215,078,219",,"214,260,410","214,260,410","214,260,410","214,260,410","214,260,410"
TotalOperatingIncomeAsReported,"-178,000,000","-153,000,000","-86,000,000","43,000,000","18,000,000","-92,000,000","-184,000,000","-81,000,000","6,000,000","-106,000,000","-2,000,000","50,000,000"
RentExpenseSupplemental,"520,000,000","128,000,000","131,000,000","128,000,000","133,000,000","138,000,000","130,000,000","115,000,000","48,000,000","103,000,000","59,000,000","50,000,000"
TotalExpenses,"2,561,000,000","747,000,000","695,000,000","587,000,000","532,000,000","363,000,000","451,000,000","326,000,000","188,000,000","650,000,000","432,000,000","318,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-132,000,000","-121,000,000","-53,000,000","23,000,000","19,000,000","-91,000,000","-127,000,000","-51,000,000","17,000,000","-64,000,000","0","30,000,000"
NormalizedIncome,"-124,437,500","-112,728,000","-53,000,000","23,000,000","19,000,000","-91,000,000","-127,000,000","-51,000,000","17,000,000","-64,000,000","0","30,000,000"
InterestIncome,"2,000,000","0","1,000,000","1,000,000","0","0","1,000,000","0","1,000,000","3,000,000","1,000,000","0"
InterestExpense,"16,000,000","8,000,000","1,000,000","3,000,000","4,000,000","21,000,000","10,000,000","1,000,000","1,000,000","0","1,000,000","1,000,000"
NetInterestIncome,"-14,000,000","-8,000,000","0","-2,000,000","-4,000,000","-21,000,000","-9,000,000","-1,000,000","0","3,000,000","0","-1,000,000"
EBIT,"-176,000,000","-153,000,000","-85,000,000","44,000,000","18,000,000","-92,000,000","-183,000,000","-81,000,000","7,000,000","-103,000,000","-1,000,000","50,000,000"
EBITDA,"-133,000,000"
ReconciledCostOfRevenue,"2,464,000,000","667,000,000","625,000,000","602,000,000","570,000,000","465,000,000","423,000,000","393,000,000","239,000,000","585,000,000","228,000,000","180,000,000"
ReconciledDepreciation,"43,000,000","13,000,000","10,000,000","10,000,000","10,000,000","8,000,000","10,000,000","8,000,000","7,000,000","8,000,000","13,000,000","18,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-132,000,000","-121,000,000","-53,000,000","23,000,000","19,000,000","-91,000,000","-127,000,000","-51,000,000","17,000,000","-64,000,000","0","30,000,000"
