name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,03/31/2017,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
OperatingCashFlow,"185,694,000","29,327,000","49,032,000","39,737,000","67,598,000","14,204,000","58,182,000","76,719,000","52,229,000","45,642,000","82,459,000","64,598,000","58,714,000","64,828,000","111,129,000","112,469,000","66,021,000","57,442,000","78,660,000","109,320,000","63,000,000","90,000,000","46,000,000","83,000,000","103,000,000","102,000,000","100,000,000","110,000,000","111,000,000","139,000,000","0","88,000,000","97,000,000"
	CashFlowFromContinuingOperatingActivities,"185,694,000","29,327,000","49,032,000","39,737,000","67,598,000","14,204,000","58,182,000","76,719,000","52,229,000","45,642,000","82,459,000","64,598,000","58,714,000","64,828,000","111,129,000","112,469,000","66,021,000","57,442,000","78,660,000","109,320,000","63,000,000","90,000,000","46,000,000","83,000,000","103,000,000","102,000,000","100,000,000","110,000,000","111,000,000",,,"88,000,000","97,000,000"
		NetIncomeFromContinuingOperations,"98,582,000","33,511,000","5,088,000","35,624,000","24,359,000","36,506,000","109,800,000","-145,000","11,464,000","28,102,000","-16,292,000","21,393,000","24,316,000","6,087,000","20,345,000","19,683,000","10,093,000","930,000","77,151,000","-67,945,000","-67,000,000","-42,000,000","-59,000,000","-145,000,000","-59,000,000","-85,000,000","-82,000,000","-560,000,000","-132,000,000",,,"-57,000,000","-13,000,000"
		OperatingGainsLosses,"-19,740,000","1,007,000","-19,323,000","-913,000","-825,000","696,000","10,992,000","30,160,000","1,465,000","3,163,000","34,012,000","16,115,000","6,108,000","9,243,000","27,062,000","4,627,000","-2,466,000","1,132,000","28,559,000","-511,000","5,000,000","0","1,000,000","-3,000,000","-33,000,000","-1,000,000","-15,000,000","-9,000,000","-2,000,000",,,"2,000,000","-1,000,000"
			GainLossOnSaleOfPPE,,,"-5,492,000","0","-59,000","15,000","68,000","-15,000","529,000","2,962,000","648,000","4,000","4,265,000","1,025,000","4,149,000","3,190,000","3,889,000","236,000","1,584,000","-17,000",,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,"1,077,000",,,"-195,000","835,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-14,446,000","-70,000","-13,831,000","-273,000","-272,000","-453,000","10,924,000","30,175,000","936,000","201,000","33,364,000","16,111,000","1,843,000","1,843,000","4,538,000","1,437,000","-6,355,000","896,000","26,975,000","-166,000","5,000,000","1,000,000","1,000,000","-3,000,000","-31,000,000","-1,000,000","-15,000,000","0","-2,000,000",,,"2,000,000","-1,000,000"
		DepreciationAmortizationDepletion,"107,724,000","21,969,000","24,798,000","31,049,000","29,908,000","19,718,000","35,640,000","35,454,000","37,606,000","37,823,000","50,985,000","50,471,000","52,295,000","52,519,000","66,530,000","66,703,000","66,814,000","66,928,000","113,312,000","57,470,000","101,000,000","103,000,000","106,000,000","160,000,000","161,000,000","161,000,000","161,000,000","241,000,000","242,000,000",,,"106,000,000","104,000,000"
			DepreciationAndAmortization,"107,724,000","21,969,000","24,798,000","31,049,000","29,908,000","19,718,000","35,640,000","35,454,000","37,606,000","37,823,000","50,985,000","50,471,000","52,295,000","52,519,000","66,530,000","66,703,000","66,814,000","66,928,000","113,312,000","57,470,000","101,000,000","103,000,000","106,000,000","160,000,000","161,000,000","161,000,000","161,000,000","241,000,000","242,000,000",,,"106,000,000","104,000,000"
		DeferredTax,"-12,860,000","-5,671,000","37,385,000","-9,642,000","-44,529,000","-3,652,000","-141,895,000","-28,105,000","38,582,000","-15,911,000","-20,494,000","-7,983,000","-12,168,000","19,903,000","-4,299,000","7,436,000","-13,169,000","-24,077,000","-182,124,000","27,047,000","-10,000,000","-1,000,000","-3,000,000","15,000,000","1,000,000","-2,000,000","-3,000,000","-119,000,000","-81,000,000",,,"7,000,000","-1,000,000"
			DeferredIncomeTax,"-12,860,000","-5,671,000","37,385,000","-9,642,000","-44,529,000","-3,652,000","-141,895,000","-28,105,000","38,582,000","-15,911,000","-20,494,000","-7,983,000","-12,168,000","19,903,000","-4,299,000","7,436,000","-13,169,000","-24,077,000","-182,124,000","27,047,000","-10,000,000","-1,000,000","-3,000,000","15,000,000","1,000,000","-2,000,000","-3,000,000","-119,000,000","-81,000,000",,,"7,000,000","-1,000,000"
		AssetImpairmentCharge,,,"0","0","3,611,000","0","5,497,000","1,184,000","18,132,000","98,000",,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"18,315,000","5,467,000","5,588,000","4,795,000","2,465,000","6,546,000","8,650,000","16,344,000","22,309,000","17,324,000","34,141,000","6,585,000","7,043,000","7,790,000","-1,674,000","6,004,000","11,144,000","8,896,000","32,977,000","1,497,000","7,000,000","3,000,000","5,000,000","4,000,000","-1,000,000","9,000,000","6,000,000","-1,000,000","-20,000,000",,,"4,000,000","8,000,000"
		StockBasedCompensation,"8,051,000","1,928,000","1,862,000","2,340,000","1,921,000","1,971,000","1,300,000","1,289,000","580,000","-6,064,000","8,605,000","-4,458,000","2,853,000","7,119,000","6,389,000","9,742,000","18,498,000","4,975,000","19,484,000","1,277,000","1,000,000","0","1,000,000","2,000,000","0",,,"0","1,000,000",,,"1,000,000","1,000,000"
		OtherNonCashItems,"3,462,000","-4,416,000","2,447,000","1,706,000","4,039,000","439,000","1,832,000","-1,169,000","884,000","4,068,000","33,615,000","4,003,000","-32,687,000","285,000","621,000","394,000","-9,351,000","394,000","-5,541,000","107,000","29,000,000","28,000,000","25,000,000","24,000,000","24,000,000","23,000,000","22,000,000","22,000,000","23,000,000",,,"8,000,000","9,000,000"
		ChangeInWorkingCapital,"-21,451,000","-24,468,000","-8,813,000","-25,222,000","46,649,000","-48,020,000","26,366,000","21,707,000","-78,793,000","-22,961,000","-47,783,000","-21,528,000","10,954,000","-38,118,000","-3,845,000","-2,120,000","-15,542,000","-1,736,000","-5,158,000","90,378,000","-3,000,000","-1,000,000","-30,000,000","26,000,000","10,000,000","-5,000,000","11,000,000","78,000,000","80,000,000",,,"17,000,000","-10,000,000"
			ChangeInReceivables,"40,628,000","-11,076,000","27,368,000","-20,265,000","44,601,000","28,292,000","26,812,000","45,780,000","-21,398,000","-9,443,000","-46,627,000","46,632,000","19,826,000","-1,859,000","23,452,000","1,770,000","-7,301,000","35,984,000","165,324,000","79,294,000","1,000,000","7,000,000","4,000,000","-6,000,000","12,000,000","-2,000,000","37,000,000","73,000,000","136,000,000",,,"-6,000,000","15,000,000"
				ChangesInAccountReceivables,"35,161,000","-12,361,000","25,577,000","-21,700,000","43,645,000","26,846,000","25,640,000","44,533,000","-19,870,000","-8,921,000",,,,,,,,,,,"1,000,000","7,000,000","4,000,000","-6,000,000","12,000,000","-2,000,000","37,000,000",,,,,,
			ChangeInPrepaidAssets,"10,162,000","-6,920,000","9,268,000","4,383,000","3,431,000","-10,998,000","7,757,000","-10,462,000",,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-77,797,000","-9,775,000","-61,506,000","-13,244,000","16,325,000","-67,458,000","-4,869,000","-14,228,000","-63,434,000","-3,630,000","3,354,000","-27,569,000","2,893,000","-47,922,000","-15,155,000","1,931,000","-46,272,000","-13,176,000","-7,422,000","2,509,000","-20,000,000","-19,000,000","-47,000,000","33,000,000","-19,000,000","-1,000,000","-40,000,000","-5,000,000","-25,000,000",,,"6,000,000","-41,000,000"
				ChangeInPayable,,,"-61,506,000","-13,244,000","16,325,000","-67,458,000",,,"-63,434,000","-3,630,000",,,,,,,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,"30,351,000",,,,,,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,"30,351,000",,,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,,,"-61,506,000","-13,244,000","16,325,000","-67,458,000",,,"-33,083,000","-33,981,000",,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,"-7,655,000",,"-2,070,000","5,275,000","-12,027,000","7,003,000","986,000","7,836,000","-16,001,000","13,389,000","6,926,000","3,000,000","-2,000,000","2,000,000","3,000,000","3,000,000","0","5,000,000","2,000,000","1,000,000",,,"6,000,000","8,000,000"
			ChangeInOtherCurrentLiabilities,"-2,211,000","3,303,000","-1,004,000","41,000","-2,004,000","-403,000","-8,000","-516,000","-862,000","-2,620,000","23,314,000","0",,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherWorkingCapital,,,"17,061,000","3,863,000","-15,704,000","2,547,000","-3,326,000","1,133,000","-3,931,000","387,000","-6,490,000","-38,521,000","-17,040,000","23,690,000","-19,145,000","-6,807,000","30,195,000","-8,543,000","-176,449,000","1,649,000","13,000,000","13,000,000","11,000,000","-4,000,000","14,000,000","-2,000,000","9,000,000","8,000,000","-32,000,000",,,"11,000,000","8,000,000"
InvestingCashFlow,"-44,719,000","-26,002,000","-1,215,000","-6,918,000","-10,584,000","-177,858,000","-10,727,000","-4,011,000","-3,853,000","-7,620,000","-12,768,000","-7,336,000","-3,912,000","-1,349,000","-12,150,000","-5,596,000","-6,954,000","-3,962,000","-8,269,000","-2,786,000","-2,000,000","-1,000,000","-3,000,000","10,000,000","-6,000,000","-6,000,000","-3,000,000","-3,000,000","-9,000,000","142,000,000","0","-6,000,000","-5,000,000"
	CashFlowFromContinuingInvestingActivities,"-44,719,000","-26,002,000","-1,215,000","-6,918,000","-10,584,000","-177,858,000","-10,727,000","-4,011,000","-3,853,000","-7,620,000","-12,768,000","-7,336,000","-3,912,000","-1,349,000","-12,150,000","-5,596,000","-6,954,000","-3,962,000","-8,269,000","-2,786,000","-2,000,000","-1,000,000","-3,000,000","10,000,000","-6,000,000","-6,000,000","-3,000,000","-3,000,000","-9,000,000",,,"-6,000,000","-5,000,000"
		CapitalExpenditureReported,,,,,,,,,,,,,,,,,,,,,"-2,000,000","-6,000,000","-3,000,000","-3,000,000","-6,000,000","-6,000,000","-3,000,000","-3,000,000","-9,000,000",,,"-6,000,000","-5,000,000"
		NetPPEPurchaseAndSale,"-27,180,000","-3,999,000","-6,859,000","-5,738,000","-10,584,000","-3,668,000","-10,727,000","-4,011,000","-3,853,000","-7,620,000","-12,768,000","-7,336,000","-3,912,000","-1,202,000","-10,900,000","-5,596,000","-6,954,000","-3,962,000","-8,269,000","-2,786,000","-2,000,000","-1,000,000","-3,000,000","10,000,000","-6,000,000","-6,000,000","-3,000,000","-3,000,000","-9,000,000",,,"-6,000,000","-5,000,000"
			PurchaseOfPPE,"-27,180,000","-3,999,000","-6,796,000","-5,738,000","-10,647,000","-3,668,000","-10,727,000","-4,055,000","-3,853,000","-9,122,000","-12,769,000","-7,340,000","-3,913,000","-2,043,000","-10,900,000","-5,613,000","-6,954,000","-3,962,000","-8,282,000","-2,806,000","-2,000,000","-6,000,000","-3,000,000","-3,000,000","-6,000,000","-6,000,000","-3,000,000","-3,000,000","-9,000,000",,,"-6,000,000","-5,000,000"
			SaleOfPPE,,,,"0","63,000","0","0","44,000","0","1,502,000","1,000","4,000","1,000","841,000","0","17,000","0","0","13,000","20,000","0",,,,,,,,,,,,
