name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,12/31/2015,09/30/2015,12/31/2014,09/30/2014
OperatingCashFlow,"-521,372,000","-111,560,000","-112,499,000","-168,625,000","-128,688,000","-153,314,000","141,979,000","-99,824,000","-94,294,000","-108,349,000","-82,071,683","-53,597,640","-39,905,638","-35,560,484","-44,478,223","-33,132,448","-30,694,877","-22,935,249","-15,532,804","-11,137,868","-11,497,451","-8,426,950","-6,544,602","-6,513,358","-7,042,292","-3,780,718","-2,565,634","-3,697,407"
	CashFlowFromContinuingOperatingActivities,"-521,372,000","-111,560,000","-112,499,000","-168,625,000","-128,688,000","-153,314,000","141,979,000","-99,824,000","-94,294,000","-108,349,000","-82,071,683","-53,597,640","-39,905,638","-35,560,484","-44,478,223","-33,132,448","-30,694,877","-22,935,249","-15,532,804","-11,137,868","-11,497,451","-8,426,950","-6,544,602","-6,513,358","-7,042,292","-3,780,718","-2,565,634","-3,697,407"
		NetIncomeFromContinuingOperations,"-701,630,000","-138,935,000","-147,933,000","-195,571,000","-219,191,000","-183,659,000","78,265,000","-135,700,000","-118,617,000","-168,822,000","-113,217,423","-69,824,659","-71,090,164","-50,574,367","-36,459,474","-35,972,114","-33,334,302","-21,736,304","-18,255,896","-11,573,273","-12,126,152","-9,050,773","-6,620,102","-7,210,591","-8,215,844","-31,189,402","-2,688,982","-2,469,984"
		OperatingGainsLosses,,,"55,192,000","65,321,000","21,180,000","56,571,000","40,090,000","-2,697,000","-2,770,000","68,406,000","4,736,000","556,083","9,104,000","1,944,132","-517,408","426,191","0","5,708",,,,,,,,,"0","0"
			GainLossOnInvestmentSecurities,,,"55,192,000","4,219,000","21,180,000","17,084,000","40,090,000","-2,697,000","-2,770,000","68,406,000","4,736,000","263,000","9,104,000","736,000","-91,217","0","0","5,708",,,,,,,,,,
		DepreciationAmortizationDepletion,"1,458,000","360,000","376,000","274,000","448,000","394,000","58,000","315,000","122,000","142,000","-139,908","143,342","123,021","113,228",,,,"208,624",,,,"0",,,,"2,154","2,155","1,576"
			DepreciationAndAmortization,"1,458,000","360,000","376,000","274,000","448,000","394,000","58,000","315,000","122,000","142,000","-139,908","143,342","123,021","113,228",,,,"208,624",,,,"0",,,,"2,154","2,155","1,576"
				Depreciation,"1,458,000","360,000","376,000","274,000","448,000","394,000","58,000","315,000","122,000","142,000","-139,908","143,342","123,021","113,228",,,,,,,,,,,,"2,154","2,155","1,576"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,"208,624",,,,"0",,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,"208,624",,,,"0",,,,,,
