name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
TotalLiabilitiesNetMinorityInterest,"56,223,000","59,349,000","27,340,000","26,398,000","14,083,000","15,320,000","10,743,000","9,802,000","9,914,000","8,624,000","8,332,000","7,772,000","7,247,000","6,886,000","4,144,000","3,851,000","4,094,000","4,027,000","4,434,000","5,175,000","7,414,000","7,893,000","8,837,000","8,841,000","8,554,000","7,767,000","7,909,000","8,054,000","8,572,000","8,381,000","11,357,000","12,843,000","12,567,000","12,373,000","13,992,000","14,062,000","13,010,000","13,881,000","14,564,000","14,303,000","13,224,000","11,645,000","11,421,000","9,900,000","8,574,000","7,519,000","6,857,000","5,643,810","6,159,637","4,443,663","4,875,086","5,728,323","6,568,569","6,009,918","5,927,357","4,129,885","3,128,032","3,557,629","2,823,344","1,857,276","1,728,073","1,480,890","1,262,163","1,196,917","1,157,444","904,128","811,950","782,214","738,170","586,708","507,756","622,497","719,085","362,110","891,106","501,692","1,027,422","991,116","39,206","14,858","948,542","823,376","809,591","793,303","741,208","208,037","258,748","0","0","-25,280","0","0","0"
	CurrentLiabilities,"22,368,000","22,871,000","10,292,000","8,891,000","9,315,000","10,117,000","7,295,000","6,020,000","5,834,000","5,197,000","4,519,000","3,828,000","4,453,000","6,355,000","3,522,000","3,267,000","3,753,000","4,015,000","4,388,000","4,624,000","6,939,000","7,745,000","8,660,000","8,648,000","8,346,000","7,539,000","7,641,000","7,768,000","8,261,000","8,057,000","8,350,000","9,806,000","9,536,000","9,684,000","11,610,000","11,630,000","11,300,000","12,093,000","12,852,000","12,495,000","11,322,000","9,748,000","9,649,000","8,093,000","6,687,000","5,552,000","4,614,000","4,008,590","4,650,257","3,340,930","4,390,695","4,986,390","5,713,269","5,466,631","5,888,971","4,049,917","3,019,459","3,449,376","2,646,208","1,611,257","1,456,149","1,131,971","910,566","779,940","673,583","564,886","731,495","695,359","630,271","482,104","457,339","567,144","659,580","362,110","891,106","309,806","1,027,422","991,116","39,206","14,858","934,042","807,885","794,700","778,412","726,317","192,612","258,748",,,,,,
		PayablesAndAccruedExpenses,"13,585,000","14,561,000","7,761,000","6,418,000","7,168,000","7,989,000","5,566,000","4,271,000","4,103,000","3,941,000","3,429,000","2,849,000","3,750,000","5,418,000","2,608,000","2,323,000","2,773,000","2,781,000","2,997,000","3,106,000","3,465,000","3,922,000","4,116,000","4,005,000","3,629,000","3,339,000","3,017,000","3,065,000","3,632,000","3,421,000","3,614,000","3,595,000","3,853,000","3,765,000","4,452,000","4,255,000","4,136,000","5,651,000","4,958,000","5,820,000","5,529,000","5,330,000","5,105,000","3,736,000","4,032,000","3,968,000","3,571,000","2,852,536","3,456,008","3,245,714","3,259,399","3,119,688","4,358,224","2,840,893","3,068,015","1,918,361","1,789,479","1,530,073","1,156,545","719,751","632,708","615,041","514,175","403,513","379,362","404,181","569,814","537,205","477,395","335,558","317,131","372,040","309,015","3,310","10,093","3,774","11,418","4,516","39,206","3,246","157,551","483,045","469,860","453,572","401,477","107,292","246,732",,,,,,
			Payables,"9,673,000","10,664,000","4,246,000","3,055,000","3,604,000","4,997,000","3,056,000","2,201,000","2,331,000","2,193,000","2,085,000","1,840,000","2,893,000","4,510,000","1,842,000","1,631,000","2,112,000","2,243,000","2,092,000","2,447,000","2,624,000","2,973,000","3,169,000","3,026,000","2,829,000","2,556,000","2,487,000","2,493,000","2,700,000","2,623,000","2,823,000","3,091,000","2,999,000","2,839,000","3,335,000","2,999,000","2,678,000","3,487,000","3,761,000","4,444,000","4,138,000","3,756,000","3,406,000","2,369,000","2,334,000","2,416,000","2,026,000","1,461,401","2,606,183","2,457,788","2,338,816","2,115,996","3,037,503","1,037,205","1,029,449","965,352","869,343","817,429","674,614","444,549","336,484","342,452","456,636","360,118","239,867","282,045","395,855","373,824","300,480","180,158","136,026","201,343","216,262","3,310","10,093","3,774","11,418","4,516","39,206","3,246","25,305","134,511","134,511","130,548","131,853","57,053","215,935",,,,,,
				AccountsPayable,"6,541,000","4,739,000","2,669,000","2,652,000","3,338,000","4,717,000","2,627,000","2,201,000","2,292,000","2,133,000","1,945,000","1,829,000","1,561,000","1,552,000","1,842,000","1,631,000","2,112,000","2,243,000","2,092,000","2,447,000","2,521,000","2,879,000","3,090,000","2,947,000","2,750,000","2,477,000",,"2,493,000","2,700,000","2,544,000","2,745,000","3,000,000","2,905,000","2,743,000","2,289,000","2,108,000","1,675,000","2,057,000","2,453,000","2,705,000","2,524,000","2,189,000","2,161,000","1,458,000","1,492,000","1,313,000","1,485,000","1,101,401","1,132,426","1,126,543","731,144","764,136","1,562,637","1,037,205","1,029,449","965,352","869,343","817,429","674,614","444,549","336,484","342,452","456,636","360,118","239,867","282,045","395,855","373,824","300,480","180,158","136,026","201,343","216,262","3,310","10,093","3,774","11,418","4,516","39,206","3,246","5,305","114,511","114,511","110,548","111,853","37,053","19,918",,,,,,
				TotalTaxPayable,"3,116,000","2,296,000","1,577,000","403,000","266,000","280,000","429,000","0","39,000","52,000","132,000","0","1,321,000","688,000",,,,,,,"103,000","94,000","79,000","79,000","79,000","79,000",,,,"79,000","78,000","91,000","94,000","96,000","1,046,000","891,000","1,003,000","1,430,000","1,308,000","1,739,000","1,614,000","1,567,000","1,245,000","911,000","842,000","1,103,000","541,000","360,000","1,083,000","905,343","1,175,644","1,036,644","1,139,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"3,116,000","2,296,000","1,577,000","403,000","266,000","280,000","429,000","0","39,000","52,000","132,000","0","1,321,000","688,000",,,,,,,"103,000","94,000","79,000","79,000","79,000","79,000",,,,"79,000","78,000","91,000","94,000","96,000","1,046,000","891,000","1,003,000","1,430,000","1,308,000","1,739,000","1,614,000","1,567,000","1,245,000","911,000","842,000","1,103,000","541,000","360,000","1,083,000","905,343","1,175,644","1,036,644","1,139,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,"16,000","3,629,000",,,,,,,,"8,000","8,000","11,000","11,000","2,270,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0",,"0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","390,757","425,902","432,028","315,216","335,866","0","0","0","0","0","0","0",,"0","0","0","0","0",,"0","0","0",,"0","0","0","0",,,"0","0","0","20,000","20,000","20,000","20,000","20,000","20,000","196,017",,,,,,
			CurrentAccruedExpenses,"3,912,000","3,897,000","3,515,000","3,363,000","3,564,000","2,992,000","2,510,000","2,070,000","1,772,000","1,748,000","1,344,000","1,009,000","857,000","908,000","766,000","692,000","661,000","538,000","905,000","659,000","841,000","949,000","947,000","979,000","800,000","783,000","530,000","572,000","932,000","798,000","791,000","504,000","854,000","926,000","1,117,000","1,256,000","1,458,000","2,164,000","1,197,000","1,376,000","1,391,000","1,574,000","1,699,000","1,367,000","1,698,000","1,552,000","1,545,000","1,391,135","849,825","787,926","920,583","1,003,692","1,320,721","1,803,688","2,038,566","953,009","920,136","712,644","481,931","275,202","296,224","272,589","57,539","43,395","139,495","122,136","173,959","163,381","176,915","155,400","181,105","170,697","92,753",,,,,,,,"132,246","348,534","335,349","323,024","269,624","50,239","30,797",,,,,,
