name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,09/30/1994,06/30/1994
		Inventory,,"0","0","0","0","57,938,000","32,878,000","24,495,000",,,,,,,,,,"0","0","3,015,000","0","101,957,000",,"0","0","26,879,000","8,742,000","0","0","56,300,000","107,772,000","107,772,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,"0","0","0","0","57,938,000","32,878,000","24,495,000",,,,,,,,,,"0","0","3,015,000","0","101,957,000",,"0","0","26,879,000","8,742,000","0","0","56,300,000","107,772,000","107,772,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"56,591,000","64,964,000","63,090,000","53,484,000","87,444,000","47,340,000","46,684,000","52,894,000","49,940,000","40,935,000","41,536,000","45,533,000","46,883,000","39,439,000","50,924,000","56,338,000","60,047,000","52,397,000","51,453,000","49,980,000","53,716,000","48,450,000","51,700,000","47,106,000","39,936,000","35,580,000","38,101,000","31,004,000","25,836,000","33,318,000",,,"54,024,000","33,781,000","49,270,000","27,890,000","28,329,000","35,003,000","36,517,000","26,859,000","21,795,000","22,682,000","22,225,000","25,444,000","22,921,000","25,188,000","22,842,000","25,662,000","21,850,000","21,349,000","17,555,000","18,976,000","18,416,000","17,430,000","23,474,000","21,104,000","21,757,000","20,286,000","25,055,000","34,063,000","23,150,000","20,632,000","18,523,000","27,632,000","22,680,000","23,078,000","20,968,000","18,312,000","19,584,000","25,181,000","24,574,000","22,236,000","21,215,000","17,002,000","17,584,000","12,255,000","9,442,000","11,133,000","9,966,000","29,241,000","6,423,000","6,699,000","6,816,000","7,429,000","6,492,000","7,654,000","5,573,000","4,513,000","3,966,000","3,495,000",,,,"3,444,000",,,,"3,838,000",,,,"3,745,000",,,,,,,,,
		RestrictedCash,"10,446,000","10,218,000","11,042,000","10,021,000","9,918,000","10,412,000","10,629,000","10,271,000","10,470,000","11,007,000","17,695,000","16,803,000","17,092,000","16,930,000","17,347,000","16,674,000","17,124,000","16,506,000","16,766,000","15,991,000","15,908,000","105,381,000","15,888,000","32,861,000","32,319,000","93,372,000","36,638,000","34,910,000","36,030,000","70,139,000","70,123,000","29,592,000","28,753,000","35,275,000","46,485,000","25,167,000","24,790,000","23,520,000","24,934,000","23,678,000","23,603,000","22,574,000","23,997,000","24,038,000","23,103,000","21,941,000","21,654,000","19,429,000","18,067,000","17,274,000","17,128,000","14,391,000","13,608,000","12,810,000","12,552,000","12,082,000","12,214,000","12,527,000","11,704,000","11,367,000","10,777,000","13,948,000","14,999,000","14,035,000","14,095,000","13,937,000","15,027,000","13,609,000","16,007,000","21,255,000","19,863,000","16,184,000","17,313,000","6,168,000","10,072,000","9,079,000","9,928,000",,"8,489,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,949,000","29,439,000","31,060,000","31,846,000","29,197,000","24,519,000","22,112,000","23,008,000","20,784,000","20,867,000","21,401,000","18,551,000","17,023,000","17,445,000","17,491,000","15,793,000","15,637,000","15,872,000","14,386,000","13,986,000","14,530,000","14,991,000","14,878,000","15,247,000","15,451,000","11,346,000","11,347,000","11,430,000","11,325,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,"57,938,000","32,878,000","24,495,000",,,,,,,,,,"0","0","3,015,000","0","101,957,000",,"0","0","26,879,000","8,742,000","0","0","56,300,000","107,772,000","107,772,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,410,000","10,984,000",,"39,716,000","41,237,000","38,558,000",,"14,668,000","8,367,000","22,312,000","20,660,000","81,942,000","65,435,000","65,212,000","41,909,000","33,404,000","20,995,000","10,357,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"12,230,035,000","12,341,409,000","12,267,474,000","12,220,902,000","12,157,239,000","12,403,986,000","12,542,002,000","12,644,366,000","12,935,548,000","12,304,818,000","12,431,195,000","12,280,791,000","12,124,808,000","11,911,322,000","12,012,831,000","12,046,163,000","12,175,272,000","12,091,253,000","12,091,666,000","12,065,425,000","12,103,627,000","11,716,540,000","11,737,797,000","11,771,498,000","11,790,270,000","11,662,807,000","11,737,842,000","11,801,928,000","11,613,688,000","11,206,234,000","11,308,610,000","10,988,327,000","6,364,697,000","4,916,434,000","4,800,699,000","4,763,438,000","4,739,921,000","4,590,351,000","4,257,988,000","4,100,835,000","3,836,176,000","3,820,730,000","3,705,209,000","3,626,142,000","3,583,488,000","3,514,379,000","3,278,665,000","3,109,019,000","3,081,851,000","3,009,214,000","2,956,408,000","2,961,865,000","2,972,944,000","2,988,381,000","2,973,186,000","2,951,184,000","2,893,343,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPE,"68,158,000","68,972,000","69,756,000","70,551,000","71,347,000","72,143,000","72,910,000","73,669,000","74,428,000","74,744,000","75,478,000","76,205,000","76,996,000",,,,,,,,,,,,,,,,,,,,,,,,,,"3,780,021,000","3,664,605,000","3,434,645,000","3,437,318,000","3,429,799,000","3,428,778,000","3,450,327,000","3,406,539,000","3,169,771,000","2,971,279,000","2,944,378,000","2,938,431,000","2,885,645,000","2,891,071,000","2,902,341,000","2,912,035,000","2,906,823,000","2,884,638,000","2,829,643,000","2,809,217,000","2,781,927,000","2,621,192,000","2,416,942,000","2,348,880,000","2,309,519,000","2,194,576,000","2,189,728,000","2,137,218,000","2,143,633,000","2,130,638,000","2,096,552,000","2,088,717,000","1,973,597,000","2,003,179,000","1,929,234,000","1,544,124,000","1,473,253,000","88,831,000","80,641,000","1,467,891,000","135,178,000","123,280,000","108,714,000","1,112,187,000","79,800,000","62,728,000","50,678,000","1,075,140,000","48,757,000","32,319,000","59,410,000","952,885,000","1,068,300,000","964,800,000","898,400,000","865,388,000","865,600,000","845,000,000","795,500,000","700,369,000","537,800,000","482,200,000","433,600,000","346,178,000","308,200,000","251,300,000","263,200,000","252,700,000","240,600,000","242,000,000","246,800,000","8,700,000","198,200,000"
			GrossPPE,"68,158,000","68,972,000","69,756,000","70,551,000","71,347,000","72,143,000","72,910,000","73,669,000","74,428,000","74,744,000","75,478,000","76,205,000","76,996,000",,,,,,,,,,,,,,,,,,,,,,,,,,"4,817,684,000","4,659,916,000","4,388,888,000","4,357,344,000","4,312,823,000","4,274,344,000","4,365,034,000","4,284,870,000","4,012,255,000","3,782,393,000","3,724,301,000","3,687,895,000","3,606,723,000","3,584,136,000","3,568,893,000","3,552,061,000","3,519,072,000","3,479,127,000","3,397,463,000","3,351,204,000","3,314,313,000","3,129,873,000","2,903,076,000","2,813,895,000","2,766,739,000","2,631,730,000","2,608,586,000","2,537,072,000","2,524,405,000","2,492,515,000","2,444,540,000","2,423,959,000","2,290,896,000","2,304,950,000","2,213,437,000","1,785,359,000","1,700,553,000","303,824,000","284,070,000","1,659,712,000","317,189,000","296,163,000","274,060,000","1,268,456,000","226,728,000","200,462,000","179,003,000","1,194,639,000","159,798,000","134,669,000","154,814,000","1,049,490,000",,,,"943,177,000",,,,"758,409,000",,,,"393,809,000",,,,,,,,,
