name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalAssets,"2,048,141,000","1,879,522,000","1,839,993,000","1,760,116,000","1,680,750,000","1,674,021,000","1,702,144,000","1,721,977,000","1,802,515,000","1,758,947,000","1,766,565,000","1,760,439,000","1,761,719,000","1,636,487,000","1,609,843,000","1,616,926,000","1,422,992,000","1,423,819,000","1,491,964,000","1,498,958,000","1,450,822,000","1,256,997,000","1,264,128,000","1,335,325,000","1,349,712,000","1,352,750,000","1,278,092,000","1,286,549,000","1,225,832,000","1,229,508,000","1,252,996,000","1,252,824,000","1,249,099,000","962,407,000"
	CurrentAssets,"308,453,000","323,786,000","286,902,000","264,850,000","171,419,000","146,925,000","162,222,000","169,482,000","228,173,000","174,411,000","187,169,000","192,689,000","207,810,000","282,425,000","272,275,000","287,002,000","214,594,000","226,632,000","220,377,000","207,265,000","248,898,000","206,794,000","208,259,000","272,690,000","180,822,000","175,318,000","153,264,000","243,678,000","231,355,000","230,728,000","247,245,000","238,520,000","227,217,000","185,885,000"
		CashCashEquivalentsAndShortTermInvestments,"185,157,000","215,998,000","195,517,000","157,677,000","85,684,000","78,606,000","88,227,000","102,568,000","141,793,000","71,995,000","82,583,000","80,360,000","73,802,000","182,578,000","163,825,000","169,235,000","95,223,000","137,522,000","126,771,000","129,675,000","161,314,000","126,790,000","128,625,000","130,014,000","101,891,000","105,039,000","85,708,000","180,467,000","171,115,000","171,439,000","182,782,000","178,232,000","176,418,000","143,776,000"
			CashAndCashEquivalents,"185,157,000","215,998,000","195,517,000","157,677,000","85,684,000","78,606,000","88,227,000","102,568,000","141,793,000","71,995,000","82,583,000","80,360,000","73,802,000","182,578,000","163,825,000","169,235,000","95,223,000","137,522,000","126,771,000","129,675,000","161,314,000","126,790,000","128,625,000","130,014,000","101,891,000","105,039,000","85,708,000","180,467,000","109,203,000","171,439,000","182,782,000","178,232,000","176,418,000","143,776,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,912,000",,,,,
		Receivables,"70,286,000","52,932,000","39,617,000","42,206,000","37,200,000","26,819,000","32,643,000","17,501,000","31,641,000","36,242,000","38,493,000","31,698,000","38,066,000","17,666,000","25,675,000","28,448,000","48,614,000","36,195,000","55,765,000","35,253,000","43,544,000","37,001,000","32,640,000","35,697,000","36,034,000","32,561,000","31,056,000","30,008,000","28,328,000","26,525,000","31,243,000","28,749,000","40,522,000","33,607,000"
			AccountsReceivable,"29,248,000","23,701,000","17,317,000","18,707,000","17,583,000","13,557,000","17,335,000","7,747,000","13,834,000","19,053,000","19,657,000","19,266,000","23,314,000","12,739,000","23,715,000","22,338,000","19,692,000","14,334,000","20,493,000","18,607,000","24,912,000","18,194,000","17,527,000","17,296,000","14,562,000","13,370,000","13,714,000","13,184,000","13,418,000","12,382,000","16,137,000","15,265,000","11,080,000","7,029,000"
				GrossAccountsReceivable,"29,405,000","23,827,000","17,443,000","18,993,000","17,858,000","13,784,000","17,531,000","7,934,000","14,054,000","19,206,000","19,785,000","19,385,000","23,422,000","12,840,000","23,844,000","22,429,000","19,769,000","14,428,000","20,729,000","18,699,000","24,993,000","18,290,000","17,600,000","17,367,000","14,632,000","13,438,000","13,785,000","13,228,000","13,467,000","12,429,000","16,202,000","15,312,000","11,116,000","7,063,000"
				AllowanceForDoubtfulAccountsReceivable,"-157,000","-126,000","-126,000","-286,000","-275,000","-227,000","-196,000","-187,000","-220,000","-153,000","-128,000","-119,000","-108,000","-101,000","-129,000","-91,000","-77,000","-94,000","-236,000","-92,000","-81,000","-96,000","-73,000","-71,000","-70,000","-68,000","-71,000","-44,000","-49,000","-47,000","-65,000","-47,000","-36,000","-34,000"
			NotesReceivable,,,,,,,,,,,,,,"0","0",,"8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000","8,098,000"
