name,03/31/2022
TotalAssets,"1,313,888,000"
	CurrentAssets,"488,789,000"
		CashCashEquivalentsAndShortTermInvestments,"28,654,000"
			CashAndCashEquivalents,"28,654,000"
		Receivables,"302,266,000"
			AccountsReceivable,"302,266,000"
				GrossAccountsReceivable,"302,266,000"
		Inventory,"139,143,000"
			RawMaterials,"37,081,000"
			WorkInProcess,"6,492,000"
			FinishedGoods,"95,570,000"
		PrepaidAssets,"18,726,000"
	TotalNonCurrentAssets,"825,099,000"
		NetPPE,"698,820,000"
			GrossPPE,"1,205,651,000"
				Properties,"0"
				BuildingsAndImprovements,"16,091,000"
				MachineryFurnitureEquipment,"1,032,097,000"
				OtherProperties,"114,540,000"
				ConstructionInProgress,"42,923,000"
			AccumulatedDepreciation,"-506,831,000"
		GoodwillAndOtherIntangibleAssets,"28,681,000"
			OtherIntangibleAssets,"28,681,000"
		InvestmentsAndAdvances,"78,296,000"
			OtherInvestments,"78,296,000"
		OtherNonCurrentAssets,"19,302,000"
TotalLiabilitiesNetMinorityInterest,"1,067,521,000"
	CurrentLiabilities,"417,800,000"
		PayablesAndAccruedExpenses,"325,686,000"
			Payables,"235,607,000"
				AccountsPayable,"235,607,000"
			CurrentAccruedExpenses,"90,079,000"
		CurrentDebtAndCapitalLeaseObligation,"55,991,000"
			CurrentDebt,"47,620,000"
				OtherCurrentBorrowings,"47,620,000"
			CurrentCapitalLeaseObligation,"8,371,000"
		OtherCurrentLiabilities,"36,123,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"649,721,000"
		LongTermDebtAndCapitalLeaseObligation,"648,819,000"
			LongTermDebt,"578,004,000"
			LongTermCapitalLeaseObligation,"70,815,000"
		OtherNonCurrentLiabilities,"902,000"
TotalEquityGrossMinorityInterest,"246,367,000"
	StockholdersEquity,"244,946,000"
		GainsLossesNotAffectingRetainedEarnings,"-46,000"
		OtherEquityInterest,"244,992,000"
	MinorityInterest,"1,421,000"
TotalCapitalization,"822,950,000"
CommonStockEquity,"244,946,000"
CapitalLeaseObligations,"79,186,000"
NetTangibleAssets,"216,265,000"
WorkingCapital,"70,989,000"
InvestedCapital,"870,570,000"
TangibleBookValue,"216,265,000"
TotalDebt,"704,810,000"
NetDebt,"596,970,000"
ShareIssued,"34,991,326"
OrdinarySharesNumber,"34,991,326"
