name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996
TotalRevenue,"665,364,000","159,308,000","173,029,000","165,923,000","167,105,000","164,006,000","175,842,000","169,474,000","170,736,000","161,218,000","161,530,000","182,141,000","166,776,000","150,196,000","130,469,000","124,844,000","126,023,000","124,585,000","89,267,000","87,385,000","85,774,000","84,077,000","85,513,000","84,447,000","82,914,000","79,046,000","79,109,000","79,234,000","79,341,000","76,339,000","73,835,000","81,300,000","80,490,000","78,191,000","46,994,000","47,081,000","48,736,000","47,884,000","38,239,000","54,314,000","52,497,000","50,165,000","50,214,000","51,390,000","49,586,000","49,347,000","52,305,000","51,002,000","51,668,000","43,899,000","31,026,000","28,728,000","27,982,000","25,047,000","25,104,000","29,367,000","27,486,000","26,473,000","25,418,000","25,630,000","25,433,000","24,369,000","26,277,000","26,784,000","26,876,000","25,023,000","23,976,000","25,207,000","24,039,000","21,637,000","21,979,000","20,975,000","19,440,000","15,799,000","16,211,000","17,661,000","16,942,000","15,138,000","15,726,000","15,051,000","13,879,000","13,460,000","13,127,000","12,461,000","12,047,000","11,550,000","12,170,000","9,966,000","11,065,000","10,223,000","10,200,000","10,500,000","10,700,000","10,400,000","8,700,000","8,100,000","7,800,000","7,300,000","7,100,000","7,100,000","6,700,000","6,500,000","6,800,000","6,300,000","5,600,000"
	OperatingRevenue,"665,364,000","159,308,000","173,029,000","165,923,000","167,105,000","164,006,000","175,842,000","169,474,000","170,736,000","161,218,000","161,530,000","182,141,000","166,776,000","150,196,000","130,469,000","124,844,000","126,023,000","124,585,000","89,267,000","87,385,000","85,774,000","84,077,000","85,513,000","84,447,000","82,914,000","79,046,000","79,109,000","79,234,000","79,341,000","76,339,000","73,835,000","81,300,000","80,490,000","78,191,000","46,994,000","47,081,000","48,736,000","47,884,000","38,239,000","54,314,000","52,497,000","50,165,000","50,214,000","51,390,000","49,586,000","49,347,000","52,305,000","51,002,000","51,668,000","43,899,000","31,026,000","28,728,000","27,982,000","25,047,000","25,104,000","29,367,000","27,486,000","26,473,000","25,418,000","25,630,000","25,433,000","24,369,000","26,277,000","26,784,000","26,876,000","25,023,000","23,976,000","25,207,000","24,039,000","21,637,000","21,979,000","20,975,000","19,440,000","15,799,000","16,211,000","17,661,000","16,942,000","15,138,000","15,726,000","15,051,000","13,879,000","13,460,000","13,127,000","12,461,000","12,047,000","11,550,000","12,170,000","9,966,000","11,065,000","10,223,000","10,200,000","10,500,000","10,700,000","10,400,000","8,700,000","8,100,000","7,800,000","7,300,000","7,100,000","7,100,000","6,700,000","6,500,000","6,800,000","6,300,000","5,600,000"
PretaxIncome,"304,152,000","52,963,000","55,800,000","90,933,000","104,457,000","67,570,000","69,990,000","72,008,000","36,223,000","8,074,000","67,105,000","63,920,000","58,264,000","41,965,000","53,320,000","46,161,000","61,478,000","18,548,000","27,281,000","28,188,000","24,952,000","25,889,000","28,674,000","26,593,000","26,218,000","22,769,000","23,135,000","24,782,000","21,038,000","21,433,000","20,832,000","19,500,000","19,444,000","10,177,000","10,411,000","11,142,000","13,419,000","12,037,000","13,359,000","13,596,000","11,733,000","11,056,000","11,462,000","12,753,000","9,214,000","8,280,000","5,736,000","11,106,000","12,565,000","2,098,000","3,378,000","3,106,000","776,000","1,990,000","2,467,000","5,591,000","5,774,000","4,940,000","4,298,000","7,220,000","7,577,000","7,145,000","8,826,000","8,858,000","9,394,000","8,865,000","8,206,000","9,961,000","9,410,000","7,835,000","7,496,000","6,088,000","6,377,000","4,858,000","5,617,000","5,799,000","6,033,000","5,471,000","5,510,000","5,334,000","4,491,000","3,981,000","3,655,000","3,914,000","3,683,000","3,360,000","2,761,000","2,189,000","2,321,000","1,552,000","1,500,000","1,500,000","1,500,000","2,400,000","2,400,000","1,200,000","2,200,000","2,500,000","2,600,000","2,500,000","2,400,000","2,500,000","2,300,000","2,200,000","2,300,000"
TaxProvision,"52,734,000","9,273,000","8,021,000","16,368,000","19,073,000","11,381,000","10,560,000","11,008,000","5,514,000","985,000","11,227,000","10,724,000","9,356,000","6,249,000","9,043,000","7,399,000","11,678,000","1,909,000","12,095,000","7,530,000","6,996,000","6,765,000","7,897,000","6,192,000","6,881,000","5,808,000","5,320,000","6,566,000","5,690,000","5,732,000","5,760,000","4,576,000","4,664,000","2,362,000","2,307,000","3,196,000","3,956,000","3,054,000","3,917,000","3,970,000","3,313,000","3,133,000","3,102,000","3,682,000","2,394,000","2,086,000","1,312,000","3,033,000","3,839,000","399,000","529,000","301,000","-177,000","237,000","193,000","1,336,000","1,441,000","1,288,000","688,000","1,863,000","1,936,000","1,997,000","2,383,000","2,330,000","2,681,000","2,557,000","2,332,000","3,078,000","2,798,000","2,382,000","2,199,000","1,631,000","1,816,000","1,248,000","1,428,000","1,604,000","1,697,000","1,527,000","1,527,000","1,323,000","1,038,000","923,000","570,000","877,000","797,000","690,000","373,000","292,000","427,000","131,000","-200,000","100,000","200,000","500,000","700,000","100,000","400,000","500,000","600,000","600,000","400,000","600,000","600,000","500,000","500,000"
NetIncomeCommonStockholders,"239,550,000","40,723,000","44,812,000","71,598,000","82,417,000","53,222,000","56,463,000","58,309,000","30,709,000","7,089,000","55,836,000","53,238,000","48,823,000","35,631,000","44,085,000","38,197,000","47,327,000","16,639,000","15,186,000","20,658,000","17,956,000","19,124,000","20,777,000","20,401,000","19,337,000","16,961,000","17,815,000","18,216,000","15,348,000","15,701,000","15,072,000","14,924,000","14,780,000","7,815,000","8,104,000","7,946,000","9,463,000","8,983,000","9,442,000","9,626,000","8,420,000","7,923,000","7,265,000","8,543,000","6,293,000","5,668,000","3,900,000","7,549,000","8,214,000","1,345,000","-53,000","1,943,000","91,000","892,000","2,274,000","4,255,000","4,333,000","3,652,000","3,610,000","5,357,000","5,641,000","5,148,000","6,443,000","6,528,000","6,713,000","6,308,000","5,874,000","6,883,000","6,612,000","5,453,000","5,297,000","4,457,000","4,561,000","3,610,000","4,189,000","4,195,000","4,336,000","3,944,000","3,983,000","4,011,000","3,453,000","3,058,000","3,085,000","3,037,000","2,886,000","2,670,000","2,388,000","1,897,000","1,894,000","1,421,000","1,800,000","1,400,000","1,300,000","1,800,000","1,700,000","1,100,000","1,800,000","2,000,000","2,000,000","1,900,000","2,000,000","1,900,000","1,700,000","1,700,000","1,800,000"
	NetIncome,"251,418,000","43,690,000","47,779,000","74,565,000","85,384,000","56,189,000","59,430,000","61,000,000","30,709,000","7,089,000","55,836,000","53,238,000","48,823,000","35,631,000","44,085,000","38,197,000","47,327,000","16,639,000","15,186,000","20,658,000","17,956,000","19,124,000","20,777,000","20,401,000","19,337,000","16,961,000","17,815,000","18,216,000","15,348,000","15,701,000","15,072,000","14,924,000","14,780,000","7,815,000","8,104,000","7,946,000","9,463,000","8,983,000","9,442,000","9,626,000","8,420,000","7,923,000","8,360,000","9,071,000","6,820,000","6,194,000","4,424,000","8,073,000","8,726,000","1,699,000","2,849,000","2,805,000","953,000","1,753,000","2,274,000","4,255,000","4,333,000","3,652,000","3,610,000","5,357,000","5,641,000","5,148,000","6,443,000","6,528,000","6,713,000","6,308,000","5,874,000","6,883,000","6,612,000","5,453,000","5,297,000","4,457,000","4,561,000","3,610,000","4,189,000","4,195,000","4,336,000","3,944,000","3,983,000","4,011,000","3,453,000","3,058,000","3,085,000","3,037,000","2,886,000","2,670,000","2,388,000","1,897,000","1,894,000","1,421,000","1,800,000","1,400,000","1,300,000","1,800,000","1,700,000","1,100,000","1,800,000","2,000,000","2,000,000","1,900,000","2,000,000","1,900,000","1,700,000","1,700,000","1,800,000"
		NetIncomeIncludingNoncontrollingInterests,"251,418,000","43,690,000","47,779,000","74,565,000","85,384,000","56,189,000","59,430,000","61,000,000","30,709,000","7,089,000","55,836,000","53,238,000","48,823,000","35,631,000","44,085,000","38,197,000","47,327,000","16,639,000","15,186,000","20,658,000","17,956,000","19,124,000","20,777,000","20,401,000","19,337,000","16,961,000","17,815,000","18,216,000","15,348,000","15,701,000","15,072,000","14,924,000","14,780,000","7,815,000","8,104,000","7,946,000","9,463,000","8,983,000","9,442,000","9,626,000","8,420,000","7,923,000","8,360,000","9,071,000","6,820,000","6,194,000","4,424,000","8,073,000","8,726,000","1,699,000","2,849,000","2,805,000","953,000","1,753,000","2,274,000","4,255,000","4,333,000","3,652,000","3,610,000","5,357,000","5,641,000","5,148,000","6,443,000","6,528,000","6,713,000","6,308,000","5,874,000","6,883,000","6,612,000","5,453,000","5,297,000","4,457,000","4,561,000","3,610,000","4,189,000","4,195,000","4,336,000","3,944,000","3,983,000","4,011,000","3,453,000","3,058,000","3,085,000","3,037,000","2,886,000","2,670,000","2,388,000","1,897,000","1,894,000","1,421,000","1,800,000","1,400,000","1,300,000","1,800,000","1,700,000","1,100,000","1,800,000","2,000,000","2,000,000","1,900,000","2,000,000","1,900,000","1,700,000","1,700,000","1,800,000"
			NetIncomeContinuousOperations,"251,418,000","43,690,000","47,779,000","74,565,000","85,384,000","56,189,000","59,430,000","61,000,000","30,709,000","7,089,000","55,878,000","53,196,000","48,908,000","35,716,000","44,277,000","38,762,000","49,800,000","16,639,000","15,186,000","20,658,000","17,956,000","19,124,000","20,777,000","20,401,000","19,337,000","16,961,000","17,815,000","18,216,000","15,348,000","15,701,000","15,072,000","14,924,000","14,780,000","7,815,000","8,104,000","7,946,000","9,463,000","8,983,000","9,442,000","9,626,000","8,420,000","7,923,000","8,360,000","9,071,000","6,820,000","6,194,000","4,424,000","8,073,000","8,726,000","1,699,000","2,849,000","2,805,000","953,000","1,753,000","2,274,000","4,255,000","4,333,000","3,652,000","3,610,000","5,357,000","5,641,000","5,148,000","6,443,000","6,528,000","6,713,000","6,308,000","5,874,000","6,883,000","6,612,000","5,453,000","5,297,000","4,457,000","4,561,000","3,610,000","4,189,000","4,195,000","4,336,000","3,944,000","3,983,000","4,011,000","3,453,000","3,058,000","3,085,000","3,037,000","2,886,000","2,670,000","2,388,000","1,897,000","1,894,000","1,421,000","1,700,000","1,400,000","1,300,000","1,900,000","1,700,000","1,100,000","1,800,000","2,000,000","2,000,000","1,900,000","2,000,000","1,900,000","1,700,000","1,700,000","1,800,000"
			NetIncomeDiscontinuousOperations,,,,,,,"0","0","0","0","-42,000","42,000","-85,000","-85,000","-192,000","-565,000","-2,473,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000",,,,,,,,,,,
