name,02/28/2022,08/31/2021,02/28/2021,08/31/2020,02/29/2020,08/31/2019,02/28/2019,08/31/2018,02/28/2018,08/31/2017,02/28/2017,08/31/2016
TotalAssets,"1,090,652,382","1,171,196,551","1,153,568,345","1,159,462,700","1,194,483,978","1,143,798,518","1,134,845,216","1,168,507,378","1,145,797,801","1,182,643,566","1,133,489,166","1,196,299,782"
TotalLiabilitiesNetMinorityInterest,"408,966,253","436,007,730","434,979,305","441,658,791","448,218,147","413,635,644","445,791,382","473,820,991","445,553,828","453,543,220","424,783,281","426,159,667"
TotalEquityGrossMinorityInterest,"681,686,129","735,188,821","718,589,040","717,803,909","746,265,831","730,162,874","689,053,834","694,686,387","700,243,973","729,100,346","708,705,885","770,140,115"
	StockholdersEquity,"681,686,129","735,188,821","718,589,040","717,803,909","746,265,831","730,162,874","689,053,834","694,686,387","700,243,973","729,100,346","708,705,885","770,140,115"
		CapitalStock,"648,805,726","649,699,599","649,699,599","649,565,325","649,565,325","651,050,910","651,050,910","651,348,690","651,348,690","655,739,387","655,739,387","685,236,309"
			CommonStock,"648,805,726","649,699,599","649,699,599","649,565,325","649,565,325","651,050,910","651,050,910","651,348,690","651,348,690","655,739,387","655,739,387","685,236,309"
		AdditionalPaidInCapital,,,,,,"651,050,910","651,050,910","651,348,690","651,348,690","655,739,387","655,739,387","685,236,309"
		RetainedEarnings,"32,880,403","85,489,222","68,889,441","68,238,584","96,700,506","79,111,964","38,002,924","2,249,806","4,364,782","3,780,652","864,667","4,551,912"
TotalCapitalization,"847,001,129","920,618,821","917,839,040","921,178,909","952,515,831","904,457,874","897,008,834","927,556,387","907,703,973","940,600,346","913,820,885","977,835,115"
CommonStockEquity,"681,686,129","735,188,821","718,589,040","717,803,909","746,265,831","730,162,874","689,053,834","694,686,387","700,243,973","729,100,346","708,705,885","770,140,115"
NetTangibleAssets,"681,686,129","735,188,821","718,589,040","717,803,909","746,265,831","730,162,874","689,053,834","694,686,387","700,243,973","729,100,346","708,705,885","770,140,115"
InvestedCapital,"847,001,129","920,618,821","917,839,040","921,178,909","952,515,831","904,457,874","897,008,834","927,556,387","907,703,973","940,600,346","913,820,885","977,835,115"
TangibleBookValue,"681,686,129","735,188,821","718,589,040","717,803,909","746,265,831","730,162,874","689,053,834","694,686,387","700,243,973","729,100,346","708,705,885","770,140,115"
TotalDebt,"165,315,000","185,430,000","199,250,000","203,375,000","206,250,000","174,295,000","207,955,000","232,870,000","207,460,000","211,500,000","205,115,000","207,695,000"
NetDebt,"165,067,363","185,430,000","197,078,714","203,375,000","206,250,000","174,295,000","207,955,000","229,852,294","207,460,000","211,500,000","205,115,000","207,695,000"
ShareIssued,"52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797"
OrdinarySharesNumber,"52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797","52,883,797"
