name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,12/31/1992,03/31/1992
OperatingCashFlow,"2,792,000,000","1,920,000,000","255,000,000","430,000,000","187,000,000","-551,000,000","-1,140,000,000","1,862,000,000","235,000,000","-1,373,000,000","408,000,000","-56,000,000","-1,524,000,000","-288,000,000","589,000,000","812,000,000","109,000,000","-595,000,000","-327,000,000","43,000,000","-538,000,000","-614,000,000","333,000,000","330,000,000","382,000,000","610,000,000","204,000,000","357,000,000","339,000,000","-186,000,000","229,000,000","219,000,000","-36,000,000","-802,000,000","403,000,000","-120,000,000","393,000,000","41,000,000","146,000,000","-39,000,000","1,322,000,000","85,000,000","135,000,000","480,000,000","1,827,000,000","-447,000,000","201,000,000","277,000,000","-47,000,000","-390,000,000","28,000,000","530,000,000","48,000,000","-341,000,000","888,246,000","197,377,000","-63,360,000","-181,263,000","-606,715,000","-2,316,549,000","19,584,000","-12,138,000","48,176,000","143,694,000","128,079,000","-29,761,000","144,648,000","-27,449,000","102,873,000","27,281,000","-40,652,000","39,799,000","37,616,000","14,604,000","-36,647,000","15,353,000","18,112,000","21,646,000","38,137,000","23,595,000","32,212,000","28,312,000","26,325,000","13,880,000","18,203,000","23,347,000","12,859,000","13,331,000","26,738,000","23,510,000","11,603,000","12,300,000","16,500,000","15,400,000","7,811,000","16,000,000","12,400,000","14,800,000","18,013,000","7,800,000","13,200,000","7,000,000","9,681,740","12,800,000","8,600,000","12,900,000","11,330,198","7,800,000","7,000,000","9,300,000","5,169,408","7,900,000","5,500,000","6,900,000","2,800,000","5,400,000","3,700,000","7,600,000"
	CashFlowFromContinuingOperatingActivities,"2,792,000,000","1,920,000,000","255,000,000","430,000,000","187,000,000","-551,000,000","-1,140,000,000","1,862,000,000","235,000,000","-1,373,000,000","408,000,000","-56,000,000","-1,524,000,000","-288,000,000","455,000,000","695,000,000","-119,000,000","-595,000,000","-327,000,000","43,000,000","-538,000,000","-614,000,000","333,000,000","330,000,000","382,000,000","610,000,000","204,000,000","357,000,000","339,000,000","-186,000,000","229,000,000","219,000,000","-36,000,000","-802,000,000","403,000,000","-120,000,000","393,000,000","41,000,000","146,000,000","-39,000,000","1,322,000,000","85,000,000","135,000,000","480,000,000","1,827,000,000","-447,000,000","201,000,000","277,000,000","-47,000,000","-390,000,000","28,000,000","531,000,000","47,000,000","-340,000,000","888,046,000","197,766,000","-56,549,000","-181,263,000","-530,854,000","-2,392,410,000","19,584,000","-12,138,000","48,176,000","143,694,000","128,079,000","-29,761,000","144,648,000","-27,449,000","102,873,000","27,281,000","-40,652,000","39,799,000","37,616,000","14,604,000","-36,647,000","15,353,000","18,112,000","21,646,000","38,137,000","23,595,000","32,212,000","28,312,000","26,325,000","13,880,000","18,203,000","23,347,000","12,859,000","13,331,000","26,738,000","23,510,000","11,603,000","12,300,000","16,500,000","15,400,000","7,811,000","16,000,000","12,400,000","14,800,000","18,013,000","7,800,000","13,200,000","7,000,000","9,681,740","12,800,000","8,600,000","12,900,000","11,330,198","7,800,000","7,000,000","9,300,000","5,169,408","7,900,000","5,500,000","6,900,000","2,800,000","5,400,000","3,700,000","7,600,000"
		NetIncomeFromContinuingOperations,"-214,000,000","885,000,000","-826,000,000","-211,000,000","-62,000,000","599,000,000","374,000,000","-1,400,000,000","864,000,000","-2,306,000,000","-157,000,000","-373,000,000","-597,000,000","-664,000,000","1,182,000,000","-147,000,000","588,000,000","423,000,000","197,000,000","829,000,000","1,725,000,000","-160,000,000","-564,000,000","238,000,000","-285,000,000","-1,609,000,000","-2,150,000,000","-940,000,000","541,000,000","422,000,000","-1,102,000,000","-627,000,000","1,123,000,000","77,000,000","453,000,000","1,220,000,000","76,000,000","695,000,000","76,000,000","100,000,000","450,000,000","101,000,000","636,000,000","-52,000,000","584,000,000","596,000,000","250,000,000","765,000,000","-222,000,000","-50,000,000","-27,000,000","463,000,000","631,000,000","127,000,000","27,358,000","45,446,000","-586,155,000","470,351,000","628,063,000","196,587,000","-59,457,000","68,717,000","1,269,000","-96,483,000","69,237,000","49,046,000","61,140,000","-125,851,000","-25,325,000","39,730,000","-27,561,000","20,351,000","35,072,000","49,391,000","44,176,000","13,646,000","-6,976,000","10,483,000","14,748,000","17,225,000","13,656,000","18,822,000","17,717,000","17,771,000","16,215,000","15,831,000","21,376,000","18,469,000","20,607,000","14,698,000","19,616,000","19,000,000","42,400,000","14,800,000","15,238,000","20,900,000","16,500,000","18,000,000","7,484,000","10,900,000","16,200,000","40,800,000","12,422,052","21,500,000","12,900,000","11,000,000","7,855,620","9,600,000","7,200,000","10,500,000","5,068,564","4,600,000","7,000,000","6,500,000","4,300,000","5,500,000","1,700,000","5,400,000"
		OperatingGainsLosses,"-1,190,000,000","-1,133,000,000","256,000,000","245,000,000","-558,000,000","-1,290,000,000","-1,829,000,000","718,000,000","-2,348,000,000","4,402,000,000","-881,000,000","139,000,000","424,000,000","-505,000,000","1,315,000,000","-89,000,000","-527,000,000","-307,000,000","-641,000,000","-1,251,000,000","-2,134,000,000","-486,000,000","-20,000,000","-896,000,000","37,000,000","554,000,000","531,000,000","2,258,000,000","-516,000,000","-534,000,000","395,000,000","848,000,000","-1,662,000,000","-33,000,000","-1,316,000,000","-1,349,000,000","69,000,000","-1,158,000,000","-1,113,000,000","248,000,000","-96,000,000","-527,000,000","1,763,000,000","-1,740,000,000","1,169,000,000","728,000,000","-568,000,000","177,000,000","-1,794,000,000","-977,000,000","-104,000,000","-1,262,000,000","647,000,000","-567,000,000","3,585,824,000","-205,812,000","-488,342,000","393,330,000","2,140,307,000",,,"-79,410,000",,,"-21,990,000","-40,671,000","8,414,000","13,226,000","21,324,000","-21,704,000","-2,992,000","0","-8,310,000","-28,857,000",,"0","0","961,000",,"0",,,,"0","0","-1,334,000",,,,,"0","0",,,,,,,"0",,,"-29,200,000",,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,"-19,000,000",,,,"-200,000,000","-446,000,000",,,,,,,,,,"-11,000,000",,"4,000,000","-3,000,000","-5,000,000",,"5,000,000",,,,,,,,,,,,,,,,,,"-178,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"-19,000,000",,,,"-200,000,000","-446,000,000",,,,,,,,,,"-11,000,000",,"4,000,000","-3,000,000","-5,000,000",,"5,000,000",,,,"-1,000,000",,,,,,,,,,"-2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-1,049,000,000","-1,133,000,000","397,000,000","245,000,000","-558,000,000","-1,290,000,000","-1,851,000,000","723,000,000","-2,348,000,000","4,402,000,000","-884,000,000","395,000,000","424,000,000","-505,000,000","1,334,000,000","-24,000,000","-549,000,000","-285,000,000","-423,000,000","-788,000,000","-578,000,000","-486,000,000","-9,000,000","-884,000,000","73,000,000","554,000,000","488,000,000","2,269,000,000","-495,000,000","-525,000,000","391,000,000","844,000,000","-1,695,000,000","-154,000,000","-1,259,000,000","-1,354,000,000","17,000,000","-1,158,000,000","-1,113,000,000","248,000,000","-96,000,000","-527,000,000","1,763,000,000","-1,740,000,000","552,000,000","1,345,000,000","-1,108,000,000","717,000,000","-1,794,000,000","-977,000,000","-179,000,000","-591,000,000","1,370,000,000","-509,000,000","1,441,049,000","-378,981,000","-947,398,000","393,330,000","1,374,565,000",,,"-79,410,000",,,"-21,990,000","-40,671,000","8,414,000","13,226,000","21,324,000","-21,704,000","-2,992,000","0","-8,310,000","-28,857,000",,"0","0","961,000",,"0",,,,"0","0","-1,334,000",,,,,"0","0",,,,,,,"0",,,"-29,200,000",,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,"-22,000,000","-18,000,000","-17,000,000",,,"-16,000,000","-12,000,000",,,,"-11,000,000",,,,,,,,,,,,"-6,000,000",,,,,,"-617,000,000",,,,"-7,000,000","9,000,000","-610,000,000","-893,000,000","112,000,000","2,599,824,000","179,842,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-42,000,000",,,,,,,,,,"7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"512,000,000","122,000,000","132,000,000","126,000,000","132,000,000","127,000,000","131,000,000","126,000,000","132,000,000","121,000,000","130,000,000","129,000,000","137,000,000","123,000,000","58,000,000","127,000,000","10,000,000","252,000,000","258,000,000","255,000,000","256,000,000","248,000,000","286,000,000","259,000,000","255,000,000","234,000,000","222,000,000","222,000,000","212,000,000","207,000,000","208,000,000","206,000,000","198,000,000","197,000,000","239,000,000","173,000,000","166,000,000","164,000,000","164,000,000","158,000,000","145,000,000","108,000,000","114,000,000","113,000,000","110,000,000","110,000,000","125,000,000","115,000,000","113,000,000","110,000,000","106,000,000","96,000,000","103,000,000","96,000,000","95,739,000","217,902,000","9,365,000","8,994,000","14,425,000","6,261,000","-1,024,000","16,294,000","17,832,000","-38,779,000","45,794,000","46,607,000","48,776,000","40,642,000","62,009,000","7,154,000","7,079,000","7,284,000","10,501,000","5,091,000","2,356,000","5,370,000","5,239,000","5,633,000","5,684,000","5,432,000","5,178,000","4,935,000","5,884,000","4,248,000","3,826,000","4,076,000","4,011,000","3,489,000","3,961,000","3,637,000","1,576,000","1,200,000","1,300,000","1,500,000","1,523,000","1,000,000","1,100,000","1,300,000","712,000","1,500,000","1,400,000","1,500,000","1,180,025","1,600,000","1,500,000","1,400,000","1,537,884","1,300,000","1,200,000","1,300,000","1,360,704","1,300,000","1,100,000","1,200,000","1,200,000","1,100,000","1,100,000","1,000,000"
